Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_9_segment_R post temporal
original	shape	Sphericity	0.782550698478588
original	shape	SurfaceArea	525.3006653642193
original	shape	SurfaceVolumeRatio	0.6702757174087545
original	shape	VoxelVolume	798.0
original	firstorder	10Percentile	71.96544220274193
original	firstorder	90Percentile	207.224489723047
original	firstorder	Energy	161021533.1733451
original	firstorder	Entropy	3.0619591731411337
original	firstorder	InterquartileRange	84.81723259094164
original	firstorder	Kurtosis	2.377262590654581
original	firstorder	Maximum	312.80136593092266
original	firstorder	MeanAbsoluteDeviation	44.775224876834955
original	firstorder	Mean	146.06915147970892
original	firstorder	Median	151.42814923874732
original	firstorder	Minimum	-8.698393833095691
original	firstorder	Range	321.49975976401834
original	firstorder	RobustMeanAbsoluteDeviation	34.42250645329153
original	firstorder	RootMeanSquared	449.2008124340492
original	firstorder	Skewness	-0.14047313372088507
original	firstorder	TotalEnergy	161021533.1733451
original	firstorder	Uniformity	0.13344451353948783
original	firstorder	Variance	2803.6819895823996
original	glcm	Autocorrelation	61.36842957208712
original	glcm	JointAverage	7.680915198044593
original	glcm	ClusterProminence	405.4310725282013
original	glcm	ClusterShade	-15.278928768039735
original	glcm	ClusterTendency	12.780684734945165
original	glcm	Contrast	3.3223117144534315
original	glcm	Correlation	0.583855419683042
original	glcm	DifferenceAverage	1.3563083489737802
original	glcm	DifferenceEntropy	2.1152664973633177
original	glcm	DifferenceVariance	1.4177514065577
original	glcm	JointEnergy	0.03165742773318102
original	glcm	JointEntropy	5.489121087409123
original	glcm	Imc1	-0.1397385524465854
original	glcm	Imc2	0.7191344692415057
original	glcm	Idm	0.5003879000405923
original	glcm	Idmn	0.9839785829166744
original	glcm	Id	0.5513305166358048
original	glcm	Idn	0.9170595342763913
original	glcm	InverseVariance	0.4378318139788633
original	glcm	MaximumProbability	0.09750475718705034
original	glcm	SumEntropy	3.7726978989591755
original	glcm	SumSquares	4.02574911234965
original	glrlm	GrayLevelNonUniformity	80.55023072854172
original	glrlm	GrayLevelNonUniformityNormalized	0.12706174028970274
original	glrlm	GrayLevelVariance	4.746303577767831
original	glrlm	HighGrayLevelRunEmphasis	56.55501238934466
original	glrlm	LongRunEmphasis	2.026713599617046
original	glrlm	LongRunHighGrayLevelEmphasis	125.1501304088771
original	glrlm	LongRunLowGrayLevelEmphasis	0.04968131038272617
original	glrlm	LowGrayLevelRunEmphasis	0.028826196266528745
original	glrlm	RunEntropy	3.933718010027524
original	glrlm	RunLengthNonUniformity	433.6666638570559
original	glrlm	RunLengthNonUniformityNormalized	0.6793974608313671
original	glrlm	RunPercentage	0.7943898207056103
original	glrlm	RunVariance	0.41315059908670393
original	glrlm	ShortRunEmphasis	0.8492993726350389
original	glrlm	ShortRunHighGrayLevelEmphasis	46.66317031495781
original	glrlm	ShortRunLowGrayLevelEmphasis	0.025642508143866906
original	glszm	GrayLevelNonUniformity	7.1454545454545455
original	glszm	GrayLevelNonUniformityNormalized	0.12991735537190083
original	glszm	GrayLevelVariance	8.064132231404958
original	glszm	HighGrayLevelZoneEmphasis	46.054545454545455
original	glszm	LargeAreaEmphasis	1079.8545454545454
original	glszm	LargeAreaHighGrayLevelEmphasis	76177.23636363636
original	glszm	LargeAreaLowGrayLevelEmphasis	18.101980178274946
original	glszm	LowGrayLevelZoneEmphasis	0.06351552066551083
original	glszm	SizeZoneNonUniformity	7.036363636363636
original	glszm	SizeZoneNonUniformityNormalized	0.12793388429752067
original	glszm	SmallAreaEmphasis	0.33527109642980685
original	glszm	SmallAreaHighGrayLevelEmphasis	13.701132683780544
original	glszm	SmallAreaLowGrayLevelEmphasis	0.038662533768306626
original	glszm	ZoneEntropy	5.281181986173248
original	glszm	ZonePercentage	0.06892230576441102
original	glszm	ZoneVariance	869.3408264462811
original	gldm	DependenceEntropy	6.244115969261499
original	gldm	DependenceNonUniformity	77.9498746867168
original	gldm	DependenceNonUniformityNormalized	0.09768154722646215
original	gldm	DependenceVariance	14.927996683437915
original	gldm	GrayLevelNonUniformity	106.48872180451127
original	gldm	GrayLevelVariance	4.597935942613425
original	gldm	HighGrayLevelEmphasis	58.59649122807018
original	gldm	LargeDependenceEmphasis	55.19799498746867
original	gldm	LargeDependenceHighGrayLevelEmphasis	3965.3609022556393
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.983017666477093
original	gldm	LowGrayLevelEmphasis	0.027120501741496873
original	gldm	SmallDependenceEmphasis	0.07600512788742125
original	gldm	SmallDependenceHighGrayLevelEmphasis	3.7122360206179845
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.004277087930062351
original	ngtdm	Busyness	0.8164497386740158
original	ngtdm	Coarseness	0.012072659100359429
original	ngtdm	Complexity	63.020624876081555
original	ngtdm	Contrast	0.05224482777292053
original	ngtdm	Strength	0.7229444671412332
exponential	firstorder	10Percentile	3.330459887116926
exponential	firstorder	90Percentile	31.955878440150567
exponential	firstorder	Energy	80197295.00567709
exponential	firstorder	Entropy	0.8944227529564319
exponential	firstorder	InterquartileRange	17.443184493245145
exponential	firstorder	Kurtosis	40.566521893024074
exponential	firstorder	Maximum	186.67678623940733
exponential	firstorder	MeanAbsoluteDeviation	10.776962637387488
exponential	firstorder	Mean	16.59429779783953
exponential	firstorder	Median	12.57311975515594
exponential	firstorder	Minimum	0.8646601080955502
exponential	firstorder	Range	185.81212613131177
exponential	firstorder	RobustMeanAbsoluteDeviation	7.247315706593757
exponential	firstorder	RootMeanSquared	317.0139798425859
exponential	firstorder	Skewness	4.465038519298544
exponential	firstorder	TotalEnergy	80197295.00567709
exponential	firstorder	Uniformity	0.6469965640919342
exponential	firstorder	Variance	265.914017528349
exponential	glcm	Autocorrelation	1.798914704600878
exponential	glcm	JointAverage	1.290559773541078
exponential	glcm	ClusterProminence	26.33383072273487
exponential	glcm	ClusterShade	3.3567798872268586
exponential	glcm	ClusterTendency	0.9598040261361055
exponential	glcm	Contrast	0.42685716854059785
exponential	glcm	Correlation	0.3827160345071832
exponential	glcm	DifferenceAverage	0.291274892837556
exponential	glcm	DifferenceEntropy	0.9267180953675409
exponential	glcm	DifferenceVariance	0.338998328705833
exponential	glcm	JointEnergy	0.43156868494943745
exponential	glcm	JointEntropy	1.7550721927326787
exponential	glcm	Imc1	-0.13660981891594706
exponential	glcm	Imc2	0.45672331816676254
exponential	glcm	Idm	0.8648679206247697
exponential	glcm	Idmn	0.994116505426166
exponential	glcm	Id	0.867109980697749
exponential	glcm	Idn	0.9688239823688297
exponential	glcm	InverseVariance	0.24458996125646149
exponential	glcm	MaximumProbability	0.6245751918673229
exponential	glcm	SumEntropy	1.4450171204874922
exponential	glcm	SumSquares	0.3466652986691759
exponential	glrlm	GrayLevelNonUniformity	183.23602796208857
exponential	glrlm	GrayLevelNonUniformityNormalized	0.5434292764627855
exponential	glrlm	GrayLevelVariance	0.734585233388381
exponential	glrlm	HighGrayLevelRunEmphasis	2.745770378660688
exponential	glrlm	LongRunEmphasis	9.462599309277737
exponential	glrlm	LongRunHighGrayLevelEmphasis	14.594185797011733
exponential	glrlm	LongRunLowGrayLevelEmphasis	8.419862815615904
exponential	glrlm	LowGrayLevelRunEmphasis	0.7576798265037499
exponential	glrlm	RunEntropy	3.3190722009103277
exponential	glrlm	RunLengthNonUniformity	89.12796209449544
exponential	glrlm	RunLengthNonUniformityNormalized	0.2561621362297809
exponential	glrlm	RunPercentage	0.4190283400809717
exponential	glrlm	RunVariance	2.8752282865120553
exponential	glrlm	ShortRunEmphasis	0.4740549103410529
exponential	glrlm	ShortRunHighGrayLevelEmphasis	1.8581508322686866
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.31549784437072287
exponential	glszm	GrayLevelNonUniformity	2.8181818181818183
exponential	glszm	GrayLevelNonUniformityNormalized	0.256198347107438
exponential	glszm	GrayLevelVariance	2.9586776859504136
exponential	glszm	HighGrayLevelZoneEmphasis	14.272727272727273
exponential	glszm	LargeAreaEmphasis	37203.454545454544
exponential	glszm	LargeAreaHighGrayLevelEmphasis	43379.63636363636
exponential	glszm	LargeAreaLowGrayLevelEmphasis	35678.317708333336
exponential	glszm	LowGrayLevelZoneEmphasis	0.19523358585858588
exponential	glszm	SizeZoneNonUniformity	3.0
exponential	glszm	SizeZoneNonUniformityNormalized	0.2727272727272727
exponential	glszm	SmallAreaEmphasis	0.4777294265700037
exponential	glszm	SmallAreaHighGrayLevelEmphasis	6.7585772775787865
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.03901562284572883
exponential	glszm	ZoneEntropy	2.8453509366224337
exponential	glszm	ZonePercentage	0.013784461152882205
exponential	glszm	ZoneVariance	31940.611570247936
exponential	gldm	DependenceEntropy	5.07648228678863
exponential	gldm	DependenceNonUniformity	40.416040100250626
exponential	gldm	DependenceNonUniformityNormalized	0.050646666792294015
exponential	gldm	DependenceVariance	32.06410763751484
exponential	gldm	GrayLevelNonUniformity	516.3032581453634
exponential	gldm	GrayLevelVariance	0.4056130300689066
exponential	gldm	HighGrayLevelEmphasis	2.007518796992481
exponential	gldm	LargeDependenceEmphasis	291.4436090225564
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	409.18045112781954
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	262.51832054093563
exponential	gldm	LowGrayLevelEmphasis	0.8309119152046784
exponential	gldm	SmallDependenceEmphasis	0.014137758196640688
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.15686856296524154
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.004771789228569186
exponential	ngtdm	Busyness	11.561269227958384
exponential	ngtdm	Coarseness	0.01141262623011718
exponential	ngtdm	Complexity	4.794980418048327
exponential	ngtdm	Contrast	0.009712105627707978
exponential	ngtdm	Strength	0.6120488175020038
square	firstorder	10Percentile	14.776896223375857
square	firstorder	90Percentile	122.52291957170578
square	firstorder	Energy	110129317.3184547
square	firstorder	Entropy	2.679341153684254
square	firstorder	InterquartileRange	70.27314211996247
square	firstorder	Kurtosis	3.7768793669248057
square	firstorder	Maximum	279.17238721942283
square	firstorder	MeanAbsoluteDeviation	36.70753952356777
square	firstorder	Mean	68.87637271607909
square	firstorder	Median	65.4257473037766
square	firstorder	Minimum	0.0031335561022575024
square	firstorder	Range	279.16925366332055
square	firstorder	RobustMeanAbsoluteDeviation	28.296678926560336
square	firstorder	RootMeanSquared	371.4924808207216
square	firstorder	Skewness	0.6603986805638669
square	firstorder	TotalEnergy	110129317.3184547
square	firstorder	Uniformity	0.1708029472176682
square	firstorder	Variance	1936.884958162515
square	glcm	Autocorrelation	13.724273141841952
square	glcm	JointAverage	3.47099004874386
square	glcm	ClusterProminence	243.02047051551367
square	glcm	ClusterShade	6.676662597458011
square	glcm	ClusterTendency	9.096186567239052
square	glcm	Contrast	2.407203539374895
square	glcm	Correlation	0.5796699692263737
square	glcm	DifferenceAverage	1.1246040660832342
square	glcm	DifferenceEntropy	1.9361723419164458
square	glcm	DifferenceVariance	1.093038269097724
square	glcm	JointEnergy	0.0421237575574307
square	glcm	JointEntropy	4.937496655291936
square	glcm	Imc1	-0.15002757253240634
square	glcm	Imc2	0.7127127580462271
square	glcm	Idm	0.5574917251579904
square	glcm	Idmn	0.984250825187103
square	glcm	Id	0.5995393288809644
square	glcm	Idn	0.9199916608298498
square	glcm	InverseVariance	0.4339195780843139
square	glcm	MaximumProbability	0.08863551216836486
square	glcm	SumEntropy	3.4924067029669765
square	glcm	SumSquares	2.8758475266534864
square	glrlm	GrayLevelNonUniformity	100.45255578182484
square	glrlm	GrayLevelNonUniformityNormalized	0.16860594445093072
square	glrlm	GrayLevelVariance	3.275618989772574
square	glrlm	HighGrayLevelRunEmphasis	13.781988750600705
square	glrlm	LongRunEmphasis	2.4089496883710932
square	glrlm	LongRunHighGrayLevelEmphasis	32.009552940507476
square	glrlm	LongRunLowGrayLevelEmphasis	0.7713482654237933
square	glrlm	LowGrayLevelRunEmphasis	0.2890862695756561
square	glrlm	RunEntropy	3.724402188684044
square	glrlm	RunLengthNonUniformity	366.8402110628716
square	glrlm	RunLengthNonUniformityNormalized	0.6094761460946418
square	glrlm	RunPercentage	0.7459996144206671
square	glrlm	RunVariance	0.5557017394974126
square	glrlm	ShortRunEmphasis	0.8063537859251426
square	glrlm	ShortRunHighGrayLevelEmphasis	11.216713882063244
square	glrlm	ShortRunLowGrayLevelEmphasis	0.22640437345776362
square	glszm	GrayLevelNonUniformity	4.090909090909091
square	glszm	GrayLevelNonUniformityNormalized	0.12396694214876033
square	glszm	GrayLevelVariance	9.69880624426079
square	glszm	HighGrayLevelZoneEmphasis	39.121212121212125
square	glszm	LargeAreaEmphasis	2402.3030303030305
square	glszm	LargeAreaHighGrayLevelEmphasis	29546.121212121212
square	glszm	LargeAreaLowGrayLevelEmphasis	650.2658872325354
square	glszm	LowGrayLevelZoneEmphasis	0.204037957471809
square	glszm	SizeZoneNonUniformity	6.333333333333333
square	glszm	SizeZoneNonUniformityNormalized	0.1919191919191919
square	glszm	SmallAreaEmphasis	0.43096720208568495
square	glszm	SmallAreaHighGrayLevelEmphasis	25.610891322705562
square	glszm	SmallAreaLowGrayLevelEmphasis	0.0764905670915121
square	glszm	ZoneEntropy	4.7184884374747025
square	glszm	ZonePercentage	0.041353383458646614
square	glszm	ZoneVariance	1817.5426997245177
square	gldm	DependenceEntropy	6.148216474781009
square	gldm	DependenceNonUniformity	62.5062656641604
square	gldm	DependenceNonUniformityNormalized	0.07832865371448672
square	gldm	DependenceVariance	15.893317253032329
square	gldm	GrayLevelNonUniformity	136.30075187969925
square	gldm	GrayLevelVariance	3.1785604361781647
square	gldm	HighGrayLevelEmphasis	13.598997493734336
square	gldm	LargeDependenceEmphasis	73.71428571428571
square	gldm	LargeDependenceHighGrayLevelEmphasis	1024.248120300752
square	gldm	LargeDependenceLowGrayLevelEmphasis	25.377498147707954
square	gldm	LowGrayLevelEmphasis	0.3006587419372901
square	gldm	SmallDependenceEmphasis	0.05585726447693603
square	gldm	SmallDependenceHighGrayLevelEmphasis	1.5814972065403523
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.012842453065581263
square	ngtdm	Busyness	2.5649336646594794
square	ngtdm	Coarseness	0.01071789848391638
square	ngtdm	Complexity	51.405520603575
square	ngtdm	Contrast	0.04242700082184607
square	ngtdm	Strength	0.8895684053488564
squareroot	firstorder	10Percentile	158.8160549831069
squareroot	firstorder	90Percentile	269.49638879426044
squareroot	firstorder	Energy	218882222.25536442
squareroot	firstorder	Entropy	2.7592096318932295
squareroot	firstorder	InterquartileRange	66.62016211150899
squareroot	firstorder	Kurtosis	4.501533267284292
squareroot	firstorder	Maximum	331.10575637014136
squareroot	firstorder	MeanAbsoluteDeviation	36.72263633546902
squareroot	firstorder	Mean	221.8105929889997
squareroot	firstorder	Median	230.37517724678418
squareroot	firstorder	Minimum	-55.214347508226226
squareroot	firstorder	Range	386.3201038783676
squareroot	firstorder	RobustMeanAbsoluteDeviation	27.403238305755522
squareroot	firstorder	RootMeanSquared	523.7255951993111
squareroot	firstorder	Skewness	-0.8108892841594862
squareroot	firstorder	TotalEnergy	218882222.25536442
squareroot	firstorder	Uniformity	0.17346624707131234
squareroot	firstorder	Variance	2002.2041113411892
squareroot	glcm	Autocorrelation	161.934029249726
squareroot	glcm	JointAverage	12.66374521937787
squareroot	glcm	ClusterProminence	252.40078118569804
squareroot	glcm	ClusterShade	-18.424891939218607
squareroot	glcm	ClusterTendency	8.618065860293202
squareroot	glcm	Contrast	2.384015823692249
squareroot	glcm	Correlation	0.561896311457262
squareroot	glcm	DifferenceAverage	1.0940720857026327
squareroot	glcm	DifferenceEntropy	1.929343861854561
squareroot	glcm	DifferenceVariance	1.1447153881972971
squareroot	glcm	JointEnergy	0.059759991909289045
squareroot	glcm	JointEntropy	4.800498831616474
squareroot	glcm	Imc1	-0.1485820016193815
squareroot	glcm	Imc2	0.7020204191613529
squareroot	glcm	Idm	0.570819428094146
squareroot	glcm	Idmn	0.9920377277964312
squareroot	glcm	Id	0.6092187159328701
squareroot	glcm	Idn	0.9427271838683977
squareroot	glcm	InverseVariance	0.4428120980704767
squareroot	glcm	MaximumProbability	0.17224907481649862
squareroot	glcm	SumEntropy	3.421835592068684
squareroot	glcm	SumSquares	2.7505204209963625
squareroot	glrlm	GrayLevelNonUniformity	92.14363944678932
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.1564207798791399
squareroot	glrlm	GrayLevelVariance	3.5172387935688127
squareroot	glrlm	HighGrayLevelRunEmphasis	150.19136115807777
squareroot	glrlm	LongRunEmphasis	2.559137777658023
squareroot	glrlm	LongRunHighGrayLevelEmphasis	425.1835034606507
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.018419754076305375
squareroot	glrlm	LowGrayLevelRunEmphasis	0.009090081129200192
squareroot	glrlm	RunEntropy	3.814421087422303
squareroot	glrlm	RunLengthNonUniformity	368.52661242511374
squareroot	glrlm	RunLengthNonUniformityNormalized	0.6198648290486786
squareroot	glrlm	RunPercentage	0.7378060535955273
squareroot	glrlm	RunVariance	0.668064960667109
squareroot	glrlm	ShortRunEmphasis	0.8134131291305368
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	118.60086104536721
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.007911637894372391
squareroot	glszm	GrayLevelNonUniformity	9.03225806451613
squareroot	glszm	GrayLevelNonUniformityNormalized	0.14568158168574402
squareroot	glszm	GrayLevelVariance	7.570239334027054
squareroot	glszm	HighGrayLevelZoneEmphasis	118.83870967741936
squareroot	glszm	LargeAreaEmphasis	1383.774193548387
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	246522.9516129032
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	8.006269615554164
squareroot	glszm	LowGrayLevelZoneEmphasis	0.026504519930104685
squareroot	glszm	SizeZoneNonUniformity	14.193548387096774
squareroot	glszm	SizeZoneNonUniformityNormalized	0.22892819979188345
squareroot	glszm	SmallAreaEmphasis	0.48227668316199906
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	54.61042676767315
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.021659103916867723
squareroot	glszm	ZoneEntropy	4.915800497360995
squareroot	glszm	ZonePercentage	0.07769423558897243
squareroot	glszm	ZoneVariance	1218.1123829344433
squareroot	gldm	DependenceEntropy	6.141716714722575
squareroot	gldm	DependenceNonUniformity	56.528822055137844
squareroot	gldm	DependenceNonUniformityNormalized	0.07083812287611259
squareroot	gldm	DependenceVariance	27.984070451818766
squareroot	gldm	GrayLevelNonUniformity	138.42606516290726
squareroot	gldm	GrayLevelVariance	3.341431586485009
squareroot	gldm	HighGrayLevelEmphasis	156.41228070175438
squareroot	gldm	LargeDependenceEmphasis	89.09022556390977
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	16261.354636591479
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	0.5097767844199399
squareroot	gldm	LowGrayLevelEmphasis	0.008292799874847717
squareroot	gldm	SmallDependenceEmphasis	0.07922757834538965
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	9.975267975355438
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.0020168563345012557
squareroot	ngtdm	Busyness	0.42558986067326265
squareroot	ngtdm	Coarseness	0.011723718677005569
squareroot	ngtdm	Complexity	63.716087602936604
squareroot	ngtdm	Contrast	0.032182720722792095
squareroot	ngtdm	Strength	1.1822633465203072
logarithm	firstorder	10Percentile	256.4857729435563
logarithm	firstorder	90Percentile	319.1803628124931
logarithm	firstorder	Energy	281403246.04638356
logarithm	firstorder	Entropy	1.9273497745961516
logarithm	firstorder	InterquartileRange	35.713074823901536
logarithm	firstorder	Kurtosis	54.83396154526213
logarithm	firstorder	Maximum	343.70164439334695
logarithm	firstorder	MeanAbsoluteDeviation	21.49255781626414
logarithm	firstorder	Mean	293.0376160826916
logarithm	firstorder	Median	300.5313485105987
logarithm	firstorder	Minimum	-135.83389471825467
logarithm	firstorder	Range	479.5355391116016
logarithm	firstorder	RobustMeanAbsoluteDeviation	14.981299174205594
logarithm	firstorder	RootMeanSquared	593.83132847187
logarithm	firstorder	Skewness	-4.555105790709397
logarithm	firstorder	TotalEnergy	281403246.04638356
logarithm	firstorder	Uniformity	0.32734719003021334
logarithm	firstorder	Variance	942.032585624187
logarithm	glcm	Autocorrelation	338.41390922686634
logarithm	glcm	JointAverage	18.382603596723172
logarithm	glcm	ClusterProminence	176.20989654094498
logarithm	glcm	ClusterShade	-12.357933472357672
logarithm	glcm	ClusterTendency	3.0431999296118986
logarithm	glcm	Contrast	1.075124560089331
logarithm	glcm	Correlation	0.4733553492757301
logarithm	glcm	DifferenceAverage	0.5719861601938331
logarithm	glcm	DifferenceEntropy	1.3848667084921311
logarithm	glcm	DifferenceVariance	0.7389699094479512
logarithm	glcm	JointEnergy	0.20425470268268908
logarithm	glcm	JointEntropy	3.170970482185657
logarithm	glcm	Imc1	-0.16062255932506536
logarithm	glcm	Imc2	0.6238368480114738
logarithm	glcm	Idm	0.7488614884525736
logarithm	glcm	Idmn	0.9975322680545572
logarithm	glcm	Id	0.7607618458482842
logarithm	glcm	Idn	0.9736640300710473
logarithm	glcm	InverseVariance	0.37563943537310046
logarithm	glcm	MaximumProbability	0.4067716481924511
logarithm	glcm	SumEntropy	2.442197205024542
logarithm	glcm	SumSquares	1.0295811224253073
logarithm	glrlm	GrayLevelNonUniformity	115.83234861069823
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.25686773410918157
logarithm	glrlm	GrayLevelVariance	2.0976670215258317
logarithm	glrlm	HighGrayLevelRunEmphasis	321.4972645980983
logarithm	glrlm	LongRunEmphasis	5.327188243629316
logarithm	glrlm	LongRunHighGrayLevelEmphasis	1838.9024352902613
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.017837080186599442
logarithm	glrlm	LowGrayLevelRunEmphasis	0.005433762064138902
logarithm	glrlm	RunEntropy	3.568100982305625
logarithm	glrlm	RunLengthNonUniformity	206.9173520368048
logarithm	glrlm	RunLengthNonUniformityNormalized	0.4513380270010575
logarithm	glrlm	RunPercentage	0.5641025641025641
logarithm	glrlm	RunVariance	1.9881592107390689
logarithm	glrlm	ShortRunEmphasis	0.6943965755309937
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	216.99133681167842
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.004532502099252694
logarithm	glszm	GrayLevelNonUniformity	7.3428571428571425
logarithm	glszm	GrayLevelNonUniformityNormalized	0.20979591836734693
logarithm	glszm	GrayLevelVariance	11.049795918367346
logarithm	glszm	HighGrayLevelZoneEmphasis	264.3142857142857
logarithm	glszm	LargeAreaEmphasis	5626.914285714286
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	1969084.6857142858
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	16.166233393884454
logarithm	glszm	LowGrayLevelZoneEmphasis	0.032527556217431676
logarithm	glszm	SizeZoneNonUniformity	8.428571428571429
logarithm	glszm	SizeZoneNonUniformityNormalized	0.24081632653061225
logarithm	glszm	SmallAreaEmphasis	0.47717028306748466
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	108.70936262782251
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.030707214562355402
logarithm	glszm	ZoneEntropy	4.1287244452691345
logarithm	glszm	ZonePercentage	0.043859649122807015
logarithm	glszm	ZoneVariance	5107.074285714285
logarithm	gldm	DependenceEntropy	5.705294526152844
logarithm	gldm	DependenceNonUniformity	34.32581453634085
logarithm	gldm	DependenceNonUniformityNormalized	0.043014805183384526
logarithm	gldm	DependenceVariance	52.39515455304928
logarithm	gldm	GrayLevelNonUniformity	261.22305764411027
logarithm	gldm	GrayLevelVariance	1.538181292831075
logarithm	gldm	HighGrayLevelEmphasis	333.0701754385965
logarithm	gldm	LargeDependenceEmphasis	204.5062656641604
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	72343.79197994988
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	0.5815200530849071
logarithm	gldm	LowGrayLevelEmphasis	0.004300793148467948
logarithm	gldm	SmallDependenceEmphasis	0.04277353602970018
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	11.513971945294843
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.0014189555838045973
