Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_7_segment_Lt post Cerebllar	1: RTSTRUCT: RTstruct_7_segment_Rt inf Occipital	1: RTSTRUCT: RTstruct_7_segment_Lt inf Temporal	1: RTSTRUCT: RTstruct_7_segment_Lt lat Temporal
original	firstorder	10Percentile	151.31866707711268		175.18525708390095	155.33688967966714
original	firstorder	90Percentile	196.65758424100147		205.7253770629989	282.02986820602086
original	firstorder	Energy	1345931.592519068		960907.7218336641	14383821.363119647
original	firstorder	Entropy	1.7924812503605767		1.4999999999999991	2.9533938189450475
original	firstorder	InterquartileRange	28.56013198444552		26.261586609866526	73.91887525984009
original	firstorder	Kurtosis	1.7234303427172468		1.136929395515925	2.785083163068302
original	firstorder	Maximum	202.45405527569832		207.96556517862462	350.22483648910884
original	firstorder	MeanAbsoluteDeviation	15.75080553236558		14.31927479638643	42.49252583022534
original	firstorder	Mean	173.24762392265916		189.91264352286197	213.41018436481482
original	firstorder	Median	171.7666204498633		188.55595964639207	204.69832435592372
original	firstorder	Minimum	148.5807306383761		174.5730896200391	131.95232872765865
original	firstorder	Range	53.87332463732221		33.39247555858552	218.27250776145019
original	firstorder	RobustMeanAbsoluteDeviation	10.157877139217817		11.942311813480103	28.91298552254754
original	firstorder	RootMeanSquared	473.62636337783323		490.1295037624403	516.1076072680904
original	firstorder	Skewness	0.20276508927498588		0.08942034196430591	0.7275312461067717
original	firstorder	TotalEnergy	1797081.8469947297		1282999.6956326552	14383821.363119647
original	firstorder	Uniformity	0.33333333333333337		0.375	0.15089163237311382
original	firstorder	Variance	358.6185380687212		212.53217485720796	2777.0448704803425
original	glcm	Autocorrelation	6.125		4.75	21.363822303812995
original	glcm	JointAverage	2.552083333333333		2.25	4.541128886463874
original	glcm	ClusterProminence	3.415762442129631		1.28125	359.7238468089936
original	glcm	ClusterShade	0.6715856481481494		0.0	16.087901209534554
original	glcm	ClusterTendency	1.0815972222222223		0.625	11.737253255818871
original	glcm	Contrast	2.7291666666666665		2.0	8.906770443767963
original	glcm	Correlation	-0.42448593073593055		-0.5454545454545452	0.14852259622606173
original	glcm	DifferenceAverage	1.4791666666666667		1.25	2.3822869884036137
original	glcm	DifferenceEntropy	0.8545739585136218		0.4999999999999995	2.4573608918306524
original	glcm	DifferenceVariance	0.2899305555555556		0.125	2.9389028548102734
original	glcm	JointEnergy	0.22743055555555555		0.40625	0.03673546198137061
original	glcm	JointEntropy	2.1879072918469538		1.3749999999999991	5.008276895555341
original	glcm	Imc1	-0.7746546649609175		-0.9166666666666662	-0.34102243106815255
original	glcm	Imc2	0.9620783702782187		0.9411022862699828	0.9251044419689337
original	glcm	Idm	0.38541666666666663		0.44999999999999996	0.32743992683936274
original	glcm	Idmn	0.8654901960784314		0.8346153846153845	0.926744774361713
original	glcm	Id	0.453125		0.5	0.4104523118403133
original	glcm	Idn	0.7440476190476191		0.7250000000000001	0.8238126782687518
original	glcm	InverseVariance	0.532986111111111		0.59375	0.33558473459551397
original	glcm	MaximumProbability	0.2708333333333333		0.4375	0.07513647317617542
original	glcm	SumEntropy	1.0990601562950715		0.4999999999999995	3.3698300051702983
original	glcm	SumSquares	0.9526909722222222		0.65625	5.161005924896708
original	glrlm	GrayLevelNonUniformity	1.85		1.375	7.401862534074883
original	glrlm	GrayLevelNonUniformityNormalized	0.32		0.3645833333333333	0.14776958788628627
original	glrlm	GrayLevelVariance	0.9266666666666666		0.6822916666666666	4.9400324367646045
original	glrlm	HighGrayLevelRunEmphasis	6.45		5.479166666666667	21.562752637770718
original	glrlm	LongRunEmphasis	1.15		1.25	1.2555430544375525
original	glrlm	LongRunHighGrayLevelEmphasis	7.05		7.729166666666666	25.911027472075016
original	glrlm	LongRunLowGrayLevelEmphasis	0.36163194444444446		0.4172453703703704	0.20265885745041656
original	glrlm	LowGrayLevelRunEmphasis	0.3241319444444445		0.3894675925925926	0.17154362221090363
original	glrlm	RunEntropy	1.9248429614922726		1.5212406251802881	3.2508914522175667
original	glrlm	RunLengthNonUniformity	5.35		3.416666666666667	43.5419967264042
original	glrlm	RunLengthNonUniformityNormalized	0.92		0.8888888888888888	0.8657017530257408
original	glrlm	RunPercentage	0.9583333333333334		0.9375	0.9273504273504274
original	glrlm	RunVariance	0.04		0.05555555555555555	0.08433994018701894
original	glrlm	ShortRunEmphasis	0.9625		0.9375	0.9432473049931803
original	glrlm	ShortRunHighGrayLevelEmphasis	6.3		4.916666666666666	20.564077122283926
original	glrlm	ShortRunLowGrayLevelEmphasis	0.31475694444444446		0.38252314814814814	0.1643893517480735
original	glszm	GrayLevelNonUniformity	1.4		1.0	2.2222222222222223
original	glszm	GrayLevelNonUniformityNormalized	0.28		0.3333333333333333	0.12345679012345678
original	glszm	GrayLevelVariance	1.04		0.6666666666666666	7.3580246913580245
original	glszm	HighGrayLevelZoneEmphasis	6.8		4.666666666666667	28.11111111111111
original	glszm	LargeAreaEmphasis	1.6		2.0	17.333333333333332
original	glszm	LargeAreaHighGrayLevelEmphasis	9.2		13.666666666666666	273.1666666666667
original	glszm	LargeAreaLowGrayLevelEmphasis	0.4847222222222222		0.5648148148148148	2.2485679729710815
original	glszm	LowGrayLevelZoneEmphasis	0.33472222222222225		0.4537037037037037	0.22875252827468437
original	glszm	SizeZoneNonUniformity	3.4		1.6666666666666667	4.888888888888889
original	glszm	SizeZoneNonUniformityNormalized	0.68		0.5555555555555556	0.2716049382716049
original	glszm	SmallAreaEmphasis	0.85		0.75	0.5102970997857361
original	glszm	SmallAreaHighGrayLevelEmphasis	6.2		2.4166666666666665	17.372411775584126
original	glszm	SmallAreaLowGrayLevelEmphasis	0.2972222222222222		0.4259259259259259	0.14204582401886545
original	glszm	ZoneEntropy	2.321928094887361		1.5849625007211552	3.9477027792200854
original	glszm	ZonePercentage	0.8333333333333334		0.75	0.3333333333333333
original	glszm	ZoneVariance	0.16		0.2222222222222222	8.333333333333332
original	gldm	DependenceEntropy	2.2516291673878213		1.4999999999999991	4.405001335689737
original	gldm	DependenceNonUniformity	3.3333333333333335		2.0	11.555555555555555
original	gldm	DependenceNonUniformityNormalized	0.5555555555555556		0.5	0.2139917695473251
original	gldm	DependenceVariance	0.2222222222222222		0.25	1.876543209876543
original	gldm	GrayLevelNonUniformity	2.0		1.5	8.148148148148149
original	gldm	GrayLevelVariance	0.8888888888888888		0.6875	4.79320987654321
original	gldm	HighGrayLevelEmphasis	6.333333333333333		5.75	21.24074074074074
original	gldm	LargeDependenceEmphasis	2.0		2.5	10.222222222222221
original	gldm	LargeDependenceHighGrayLevelEmphasis	10.333333333333334		19.25	170.42592592592592
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.5706018518518519		0.5347222222222222	1.2295644922921156
original	gldm	LowGrayLevelEmphasis	0.32060185185185186		0.3680555555555556	0.16795304524416074
original	gldm	SmallDependenceEmphasis	0.75		0.625	0.26791666666666664
original	gldm	SmallDependenceHighGrayLevelEmphasis	5.333333333333333		2.375	7.70417695473251
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.25810185185185186		0.3263888888888889	0.06287604732393642
original	ngtdm	Busyness	0.39999999999999997		0.3	0.4647930471893563
original	ngtdm	Coarseness	0.46875		0.6666666666666666	0.08683164397288567
original	ngtdm	Complexity	6.633333333333333		3.1111111111111107	66.10893629166861
original	ngtdm	Contrast	0.18436213991769546		0.22916666666666666	0.17078532026697985
original	ngtdm	Strength	2.321428571428572		2.125	3.4948450540834664
exponential	firstorder	10Percentile	17.23129217644723		19.818747556164126	13.444195321920354
exponential	firstorder	90Percentile	40.60477195260038		33.408512323011614	111.95890028489943
exponential	firstorder	Energy	644968.626883292		425973.63124425965	7075940.831557589
exponential	firstorder	Entropy	0.9999999999999993		0.9999999999999993	2.3685470741600576
exponential	firstorder	InterquartileRange	14.013929414469608		11.413542757389774	45.26793460204037
exponential	firstorder	Kurtosis	1.962771648340679		1.2012353101369906	9.835234689966477
exponential	firstorder	Maximum	45.013129506358844		34.65107004091921	350.2248364891088
exponential	firstorder	MeanAbsoluteDeviation	8.59657663262059		6.31127749243314	44.941749636917336
exponential	firstorder	Mean	27.7099070036695		26.268863018640076	55.81769784671126
exponential	firstorder	Median	25.293656881960885		25.40694571627059	30.70932489263359
exponential	firstorder	Minimum	16.34493472385223		19.610490601099915	9.091172908243092
exponential	firstorder	Range	28.668194782506614		15.040579439819293	341.1336635808657
exponential	firstorder	RobustMeanAbsoluteDeviation	4.985534975445219		5.102265264956634	20.587330529486447
exponential	firstorder	RootMeanSquared	327.86395219239233		326.333277204555	361.98886906249
exponential	firstorder	Skewness	0.558548327703568		0.14478374094099947	2.5614936811938143
exponential	firstorder	TotalEnergy	861159.2280732206		568758.088644569	7075940.831557589
exponential	firstorder	Uniformity	0.5		0.5	0.2695473251028806
exponential	firstorder	Variance	100.9879988616345		42.03683558880474	4429.707224207032
exponential	glcm	Autocorrelation	2.458333333333333		2.125	11.319765549346815
exponential	glcm	JointAverage	1.59375		1.5	3.2424122451247137
exponential	glcm	ClusterProminence	0.20279947916666666		0.25	1967.722508916242
exponential	glcm	ClusterShade	0.0234375		0.0	128.13675203395104
exponential	glcm	ClusterTendency	0.27604166666666663		0.25	19.27534098085861
exponential	glcm	Contrast	0.6458333333333334		0.75	16.27455462472522
exponential	glcm	Correlation	-0.3999999999999996		-0.49999999999999956	0.1128475839050017
exponential	glcm	DifferenceAverage	0.6458333333333334		0.75	2.6928470927323285
exponential	glcm	DifferenceEntropy	0.682393489628405		-3.203426503814917e-16	2.7165459184622813
exponential	glcm	DifferenceVariance	0.16493055555555555		0.0	8.467116271726493
exponential	glcm	JointEnergy	0.3741319444444444		0.5	0.06355076581610405
exponential	glcm	JointEntropy	1.4948934896284047		0.9999999999999993	4.429681026828161
exponential	glcm	Imc1	-0.3992385269940125		-1.0	-0.3182707308835029
exponential	glcm	Imc2	0.6230536275571904		0.9298734950321936	0.8985897752845162
exponential	glcm	Idm	0.6770833333333333		0.625	0.39692708042663516
exponential	glcm	Idmn	0.8708333333333333		0.8500000000000001	0.945259051955949
exponential	glcm	Id	0.6770833333333333		0.625	0.46001520937852003
exponential	glcm	Idn	0.7847222222222222		0.7499999999999999	0.8680402982419106
exponential	glcm	InverseVariance	0.6458333333333334		0.75	0.3414681431177856
exponential	glcm	MaximumProbability	0.4270833333333333		0.5	0.1330148024409811
exponential	glcm	SumEntropy	0.8490601562950716		0.24999999999999958	3.246845618688762
exponential	glcm	SumSquares	0.23046875		0.25	8.887473901395957
exponential	glrlm	GrayLevelNonUniformity	2.55		1.75	11.986465010413387
exponential	glrlm	GrayLevelNonUniformityNormalized	0.51		0.5	0.25116857659720243
exponential	glrlm	GrayLevelVariance	0.245		0.25	8.169727179943742
exponential	glrlm	HighGrayLevelRunEmphasis	2.35		2.5	16.4763737565782
exponential	glrlm	LongRunEmphasis	1.675		1.75	1.4763748603385711
exponential	glrlm	LongRunHighGrayLevelEmphasis	4.4875		4.375	17.96618051788062
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.971875		1.09375	0.7849961791175436
exponential	glrlm	LowGrayLevelRunEmphasis	0.6625		0.625	0.4786394386233924
exponential	glrlm	RunEntropy	1.4354752972273335		0.9999999999999993	2.9384989165739617
exponential	glrlm	RunLengthNonUniformity	3.7		3.5	38.2118018513559
exponential	glrlm	RunLengthNonUniformityNormalized	0.7150000000000001		1.0	0.7940392022559094
exponential	glrlm	RunPercentage	0.8333333333333334		0.875	0.8817663817663818
exponential	glrlm	RunVariance	0.14250000000000002		0.0	0.16284825166161473
exponential	glrlm	ShortRunEmphasis	0.83125		0.8125	0.9080438343276159
exponential	glrlm	ShortRunHighGrayLevelEmphasis	1.8156249999999998		2.03125	16.160707293568347
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.58515625		0.5078125	0.42177588343624045
exponential	glszm	GrayLevelNonUniformity	1.6666666666666667		1.0	1.6153846153846154
exponential	glszm	GrayLevelNonUniformityNormalized	0.5555555555555556		0.5	0.1242603550295858
exponential	glszm	GrayLevelVariance	0.2222222222222222		0.25	14.745562130177516
exponential	glszm	HighGrayLevelZoneEmphasis	2.0		2.5	48.92307692307692
exponential	glszm	LargeAreaEmphasis	4.666666666666667		4.0	59.23076923076923
exponential	glszm	LargeAreaHighGrayLevelEmphasis	13.666666666666666		10.0	189.15384615384616
exponential	glszm	LargeAreaLowGrayLevelEmphasis	2.4166666666666665		2.5	42.30055375851101
exponential	glszm	LowGrayLevelZoneEmphasis	0.75		0.625	0.13544692090417199
exponential	glszm	SizeZoneNonUniformity	1.0		2.0	5.461538461538462
exponential	glszm	SizeZoneNonUniformityNormalized	0.3333333333333333		1.0	0.42011834319526625
exponential	glszm	SmallAreaEmphasis	0.4537037037037037		0.25	0.6521688144557463
exponential	glszm	SmallAreaHighGrayLevelEmphasis	0.5648148148148148		0.625	45.29195914565233
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.4259259259259259		0.15625	0.025588974023261088
exponential	glszm	ZoneEntropy	1.5849625007211552		0.9999999999999993	3.546593564294935
exponential	glszm	ZonePercentage	0.5		0.5	0.24074074074074073
exponential	glszm	ZoneVariance	0.6666666666666666		0.0	41.97633136094675
exponential	gldm	DependenceEntropy	1.4591479170272437		0.9999999999999993	4.3272285405004824
exponential	gldm	DependenceNonUniformity	2.3333333333333335		4.0	7.555555555555555
exponential	gldm	DependenceNonUniformityNormalized	0.3888888888888889		1.0	0.13991769547325103
exponential	gldm	DependenceVariance	0.5555555555555556		0.0	4.253772290809327
exponential	gldm	GrayLevelNonUniformity	3.0		2.0	14.555555555555555
exponential	gldm	GrayLevelVariance	0.25		0.25	7.42283950617284
exponential	gldm	HighGrayLevelEmphasis	2.5		2.5	14.833333333333334
exponential	gldm	LargeDependenceEmphasis	6.0		4.0	20.85185185185185
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	19.5		10.0	69.75925925925925
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	2.625		2.5	13.488260884250591
exponential	gldm	LowGrayLevelEmphasis	0.625		0.625	0.4976950406291937
exponential	gldm	SmallDependenceEmphasis	0.3055555555555555		0.25	0.2193494635508524
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.47222222222222215		0.625	11.370427479633829
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.2638888888888889		0.15625	0.03736627816570347
exponential	ngtdm	Busyness	1.9333333333333336		1.3333333333333335	1.5996170499625455
exponential	ngtdm	Coarseness	0.5172413793103448		0.7499999999999999	0.04525211767587007
exponential	ngtdm	Complexity	0.6444444444444445		0.6666666666666667	127.47175166795829
exponential	ngtdm	Contrast	0.16111111111111112		0.16666666666666669	0.2963883318587427
exponential	ngtdm	Strength	0.5172413793103448		0.7499999999999999	8.027460975667697
square	firstorder	10Percentile	75.33527810031282		89.6553823303049	68.89864513950093
square	firstorder	90Percentile	127.31212337580249		123.67011350287189	227.12034281417337
square	firstorder	Energy	962381.0341902506		660336.5456311338	10627015.935961232
square	firstorder	Entropy	1.7924812503605767		1.4999999999999991	3.160202893658257
square	firstorder	InterquartileRange	32.39578693242602		29.06311892023703	89.23806825415011
square	firstorder	Kurtosis	1.7759002433722089		1.1539091360152784	3.6922651471931496
square	firstorder	Maximum	134.81064396217377		126.34316290200941	350.22483648910884
square	firstorder	MeanAbsoluteDeviation	18.27497288778442		15.907007307987946	55.63892087702434
square	firstorder	Mean	99.89966404412586		105.98107326212558	137.97123055436774
square	firstorder	Median	97.05159065626226		104.27688662596856	119.64887890184485
square	firstorder	Minimum	72.60996071307969		89.0273568945558	49.71496947845258
square	firstorder	Range	62.200683249094084		37.31580600745362	300.50986701065625
square	firstorder	RobustMeanAbsoluteDeviation	11.519283281483393		13.156111612249084	35.737998723412815
square	firstorder	RootMeanSquared	400.49574158998047		406.3054717915862	443.61761845838527
square	firstorder	Skewness	0.3131538629067131		0.10460412369531515	1.1562088898999847
square	firstorder	TotalEnergy	1284966.8557065332		881678.4045019032	10627015.935961232
square	firstorder	Uniformity	0.33333333333333337		0.375	0.14197530864197527
square	firstorder	Variance	477.0977291036736		263.5045607160727	4977.792613382294
square	glcm	Autocorrelation	6.125		2.75	32.61984081858151
square	glcm	JointAverage	2.552083333333333		1.75	5.615433582066645
square	glcm	ClusterProminence	3.415762442129631		1.28125	1275.646039711753
square	glcm	ClusterShade	0.6715856481481494		0.0	62.92397693046991
square	glcm	ClusterTendency	1.0815972222222223		0.625	20.51130109830433
square	glcm	Contrast	2.7291666666666665		2.0	16.44123830715952
square	glcm	Correlation	-0.42448593073593055		-0.5454545454545452	0.12769927217901939
square	glcm	DifferenceAverage	1.4791666666666667		1.25	3.162111632530368
square	glcm	DifferenceEntropy	0.8545739585136218		0.4999999999999995	2.773080013421214
square	glcm	DifferenceVariance	0.2899305555555556		0.125	5.845895872223306
square	glcm	JointEnergy	0.22743055555555555		0.40625	0.03247168686795063
square	glcm	JointEntropy	2.1879072918469538		1.3749999999999991	5.168141836271989
square	glcm	Imc1	-0.7746546649609175		-0.9166666666666662	-0.4306854133239103
square	glcm	Imc2	0.9620783702782187		0.9411022862699828	0.967069677156126
square	glcm	Idm	0.38541666666666663		0.44999999999999996	0.2806625720056402
square	glcm	Idmn	0.8654901960784314		0.8346153846153845	0.9314081286386826
square	glcm	Id	0.453125		0.5	0.36423933022379323
square	glcm	Idn	0.7440476190476191		0.7250000000000001	0.8323370403134125
square	glcm	InverseVariance	0.532986111111111		0.59375	0.3086376504041841
square	glcm	MaximumProbability	0.2708333333333333		0.4375	0.07106300035270258
square	glcm	SumEntropy	1.0990601562950715		0.4999999999999995	3.5463824214428974
square	glcm	SumSquares	0.9526909722222222		0.65625	9.238134851365961
square	glrlm	GrayLevelNonUniformity	1.85		1.375	7.066718471914835
square	glrlm	GrayLevelNonUniformityNormalized	0.32		0.3645833333333333	0.13869628836627435
square	glrlm	GrayLevelVariance	0.9266666666666666		0.6822916666666666	8.518068564293328
square	glrlm	HighGrayLevelRunEmphasis	6.45		3.979166666666667	33.66310158581439
square	glrlm	LongRunEmphasis	1.15		1.25	1.1927218825455825
square	glrlm	LongRunHighGrayLevelEmphasis	7.05		4.229166666666667	38.22608370408315
square	glrlm	LongRunLowGrayLevelEmphasis	0.36163194444444446		0.8061342592592592	0.11602424158681986
square	glrlm	LowGrayLevelRunEmphasis	0.3241319444444445		0.5561342592592592	0.10100452715829769
square	glrlm	RunEntropy	1.9248429614922726		1.5212406251802881	3.4058396369791666
square	glrlm	RunLengthNonUniformity	5.35		3.416666666666667	45.53414161779482
square	glrlm	RunLengthNonUniformityNormalized	0.92		0.8888888888888888	0.8915164979439566
square	glrlm	RunPercentage	0.9583333333333334		0.9375	0.9430199430199431
square	glrlm	RunVariance	0.04		0.05555555555555555	0.06285553307930383
square	glrlm	ShortRunEmphasis	0.9625		0.9375	0.9553807829248578
square	glrlm	ShortRunHighGrayLevelEmphasis	6.3		3.916666666666667	32.58289736678851
square	glrlm	ShortRunLowGrayLevelEmphasis	0.31475694444444446		0.4936342592592593	0.09751867104246183
square	glszm	GrayLevelNonUniformity	1.4		1.0	2.4545454545454546
square	glszm	GrayLevelNonUniformityNormalized	0.28		0.3333333333333333	0.1115702479338843
square	glszm	GrayLevelVariance	1.04		0.6666666666666666	13.231404958677686
square	glszm	HighGrayLevelZoneEmphasis	6.8		4.666666666666667	45.0
square	glszm	LargeAreaEmphasis	1.6		2.0	13.727272727272727
square	glszm	LargeAreaHighGrayLevelEmphasis	9.2		5.666666666666667	281.1363636363636
square	glszm	LargeAreaLowGrayLevelEmphasis	0.4847222222222222		1.4537037037037035	1.2060784974068377
square	glszm	LowGrayLevelZoneEmphasis	0.33472222222222225		0.4537037037037037	0.1309312201137516
square	glszm	SizeZoneNonUniformity	3.4		1.6666666666666667	8.363636363636363
square	glszm	SizeZoneNonUniformityNormalized	0.68		0.5555555555555556	0.38016528925619836
square	glszm	SmallAreaEmphasis	0.85		0.75	0.619172278338945
square	glszm	SmallAreaHighGrayLevelEmphasis	6.2		4.416666666666667	31.86966049382716
square	glszm	SmallAreaLowGrayLevelEmphasis	0.2972222222222222		0.20370370370370372	0.10039005174446439
square	glszm	ZoneEntropy	2.321928094887361		1.5849625007211552	4.06148218672077
square	glszm	ZonePercentage	0.8333333333333334		0.75	0.4074074074074074
square	glszm	ZoneVariance	0.16		0.2222222222222222	7.702479338842974
square	gldm	DependenceEntropy	2.2516291673878213		1.4999999999999991	4.442038372726773
