Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_31_segment_Lt Frontal
original	shape	MinorAxisLength	3.1458514520977285
original	shape	Sphericity	0.8408370334786318
original	shape	SurfaceArea	42.64974308223995
original	shape	SurfaceVolumeRatio	2.1120307162535483
original	shape	VoxelVolume	27.14035087719298
original	firstorder	10Percentile	32.21720972421058
original	firstorder	90Percentile	137.21407150119236
original	firstorder	Energy	2022375.2310041662
original	firstorder	Entropy	2.155968102145906
original	firstorder	InterquartileRange	64.53528077193869
original	firstorder	Kurtosis	1.8943144946968324
original	firstorder	Maximum	149.19672001350904
original	firstorder	MeanAbsoluteDeviation	34.012296455766524
original	firstorder	Mean	77.98619354529457
original	firstorder	Median	70.80115167341884
original	firstorder	Minimum	28.991075648585067
original	firstorder	Range	120.20564436492397
original	firstorder	RobustMeanAbsoluteDeviation	23.59051005083382
original	firstorder	RootMeanSquared	380.0728530731374
original	firstorder	Skewness	0.4854843214631053
original	firstorder	TotalEnergy	3920569.526771234
original	firstorder	Uniformity	0.24489795918367346
original	firstorder	Variance	1581.811132293824
original	glcm	Autocorrelation	7.201388888888889
original	glcm	JointAverage	2.5834911616161613
original	glcm	ClusterProminence	51.76562024737274
original	glcm	ClusterShade	4.2533701358870095
original	glcm	ClusterTendency	5.106315739009869
original	glcm	Contrast	3.0170905483405486
original	glcm	Correlation	0.2083247100462429
original	glcm	DifferenceAverage	1.4456619769119767
original	glcm	DifferenceEntropy	1.3078239103845344
original	glcm	DifferenceVariance	0.4672209022689271
original	glcm	JointEnergy	0.14044783767118724
original	glcm	JointEntropy	3.009655397198591
original	glcm	Imc1	-0.6126125110367283
original	glcm	Imc2	0.9614987459849157
original	glcm	Idm	0.43431186868686866
original	glcm	Idmn	0.9017956948674494
original	glcm	Id	0.49951524170274175
original	glcm	Idn	0.7936456937573009
original	glcm	InverseVariance	0.4442703322911656
original	glcm	MaximumProbability	0.1995400432900433
original	glcm	SumEntropy	2.016560086815919
original	glcm	SumSquares	2.030851571837604
original	glrlm	GrayLevelNonUniformity	2.9047619047619047
original	glrlm	GrayLevelNonUniformityNormalized	0.23922902494331066
original	glrlm	GrayLevelVariance	2.242205215419501
original	glrlm	HighGrayLevelRunEmphasis	9.208333333333334
original	glrlm	LongRunEmphasis	2.583333333333333
original	glrlm	LongRunHighGrayLevelEmphasis	20.166666666666664
original	glrlm	LongRunLowGrayLevelEmphasis	1.459589947089947
original	glrlm	LowGrayLevelRunEmphasis	0.4011177248677249
original	glrlm	RunEntropy	2.263216701789718
original	glrlm	RunLengthNonUniformity	10.916666666666666
original	glrlm	RunLengthNonUniformityNormalized	0.8194444444444444
original	glrlm	RunPercentage	0.8571428571428572
original	glrlm	RunVariance	0.4722222222222222
original	glrlm	ShortRunEmphasis	0.860462962962963
original	glrlm	ShortRunHighGrayLevelEmphasis	7.836157407407407
original	glrlm	ShortRunLowGrayLevelEmphasis	0.3483515211640212
original	glszm	GrayLevelNonUniformity	1.3333333333333333
original	glszm	GrayLevelNonUniformityNormalized	0.2222222222222222
original	glszm	GrayLevelVariance	1.8055555555555554
original	glszm	HighGrayLevelZoneEmphasis	9.833333333333334
original	glszm	LargeAreaEmphasis	7.333333333333333
original	glszm	LargeAreaHighGrayLevelEmphasis	53.666666666666664
original	glszm	LargeAreaLowGrayLevelEmphasis	4.51949074074074
original	glszm	LowGrayLevelZoneEmphasis	0.2856018518518519
original	glszm	SizeZoneNonUniformity	1.6666666666666667
original	glszm	SizeZoneNonUniformityNormalized	0.2777777777777778
original	glszm	SmallAreaEmphasis	0.4418518518518519
original	glszm	SmallAreaHighGrayLevelEmphasis	4.34462962962963
original	glszm	SmallAreaLowGrayLevelEmphasis	0.07453703703703703
original	glszm	ZoneEntropy	2.5849625007211543
original	glszm	ZonePercentage	0.42857142857142855
original	glszm	ZoneVariance	1.8888888888888888
original	gldm	DependenceEntropy	2.8962915290459255
original	gldm	DependenceNonUniformity	6.0
original	gldm	DependenceNonUniformityNormalized	0.42857142857142855
original	gldm	DependenceVariance	0.40816326530612246
original	gldm	GrayLevelNonUniformity	3.4285714285714284
original	gldm	GrayLevelVariance	2.387755102040816
original	gldm	HighGrayLevelEmphasis	9.0
original	gldm	LargeDependenceEmphasis	5.0
original	gldm	LargeDependenceHighGrayLevelEmphasis	41.714285714285715
original	gldm	LargeDependenceLowGrayLevelEmphasis	2.777242063492064
original	gldm	LowGrayLevelEmphasis	0.4396230158730159
original	gldm	SmallDependenceEmphasis	0.3174603174603175
original	gldm	SmallDependenceHighGrayLevelEmphasis	3.043650793650794
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.09648809523809523
original	ngtdm	Busyness	0.5010998964803313
original	ngtdm	Coarseness	0.30367979341510654
original	ngtdm	Complexity	9.726864067055393
original	ngtdm	Contrast	0.22450177009579336
original	ngtdm	Strength	3.4729130867323863
exponential	firstorder	10Percentile	1.8397983057961829
exponential	firstorder	90Percentile	13.305861915066778
exponential	firstorder	Energy	1309668.1465303819
exponential	firstorder	Entropy	-3.203426503814917e-16
exponential	firstorder	InterquartileRange	5.7699494596442324
exponential	firstorder	Kurtosis	2.908485952150924
exponential	firstorder	Maximum	16.53027521385722
exponential	firstorder	MeanAbsoluteDeviation	3.9345168900669982
exponential	firstorder	Mean	5.819111779004409
exponential	firstorder	Median	3.7857561617019195
exponential	firstorder	Minimum	1.7247628946025177
exponential	firstorder	Range	14.805512319254701
exponential	firstorder	RobustMeanAbsoluteDeviation	2.2095863159634197
exponential	firstorder	RootMeanSquared	305.8557253872651
exponential	firstorder	Skewness	1.1454932818687251
exponential	firstorder	TotalEnergy	2538918.0735369683
exponential	firstorder	Uniformity	1.0
exponential	firstorder	Variance	22.39562287093768
exponential	glcm	Autocorrelation	1.0
exponential	glcm	JointAverage	1.0
exponential	glcm	ClusterProminence	0.0
exponential	glcm	ClusterShade	0.0
exponential	glcm	ClusterTendency	0.0
exponential	glcm	Contrast	0.0
exponential	glcm	Correlation	1.0
exponential	glcm	DifferenceAverage	0.0
exponential	glcm	DifferenceEntropy	-3.203426503814917e-16
exponential	glcm	DifferenceVariance	0.0
exponential	glcm	JointEnergy	1.0
exponential	glcm	JointEntropy	-3.203426503814917e-16
exponential	glcm	Imc1	0.0
exponential	glcm	Imc2	0.0
exponential	glcm	Idm	1.0
exponential	glcm	Idmn	1.0
exponential	glcm	Id	1.0
exponential	glcm	Idn	1.0
exponential	glcm	InverseVariance	0.0
exponential	glcm	MaximumProbability	1.0
exponential	glcm	SumEntropy	-3.203426503814917e-16
exponential	glcm	SumSquares	0.0
exponential	glrlm	GrayLevelNonUniformity	5.25
exponential	glrlm	GrayLevelNonUniformityNormalized	1.0
exponential	glrlm	GrayLevelVariance	0.0
exponential	glrlm	HighGrayLevelRunEmphasis	1.0
exponential	glrlm	LongRunEmphasis	10.142857142857142
exponential	glrlm	LongRunHighGrayLevelEmphasis	10.142857142857142
exponential	glrlm	LongRunLowGrayLevelEmphasis	10.142857142857142
exponential	glrlm	LowGrayLevelRunEmphasis	1.0
exponential	glrlm	RunEntropy	1.164007138357979
exponential	glrlm	RunLengthNonUniformity	2.4571428571428573
exponential	glrlm	RunLengthNonUniformityNormalized	0.49284580498866215
exponential	glrlm	RunPercentage	0.375
exponential	glrlm	RunVariance	0.3773015873015873
exponential	glrlm	ShortRunEmphasis	0.22913690476190474
exponential	glrlm	ShortRunHighGrayLevelEmphasis	0.22913690476190474
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.22913690476190474
exponential	glszm	GrayLevelNonUniformity	1.0
exponential	glszm	GrayLevelNonUniformityNormalized	1.0
exponential	glszm	GrayLevelVariance	0.0
exponential	glszm	HighGrayLevelZoneEmphasis	1.0
exponential	glszm	LargeAreaEmphasis	196.0
exponential	glszm	LargeAreaHighGrayLevelEmphasis	196.0
exponential	glszm	LargeAreaLowGrayLevelEmphasis	196.0
exponential	glszm	LowGrayLevelZoneEmphasis	1.0
exponential	glszm	SizeZoneNonUniformity	1.0
exponential	glszm	SizeZoneNonUniformityNormalized	1.0
exponential	glszm	SmallAreaEmphasis	0.00510204081632653
exponential	glszm	SmallAreaHighGrayLevelEmphasis	0.00510204081632653
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.00510204081632653
exponential	glszm	ZoneEntropy	-3.203426503814917e-16
exponential	glszm	ZonePercentage	0.07142857142857142
exponential	glszm	ZoneVariance	0.0
exponential	gldm	DependenceEntropy	2.0741647430225734
exponential	gldm	DependenceNonUniformity	3.857142857142857
exponential	gldm	DependenceNonUniformityNormalized	0.2755102040816326
exponential	gldm	DependenceVariance	2.571428571428571
exponential	gldm	GrayLevelNonUniformity	14.0
exponential	gldm	GrayLevelVariance	0.0
exponential	gldm	HighGrayLevelEmphasis	1.0
exponential	gldm	LargeDependenceEmphasis	38.57142857142857
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	38.57142857142857
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	38.57142857142857
exponential	gldm	LowGrayLevelEmphasis	1.0
exponential	gldm	SmallDependenceEmphasis	0.03389164462081129
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.03389164462081129
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.03389164462081129
exponential	ngtdm	Busyness	0.0
exponential	ngtdm	Coarseness	1000000.0
exponential	ngtdm	Complexity	0.0
exponential	ngtdm	Contrast	0.0
exponential	ngtdm	Strength	0.0
square	firstorder	10Percentile	3.484395714274541
square	firstorder	90Percentile	62.07812553235276
square	firstorder	Energy	1488204.3364433504
square	firstorder	Entropy	1.0949143184120964
square	firstorder	InterquartileRange	33.51229803018415
square	firstorder	Kurtosis	2.371312967777544
square	firstorder	Maximum	73.20353678214248
square	firstorder	MeanAbsoluteDeviation	19.510886314398793
square	firstorder	Mean	25.20284690021086
square	firstorder	Median	16.486014302284712
square	firstorder	Minimum	2.764026302134679
square	firstorder	Range	70.4395104800078
square	firstorder	RobustMeanAbsoluteDeviation	12.592280567057617
square	firstorder	RootMeanSquared	326.03728275452426
square	firstorder	Skewness	0.9036191059100539
square	firstorder	TotalEnergy	2885027.7048594775
square	firstorder	Uniformity	0.5612244897959183
square	firstorder	Variance	543.4181139516103
square	glcm	Autocorrelation	2.0690386002886005
square	glcm	JointAverage	1.4208829365079365
square	glcm	ClusterProminence	4.920187984304387
square	glcm	ClusterShade	1.4647661292943974
square	glcm	ClusterTendency	1.3004160260484667
square	glcm	Contrast	1.1115169552669553
square	glcm	Correlation	0.028729538249674683
square	glcm	DifferenceAverage	0.6144931457431457
square	glcm	DifferenceEntropy	1.143890914447661
square	glcm	DifferenceVariance	0.6392590012550781
square	glcm	JointEnergy	0.41054052331446816
square	glcm	JointEntropy	1.6739467224487563
square	glcm	Imc1	-0.2872466007790059
square	glcm	Imc2	0.544997835534401
square	glcm	Idm	0.7424558080808081
square	glcm	Idmn	0.9117878649128649
square	glcm	Id	0.7755907287157288
square	glcm	Idn	0.8712279040404041
square	glcm	InverseVariance	0.17959731240981242
square	glcm	MaximumProbability	0.5885642135642135
square	glcm	SumEntropy	1.307965481467516
square	glcm	SumSquares	0.6029832453288555
square	glrlm	GrayLevelNonUniformity	3.647222222222222
square	glrlm	GrayLevelNonUniformityNormalized	0.43177469135802465
square	glrlm	GrayLevelVariance	0.7867515432098766
square	glrlm	HighGrayLevelRunEmphasis	3.7875
square	glrlm	LongRunEmphasis	5.516666666666667
square	glrlm	LongRunHighGrayLevelEmphasis	12.304166666666665
square	glrlm	LongRunLowGrayLevelEmphasis	4.704050925925926
square	glrlm	LowGrayLevelRunEmphasis	0.6318287037037037
square	glrlm	RunEntropy	1.6361307011238548
square	glrlm	RunLengthNonUniformity	4.113888888888889
square	glrlm	RunLengthNonUniformityNormalized	0.4802932098765432
square	glrlm	RunPercentage	0.5892857142857143
square	glrlm	RunVariance	0.8692283950617286
square	glrlm	ShortRunEmphasis	0.5702777777777778
square	glrlm	ShortRunHighGrayLevelEmphasis	2.9133333333333336
square	glrlm	ShortRunLowGrayLevelEmphasis	0.2514891975308642
square	glszm	GrayLevelNonUniformity	1.0
square	glszm	GrayLevelNonUniformityNormalized	0.3333333333333333
square	glszm	GrayLevelVariance	0.6666666666666666
square	glszm	HighGrayLevelZoneEmphasis	4.666666666666667
square	glszm	LargeAreaEmphasis	36.666666666666664
square	glszm	LargeAreaHighGrayLevelEmphasis	61.666666666666664
square	glszm	LargeAreaLowGrayLevelEmphasis	33.75
square	glszm	LowGrayLevelZoneEmphasis	0.4537037037037037
square	glszm	SizeZoneNonUniformity	1.0
square	glszm	SizeZoneNonUniformityNormalized	0.3333333333333333
square	glszm	SmallAreaEmphasis	0.3737037037037037
square	glszm	SmallAreaHighGrayLevelEmphasis	1.67
square	glszm	SmallAreaLowGrayLevelEmphasis	0.09078189300411522
square	glszm	ZoneEntropy	1.5849625007211552
square	glszm	ZonePercentage	0.21428571428571427
square	glszm	ZoneVariance	14.888888888888888
square	gldm	DependenceEntropy	1.9852281360342499
square	gldm	DependenceNonUniformity	4.142857142857143
square	gldm	DependenceNonUniformityNormalized	0.29591836734693877
square	gldm	DependenceVariance	2.9183673469387754
square	gldm	GrayLevelNonUniformity	7.857142857142857
square	gldm	GrayLevelVariance	0.6785714285714285
square	gldm	HighGrayLevelEmphasis	2.9285714285714284
square	gldm	LargeDependenceEmphasis	21.285714285714285
square	gldm	LargeDependenceHighGrayLevelEmphasis	31.214285714285715
square	gldm	LargeDependenceLowGrayLevelEmphasis	20.15277777777778
square	gldm	LowGrayLevelEmphasis	0.755952380952381
square	gldm	SmallDependenceEmphasis	0.14484126984126983
square	gldm	SmallDependenceHighGrayLevelEmphasis	0.7083333333333333
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.05246913580246913
square	ngtdm	Busyness	1.2761160714285713
square	ngtdm	Coarseness	0.3428371523526325
square	ngtdm	Complexity	1.7028721278721277
square	ngtdm	Contrast	0.11773060414642045
square	ngtdm	Strength	1.3135108642378697
squareroot	firstorder	10Percentile	98.73398957967008
squareroot	firstorder	90Percentile	204.196378485226
squareroot	firstorder	Energy	2842804.9363433123
squareroot	firstorder	Entropy	2.556656707462821
squareroot	firstorder	InterquartileRange	65.02406082240734
squareroot	firstorder	Kurtosis	1.771741830859915
squareroot	firstorder	Maximum	212.9967031261238
squareroot	firstorder	MeanAbsoluteDeviation	33.5472866186979
squareroot	firstorder	Mean	148.90588084719235
squareroot	firstorder	Median	146.72722874124972
squareroot	firstorder	Minimum	93.89131206286372
squareroot	firstorder	Range	119.10539106326009
squareroot	firstorder	RobustMeanAbsoluteDeviation	23.448085887766073
squareroot	firstorder	RootMeanSquared	450.61901363912034
squareroot	firstorder	Skewness	0.21518602321513028
squareroot	firstorder	TotalEnergy	5511051.674840982
squareroot	firstorder	Uniformity	0.173469387755102
squareroot	firstorder	Variance	1541.0055939000733
squareroot	glcm	Autocorrelation	12.430871212121211
squareroot	glcm	JointAverage	3.429405663780664
squareroot	glcm	ClusterProminence	71.81740127474131
squareroot	glcm	ClusterShade	2.2808027767696695
squareroot	glcm	ClusterTendency	5.968738864825849
squareroot	glcm	Contrast	3.313537157287157
squareroot	glcm	Correlation	0.24552187222912086
squareroot	glcm	DifferenceAverage	1.5903228715728714
squareroot	glcm	DifferenceEntropy	1.0796614518863394
squareroot	glcm	DifferenceVariance	0.34304352240972913
squareroot	glcm	JointEnergy	0.09619110834952285
squareroot	glcm	JointEntropy	3.4664109302673443
squareroot	glcm	Imc1	-0.6045176530656617
squareroot	glcm	Imc2	0.9729914448330272
squareroot	glcm	Idm	0.3771599927849928
squareroot	glcm	Idmn	0.9199834981084982
squareroot	glcm	Id	0.4583107864357865
squareroot	glcm	Idn	0.8019765039854326
squareroot	glcm	InverseVariance	0.40107298180214845
squareroot	glcm	MaximumProbability	0.14019660894660896
squareroot	glcm	SumEntropy	2.377401600283875
squareroot	glcm	SumSquares	2.320569005528252
squareroot	glrlm	GrayLevelNonUniformity	2.196428571428571
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.1769770408163265
squareroot	glrlm	GrayLevelVariance	2.6147161989795915
squareroot	glrlm	HighGrayLevelRunEmphasis	14.352678571428573
squareroot	glrlm	LongRunEmphasis	1.625
squareroot	glrlm	LongRunHighGrayLevelEmphasis	21.165178571428573
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.405595238095238
squareroot	glrlm	LowGrayLevelRunEmphasis	0.23046502976190478
squareroot	glrlm	RunEntropy	2.604992530597115
squareroot	glrlm	RunLengthNonUniformity	11.3125
squareroot	glrlm	RunLengthNonUniformityNormalized	0.8515625
squareroot	glrlm	RunPercentage	0.8928571428571428
squareroot	glrlm	RunVariance	0.109375
squareroot	glrlm	ShortRunEmphasis	0.8784722222222222
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	12.78844246031746
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.195363033234127
squareroot	glszm	GrayLevelNonUniformity	1.5
squareroot	glszm	GrayLevelNonUniformityNormalized	0.1875
squareroot	glszm	GrayLevelVariance	2.484375
squareroot	glszm	HighGrayLevelZoneEmphasis	15.625
squareroot	glszm	LargeAreaEmphasis	3.5
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	42.875
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	0.9058333333333334
squareroot	glszm	LowGrayLevelZoneEmphasis	0.2053125
squareroot	glszm	SizeZoneNonUniformity	3.25
squareroot	glszm	SizeZoneNonUniformityNormalized	0.40625
squareroot	glszm	SmallAreaEmphasis	0.5138888888888888
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	9.368055555555555
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.06490451388888889
squareroot	glszm	ZoneEntropy	2.749999999999998
squareroot	glszm	ZonePercentage	0.5714285714285714
squareroot	glszm	ZoneVariance	0.4375
squareroot	gldm	DependenceEntropy	2.9502120649147443
squareroot	gldm	DependenceNonUniformity	7.857142857142857
squareroot	gldm	DependenceNonUniformityNormalized	0.5612244897959183
squareroot	gldm	DependenceVariance	0.26530612244897955
squareroot	gldm	GrayLevelNonUniformity	2.4285714285714284
squareroot	gldm	GrayLevelVariance	2.658163265306122
squareroot	gldm	HighGrayLevelEmphasis	13.928571428571429
squareroot	gldm	LargeDependenceEmphasis	3.7142857142857144
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	44.5
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	1.0037301587301586
squareroot	gldm	LowGrayLevelEmphasis	0.23884920634920634
squareroot	gldm	SmallDependenceEmphasis	0.40079365079365076
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	6.603174603174603
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.0674702380952381
squareroot	ngtdm	Busyness	0.2326152683295541
squareroot	ngtdm	Coarseness	0.47766043866774976
squareroot	ngtdm	Complexity	11.457142857142856
squareroot	ngtdm	Contrast	0.16176520778379377
squareroot	ngtdm	Strength	5.253842571029343
logarithm	firstorder	10Percentile	185.72149284182618
logarithm	firstorder	90Percentile	261.92208744263115
logarithm	firstorder	Energy	3871459.6540273507
logarithm	firstorder	Entropy	1.9852281360342503
logarithm	firstorder	InterquartileRange	45.9775793940191
logarithm	firstorder	Kurtosis	1.7881095637824143
logarithm	firstorder	Maximum	266.4118200099015
logarithm	firstorder	MeanAbsoluteDeviation	24.180281545211876
logarithm	firstorder	Mean	225.1117536221696
logarithm	firstorder	Median	227.17946692421123
logarithm	firstorder	Minimum	180.77607757490554
logarithm	firstorder	Range	85.63574243499593
logarithm	firstorder	RobustMeanAbsoluteDeviation	16.857911440264676
logarithm	firstorder	RootMeanSquared	525.8638915446895
logarithm	firstorder	Skewness	-0.07918877372056314
logarithm	firstorder	TotalEnergy	7505198.10122846
logarithm	firstorder	Uniformity	0.2551020408163265
logarithm	firstorder	Variance	790.4786383749193
logarithm	glcm	Autocorrelation	7.510326479076478
logarithm	glcm	JointAverage	2.6895968614718613
logarithm	glcm	ClusterProminence	14.397214686243753
logarithm	glcm	ClusterShade	-0.8360478742856721
logarithm	glcm	ClusterTendency	2.6527074285292627
logarithm	glcm	Contrast	1.5677759740259738
logarithm	glcm	Correlation	0.22886086091493033
logarithm	glcm	DifferenceAverage	1.0528950216450217
logarithm	glcm	DifferenceEntropy	0.7827817122318441
logarithm	glcm	DifferenceVariance	0.18131387799610205
logarithm	glcm	JointEnergy	0.16014182063627408
logarithm	glcm	JointEntropy	2.8461093337112966
logarithm	glcm	Imc1	-0.5052804426831116
logarithm	glcm	Imc2	0.9143107122634464
logarithm	glcm	Idm	0.5250405844155844
logarithm	glcm	Idmn	0.9168640183346065
logarithm	glcm	Id	0.5593659812409812
logarithm	glcm	Idn	0.806583694083694
logarithm	glcm	InverseVariance	0.6023741883116883
logarithm	glcm	MaximumProbability	0.2259199134199134
logarithm	glcm	SumEntropy	2.050654788256752
logarithm	glcm	SumSquares	1.0551208506388092
logarithm	glrlm	GrayLevelNonUniformity	3.0285714285714285
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.26132653061224487
logarithm	glrlm	GrayLevelVariance	1.1821938775510201
logarithm	glrlm	HighGrayLevelRunEmphasis	7.860714285714286
logarithm	glrlm	LongRunEmphasis	3.05
logarithm	glrlm	LongRunHighGrayLevelEmphasis	27.61071428571428
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.8894841269841272
logarithm	glrlm	LowGrayLevelRunEmphasis	0.3217757936507937
logarithm	glrlm	RunEntropy	2.069403125747528
logarithm	glrlm	RunLengthNonUniformity	10.85
logarithm	glrlm	RunLengthNonUniformityNormalized	0.8200000000000001
logarithm	glrlm	RunPercentage	0.8392857142857143
logarithm	glrlm	RunVariance	0.34
logarithm	glrlm	ShortRunEmphasis	0.8243055555555556
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	6.494394841269841
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.2598183283730159
logarithm	glszm	GrayLevelNonUniformity	1.4
logarithm	glszm	GrayLevelNonUniformityNormalized	0.28
logarithm	glszm	GrayLevelVariance	1.04
logarithm	glszm	HighGrayLevelZoneEmphasis	6.8
logarithm	glszm	LargeAreaEmphasis	9.2
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	85.8
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	2.6055555555555556
logarithm	glszm	LowGrayLevelZoneEmphasis	0.33472222222222225
logarithm	glszm	SizeZoneNonUniformity	1.4
logarithm	glszm	SizeZoneNonUniformityNormalized	0.28
logarithm	glszm	SmallAreaEmphasis	0.2972222222222222
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	1.3347222222222221
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.08689236111111112
logarithm	glszm	ZoneEntropy	2.321928094887361
logarithm	glszm	ZonePercentage	0.35714285714285715
logarithm	glszm	ZoneVariance	1.36
logarithm	gldm	DependenceEntropy	2.9502120649147443
logarithm	gldm	DependenceNonUniformity	6.428571428571429
logarithm	gldm	DependenceNonUniformityNormalized	0.45918367346938777
logarithm	gldm	DependenceVariance	0.3469387755102041
logarithm	gldm	GrayLevelNonUniformity	3.5714285714285716
logarithm	gldm	GrayLevelVariance	1.2295918367346936
logarithm	gldm	HighGrayLevelEmphasis	8.214285714285714
logarithm	gldm	LargeDependenceEmphasis	5.571428571428571
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	50.214285714285715
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	1.6974206349206349
logarithm	gldm	LowGrayLevelEmphasis	0.3174603174603175
logarithm	gldm	SmallDependenceEmphasis	0.25396825396825395
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	1.7619047619047616
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.07939263668430334
logarithm	ngtdm	Busyness	0.3660317460317461
logarithm	ngtdm	Coarseness	0.424978317432784
logarithm	ngtdm	Complexity	3.6262633624878524
logarithm	ngtdm	Contrast	0.13909583391179597
logarithm	ngtdm	Strength	2.1047356552242547
gradient	firstorder	10Percentile	28.10760612487793
gradient	firstorder	90Percentile	61.67902603149414
gradient	firstorder	Energy	1665971.0024247298
gradient	firstorder	Entropy	0.9402859586706304
gradient	firstorder	InterquartileRange	25.127704620361328
gradient	firstorder	Kurtosis	1.6822455886583514
gradient	firstorder	Maximum	66.74656677246094
