Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_27_segment_Rt Cerebellar	1: RTSTRUCT: ANON_27_segment_Lt Occipital	1: RTSTRUCT: ANON_27_segment_Rt Mesial Frontal
original	firstorder	10Percentile	203.49659962551223	248.62758410667905	262.89848539278455
original	firstorder	90Percentile	310.8038588666924	324.04280381454817	303.6587965676304
original	firstorder	Energy	1443862606.6283488	77247934.99088256	5528429.3419722365
original	firstorder	Entropy	2.5391024099530943	2.126688991685359	1.4999999999999991
original	firstorder	InterquartileRange	51.313215775827615	42.35326933141516	21.695813827021993
original	firstorder	Kurtosis	4.969446231515048	2.3920018458017496	2.0773173331983865
original	firstorder	Maximum	345.92815794776993	341.0639029412584	310.3037766626966
original	firstorder	MeanAbsoluteDeviation	35.61417923743237	22.403734207623366	13.825935458727319
original	firstorder	Mean	272.10762718308825	289.24259823315475	287.58752827483875
original	firstorder	Median	291.7288842354247	294.7748743553906	292.5270949844345
original	firstorder	Minimum	59.841519102240035	216.7385206333995	256.6518221572906
original	firstorder	Range	286.0866388455299	124.32538230785889	53.65195450540597
original	firstorder	RobustMeanAbsoluteDeviation	22.947223151187888	16.38478921801188	9.825301432572354
original	firstorder	RootMeanSquared	573.9541484349332	589.8844557454465	587.815305919525
original	firstorder	Skewness	-1.5324163159782938	-0.5484772814395137	-0.627194390038075
original	firstorder	TotalEnergy	1443862606.6283488	77247934.99088256	10611017.60797897
original	firstorder	Uniformity	0.22509109381761375	0.2632497362227092	0.375
original	firstorder	Variance	2116.227424605802	756.8315575426284	267.7304891303136
original	glcm	Autocorrelation	93.28215590771786	18.825930598148464	4.525757575757575
original	glcm	JointAverage	9.584820691455235	4.319404604687128	2.125757575757576
original	glcm	ClusterProminence	458.80507674779653	21.313370729535013	2.377748053917588
original	glcm	ClusterShade	-43.9478920760793	-2.494513282737952	-0.31392275370787764
original	glcm	ClusterTendency	9.024979618733312	2.635790945994219	0.9740817263544537
original	glcm	Contrast	3.3801874878360896	2.0149414754525834	0.9545454545454546
original	glcm	Correlation	0.4524288878144481	0.11107112255131901	0.027732724279629948
original	glcm	DifferenceAverage	1.247858400414026	1.0429584090970443	0.7628787878787879
original	glcm	DifferenceEntropy	2.1363001096156964	1.6888142961718347	1.1109277264086437
original	glcm	DifferenceVariance	1.787547553053959	0.7512709612601409	0.348578971533517
original	glcm	JointEnergy	0.08146532722897643	0.11153947155294662	0.18419679752066115
original	glcm	JointEntropy	4.6122364139888745	3.6132673386578986	2.6389457566210326
original	glcm	Imc1	-0.0795378971600118	-0.19740159715930716	-0.20550173209234535
original	glcm	Imc2	0.5329169894090235	0.6772856571530834	0.6282862962580784
original	glcm	Idm	0.5571024467744643	0.5745069956346722	0.6377272727272727
original	glcm	Idmn	0.9788118688541491	0.951602675425161	0.9133916083916085
original	glcm	Id	0.5983748397371706	0.6142669390897137	0.6505050505050505
original	glcm	Idn	0.9141904554554241	0.8670718482428929	0.8188636363636365
original	glcm	InverseVariance	0.4160361971383135	0.4318735283407087	0.5951704545454546
original	glcm	MaximumProbability	0.16467798019530597	0.2110802771246438	0.28162878787878787
original	glcm	SumEntropy	3.1596079533127246	2.5148853712497705	1.7645068124471737
original	glcm	SumSquares	3.101291776642351	1.1626831053617006	0.48215679522497706
original	glrlm	GrayLevelNonUniformity	582.0700398599467	39.94175925904646	4.513444888444889
original	glrlm	GrayLevelNonUniformityNormalized	0.18558417517677495	0.23611949056650733	0.3602729722547405
original	glrlm	GrayLevelVariance	3.992711639275626	1.4165226420700823	0.5373214430563331
original	glrlm	HighGrayLevelRunEmphasis	86.15056419863302	17.21732440570981	4.452984515484515
original	glrlm	LongRunEmphasis	2.850053907402125	3.136569538844593	1.958250083250083
original	glrlm	LongRunHighGrayLevelEmphasis	283.8367176764766	59.68796091384535	8.862595737595736
original	glrlm	LongRunLowGrayLevelEmphasis	0.0357572219481689	0.2310587134646682	0.7301379176379177
original	glrlm	LowGrayLevelRunEmphasis	0.01682424494281953	0.09754986023185525	0.42542353479853473
original	glrlm	RunEntropy	3.8168072098524197	3.041207346502344	2.2915319031813968
original	glrlm	RunLengthNonUniformity	1867.672516035556	114.85735776840897	7.871586746586747
original	glrlm	RunLengthNonUniformityNormalized	0.591956931670562	0.6438205652588389	0.621224495756214
original	glrlm	RunPercentage	0.7136137875357588	0.7546777546777547	0.78125
original	glrlm	RunVariance	0.8297556023060451	0.9048662786162076	0.2796511818739591
original	glrlm	ShortRunEmphasis	0.7965764644312683	0.8134972551373623	0.8088381525881525
original	glrlm	ShortRunHighGrayLevelEmphasis	65.1401235431666	13.411921194921877	3.5441844035594037
original	glrlm	ShortRunLowGrayLevelEmphasis	0.014578804378480581	0.08495183031986477	0.3613451074388574
original	glszm	GrayLevelNonUniformity	49.45429362880886	3.823529411764706	1.5
original	glszm	GrayLevelNonUniformityNormalized	0.13699250312689437	0.22491349480968859	0.375
original	glszm	GrayLevelVariance	4.9523407585884085	2.3460207612456747	0.6875
original	glszm	HighGrayLevelZoneEmphasis	51.99445983379501	13.588235294117647	3.75
original	glszm	LargeAreaEmphasis	10662.024930747923	696.4705882352941	22.0
original	glszm	LargeAreaHighGrayLevelEmphasis	1175441.5180055401	14346.117647058823	102.0
original	glszm	LargeAreaLowGrayLevelEmphasis	98.2804225019937	38.8689705882353	6.444444444444445
original	glszm	LowGrayLevelZoneEmphasis	0.035629176208188035	0.179640522875817	0.5902777777777778
original	glszm	SizeZoneNonUniformity	104.30193905817174	2.411764705882353	1.5
original	glszm	SizeZoneNonUniformityNormalized	0.288925038942304	0.14186851211072665	0.375
original	glszm	SmallAreaEmphasis	0.551381031309121	0.3010428425033971	0.14453125
original	glszm	SmallAreaHighGrayLevelEmphasis	28.85511320936877	2.905437741725075	0.28125
original	glszm	SmallAreaLowGrayLevelEmphasis	0.021230087331911677	0.05399962372135906	0.1277126736111111
original	glszm	ZoneEntropy	5.39163277084494	3.8521687236032753	1.4999999999999991
original	glszm	ZonePercentage	0.08236367784622405	0.07657657657657657	0.25
original	glszm	ZoneVariance	10514.614390620083	525.9377162629758	6.0
original	gldm	DependenceEntropy	6.044861084779497	5.222373627944743	2.524397470347697
original	gldm	DependenceNonUniformity	258.9028062970568	17.53153153153153	6.25
original	gldm	DependenceNonUniformityNormalized	0.05906977100092558	0.07897086275464654	0.390625
original	gldm	DependenceVariance	24.95254136902638	19.47845142439737	0.6875
original	gldm	GrayLevelNonUniformity	986.574264202601	58.44144144144144	6.0
original	gldm	GrayLevelVariance	3.5116750888008235	1.269458647837026	0.5
original	gldm	HighGrayLevelEmphasis	91.74218571754506	18.07207207207207	4.5
original	gldm	LargeDependenceEmphasis	96.28815879534565	73.91891891891892	8.25
original	gldm	LargeDependenceHighGrayLevelEmphasis	10536.699520876113	1635.6576576576576	38.125
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.929305133833967	3.869092842842843	2.5868055555555554
original	gldm	LowGrayLevelEmphasis	0.014993252447456164	0.08775400400400402	0.4027777777777778
original	gldm	SmallDependenceEmphasis	0.08340284544247603	0.06933911261770812	0.1643923611111111
original	gldm	SmallDependenceHighGrayLevelEmphasis	5.002581097367644	0.9446306902562922	0.6957638888888888
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.0025938287758639146	0.010134864853384665	0.081703800154321
original	ngtdm	Busyness	4.435371282852981	1.6564079270663061	0.9050595238095238
original	ngtdm	Coarseness	0.001442431273807401	0.024764404337736523	0.3682999013482407
original	ngtdm	Complexity	64.63281040716306	11.213893224670143	1.5446428571428572
original	ngtdm	Contrast	0.04853071862130114	0.06969112036815814	0.09654017857142856
original	ngtdm	Strength	0.14287020555544552	0.29834331869490993	0.7552986512524085
exponential	firstorder	10Percentile	22.842007609657223	59.62251236180191	99.72111807531421
exponential	firstorder	90Percentile	118.90995108852894	206.02908546974848	203.31030468779167
exponential	firstorder	Energy	633614222.8337495	41177491.03996691	3405129.533288148
exponential	firstorder	Entropy	2.4458929904440208	2.9154632412916497	2.702819531114781
exponential	firstorder	InterquartileRange	57.684461255501525	79.54048456768221	58.66524637690034
exponential	firstorder	Kurtosis	2.1832056086118716	2.2780487289449445	1.941808283073081
exponential	firstorder	Maximum	204.05205813109	272.5660853575279	228.3791719497406
exponential	firstorder	MeanAbsoluteDeviation	31.027065472776396	42.05555789461874	35.127942802256854
exponential	firstorder	Mean	78.48201148854017	127.61342230782569	159.4575070014253
exponential	firstorder	Median	88.68614370188958	127.33047760600064	167.42813655722009
exponential	firstorder	Minimum	2.5093320467143543	35.292964808985225	89.2979535276084
exponential	firstorder	Range	201.54272608437566	237.2731205485427	139.0812184221322
exponential	firstorder	RobustMeanAbsoluteDeviation	23.92227738163212	31.391116436473627	25.823208060389494
exponential	firstorder	RootMeanSquared	380.2127911581746	430.67875948753823	461.3248268091684
exponential	firstorder	Skewness	-0.3520790148065689	0.19344290372263223	-0.3094692767391277
exponential	firstorder	TotalEnergy	633614222.8337495	41177491.03996691	6535651.846149833
exponential	firstorder	Uniformity	0.2053873757469084	0.150718285853421	0.1640625
exponential	firstorder	Variance	1313.1335398781812	2630.9549359139432	1719.3950905444726
exponential	glcm	Autocorrelation	15.105651742802069	25.75434251366156	18.70530303030303
exponential	glcm	JointAverage	3.784637382389038	5.008081044242629	4.296212121212122
exponential	glcm	ClusterProminence	85.74811107954748	233.8969100794951	95.79735306571855
exponential	glcm	ClusterShade	-8.342671448407417	-1.6444738813274213	-8.835699863650273
exponential	glcm	ClusterTendency	5.6220244902785605	9.756032715902826	6.013558310376492
exponential	glcm	Contrast	2.5013742096869844	7.259065791605723	5.048484848484849
exponential	glcm	Correlation	0.3822368934527559	0.14235964375511145	0.09189991710831241
exponential	glcm	DifferenceAverage	1.1382842070590191	2.229979090473115	1.8113636363636365
exponential	glcm	DifferenceEntropy	1.9752192932503863	2.086464881544364	2.0687918811122374
exponential	glcm	DifferenceVariance	1.169744223863706	1.3118355493150469	1.7088774104683195
exponential	glcm	JointEnergy	0.06151334031261123	0.04850156902091928	0.06829115013774105
exponential	glcm	JointEntropy	4.594886153463662	4.924183856478789	3.9898656075863195
exponential	glcm	Imc1	-0.07986393859722672	-0.2929581318995048	-0.4468111637275645
exponential	glcm	Imc2	0.5294674959696665	0.8945706187703893	0.9468254863044646
exponential	glcm	Idm	0.5596629841805041	0.3345220036730374	0.39034210887152065
exponential	glcm	Idmn	0.9720495400403284	0.9363845469417161	0.916375642896788
exponential	glcm	Id	0.6005672268828577	0.4271110234613446	0.46164141414141413
exponential	glcm	Idn	0.8973836168343462	0.8304512285594419	0.8120364631160086
exponential	glcm	InverseVariance	0.4360363286379541	0.2537417620332762	0.411569234006734
exponential	glcm	MaximumProbability	0.13979461920637018	0.09695807236481989	0.11439393939393938
exponential	glcm	SumEntropy	3.117858809585643	3.195289285752707	2.6847009720213277
exponential	glcm	SumSquares	2.0308496749913862	4.253774626877138	2.7655107897153353
exponential	glrlm	GrayLevelNonUniformity	597.7885690653012	28.22675100700421	2.3239926739926737
exponential	glrlm	GrayLevelNonUniformityNormalized	0.18917661789675885	0.14629762347955186	0.16297937715520133
exponential	glrlm	GrayLevelVariance	2.2313965474201054	4.383581950882876	3.0334328918944307
exponential	glrlm	HighGrayLevelRunEmphasis	14.740941311865372	26.243827752863233	18.31007326007326
exponential	glrlm	LongRunEmphasis	2.7140913749992595	2.127058200749104	1.4186813186813185
exponential	glrlm	LongRunHighGrayLevelEmphasis	44.18272014706299	48.670882644750755	27.08672161172161
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.4908219447800803	0.2764195562101077	0.27223069187992655
exponential	glrlm	LowGrayLevelRunEmphasis	0.20068107625121143	0.12383002011348067	0.19693856733780202
exponential	glrlm	RunEntropy	3.6300082085069496	3.4072937451990124	2.8373070998719063
exponential	glrlm	RunLengthNonUniformity	1882.4478725168278	164.7310384248129	11.574908424908424
exponential	glrlm	RunLengthNonUniformityNormalized	0.5884642422224513	0.816014598031792	0.8085059507037529
exponential	glrlm	RunPercentage	0.7207918706892014	0.861053361053361	0.890625
exponential	glrlm	RunVariance	0.7232514730447703	0.5111758854094668	0.14456359269546082
exponential	glrlm	ShortRunEmphasis	0.7930856710263318	0.904588890883943	0.9166971916971917
exponential	glrlm	ShortRunHighGrayLevelEmphasis	11.352860171220899	23.899696233813263	16.650099206349207
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.16184756200064304	0.11193312415418868	0.17897023705697174
exponential	glszm	GrayLevelNonUniformity	37.526881720430104	3.774193548387097	1.8
exponential	glszm	GrayLevelNonUniformityNormalized	0.20175742860446294	0.12174817898022892	0.18
exponential	glszm	GrayLevelVariance	4.781969013758816	6.447450572320499	2.89
exponential	glszm	HighGrayLevelZoneEmphasis	20.059139784946236	30.806451612903224	18.1
exponential	glszm	LargeAreaEmphasis	18617.44623655914	153.93548387096774	3.4
exponential	glszm	LargeAreaHighGrayLevelEmphasis	340752.24731182796	3281.7419354838707	67.9
exponential	glszm	LargeAreaLowGrayLevelEmphasis	1848.384080757253	17.444465941693284	0.6181241496598638
exponential	glszm	LowGrayLevelZoneEmphasis	0.2528333859927882	0.1544135040515609	0.17479081632653062
exponential	glszm	SizeZoneNonUniformity	42.086021505376344	5.064516129032258	4.6
exponential	glszm	SizeZoneNonUniformityNormalized	0.226268932824604	0.16337148803329865	0.46
exponential	glszm	SmallAreaEmphasis	0.47429101032081367	0.3822058321623433	0.68125
exponential	glszm	SmallAreaHighGrayLevelEmphasis	10.070249859286795	16.359922777475404	12.68125
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.11410844998049165	0.05323778588014489	0.07520748299319728
exponential	glszm	ZoneEntropy	5.06283266850966	4.671780584510625	2.6464393446710135
exponential	glszm	ZonePercentage	0.04243668720054757	0.13963963963963963	0.625
exponential	glszm	ZoneVariance	18062.159816163723	102.65140478668053	0.84
exponential	gldm	DependenceEntropy	6.087054978716737	5.422242226419105	3.07781953111478
exponential	gldm	DependenceNonUniformity	293.7729865389003	29.333333333333332	5.625
exponential	gldm	DependenceNonUniformityNormalized	0.06702555020280636	0.13213213213213212	0.3515625
exponential	gldm	DependenceVariance	18.746988200162942	4.70578686794903	0.734375
exponential	gldm	GrayLevelNonUniformity	900.2128678986995	33.45945945945946	2.625
exponential	gldm	GrayLevelVariance	2.1695878789147023	4.358168979790602	3.05859375
exponential	gldm	HighGrayLevelEmphasis	15.336071184120465	25.46846846846847	18.5625
exponential	gldm	LargeDependenceEmphasis	86.9648642482318	25.98198198198198	4.25
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	1565.1060917180014	540.1081081081081	87.0625
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	14.395834364525506	3.312444103684183	0.7607720379818594
exponential	gldm	LowGrayLevelEmphasis	0.19389852566033808	0.12492906313342819	0.19660537131519273
exponential	gldm	SmallDependenceEmphasis	0.054282283216749924	0.1213292168302089	0.5021701388888888
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.8910356128283754	4.071785168104612	9.304253472222221
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.011815725217311418	0.015771686373549972	0.06815051020408164
exponential	ngtdm	Busyness	16.874186068740627	1.1873890161070833	0.1669407894736842
exponential	ngtdm	Coarseness	0.0015149771460583842	0.02212078113792049	0.31527093596059114
exponential	ngtdm	Complexity	32.757404808199084	61.35050296602422	23.978871173469386
exponential	ngtdm	Contrast	0.050997973844806685	0.14905124331094605	0.20865279217155613
exponential	ngtdm	Strength	0.05201153665200243	0.7860351569811357	4.3136491118728575
square	firstorder	10Percentile	106.81921953985461	172.87570445989846	208.4434445025583
square	firstorder	90Percentile	249.17696208985313	293.6562025562742	278.0614772059819
square	firstorder	Energy	1094313314.6670551	64218339.978666544	4856208.7092200015
square	firstorder	Entropy	2.869818795282331	2.6861448969430177	2.0524212838293634
square	firstorder	InterquartileRange	73.4603617896976	67.97321770751714	37.610371886481516
square	firstorder	Kurtosis	3.3956323729376687	2.239151357393687	2.033094955229114
square	firstorder	Maximum	308.6788763857213	325.3163208651744	290.36372007730864
square	firstorder	MeanAbsoluteDeviation	46.001215187925716	35.48626480135739	23.57511104260892
square	firstorder	Mean	196.45139058453034	236.08585805054187	250.21417811865808
square	firstorder	Median	219.53003374284913	243.0051065728576	258.06131841858183
square	firstorder	Minimum	9.237199038375136	131.37312974135682	198.63552982116053
square	firstorder	Range	299.4416773473462	193.9431911238176	91.72819025614811
square	firstorder	RobustMeanAbsoluteDeviation	32.01149707008383	26.28177178194142	16.924215053925398
square	firstorder	RootMeanSquared	499.6721066468102	537.8399406010167	550.9201796324492
square	firstorder	Skewness	-1.1042662780832169	-0.38927352437919227	-0.5672065245377182
square	firstorder	TotalEnergy	1094313314.6670551	64218339.978666544	9320787.683825487
square	firstorder	Uniformity	0.19114853194489798	0.17758298839379918	0.28125
square	firstorder	Variance	3208.230947547477	1883.7545039193988	777.4025234596382
square	glcm	Autocorrelation	76.56189187939516	28.924384721142452	13.880681818181818
square	glcm	JointAverage	8.623199195038264	5.329637589503198	3.7172348484848485
square	glcm	ClusterProminence	819.0883818011308	115.82923507902197	18.42910470131048
square	glcm	ClusterShade	-67.68807496367168	-9.435058757218398	-3.1930385970587443
square	glcm	ClusterTendency	13.895262233366147	6.530548440552551	2.57085342056933
square	glcm	Contrast	5.102110535980488	4.58100942318439	2.3299242424242426
square	glcm	Correlation	0.4604247016590654	0.1534741815209341	0.05456856267407985
square	glcm	DifferenceAverage	1.5473538576520267	1.681312474142977	1.1647727272727273
square	glcm	DifferenceEntropy	2.3985006284961328	1.992037598436315	1.7527737193485688
square	glcm	DifferenceVariance	2.649297748396717	1.209589258598093	0.9401876721763086
square	glcm	JointEnergy	0.07170131777681445	0.07398472023644412	0.12296286730945821
square	glcm	JointEntropy	5.244702097956327	4.332144959828824	3.2669651481036026
square	glcm	Imc1	-0.08242147555948647	-0.30509027899536767	-0.29384531796460184
square	glcm	Imc2	0.5697444559546596	0.878079368341245	0.8008994655636446
square	glcm	Idm	0.5136225570667523	0.4243818679158981	0.5305993761140819
square	glcm	Idmn	0.9730652034067818	0.9504422581254464	0.9259133504690201
square	glcm	Id	0.5659562561396395	0.4932525854886946	0.5694570707070707
square	glcm	Idn	0.903922428625536	0.8550697360027013	0.8304292929292929
square	glcm	InverseVariance	0.35328205237585275	0.3809707699446854	0.5203966750841751
square	glcm	MaximumProbability	0.23064758808342442	0.1330980123972642	0.20984848484848484
square	glcm	SumEntropy	3.515154255840846	2.928105863454878	2.174901459606646
square	glcm	SumSquares	4.749343192336659	2.7778894659342352	1.2251944157483932
square	glrlm	GrayLevelNonUniformity	431.72513707523353	31.881538908546823	3.249542124542124
square	glrlm	GrayLevelNonUniformityNormalized	0.13535793594189405	0.16854224198216788	0.2450862248252358
square	glrlm	GrayLevelVariance	5.866497260752613	3.2556700613151337	1.5220862013444432
square	glrlm	HighGrayLevelRunEmphasis	69.35162497688712	27.412546589175108	13.197344322344323
square	glrlm	LongRunEmphasis	2.888592159302318	2.5317302593532367	1.7532051282051282
square	glrlm	LongRunHighGrayLevelEmphasis	246.3488675910585	75.7357184987816	25.017857142857142
square	glrlm	LongRunLowGrayLevelEmphasis	0.05751710986281047	0.17804669381080748	0.23244232041107044
square	glrlm	LowGrayLevelRunEmphasis	0.031780859850714674	0.09437855692774702	0.17494632682132683
square	glrlm	RunEntropy	4.063620598648984	3.2897525912901546	2.5843431625570084
square	glrlm	RunLengthNonUniformity	2062.748063099065	158.48291025079627	9.83562271062271
square	glrlm	RunLengthNonUniformityNormalized	0.6436974213682081	0.7949339655253093	0.7368704631754082
square	glrlm	RunPercentage	0.7263553238912583	0.8385308385308383	0.828125
square	glrlm	RunVariance	0.9579283991471504	0.7106712358330394	0.27700123441881686
square	glrlm	ShortRunEmphasis	0.8275584558612239	0.8916158754156125	0.8760556573056573
square	glrlm	ShortRunHighGrayLevelEmphasis	54.21317736826773	24.44471579674189	11.271927146927146
square	glrlm	ShortRunLowGrayLevelEmphasis	0.028834644389129856	0.08472687060920955	0.16459463713369965
square	glszm	GrayLevelNonUniformity	61.04823747680891	4.0	1.75
square	glszm	GrayLevelNonUniformityNormalized	0.11326203613508146	0.13333333333333333	0.21875
square	glszm	GrayLevelVariance	7.187067372066046	5.712222222222222	1.859375
square	glszm	HighGrayLevelZoneEmphasis	48.204081632653065	25.366666666666667	11.625
square	glszm	LargeAreaEmphasis	5517.330241187384	254.6	7.75
