Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_segment_R atrium	1: RTSTRUCT: ANON_segment_L temporal
original	glrlm	LongRunEmphasis	2.943481885	2.499983317
original	glrlm	LongRunHighGrayLevelEmphasis	317.934554	44.66809413
original	glrlm	LongRunLowGrayLevelEmphasis	0.036809199	0.17984493
original	glrlm	LowGrayLevelRunEmphasis	0.014351865	0.09087121
original	glrlm	RunEntropy	4.294181047	3.065302424
original	glrlm	RunLengthNonUniformity	4609.226102	92.83410425
original	glrlm	RunLengthNonUniformityNormalized	0.568632586	0.578367427
original	glrlm	RunPercentage	0.696303179	0.728299224
original	glrlm	RunVariance	0.857309866	0.553619626
original	glrlm	ShortRunEmphasis	0.781975403	0.785076855
original	glrlm	ShortRunHighGrayLevelEmphasis	74.77710851	13.49978698
original	glrlm	ShortRunLowGrayLevelEmphasis	0.011658863	0.078119368
original	glszm	GrayLevelNonUniformity	55.61344538	5.32
original	glszm	GrayLevelNonUniformityNormalized	0.116834969	0.2128
original	glszm	GrayLevelVariance	7.1593814	2.4224
original	glszm	HighGrayLevelZoneEmphasis	73.7394958	12.92
original	glszm	LargeAreaEmphasis	34247.29412	569.36
original	glszm	LargeAreaHighGrayLevelEmphasis	4044594.616	10138.4
original	glszm	LargeAreaLowGrayLevelEmphasis	314.1556265	33.6578415
original	glszm	LowGrayLevelZoneEmphasis	0.025923336	0.223738549
original	glszm	SizeZoneNonUniformity	120.1344538	7.8
original	glszm	SizeZoneNonUniformityNormalized	0.252383306	0.312
original	glszm	SmallAreaEmphasis	0.515054902	0.573978387
original	glszm	SmallAreaHighGrayLevelEmphasis	36.79642971	5.760042939
original	glszm	SmallAreaLowGrayLevelEmphasis	0.013436968	0.180761539
original	glszm	ZoneEntropy	5.906153012	3.86346519
original	glszm	ZonePercentage	0.041069888	0.114678899
original	glszm	ZoneVariance	33654.433	493.3216
original	gldm	DependenceEntropy	6.932125425	5.048874706
original	gldm	DependenceNonUniformity	697.8976704	15.06422018
original	gldm	DependenceNonUniformityNormalized	0.060215502	0.069101927
original	gldm	DependenceVariance	26.70982962	19.03257302
original	gldm	GrayLevelNonUniformity	1742.591717	73.30275229
original	gldm	GrayLevelVariance	4.901445796	0.94571164
original	gldm	HighGrayLevelEmphasis	102.4711821	17.68807339
original	gldm	LargeDependenceEmphasis	105.8507334	84.06422018
original	gldm	LargeDependenceHighGrayLevelEmphasis	12145.67239	1505.798165
original	gldm	LargeDependenceLowGrayLevelEmphasis	1.199544432	4.95483261
original	gldm	LowGrayLevelEmphasis	0.013606006	0.082067211
original	gldm	SmallDependenceEmphasis	0.054895287	0.098747982
original	gldm	SmallDependenceHighGrayLevelEmphasis	4.478894916	1.203802564
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.001094304	0.023681639
original	ngtdm	Busyness	5.999978029	0.913686137
original	ngtdm	Coarseness	0.00097644	0.031543359
original	ngtdm	Complexity	63.54166484	12.39048381
original	ngtdm	Contrast	0.038500681	0.029734077
original	ngtdm	Strength	0.090595426	0.481863222
exponential	firstorder	10Percentile	8.559402792	13.76520577
exponential	firstorder	90Percentile	98.7209805	31.31128054
exponential	firstorder	Energy	1442308007	22855887.33
exponential	firstorder	Entropy	2.361891043	1.110432022
exponential	firstorder	InterquartileRange	49.70797176	10.26584511
exponential	firstorder	Kurtosis	4.151617879	16.47869862
exponential	firstorder	Maximum	248.9289952	92.86375294
exponential	firstorder	MeanAbsoluteDeviation	28.4630185	7.32105295
exponential	firstorder	Mean	50.94277144	23.57992501
exponential	firstorder	Median	45.34433202	21.43233115
exponential	firstorder	Minimum	0.81672181	4.68974752
exponential	firstorder	Range	248.1122734	88.17400542
exponential	firstorder	RobustMeanAbsoluteDeviation	20.28857801	4.324668601
exponential	firstorder	RootMeanSquared	352.7664618	323.7954908
exponential	firstorder	Skewness	0.954956211	3.027576983
exponential	firstorder	TotalEnergy	1442308007	22855887.33
exponential	firstorder	Uniformity	0.221931078	0.519106136
exponential	firstorder	Variance	1283.347772	139.5519879
exponential	glcm	Autocorrelation	8.156147202	2.154996253
exponential	glcm	JointAverage	2.62446095	1.452976564
exponential	glcm	ClusterProminence	158.6708881	3.414195928
exponential	glcm	ClusterShade	13.55637288	0.815203719
exponential	glcm	ClusterTendency	6.699492195	0.791666651
exponential	glcm	Contrast	1.626369603	0.617027335
exponential	glcm	Correlation	0.609634931	0.118809479
exponential	glcm	DifferenceAverage	0.815769437	0.501375908
exponential	glcm	DifferenceEntropy	1.720275087	1.157012364
exponential	glcm	DifferenceVariance	0.948488322	0.353820892
exponential	glcm	JointEnergy	0.075969893	0.260791937
exponential	glcm	JointEntropy	4.360548497	2.179914387
exponential	glcm	Imc1	-0.176877236	-0.062037943
exponential	glcm	Imc2	0.743628452	0.318622099
exponential	glcm	Idm	0.664864428	0.760877189
exponential	glcm	Idmn	0.985154118	0.966576741
exponential	glcm	Id	0.68868774	0.765314945
exponential	glcm	Idn	0.931303529	0.903205884
exponential	glcm	InverseVariance	0.412791175	0.431086329
exponential	glcm	MaximumProbability	0.173008058	0.366639715
exponential	glcm	SumEntropy	3.205661619	1.680086014
exponential	glcm	SumSquares	2.08146545	0.352173496
exponential	glrlm	GrayLevelNonUniformity	1400.396916	67.64245363
exponential	glrlm	GrayLevelNonUniformityNormalized	0.204096533	0.496589079
exponential	glrlm	GrayLevelVariance	2.25874551	0.446516636
exponential	glrlm	HighGrayLevelRunEmphasis	10.28598409	2.568162311
exponential	glrlm	LongRunEmphasis	4.997851283	3.857718187
exponential	glrlm	LongRunHighGrayLevelEmphasis	29.59255668	8.261905938
exponential	glrlm	LongRunLowGrayLevelEmphasis	2.621158783	2.874869405
exponential	glrlm	LowGrayLevelRunEmphasis	0.308156552	0.703857281
exponential	glrlm	RunEntropy	4.017951189	2.637938869
exponential	glrlm	RunLengthNonUniformity	3317.921939	62.24719312
exponential	glrlm	RunLengthNonUniformityNormalized	0.480470642	0.439270097
exponential	glrlm	RunPercentage	0.591604168	0.623853211
exponential	glrlm	RunVariance	2.080983582	0.897198698
exponential	glrlm	ShortRunEmphasis	0.719006097	0.663032105
exponential	glrlm	ShortRunHighGrayLevelEmphasis	8.126944479	1.865027528
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.198897312	0.452856035
exponential	glszm	GrayLevelNonUniformity	33.68879668	1.4
exponential	glszm	GrayLevelNonUniformityNormalized	0.139787538	0.28
exponential	glszm	GrayLevelVariance	5.497667051	1.04
exponential	glszm	HighGrayLevelZoneEmphasis	29.83817427	7.8
exponential	glszm	LargeAreaEmphasis	110086.9793	4933.6
exponential	glszm	LargeAreaHighGrayLevelEmphasis	590997	8182.2
exponential	glszm	LargeAreaLowGrayLevelEmphasis	47417.81629	4130.894444
exponential	glszm	LowGrayLevelZoneEmphasis	0.196726626	0.306944444
exponential	glszm	SizeZoneNonUniformity	67.14107884	1.4
exponential	glszm	SizeZoneNonUniformityNormalized	0.278593688	0.28
exponential	glszm	SmallAreaEmphasis	0.54513023	0.412547882
exponential	glszm	SmallAreaHighGrayLevelEmphasis	18.87023471	3.800160473
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.077963305	0.045245428
exponential	glszm	ZoneEntropy	5.339629672	1.921928095
exponential	glszm	ZonePercentage	0.020793788	0.02293578
exponential	glszm	ZoneVariance	107774.2074	3032.64
exponential	gldm	DependenceEntropy	6.606631429	4.761423492
exponential	gldm	DependenceNonUniformity	559.8093184	17.50458716
exponential	gldm	DependenceNonUniformityNormalized	0.048301063	0.080296271
exponential	gldm	DependenceVariance	42.17474738	14.93317061
exponential	gldm	GrayLevelNonUniformity	2572.181191	113.1651376
exponential	gldm	GrayLevelVariance	2.046874042	0.370023567
exponential	gldm	HighGrayLevelEmphasis	8.579551337	2.353211009
exponential	gldm	LargeDependenceEmphasis	177.1594478	131.1376147
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	858.5845557	255.8761468
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	100.867503	100.2986111
exponential	gldm	LowGrayLevelEmphasis	0.380650992	0.723496432
exponential	gldm	SmallDependenceEmphasis	0.032731447	0.026448444
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.67558798	0.166929333
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.007492117	0.010839562
exponential	ngtdm	Busyness	48.18332303	9.048751306
exponential	ngtdm	Coarseness	0.000795893	0.022183906
exponential	ngtdm	Complexity	31.80567696	3.749220493
exponential	ngtdm	Contrast	0.025694764	0.027466151
exponential	ngtdm	Strength	0.057932571	0.231695607
square	firstorder	10Percentile	46.04582116	64.1991192
square	firstorder	90Percentile	210.6560182	110.7472327
square	firstorder	Energy	2266291161	33209534.64
square	firstorder	Entropy	3.245035733	1.965989897
square	firstorder	InterquartileRange	85.69418287	26.84833503
square	firstorder	Kurtosis	2.426660713	6.577581095
square	firstorder	Maximum	304.0508431	191.7033946
square	firstorder	MeanAbsoluteDeviation	49.3302949	17.73897633
square	firstorder	Mean	138.0496351	89.5337561
square	firstorder	Median	145.3249442	87.70939391
square	firstorder	Minimum	0.030831359	22.29903032
square	firstorder	Range	304.0200117	169.4043643
square	firstorder	RobustMeanAbsoluteDeviation	35.61320199	11.35155183
square	firstorder	RootMeanSquared	442.1973488	390.3041312
square	firstorder	Skewness	-0.324207614	0.888782293
square	firstorder	TotalEnergy	2266291161	33209534.64
square	firstorder	Uniformity	0.117613321	0.320385489
square	firstorder	Variance	3651.012536	600.7677169
square	glcm	Autocorrelation	41.7990222	17.94894927
square	glcm	JointAverage	6.125420701	4.225187632
square	glcm	ClusterProminence	1119.667108	22.21736795
square	glcm	ClusterShade	-45.79900094	1.375848888
square	glcm	ClusterTendency	20.60358181	1.955345472
square	glcm	Contrast	3.490969491	1.570826862
square	glcm	Correlation	0.710601449	0.104697289
square	glcm	DifferenceAverage	1.333692517	0.867474771
square	glcm	DifferenceEntropy	2.164649789	1.636443813
square	glcm	DifferenceVariance	1.675932724	0.80094241
square	glcm	JointEnergy	0.023472922	0.132598824
square	glcm	JointEntropy	5.908982326	3.472145836
square	glcm	Imc1	-0.173219893	-0.089313161
square	glcm	Imc2	0.809553461	0.516460173
square	glcm	Idm	0.519040113	0.630560293
square	glcm	Idmn	0.980996214	0.978069129
square	glcm	Id	0.565867292	0.652049936
square	glcm	Idn	0.913813582	0.910521817
square	glcm	InverseVariance	0.437301911	0.507034092
square	glcm	MaximumProbability	0.052471124	0.237668532
square	glcm	SumEntropy	4.10792962	2.375334885
square	glcm	SumSquares	6.023637824	0.881543084
square	glrlm	GrayLevelNonUniformity	1001.38595	46.07097647
square	glrlm	GrayLevelNonUniformityNormalized	0.116286016	0.282561633
square	glrlm	GrayLevelVariance	5.702440543	1.307059613
square	glrlm	HighGrayLevelRunEmphasis	42.03223272	17.73397957
square	glrlm	LongRunEmphasis	2.428668852	2.344346652
square	glrlm	LongRunHighGrayLevelEmphasis	101.5003121	42.0582084
square	glrlm	LongRunLowGrayLevelEmphasis	0.317523701	0.167013495
square	glrlm	LowGrayLevelRunEmphasis	0.081736408	0.086369272
square	glrlm	RunEntropy	4.308143127	3.061077137
square	glrlm	RunLengthNonUniformity	5344.800581	99.13945081
square	glrlm	RunLengthNonUniformityNormalized	0.618394858	0.602529426
square	glrlm	RunPercentage	0.743193735	0.746647848
square	glrlm	RunVariance	0.602793668	0.495330905
square	glrlm	ShortRunEmphasis	0.814086452	0.801377255
square	glrlm	ShortRunHighGrayLevelEmphasis	33.88822349	14.1029685
square	glrlm	ShortRunLowGrayLevelEmphasis	0.059176054	0.074373686
square	glszm	GrayLevelNonUniformity	65.72232305	5
square	glszm	GrayLevelNonUniformityNormalized	0.119278263	0.185185185
square	glszm	GrayLevelVariance	7.649111828	3.92866941
square	glszm	HighGrayLevelZoneEmphasis	39.15970962	18.48148148
square	glszm	LargeAreaEmphasis	20300.11978	487.8518519
square	glszm	LargeAreaHighGrayLevelEmphasis	991087.6352	8760.259259
square	glszm	LargeAreaLowGrayLevelEmphasis	1116.985204	28.73149791
square	glszm	LowGrayLevelZoneEmphasis	0.083461181	0.172041551
square	glszm	SizeZoneNonUniformity	139.9546279	7.962962963
square	glszm	SizeZoneNonUniformityNormalized	0.25400114	0.294924554
square	glszm	SmallAreaEmphasis	0.519160008	0.527329722
square	glszm	SmallAreaHighGrayLevelEmphasis	21.04651751	10.20914642
square	glszm	SmallAreaLowGrayLevelEmphasis	0.041880015	0.121218728
square	glszm	ZoneEntropy	5.942573291	4.254525465
square	glszm	ZonePercentage	0.047540984	0.123853211
square	glszm	ZoneVariance	19857.67032	422.6611797
square	gldm	DependenceEntropy	7.038040179	5.086904568
square	gldm	DependenceNonUniformity	837.1130285	15.69724771
square	gldm	DependenceNonUniformityNormalized	0.072227181	0.072005723
square	gldm	DependenceVariance	20.64525877	17.09561485
square	gldm	GrayLevelNonUniformity	1363.138395	69.8440367
square	gldm	GrayLevelVariance	5.960992681	1.068702129
square	gldm	HighGrayLevelEmphasis	42.21302847	17.84862385
square	gldm	LargeDependenceEmphasis	79.58101812	74.66055046
square	gldm	LargeDependenceHighGrayLevelEmphasis	3281.476359	1352.665138
square	gldm	LargeDependenceLowGrayLevelEmphasis	15.34053749	4.379467985
square	gldm	LowGrayLevelEmphasis	0.097703626	0.079538938
square	gldm	SmallDependenceEmphasis	0.065458189	0.102312524
square	gldm	SmallDependenceHighGrayLevelEmphasis	2.58258818	1.859045221
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.004755506	0.018553851
square	ngtdm	Busyness	12.41816274	0.799708322
square	ngtdm	Coarseness	0.001008967	0.030444426
square	ngtdm	Complexity	56.46088865	18.39111975
square	ngtdm	Contrast	0.06405251	0.026802222
square	ngtdm	Strength	0.055992394	0.677449627
squareroot	firstorder	10Percentile	205.8307586	207.0038556
squareroot	firstorder	90Percentile	301.027514	237.2350197
squareroot	firstorder	Energy	3697230763	59758705.6
squareroot	firstorder	Entropy	2.445959172	1.467007162
squareroot	firstorder	InterquartileRange	42.39029581	16.99269157
squareroot	firstorder	Kurtosis	5.543599136	6.031872672
squareroot	firstorder	Maximum	329.9508696	272.1157322
squareroot	firstorder	MeanAbsoluteDeviation	29.75070611	11.41961218
squareroot	firstorder	Mean	263.4275794	223.3283266
squareroot	firstorder	Median	274.3454523	223.7985264
squareroot	firstorder	Minimum	-63.20585479	158.9160255
squareroot	firstorder	Range	393.1567244	113.1997068
squareroot	firstorder	RobustMeanAbsoluteDeviation	18.65100071	7.237638704
squareroot	firstorder	RootMeanSquared	564.8024358	523.5670948
squareroot	firstorder	Skewness	-1.451486827	-0.558970346
squareroot	firstorder	TotalEnergy	3697230763	59758705.6
squareroot	firstorder	Uniformity	0.236824775	0.419661645
squareroot	firstorder	Variance	1551.154214	249.9653729
squareroot	glcm	Autocorrelation	200.2207591	12.52380507
squareroot	glcm	JointAverage	14.08506622	3.531929086
squareroot	glcm	ClusterProminence	364.1347157	3.032475428
squareroot	glcm	ClusterShade	-35.62684042	-0.311124894
squareroot	glcm	ClusterTendency	8.767146159	0.906614443
squareroot	glcm	Contrast	1.440540041	0.710792991
squareroot	glcm	Correlation	0.718038672	0.119182849
squareroot	glcm	DifferenceAverage	0.776500794	0.560001602
squareroot	glcm	DifferenceEntropy	1.655123618	1.252262507
squareroot	glcm	DifferenceVariance	0.824970845	0.387136316
squareroot	glcm	JointEnergy	0.092765953	0.210091502
squareroot	glcm	JointEntropy	4.34203506	2.629655602
squareroot	glcm	Imc1	-0.201310121	-0.063445219
squareroot	glcm	Imc2	0.77805062	0.356823848
squareroot	glcm	Idm	0.673016422	0.734916026
squareroot	glcm	Idmn	0.995159444	0.974327181
squareroot	glcm	Id	0.694287932	0.741864467
squareroot	glcm	Idn	0.958677453	0.91001604
squareroot	glcm	InverseVariance	0.425535089	0.45776892
squareroot	glcm	MaximumProbability	0.236872476	0.298409933
squareroot	glcm	SumEntropy	3.262316435	1.903288863
squareroot	glcm	SumSquares	2.55192155	0.404351858
squareroot	glrlm	GrayLevelNonUniformity	1326.924479	56.45944034
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.194214925	0.396328426
squareroot	glrlm	GrayLevelVariance	2.881021981	0.56670437
squareroot	glrlm	HighGrayLevelRunEmphasis	192.2438427	11.81453692
squareroot	glrlm	LongRunEmphasis	4.755602329	3.403676576
squareroot	glrlm	LongRunHighGrayLevelEmphasis	988.9246142	44.05415374
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.024203389	0.313244167
squareroot	glrlm	LowGrayLevelRunEmphasis	0.005806702	0.117771575
squareroot	glrlm	RunEntropy	4.161129454	2.856216547
squareroot	glrlm	RunLengthNonUniformity	3205.804354	70.69476821
squareroot	glrlm	RunLengthNonUniformityNormalized	0.466030347	0.483797547
squareroot	glrlm	RunPercentage	0.588922811	0.652787579
squareroot	glrlm	RunVariance	1.807894207	0.854450554
squareroot	glrlm	ShortRunEmphasis	0.708105412	0.711526219
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	132.0497801	8.054082051
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.004309383	0.093421352
squareroot	glszm	GrayLevelNonUniformity	38.36567164	3.461538462
squareroot	glszm	GrayLevelNonUniformityNormalized	0.143155491	0.266272189
squareroot	glszm	GrayLevelVariance	6.462728336	1.313609467
squareroot	glszm	HighGrayLevelZoneEmphasis	145.2276119	7
squareroot	glszm	LargeAreaEmphasis	112066.8433	1498.153846
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	24187431.96	18706.69231
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	525.8363213	130.6678632
squareroot	glszm	LowGrayLevelZoneEmphasis	0.012894765	0.360448718
squareroot	glszm	SizeZoneNonUniformity	74.8880597	4.230769231
squareroot	glszm	SizeZoneNonUniformityNormalized	0.279433059	0.325443787
squareroot	glszm	SmallAreaEmphasis	0.543321106	0.540047255
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	76.67279827	2.270214487
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.008775352	0.286388953
squareroot	glszm	ZoneEntropy	5.457844545	2.565448372
squareroot	glszm	ZonePercentage	0.023123382	0.059633028
squareroot	glszm	ZoneVariance	110196.6035	1216.946746
squareroot	gldm	DependenceEntropy	6.598841299	4.87428641
squareroot	gldm	DependenceNonUniformity	530.1951682	14.72477064
squareroot	gldm	DependenceNonUniformityNormalized	0.045745916	0.067544819
squareroot	gldm	DependenceVariance	39.10007187	21.55887552
squareroot	gldm	GrayLevelNonUniformity	2744.799137	91.48623853
squareroot	gldm	GrayLevelVariance	2.568114073	0.47632775
squareroot	gldm	HighGrayLevelEmphasis	199.4533218	12.3440367
squareroot	gldm	LargeDependenceEmphasis	175.7095772	122.1100917
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	37498.47489	1687.56422
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	0.856166386	9.531378695
squareroot	gldm	LowGrayLevelEmphasis	0.005471443	0.104941386
squareroot	gldm	SmallDependenceEmphasis	0.03400455	0.05160052
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	5.544020292	0.360453701
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.000339397	0.019463734
squareroot	ngtdm	Busyness	3.550957583	1.982979679
squareroot	ngtdm	Coarseness	0.000895759	0.025855026
squareroot	ngtdm	Complexity	71.27511539	5.037304384
squareroot	ngtdm	Contrast	0.012731518	0.024057612
squareroot	ngtdm	Strength	0.216996792	0.242889606
logarithm	firstorder	10Percentile	281.290698	264.3389987
logarithm	firstorder	90Percentile	325.2685997	278.8085635
logarithm	firstorder	Energy	4292554717	71369065.59
logarithm	firstorder	Entropy	1.501273278	1.10298882
logarithm	firstorder	InterquartileRange	18.24864645	8.047613805
logarithm	firstorder	Kurtosis	51.23038323	7.272196692
logarithm	firstorder	Maximum	335.9050281	293.3914152
logarithm	firstorder	MeanAbsoluteDeviation	14.46528797	5.504438862
logarithm	firstorder	Mean	308.2118067	272.1194582
logarithm	firstorder	Median	314.5153713	272.6165604
logarithm	firstorder	Minimum	-148.2140893	236.3649881
