Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_12_segment_Left cerebellar	1: RTSTRUCT: RTstruct_12_segment_R fourth ventr
original	glcm	InverseVariance	0.4906248237153153	0.48247844710830645
original	glcm	MaximumProbability	0.11380335150754074	0.11991109769303088
original	glcm	SumEntropy	2.885140601431281	2.826717980140332
original	glcm	SumSquares	1.517124460093553	1.6206191697805203
original	glrlm	GrayLevelNonUniformity	30.025178537814664	11.242323773398654
original	glrlm	GrayLevelNonUniformityNormalized	0.20345963549136659	0.21112012789436654
original	glrlm	GrayLevelVariance	1.8943376314308762	1.6553242481240273
original	glrlm	HighGrayLevelRunEmphasis	18.92988756544781	10.644601857304501
original	glrlm	LongRunEmphasis	1.8336056776924867	1.5525309322447003
original	glrlm	LongRunHighGrayLevelEmphasis	36.80957065959553	17.779346458620672
original	glrlm	LongRunLowGrayLevelEmphasis	0.16369536914863034	0.33322115842300026
original	glrlm	LowGrayLevelRunEmphasis	0.10825689955449803	0.24910088805611144
original	glrlm	RunEntropy	3.244810440909584	2.861494419047195
original	glrlm	RunLengthNonUniformity	100.0615539153377	40.107290321394544
original	glrlm	RunLengthNonUniformityNormalized	0.6744114621633043	0.7452913246843692
original	glrlm	RunPercentage	0.8070617906683482	0.8585607940446649
original	glrlm	RunVariance	0.285461814460699	0.17089737774153002
original	glrlm	ShortRunEmphasis	0.8465478317459489	0.881748832917676
original	glrlm	ShortRunHighGrayLevelEmphasis	15.635362283553139	9.070523923182467
original	glrlm	ShortRunLowGrayLevelEmphasis	0.0985664816821041	0.23201870950620626
original	glszm	GrayLevelNonUniformity	3.210526315789474	1.8888888888888888
original	glszm	GrayLevelNonUniformityNormalized	0.16897506925207756	0.20987654320987653
original	glszm	GrayLevelVariance	4.354570637119113	3.0617283950617282
original	glszm	HighGrayLevelZoneEmphasis	16.789473684210527	10.777777777777779
original	glszm	LargeAreaEmphasis	327.0	78.44444444444444
original	glszm	LargeAreaHighGrayLevelEmphasis	6876.263157894737	933.3333333333334
original	glszm	LargeAreaLowGrayLevelEmphasis	18.853049662847596	11.116697530864197
original	glszm	LowGrayLevelZoneEmphasis	0.2528828768349445	0.4157098765432099
original	glszm	SizeZoneNonUniformity	3.526315789473684	1.4444444444444444
original	glszm	SizeZoneNonUniformityNormalized	0.18559556786703602	0.16049382716049382
original	glszm	SmallAreaEmphasis	0.3878729564065048	0.25271376960370195
original	glszm	SmallAreaHighGrayLevelEmphasis	7.825772522590048	4.229908723838118
original	glszm	SmallAreaLowGrayLevelEmphasis	0.14125843680006117	0.1356711450617526
original	glszm	ZoneEntropy	3.9321380397593697	3.169925001442309
original	glszm	ZonePercentage	0.10382513661202186	0.14516129032258066
original	glszm	ZoneVariance	234.2326869806094	30.98765432098765
original	gldm	DependenceEntropy	5.23786337650728	4.470111335090983
original	gldm	DependenceNonUniformity	17.524590163934427	8.806451612903226
original	gldm	DependenceNonUniformityNormalized	0.09576278778106244	0.14203954214360043
original	gldm	DependenceVariance	9.393173877989788	4.73465140478668
original	gldm	GrayLevelNonUniformity	39.09836065573771	13.290322580645162
original	gldm	GrayLevelVariance	1.7569351130221864	1.6087408949011446
original	gldm	HighGrayLevelEmphasis	19.415300546448087	11.0
original	gldm	LargeDependenceEmphasis	45.59016393442623	26.612903225806452
original	gldm	LargeDependenceHighGrayLevelEmphasis	1010.4098360655738	373.96774193548384
original	gldm	LargeDependenceLowGrayLevelEmphasis	2.6217402466451065	3.2123431899641575
original	gldm	LowGrayLevelEmphasis	0.09988108403652901	0.23446684587813618
original	gldm	SmallDependenceEmphasis	0.09093199686153637	0.10929227470558117
original	gldm	SmallDependenceHighGrayLevelEmphasis	1.5886843867938638	1.1370900994806525
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.022009334209045977	0.044508067202015215
original	ngtdm	Busyness	0.7284891576701628	0.6915274745568057
original	ngtdm	Coarseness	0.03943561018063564	0.1047390150166858
original	ngtdm	Complexity	21.030767614067152	11.922952888012608
original	ngtdm	Contrast	0.053142408941827986	0.09326516670849773
original	ngtdm	Strength	0.732514475249737	1.0494254149102635
exponential	firstorder	10Percentile	10.500033599330992	17.886555327906418
exponential	firstorder	90Percentile	50.29489852273054	116.49468992812577
exponential	firstorder	Energy	19781241.623317137	8174451.694211219
exponential	firstorder	Entropy	1.46033338279677	2.582088613181555
exponential	firstorder	InterquartileRange	20.131020419732092	56.09733059018385
exponential	firstorder	Kurtosis	6.857487507341397	5.27382533554589
exponential	firstorder	Maximum	118.15890057989279	231.32114951307446
exponential	firstorder	MeanAbsoluteDeviation	12.973260406935198	35.29524147423925
exponential	firstorder	Mean	28.330385213725034	60.28547088723706
exponential	firstorder	Median	24.591523940821236	43.465534550496216
exponential	firstorder	Minimum	4.297708713934344	14.375883603201649
exponential	firstorder	Range	113.86119186595845	216.9452659098728
exponential	firstorder	RobustMeanAbsoluteDeviation	8.451734301168317	23.89171277467369
exponential	firstorder	RootMeanSquared	328.77684912544964	363.10603832478864
exponential	firstorder	Skewness	1.5393019128904768	1.4604632234897639
exponential	firstorder	TotalEnergy	19781241.623317137	8174451.694211219
exponential	firstorder	Uniformity	0.4158081758189256	0.1945889698231009
exponential	firstorder	Variance	293.3746662656206	2040.3745354847376
exponential	glcm	Autocorrelation	3.0426518116707437	12.178267684112038
exponential	glcm	JointAverage	1.7312703881123295	3.408510145671693
exponential	glcm	ClusterProminence	6.203481481631071	301.0412938974494
exponential	glcm	ClusterShade	1.0563120396398609	18.624425846651597
exponential	glcm	ClusterTendency	1.2380992672970843	9.756785589678135
exponential	glcm	Contrast	1.057364559831566	7.549088495268308
exponential	glcm	Correlation	0.07953395700224532	0.13717426558245308
exponential	glcm	DifferenceAverage	0.7021314177005777	2.0743911680878435
exponential	glcm	DifferenceEntropy	1.473803444848485	2.4811962558351253
exponential	glcm	DifferenceVariance	0.5559669864554164	3.141670441211207
exponential	glcm	JointEnergy	0.16054510721367576	0.03955518717731513
exponential	glcm	JointEntropy	2.96831675529917	4.922473623331089
exponential	glcm	Imc1	-0.05114711294995703	-0.21790525102457933
exponential	glcm	Imc2	0.36332679223864506	0.8298456492490627
exponential	glcm	Idm	0.6836829294852816	0.38749749743805145
exponential	glcm	Idmn	0.9634881104602624	0.9388904504772917
exponential	glcm	Id	0.6991675319554083	0.46034653518957547
exponential	glcm	Idn	0.8907603117362141	0.8448318661475264
exponential	glcm	InverseVariance	0.47059146425954734	0.35520861316892416
exponential	glcm	MaximumProbability	0.22928905499949004	0.08646850331185567
exponential	glcm	SumEntropy	2.07432285366711	3.3069756586008126
exponential	glcm	SumSquares	0.5738659567821627	4.3264685212366105
exponential	glrlm	GrayLevelNonUniformity	51.52405897501605	10.611741286047895
exponential	glrlm	GrayLevelNonUniformityNormalized	0.40423905130719545	0.19173940223755184
exponential	glrlm	GrayLevelVariance	0.6678171722999514	3.716132352484169
exponential	glrlm	HighGrayLevelRunEmphasis	3.3765591463224753	12.459615980755618
exponential	glrlm	LongRunEmphasis	2.6675661170762317	1.3909532162281175
exponential	glrlm	LongRunHighGrayLevelEmphasis	8.00890909459706	15.629765109608176
exponential	glrlm	LongRunLowGrayLevelEmphasis	1.6121064454859675	0.5393555127994414
exponential	glrlm	LowGrayLevelRunEmphasis	0.6251243993031359	0.3590086458626718
exponential	glrlm	RunEntropy	2.7000946291901653	3.035037301549371
exponential	glrlm	RunLengthNonUniformity	67.59449792522537	44.425225274431
exponential	glrlm	RunLengthNonUniformityNormalized	0.5262928181552341	0.8001855267140777
exponential	glrlm	RunPercentage	0.6960907944514502	0.8920595533498759
exponential	glrlm	RunVariance	0.5667391494974916	0.12595516196928774
exponential	glrlm	ShortRunEmphasis	0.7481124021648475	0.9136952998602349
exponential	glrlm	ShortRunHighGrayLevelEmphasis	2.667297589670765	11.725147765761875
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.4748001949432926	0.32244081658936036
exponential	glszm	GrayLevelNonUniformity	2.0	1.8333333333333333
exponential	glszm	GrayLevelNonUniformityNormalized	0.25	0.1527777777777778
exponential	glszm	GrayLevelVariance	1.359375	7.243055555555555
exponential	glszm	HighGrayLevelZoneEmphasis	11.125	23.916666666666668
exponential	glszm	LargeAreaEmphasis	1730.625	50.166666666666664
exponential	glszm	LargeAreaHighGrayLevelEmphasis	3782.375	350.6666666666667
exponential	glszm	LargeAreaLowGrayLevelEmphasis	1240.7697569444447	21.021524943310656
exponential	glszm	LowGrayLevelZoneEmphasis	0.21854166666666666	0.3050571617535903
exponential	glszm	SizeZoneNonUniformity	2.0	2.3333333333333335
exponential	glszm	SizeZoneNonUniformityNormalized	0.25	0.19444444444444445
exponential	glszm	SmallAreaEmphasis	0.43840730476074913	0.26757787673953537
exponential	glszm	SmallAreaHighGrayLevelEmphasis	7.039176139207177	13.357628513313609
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.03224383843309269	0.04797775906322104
exponential	glszm	ZoneEntropy	2.9999999999999973	3.4182958340544856
exponential	glszm	ZonePercentage	0.04371584699453552	0.1935483870967742
exponential	glszm	ZoneVariance	1207.359375	23.47222222222222
exponential	gldm	DependenceEntropy	4.776468035397902	4.4082532227745395
exponential	gldm	DependenceNonUniformity	15.142076502732241	12.64516129032258
exponential	gldm	DependenceNonUniformityNormalized	0.08274358744662426	0.20395421436004163
exponential	gldm	DependenceVariance	14.984860700528534	2.704474505723205
exponential	gldm	GrayLevelNonUniformity	76.09289617486338	12.064516129032258
exponential	gldm	GrayLevelVariance	0.5627519484009675	3.5712799167533813
exponential	gldm	HighGrayLevelEmphasis	3.19672131147541	12.0
exponential	gldm	LargeDependenceEmphasis	94.22404371584699	17.193548387096776
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	274.56284153005464	132.32258064516128
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	51.16920006071645	8.529658400994807
exponential	gldm	LowGrayLevelEmphasis	0.6155418943533698	0.36851675078633606
exponential	gldm	SmallDependenceEmphasis	0.04062560208838079	0.13336753234746704
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.4071337153856261	3.492458217008428
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.013161276995534077	0.03761765768882224
exponential	ngtdm	Busyness	4.938807556295839	1.5208982308067982
exponential	ngtdm	Coarseness	0.026093999000292304	0.06176573293109918
exponential	ngtdm	Complexity	7.758728812638985	47.30880392729381
exponential	ngtdm	Contrast	0.031771413684594796	0.17863690411387187
exponential	ngtdm	Strength	0.4315870919799991	2.656860787251089
square	firstorder	10Percentile	51.23798949132143	64.92518142814498
square	firstorder	90Percentile	142.24566838011697	176.69754693755223
square	firstorder	Energy	29000989.440503445	11014716.916349906
square	firstorder	Entropy	2.5528684796053045	2.713039707152179
square	firstorder	InterquartileRange	48.064193485709225	70.21859059157822
square	firstorder	Kurtosis	2.9404229953715912	2.2799032378706854
square	firstorder	Maximum	211.03522694585857	231.32114951307446
square	firstorder	MeanAbsoluteDeviation	28.127810183950864	37.82959656543697
square	firstorder	Mean	96.55014257724892	119.1745596763656
square	firstorder	Median	95.03864035663914	111.03849692535215
square	firstorder	Minimum	19.70209803486555	55.46055836345898
square	firstorder	Range	191.33312891099303	175.8605911496155
square	firstorder	RobustMeanAbsoluteDeviation	19.535008557862	28.560743837286285
square	firstorder	RootMeanSquared	398.0896282671763	421.4934453313083
square	firstorder	Skewness	0.2713887597417516	0.40318376036586495
square	firstorder	TotalEnergy	29000989.440503445	11014716.916349906
square	firstorder	Uniformity	0.19561647108005617	0.16701352757544222
square	firstorder	Variance	1223.3365558621551	1949.4129773815807
square	glcm	Autocorrelation	21.80298801005599	15.060996938129088
square	glcm	JointAverage	4.626248602102256	3.798119519173054
square	glcm	ClusterProminence	64.44341105188421	168.0162285546656
square	glcm	ClusterShade	-0.7064829162413552	0.6347319944255703
square	glcm	ClusterTendency	4.621478007032461	8.303729595677655
square	glcm	Contrast	3.0260541743697997	5.802840455221361
square	glcm	Correlation	0.20140878863736836	0.1863916913106872
square	glcm	DifferenceAverage	1.3164019974945131	1.9157300296202915
square	glcm	DifferenceEntropy	2.034530804987991	2.3216990173157717
square	glcm	DifferenceVariance	1.2591855671709835	2.0223041111451425
square	glcm	JointEnergy	0.047061389247705525	0.03551735197797751
square	glcm	JointEntropy	4.740403940970949	5.029181417224664
square	glcm	Imc1	-0.10172533727348047	-0.21327159552622899
square	glcm	Imc2	0.6106065613308784	0.8231224419099957
square	glcm	Idm	0.5014900719142099	0.3766370669801232
square	glcm	Idmn	0.9664619411399715	0.9263685430090949
square	glcm	Id	0.5498091104917557	0.45153221234231905
square	glcm	Idn	0.8823034438319017	0.8232186267965638
square	glcm	InverseVariance	0.4683655162081378	0.3906654050537821
square	glcm	MaximumProbability	0.08938400419336913	0.06911172551821353
square	glcm	SumEntropy	3.060002869599044	3.3038709999876588
square	glcm	SumSquares	1.9118830453505653	3.5266425127247536
square	glrlm	GrayLevelNonUniformity	29.06160847563943	9.386422183183083
square	glrlm	GrayLevelNonUniformityNormalized	0.19167676442413212	0.1659913965083707
square	glrlm	GrayLevelVariance	2.186204230768383	3.3160528758869927
square	glrlm	HighGrayLevelRunEmphasis	21.03008658521946	14.438055742982842
square	glrlm	LongRunEmphasis	1.702983791340012	1.3014526399588997
square	glrlm	LongRunHighGrayLevelEmphasis	36.09633079930582	18.364520536820514
square	glrlm	LongRunLowGrayLevelEmphasis	0.13503067957872184	0.40154624150562207
square	glrlm	LowGrayLevelRunEmphasis	0.0862200911059733	0.29600433629534967
square	glrlm	RunEntropy	3.2764481710420528	3.084276434213701
square	glrlm	RunLengthNonUniformity	107.74896789196204	47.115571490496905
square	glrlm	RunLengthNonUniformityNormalized	0.7061994196570571	0.8317332581359987
square	glrlm	RunPercentage	0.8293400588482555	0.911910669975186
square	glrlm	RunVariance	0.23543209197144022	0.09534392601611283
square	glrlm	ShortRunEmphasis	0.8639190750214223	0.9292998724510854
square	glrlm	ShortRunHighGrayLevelEmphasis	18.060302042882658	13.498398614260266
square	glrlm	ShortRunLowGrayLevelEmphasis	0.07723820956123731	0.2727900509417503
square	glszm	GrayLevelNonUniformity	2.0	2.4285714285714284
square	glszm	GrayLevelNonUniformityNormalized	0.125	0.17346938775510204
square	glszm	GrayLevelVariance	5.30859375	4.9438775510204085
square	glszm	HighGrayLevelZoneEmphasis	29.6875	16.214285714285715
square	glszm	LargeAreaEmphasis	348.5625	34.857142857142854
square	glszm	LargeAreaHighGrayLevelEmphasis	6526.9375	443.2857142857143
square	glszm	LargeAreaLowGrayLevelEmphasis	24.056178528124214	11.0648041180758
square	glszm	LowGrayLevelZoneEmphasis	0.12965996236457547	0.31346665451895045
square	glszm	SizeZoneNonUniformity	2.375	2.4285714285714284
square	glszm	SizeZoneNonUniformityNormalized	0.1484375	0.17346938775510204
square	glszm	SmallAreaEmphasis	0.358428291820157	0.3609325806768989
square	glszm	SmallAreaHighGrayLevelEmphasis	16.16641747655858	6.477063533057851
square	glszm	SmallAreaLowGrayLevelEmphasis	0.0376033812321216	0.1332575776399698
square	glszm	ZoneEntropy	3.8749999999999947	3.5216406363433146
square	glszm	ZonePercentage	0.08743169398907104	0.22580645161290322
square	glszm	ZoneVariance	217.74609375	15.244897959183671
square	gldm	DependenceEntropy	5.308359735102641	4.538896214227924
square	gldm	DependenceNonUniformity	22.617486338797814	13.741935483870968
square	gldm	DependenceNonUniformityNormalized	0.12359282152348533	0.22164412070759626
square	gldm	DependenceVariance	7.142225805488369	1.7866805411030178
square	gldm	GrayLevelNonUniformity	35.797814207650276	10.35483870967742
square	gldm	GrayLevelVariance	2.06814177789722	3.283038501560874
square	gldm	HighGrayLevelEmphasis	21.131147540983605	14.32258064516129
square	gldm	LargeDependenceEmphasis	36.704918032786885	12.612903225806452
square	gldm	LargeDependenceHighGrayLevelEmphasis	825.7103825136612	159.3548387096774
square	gldm	LargeDependenceLowGrayLevelEmphasis	2.2135235455242612	4.681451635761831
square	gldm	LowGrayLevelEmphasis	0.08303223789009632	0.2999784443347231
square	gldm	SmallDependenceEmphasis	0.08781292572184628	0.1773049703752469
square	gldm	SmallDependenceHighGrayLevelEmphasis	2.4649561010251198	2.861897264282057
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.009138282818572777	0.05434341484204196
square	ngtdm	Busyness	0.7600654571376577	0.776023392588297
square	ngtdm	Coarseness	0.03449408836669651	0.08152499876509918
square	ngtdm	Complexity	31.630257132277645	35.65254688083503
square	ngtdm	Contrast	0.05575857345510408	0.14739459790709555
square	ngtdm	Strength	0.9259184790382354	2.0363297084402587
squareroot	firstorder	10Percentile	193.96554145265858	168.36987301113376
squareroot	firstorder	90Percentile	250.37130021228106	216.25647900460888
squareroot	firstorder	Energy	50361644.94022764	15114159.021752575
squareroot	firstorder	Entropy	1.8963505053350844	1.7552346602799118
squareroot	firstorder	InterquartileRange	29.011291305632284	30.17998541475339
squareroot	firstorder	Kurtosis	3.5050334519466775	1.9215784166382388
squareroot	firstorder	Maximum	276.32217050418774	231.32114951307443
squareroot	firstorder	MeanAbsoluteDeviation	17.482740739223225	15.853489835827663
squareroot	firstorder	Mean	224.12341379961714	193.39399553297756
squareroot	firstorder	Median	226.3612306171328	192.5396161056612
squareroot	firstorder	Minimum	152.7408178178312	161.86671974314197
squareroot	firstorder	Range	123.58135268635652	69.45442976993246
squareroot	firstorder	RobustMeanAbsoluteDeviation	11.77374731532303	12.140178644653211
squareroot	firstorder	RootMeanSquared	524.5953160055992	493.73754001024076
squareroot	firstorder	Skewness	-0.6043051115232763	-0.009901471535439228
squareroot	firstorder	TotalEnergy	50361644.94022764	15114159.021752575
squareroot	firstorder	Uniformity	0.32097106512586226	0.31789802289282
squareroot	firstorder	Variance	494.8926820497373	339.12358736824115
squareroot	glcm	Autocorrelation	13.42361363246162	6.221616142122968
squareroot	glcm	JointAverage	3.6446798736927546	2.4670097886406337
squareroot	glcm	ClusterProminence	12.06250682103422	7.491268419455565
squareroot	glcm	ClusterShade	-1.4395017107430244	-0.6953236756060638
squareroot	glcm	ClusterTendency	1.734029985135025	1.7227902812282647
squareroot	glcm	Contrast	1.1780257124785196	1.1886831193926215
squareroot	glcm	Correlation	0.17504031253268043	0.1883639611348184
squareroot	glcm	DifferenceAverage	0.7816629968795383	0.8106299277096896
squareroot	glcm	DifferenceEntropy	1.5271714714835747	1.471067044935534
squareroot	glcm	DifferenceVariance	0.5552982252336481	0.5091690281693091
squareroot	glcm	JointEnergy	0.13152286030770585	0.12139426630618247
squareroot	glcm	JointEntropy	3.4073590968971383	3.349721711439824
squareroot	glcm	Imc1	-0.0921986991399917	-0.08521628695626207
squareroot	glcm	Imc2	0.48201888065772586	0.4865520945576555
squareroot	glcm	Idm	0.6486302943229816	0.6324903553134484
squareroot	glcm	Idmn	0.9702211936844349	0.9378425519236943
squareroot	glcm	Id	0.6694988261175582	0.6533905346222771
squareroot	glcm	Idn	0.8951330147866916	0.8499839741652035
squareroot	glcm	InverseVariance	0.487736187787327	0.5204762936855881
squareroot	glcm	MaximumProbability	0.2502148791860274	0.23013230128987033
squareroot	glcm	SumEntropy	2.3214699512036656	2.3327572714995397
squareroot	glcm	SumSquares	0.7280139244033861	0.7278683501552213
squareroot	glrlm	GrayLevelNonUniformity	39.23591500365104	15.025682197208047
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.29481276920277605	0.30724948986837514
squareroot	glrlm	GrayLevelVariance	0.9817121148327421	0.7702318540749542
squareroot	glrlm	HighGrayLevelRunEmphasis	12.529789432139463	5.526525740299714
squareroot	glrlm	LongRunEmphasis	2.4199206127764183	1.9116039072516502
squareroot	glrlm	LongRunHighGrayLevelEmphasis	32.525635963784566	11.882499834538315
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.2621902725629494	0.6118186135000142
squareroot	glrlm	LowGrayLevelRunEmphasis	0.13891716572304905	0.38592359417441213
squareroot	glrlm	RunEntropy	2.986074059277516	2.528682168553658
squareroot	glrlm	RunLengthNonUniformity	76.83419817391275	31.24906424150862
squareroot	glrlm	RunLengthNonUniformityNormalized	0.5721639777793269	0.6321501423753644
squareroot	glrlm	RunPercentage	0.7280369903320724	0.7890818858560795
