Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_14_segment_Lt Sup Frontal	1: RTSTRUCT: RTstruct_14_segment_Lt ant frontal	1: RTSTRUCT: RTstruct_14_segment_Lt post central	1: RTSTRUCT: RTstruct_14_segment_Rt ant front 2	1: RTSTRUCT: RTstruct_14_segment_Lt ant inf  frontal	1: RTSTRUCT: RTstruct_14_segment_Lt Internal Capsule	1: RTSTRUCT: RTstruct_14_segment_Lt Median Parietal	1: RTSTRUCT: RTstruct_14_segment_Lt Lat Parietal	1: RTSTRUCT: RTstruct_14_segment_Lt ant temporal	1: RTSTRUCT: RTstruct_14_segment_Right Inf Temporal	1: RTSTRUCT: RTstruct_14_segment_Lt Parietal	1: RTSTRUCT: RTstruct_14_segment_Rt Median Parietal	1: RTSTRUCT: RTstruct_14_segment_Rt Parital 2	1: RTSTRUCT: RTstruct_14_segment_Lt Parietal 2	1: RTSTRUCT: RTstruct_14_segment_Lt parietal surface	1: RTSTRUCT: RTstruct_14_segment_L frontal lateral	1: RTSTRUCT: RTstruct_14_segment_R frontal pole	1: RTSTRUCT: RTstruct_14_segment_Lt cerebellar	1: RTSTRUCT: RTstruct_14_segment_R ant frontal 1	1: RTSTRUCT: RTstruct_14_segment_L frontal pole	1: RTSTRUCT: RTstruct_14_segment_Rt Inf Frontal
diagnostics	Image-original	Size	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)
diagnostics	Image-original	Mean	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142	68.02825787862142
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0	1327.0
diagnostics	Mask-original	Hash	0780f456ae8562b4f5b07b6af53d6b1cf69d0fbb	837b929b1c7a34764cabbab6ab4d5f6fe9168f94	61aa4264946ecbed17f673efd2dd1374d4fd20ef	4943d44878026460ceb000a77e4c7b06fcfc0f3f	a63adf64da555cfb6bd6054c70502f879a070b0d	cdc6e6a7c75816775d3267002925e00b379297f7	bf3240c061bd1dbb85ae946b9f5d2eb65e5c355a	44f3f77d774d0f3872c09937ace7609bacae9bf3	b9d989dadc73b58b5157f5b5fda752d46ef5930e	7b9b086646f2429ca2889e6f437ce769a52b1666	e8357319174e8256f957c4aead4087c64d8c85b6	0968ba032b131121458a877cf73bf9df5bf037b0	c6e3ece7a5b7570619c7a72a9300432fe1b41afd	e90f1b9f09bec67fc321409b32289b417917e5bb	5e61547bb468e94526d10c6a2fb357c6e90df5a7	aa5590cfe0deed86d17f5f385a4cb051d989db0e	30c28181c2ca924189fd8312f619fb7b29d4dca5	08198d824b1b1bd603ea9a0fbb6abdf7dbfb0299	c61eeab65a84419c21070a1ee78e8971aec1b7d1	a3491ff5d013cc40e3af5bef7b75e748897aaadd	cfba99716298c2bc91f49ae084d74f6f9c622772
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)	(1.015625, 1.015625, 0.9999999999999879)
diagnostics	Mask-original	Size	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)	(256, 256, 240)
diagnostics	Mask-original	BoundingBox	(136, 104, 162, 5, 11, 9)	(144, 89, 153, 8, 9, 8)	(151, 175, 156, 10, 10, 9)	(104, 107, 159, 6, 6, 5)	(135, 68, 133, 15, 13, 14)	(138, 129, 120, 9, 10, 10)	(130, 183, 127, 5, 6, 6)	(168, 179, 124, 8, 6, 8)	(164, 115, 94, 8, 9, 6)	(81, 124, 82, 6, 5, 5)	(159, 175, 147, 5, 5, 5)	(113, 185, 149, 9, 7, 11)	(115, 190, 142, 5, 5, 5)	(138, 207, 139, 3, 4, 5)	(173, 159, 134, 6, 6, 6)	(160, 79, 132, 9, 9, 9)	(99, 71, 140, 6, 5, 6)	(138, 186, 68, 4, 4, 3)	(105, 104, 165, 3, 3, 3)	(138, 78, 159, 3, 3, 3)	(96, 95, 128, 2, 3, 3)
diagnostics	Mask-original	VoxelNum	215	228	312	75	924	392	70	128	201	70	71	280	48	25	94	260	80	26	13	20	8
diagnostics	Mask-original	VolumeNum	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(138.03255813953487, 109.0139534883721, 165.96279069767442)	(147.89912280701753, 92.95614035087719, 156.56578947368422)	(155.26602564102564, 179.51602564102564, 159.89102564102564)	(106.18666666666667, 109.44, 160.98666666666668)	(141.8474025974026, 73.29004329004329, 139.4577922077922)	(142.16326530612244, 132.79591836734693, 124.47448979591837)	(131.74285714285713, 185.72857142857143, 129.5857142857143)	(171.1640625, 181.3515625, 127.3046875)	(167.91044776119404, 118.7860696517413, 96.55721393034825)	(83.0, 126.04285714285714, 83.95714285714286)	(160.98591549295776, 177.28169014084506, 149.01408450704224)	(116.73928571428571, 187.58928571428572, 153.525)	(116.72916666666667, 192.08333333333334, 143.6875)	(139.32, 208.68, 140.96)	(175.35106382978722, 161.38297872340425, 136.30851063829786)	(164.6153846153846, 82.86153846153846, 136.1)	(101.1375, 72.9125, 142.5625)	(139.84615384615384, 187.73076923076923, 68.73076923076923)	(106.23076923076923, 105.23076923076923, 165.84615384615384)	(139.1, 78.8, 159.8)	(96.875, 96.375, 129.125)
