Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_6_segment_Lt Frontal	1: RTSTRUCT: RTstruct_6_segment_R putamen	1: RTSTRUCT: RTstruct_6_segment_R cerebellar
original	firstorder	Energy	76057388.07727158	8366662.995352697	68824741.39075282
original	firstorder	Entropy	2.9951204814280126	2.6096378335166213	2.2067038394070795
original	firstorder	InterquartileRange	90.41985753183977	62.436834666662065	46.91450375666751
original	firstorder	Kurtosis	2.7106306661138913	1.8920488854015216	2.0920198509285313
original	firstorder	Maximum	345.2613219887431	201.74924439035215	149.10658949535826
original	firstorder	MeanAbsoluteDeviation	47.845327620728405	32.61591879053293	24.57762574060881
original	firstorder	Mean	248.6956785986576	129.52672722219629	79.9473400259546
original	firstorder	Median	261.9901710803193	126.94348738085452	83.94128830237244
original	firstorder	Minimum	67.31694746732495	64.23923503340207	10.739942970272747
original	firstorder	Range	277.9443745214181	137.5100093569501	138.3666465250855
original	firstorder	RobustMeanAbsoluteDeviation	37.208734551920685	24.949605228722913	18.938511964465423
original	firstorder	RootMeanSquared	551.5700792366155	431.19119232791735	381.0510154189321
original	firstorder	Skewness	-0.7349179477815033	0.07395564722249279	-0.21309611654322688
original	firstorder	TotalEnergy	76057388.07727158	17393852.016654287	68824741.39075282
original	firstorder	Uniformity	0.14662400000000003	0.17530864197530863	0.23523651836422224
original	firstorder	Variance	3162.60459624495	1432.6349429600014	839.8951590008365
original	glcm	Autocorrelation	82.5742546282239	17.164207287644786	16.27615755812763
original	glcm	JointAverage	9.011151727731585	4.0246809309309315	3.965443121666835
original	glcm	ClusterProminence	473.3173557551563	91.69000628307528	31.85917500587468
original	glcm	ClusterShade	-38.02011358235163	0.08965598974326483	-2.703905901643587
original	glcm	ClusterTendency	11.40305400185527	6.570751534997031	3.5467110594076363
original	glcm	Contrast	5.969557706906472	2.72303061990562	1.3574740413047566
original	glcm	Correlation	0.3072968139780893	0.41471586862784005	0.44148938056664666
original	glcm	DifferenceAverage	1.7802361229216497	1.324182217932218	0.8410959488277978
original	glcm	DifferenceEntropy	2.4265402764627355	1.8295285196932913	1.601511071568074
original	glcm	DifferenceVariance	2.7124819012645713	0.9304855810432145	0.6312868401645739
original	glcm	JointEnergy	0.046079354717483825	0.049845523560294425	0.0799945691232223
original	glcm	JointEntropy	5.150329939559405	4.512110843266754	4.016504521901812
original	glcm	Imc1	-0.11504430333220816	-0.2308982632141825	-0.10430179117918445
original	glcm	Imc2	0.6611001714748941	0.8306298461813921	0.5591985923844136
original	glcm	Idm	0.4400686419058457	0.47558784887829003	0.6307298061577543
original	glcm	Idmn	0.9641055228233204	0.9508039632811509	0.9662342768898357
original	glcm	Id	0.4998369992192562	0.5281293011761762	0.6550799607436946
original	glcm	Idn	0.8822656962057666	0.8524181549311758	0.8885554208394303
original	glcm	InverseVariance	0.413031390853899	0.490038280467968	0.48528616027625904
original	glcm	MaximumProbability	0.10832400563610198	0.08534795956670957	0.1452417919188008
original	glcm	SumEntropy	3.4619812843273055	3.1000701564969817	2.8654212793070055
original	glcm	SumSquares	4.3431529271904346	2.3234455387256627	1.2260462751780983
original	glrlm	GrayLevelNonUniformity	28.447645449151196	6.637980085348507	76.97164626707885
original	glrlm	GrayLevelNonUniformityNormalized	0.13358786591600816	0.1758095661386071	0.2270437089179071
original	glrlm	GrayLevelVariance	5.286169573849758	2.618359123750636	1.449093106888026
original	glrlm	HighGrayLevelRunEmphasis	72.24166076902783	14.796727395411606	14.274770457240567
original	glrlm	LongRunEmphasis	1.6191080915802571	1.658947915526863	2.614317717134082
original	glrlm	LongRunHighGrayLevelEmphasis	134.57245086269353	28.645835612940875	42.381936476087795
original	glrlm	LongRunLowGrayLevelEmphasis	0.033797818655305914	0.2581433616701474	0.26265971920162945
original	glrlm	LowGrayLevelRunEmphasis	0.02651735387032616	0.20591513648139587	0.1253872197154833
original	glrlm	RunEntropy	3.6332608539889653	3.1249316259392894	3.3365920665596756
original	glrlm	RunLengthNonUniformity	160.72917735839806	27.004923952292373	196.4361536995184
original	glrlm	RunLengthNonUniformityNormalized	0.7525517472372181	0.7151416208443351	0.5728755349536924
original	glrlm	RunPercentage	0.851076923076923	0.8388888888888888	0.7158390133073677
original	glrlm	RunVariance	0.22740414185553573	0.2359280938875476	0.6137947394557011
original	glrlm	ShortRunEmphasis	0.8893414936871492	0.8693170751723382	0.7813665040888271
original	glrlm	ShortRunHighGrayLevelEmphasis	61.3127033227222	12.18580169238064	10.578364629688224
original	glrlm	ShortRunLowGrayLevelEmphasis	0.025153607475885235	0.19422024234637014	0.10544973277815012
original	glszm	GrayLevelNonUniformity	9.064516129032258	4.181818181818182	4.222222222222222
original	glszm	GrayLevelNonUniformityNormalized	0.1462018730489074	0.19008264462809918	0.2345679012345679
original	glszm	GrayLevelVariance	4.508064516129032	2.770661157024793	2.25
original	glszm	HighGrayLevelZoneEmphasis	46.75806451612903	12.045454545454545	10.277777777777779
original	glszm	LargeAreaEmphasis	104.80645161290323	6.954545454545454	2639.5555555555557
original	glszm	LargeAreaHighGrayLevelEmphasis	10882.935483870968	136.6818181818182	43635.555555555555
original	glszm	LargeAreaLowGrayLevelEmphasis	1.118704977614435	0.7484150175221603	220.22074074074075
original	glszm	LowGrayLevelZoneEmphasis	0.05002967464743927	0.28857915893630176	0.28964506172839505
original	glszm	SizeZoneNonUniformity	19.677419354838708	8.727272727272727	2.2222222222222223
original	glszm	SizeZoneNonUniformityNormalized	0.3173777315296566	0.39669421487603307	0.12345679012345678
original	glszm	SmallAreaEmphasis	0.5776347101595762	0.6488190579262008	0.28063988290729025
original	glszm	SmallAreaHighGrayLevelEmphasis	23.696388991558855	6.288191094619665	1.5114159699627197
original	glszm	SmallAreaLowGrayLevelEmphasis	0.03720608539028495	0.251911017774113	0.08452792406623079
original	glszm	ZoneEntropy	4.4405112872906685	3.516027641266226	3.794653473544337
original	glszm	ZonePercentage	0.248	0.4888888888888889	0.0379746835443038
original	glszm	ZoneVariance	88.54734651404787	2.7706611570247937	1946.1111111111113
original	gldm	DependenceEntropy	5.34437756665349	3.9413100405337285	5.749147245301334
original	gldm	DependenceNonUniformity	29.112	11.8	35.08860759493671
original	gldm	DependenceNonUniformityNormalized	0.116448	0.26222222222222225	0.07402659830155424
original	gldm	DependenceVariance	12.847616000000002	1.094320987654321	19.132012319962968
original	gldm	GrayLevelNonUniformity	36.656	7.888888888888889	111.50210970464136
original	gldm	GrayLevelVariance	5.1984	2.590617283950617	1.3979953355053498
original	gldm	HighGrayLevelEmphasis	76.432	15.71111111111111	15.122362869198312
original	gldm	LargeDependenceEmphasis	36.584	6.333333333333333	89.49367088607595
original	gldm	LargeDependenceHighGrayLevelEmphasis	3847.472	129.26666666666668	1663.6371308016878
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.3884400635711891	0.6212868480725623	6.665712611345523
original	gldm	LowGrayLevelEmphasis	0.024318489689723458	0.18634857646762412	0.11440693858415375
original	gldm	SmallDependenceEmphasis	0.21234299141421104	0.4004629629629629	0.04253045649647871
original	gldm	SmallDependenceHighGrayLevelEmphasis	10.044722089886132	4.445679012345678	0.43931992408201637
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.010927313537075805	0.13145059978724	0.008601149633596285
original	ngtdm	Busyness	0.3477024715135634	0.40938895089285715	3.0837318479080578
original	ngtdm	Coarseness	0.02464711128952583	0.14312489350826377	0.01699578317579995
original	ngtdm	Complexity	80.03919172175036	17.19182674952049	8.046662822418247
original	ngtdm	Contrast	0.10542821626761675	0.11406483332244648	0.0561650205835795
original	ngtdm	Strength	1.4974174624371268	2.265571800520729	0.1830177279759868
exponential	firstorder	10Percentile	18.270415576274395	8.542569796117634	2.6996966474909647
exponential	firstorder	90Percentile	178.37238708630437	121.05737584681161	20.519814217261565
exponential	firstorder	Energy	40193802.805880874	5550428.931964442	45792670.19027216
exponential	firstorder	Entropy	3.078495406668307	2.270113962700841	0.28334333984758553
exponential	firstorder	InterquartileRange	120.98328059601329	49.55373327224774	10.535948382871808
exponential	firstorder	Kurtosis	2.341467482296016	4.388352145812381	5.176459214768456
exponential	firstorder	Maximum	345.26132198874336	201.74924439035217	50.82583011344593
exponential	firstorder	MeanAbsoluteDeviation	58.543855925902925	36.78776668083002	6.050256648446284
exponential	firstorder	Mean	95.51442462906104	48.12083663918714	10.726040195719282
exponential	firstorder	Median	84.3315178646758	28.198133559509248	9.129779771946918
exponential	firstorder	Minimum	3.1251625248839368	5.418487942877566	1.3270488906375126
exponential	firstorder	Range	342.1361594638594	196.3307564474746	49.49878122280842
exponential	firstorder	RobustMeanAbsoluteDeviation	48.78371537255585	24.776098976652197	4.367700966633985
exponential	firstorder	RootMeanSquared	400.96784312900144	351.20202897301914	310.8198977546911
exponential	firstorder	Skewness	0.4022756734056324	1.4031001486400083	1.2531908833301975
exponential	firstorder	TotalEnergy	40193802.805880874	11539049.621715548	45792670.19027216
exponential	firstorder	Uniformity	0.13312	0.2928395061728395	0.9112944862824689
exponential	firstorder	Variance	4343.551133866269	2154.7482523977733	58.33678452486251
exponential	glcm	Autocorrelation	27.2404796427243	9.978554000429	1.1378846050860032
exponential	glcm	JointAverage	5.014764701669643	2.8469520860145865	1.0630266088663787
exponential	glcm	ClusterProminence	684.4930833274485	457.7680237220039	0.3240748046014969
exponential	glcm	ClusterShade	-6.050226208412227	40.84572043011336	0.18409013035074262
exponential	glcm	ClusterTendency	17.330400137692443	11.650777066013603	0.14509983055777273
exponential	glcm	Contrast	9.060039263736849	4.180849152724153	0.11374469976745612
exponential	glcm	Correlation	0.3093792303127575	0.4738976805709639	0.12961096620728824
exponential	glcm	DifferenceAverage	2.2822595814238666	1.5005429536679535	0.10563448488276188
exponential	glcm	DifferenceEntropy	2.710582665270863	2.1664719502139045	0.4938807820031151
exponential	glcm	DifferenceVariance	3.7003601048175323	1.847987210981148	0.10203095171011344
exponential	glcm	JointEnergy	0.02524482387960826	0.0787449516661932	0.7969964985241293
exponential	glcm	JointEntropy	5.806642243484254	4.339089499134223	0.6712544823569624
exponential	glcm	Imc1	-0.1158902277383959	-0.2758051337779901	-0.05405734278949219
exponential	glcm	Imc2	0.6981470875731417	0.8603044945026269	0.14055540520961604
exponential	glcm	Idm	0.37611113534486085	0.4846089490023313	0.9479937790470884
exponential	glcm	Idmn	0.9591891478329597	0.9556467310209021	0.9889998476333172
exponential	glcm	Id	0.44910498976529417	0.5448568657943658	0.9485344600394013
exponential	glcm	Idn	0.871532288602206	0.8709286917769061	0.9739968895235441
exponential	glcm	InverseVariance	0.33696052096472423	0.35688991223366223	0.09853804685865443
exponential	glcm	MaximumProbability	0.08267567690330983	0.20370348026598026	0.8898332770628365
exponential	glcm	SumEntropy	3.878862363246731	3.1208714545241496	0.5615932792366828
exponential	glcm	SumSquares	6.597609850357324	3.9579065546844387	0.06471113258130722
exponential	glrlm	GrayLevelNonUniformity	27.98473628020757	8.57568149210904	121.48993637261036
exponential	glrlm	GrayLevelNonUniformityNormalized	0.12876445977222406	0.24334673911938332	0.7795972684236694
exponential	glrlm	GrayLevelVariance	6.9472192858021815	4.103411558622916	0.12804823761446263
exponential	glrlm	HighGrayLevelRunEmphasis	25.0199223746215	11.647644735554975	1.4112332280979416
exponential	glrlm	LongRunEmphasis	1.5544259123534576	2.1787677030346506	15.255950579531886
exponential	glrlm	LongRunHighGrayLevelEmphasis	42.11053145338448	15.172859671862094	15.92338484651656
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.3891084462062307	1.4041728276045387	15.09669101961191
exponential	glrlm	LowGrayLevelRunEmphasis	0.24847555014413422	0.4800437079919856	0.904790699801706
exponential	glrlm	RunEntropy	3.6285596705564465	3.152280211110929	2.9248624901470857
exponential	glrlm	RunLengthNonUniformity	170.9209234738115	24.17724976631451	31.408013476915645
exponential	glrlm	RunLengthNonUniformityNormalized	0.7836999089643656	0.6797929864583786	0.1976802905987472
exponential	glrlm	RunPercentage	0.8686153846153848	0.7777777777777778	0.32635507951963655
exponential	glrlm	RunVariance	0.21584343047902887	0.48041435460488247	4.054930685758024
exponential	glrlm	ShortRunEmphasis	0.9048037025026194	0.8440796156130289	0.3562549547012974
exponential	glrlm	ShortRunHighGrayLevelEmphasis	22.170152019706	11.080893792849889	0.7198130348209714
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.2253600056270484	0.36825171946053886	0.27296444149757026
exponential	glszm	GrayLevelNonUniformity	6.8076923076923075	2.066666666666667	1.5
exponential	glszm	GrayLevelNonUniformityNormalized	0.1309171597633136	0.13777777777777778	0.375
exponential	glszm	GrayLevelVariance	7.980399408284024	4.782222222222222	0.5
exponential	glszm	HighGrayLevelZoneEmphasis	28.057692307692307	21.866666666666667	4.5
exponential	glszm	LargeAreaEmphasis	90.03846153846153	30.866666666666667	51141.5
exponential	glszm	LargeAreaHighGrayLevelEmphasis	2799.5576923076924	75.0	51339.25
exponential	glszm	LargeAreaLowGrayLevelEmphasis	25.384015412247283	27.458905811707396	51092.34027777778
exponential	glszm	LowGrayLevelZoneEmphasis	0.19102552184667987	0.20520210800369532	0.4027777777777778
exponential	glszm	SizeZoneNonUniformity	13.5	6.066666666666666	1.0
exponential	glszm	SizeZoneNonUniformityNormalized	0.25961538461538464	0.40444444444444444	0.25
exponential	glszm	SmallAreaEmphasis	0.5179283887388489	0.6399814814814814	0.2580567792222483
exponential	glszm	SmallAreaHighGrayLevelEmphasis	19.29770404958556	19.456185185185184	2.2822234458889152
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.08850476751895356	0.055844597715629454	0.029792890333359436
exponential	glszm	ZoneEntropy	4.7028569685078665	3.5068905956085152	1.9999999999999987
exponential	glszm	ZonePercentage	0.208	0.3333333333333333	0.008438818565400843
exponential	glszm	ZoneVariance	66.92455621301775	21.866666666666667	37099.25
exponential	gldm	DependenceEntropy	5.495739581740514	3.7043294986019526	4.249865667462728
exponential	gldm	DependenceNonUniformity	33.592	11.355555555555556	29.755274261603375
exponential	gldm	DependenceNonUniformityNormalized	0.134368	0.25234567901234567	0.06277484021435312
exponential	gldm	DependenceVariance	9.322944	1.5950617283950619	34.73079456639783
exponential	gldm	GrayLevelNonUniformity	33.28	13.177777777777777	431.9535864978903
exponential	gldm	GrayLevelVariance	6.997776	3.626666666666667	0.050388114440349664
exponential	gldm	HighGrayLevelEmphasis	25.764	9.71111111111111	1.149789029535865
exponential	gldm	LargeDependenceEmphasis	28.824	9.311111111111112	377.52742616033754
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	1040.948	32.333333333333336	381.13291139240505
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	5.48054029141133	7.288771073038268	376.6283989685889
exponential	gldm	LowGrayLevelEmphasis	0.2480727378713959	0.5446352705691331	0.9648968588842006
exponential	gldm	SmallDependenceEmphasis	0.18140953028156803	0.3000061728395062	0.008289697798173299
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	5.55318609944309	6.939512345679012	0.03348995828211371
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.03338325106148779	0.06646071638531956	0.004333748945355097
exponential	ngtdm	Busyness	1.210570733354017	1.3340222383369595	5.423843978771682
exponential	ngtdm	Coarseness	0.01778761081426844	0.08561566268334887	0.0486591839402522
exponential	ngtdm	Complexity	127.02271907037927	31.98036833067887	0.33107415345712815
exponential	ngtdm	Contrast	0.17695225400593273	0.11093131771227012	0.0014033108222802
exponential	ngtdm	Strength	1.5245534597785846	6.027717715862522	0.24579547570641577
square	firstorder	10Percentile	85.31830671189205	32.92894782730587	7.056801621589222
square	firstorder	90Percentile	271.63855824248736	164.77490817412578	65.3131462138433
square	firstorder	Energy	61012925.3327402	6964229.208021766	53725670.235767424
square	firstorder	Entropy	3.308594145677535	2.876755302764103	1.7784744238151013
square	firstorder	InterquartileRange	132.25780070082223	77.57622922107046	36.78858352527966
square	firstorder	Kurtosis	1.9151637111362847	2.0805446487152537	2.3847099696595646
square	firstorder	Maximum	345.2613219887431	201.74924439035212	110.41290173126913
square	firstorder	MeanAbsoluteDeviation	65.93943078157935	42.82224263420265	19.014673229779145
square	firstorder	Mean	188.29837288293595	90.25960946163553	35.91309871669674
square	firstorder	Median	198.80260561711697	79.87464358098875	34.992703339555774
square	firstorder	Minimum	13.12504797877804	20.45449701755618	0.5728357324144778
square	firstorder	Range	332.13627400996506	181.29474737279594	109.84006599885466
square	firstorder	RobustMeanAbsoluteDeviation	53.60549051086156	32.57162513144037	14.770917741393946
square	firstorder	RootMeanSquared	494.0158917797694	393.3963002713045	336.66793113697275
square	firstorder	Skewness	-0.3525756235701504	0.4501344167411847	0.3776908327179051
square	firstorder	TotalEnergy	61012925.3327402	14478265.985097878	53725670.235767424
square	firstorder	Uniformity	0.12774400000000002	0.15358024691358022	0.3151115383930638
square	firstorder	Variance	5616.400370838065	2458.0862900020556	507.68596659616503
square	glcm	Autocorrelation	80.33043004083045	22.095276303088802	4.916937762197926
square	glcm	JointAverage	8.816914288062655	4.490036465036464	2.1442391716432927
square	glcm	ClusterProminence	1164.8426068068677	314.7248041278901	12.809873143704749
square	glcm	ClusterShade	-64.26184957918522	14.465221634039862	0.8104794912425366
square	glcm	ClusterTendency	20.890930466294638	11.897943768943607	2.2611472521769334
square	glcm	Contrast	10.639408225650337	4.187493296868296	0.9927397571715386
square	glcm	Correlation	0.3206487235243367	0.48060165071156874	0.38985012015134907
square	glcm	DifferenceAverage	2.3808214401629053	1.6572648541398542	0.6915911320919361
square	glcm	DifferenceEntropy	2.82729420241128	2.056499529380955	1.4469579123521432
square	glcm	DifferenceVariance	4.782055833536186	1.3490138714897906	0.4986875413817599
square	glcm	JointEnergy	0.04450157562880955	0.03708602071653321	0.10917846405952067
square	glcm	JointEntropy	5.686980303601765	5.014026449542024	3.4844830278425434
square	glcm	Imc1	-0.1428134616357312	-0.26830172344205083	-0.09666901300834402
square	glcm	Imc2	0.7507702945517446	0.8858308520578089	0.5035428092265856
square	glcm	Idm	0.39322022198924433	0.4091011476489418	0.6843192964619921
square	glcm	Idmn	0.9536621551258597	0.953849545292048	0.9647008612439992
square	glcm	Id	0.46457832641712754	0.47804962328399836	0.7007852349204066
square	glcm	Idn	0.8691692023454768	0.8549209496865746	0.8916471140665566
square	glcm	InverseVariance	0.29876023716256156	0.42280887937788986	0.46218654142349025
square	glcm	MaximumProbability	0.17581071921503072	0.08172324109824108	0.172325310985491
square	glcm	SumEntropy	3.8809238612271804	3.486364684535099	2.5401971269862313
square	glcm	SumSquares	7.882584672986242	4.021359266452976	0.813471752337118
square	glrlm	GrayLevelNonUniformity	21.448460232714904	5.994294679788904	98.47086123286279
square	glrlm	GrayLevelNonUniformityNormalized	0.10153591251636745	0.1536761014910632	0.3128919259100862
square	glrlm	GrayLevelVariance	8.898678706895446	4.294832255455753	0.8747741837723532
square	glrlm	HighGrayLevelRunEmphasis	66.83289770079885	19.883673869633434	4.72195173679747
square	glrlm	LongRunEmphasis	1.745992726497983	1.5407128084438741	3.187098176882405
square	glrlm	LongRunHighGrayLevelEmphasis	150.11445478317512	32.03184281842819	14.46175453481156
square	glrlm	LongRunLowGrayLevelEmphasis	0.05662601347020056	0.22898454806779223	1.5322706771196086
square	glrlm	LowGrayLevelRunEmphasis	0.044705944306534254	0.17648426926029143	0.49660377389137894
square	glrlm	RunEntropy	3.9112082975634874	3.339442459030309	3.1203374127885564
square	glrlm	RunLengthNonUniformity	164.81663116038558	30.17313863928113	161.08666637084758
square	glrlm	RunLengthNonUniformityNormalized	0.7797347979702864	0.7708272052866127	0.5026778461557568
square	glrlm	RunPercentage	0.844	0.8666666666666667	0.6634209672184356
square	glrlm	RunVariance	0.33293550192227916	0.19717911819387432	0.8087518145880831
square	glrlm	ShortRunEmphasis	0.9016615593542456	0.8993790387922155	0.7281600252755543
square	glrlm	ShortRunHighGrayLevelEmphasis	56.52372988818472	17.72396421446853	3.4501105504681537
square	glrlm	ShortRunLowGrayLevelEmphasis	0.04296466134411289	0.16621864438410483	0.37176018374915354
square	glszm	GrayLevelNonUniformity	9.602150537634408	3.75	2.5555555555555554
square	glszm	GrayLevelNonUniformityNormalized	0.10324893051219794	0.15625	0.2839506172839506
square	glszm	GrayLevelVariance	7.6665510463637405	4.9375	2.2469135802469133
square	glszm	HighGrayLevelZoneEmphasis	51.96774193548387	19.0	8.222222222222221
square	glszm	LargeAreaEmphasis	54.88172043010753	5.125	7694.666666666667
