Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_5_segment_Rt ant Frontal	1: RTSTRUCT: RTstruct_5_segment_Lt ant Temporal	1: RTSTRUCT: RTstruct_5_segment_Rt Pre Motor Cortex	1: RTSTRUCT: RTstruct_5_segment_Rt Med Temporal
original	shape	SurfaceArea	163.18291472574327	53.835859194402644	697.0571471831986	
original	shape	SurfaceVolumeRatio	1.3584425783620668	2.3406895301914195	0.5722377811662995	
original	shape	VoxelVolume	128.0	28.0	1233.0	
original	firstorder	10Percentile	117.9677540027033	67.03754689310726	176.59546172691995	
original	firstorder	90Percentile	210.59338203906972	163.90959862089713	307.6133829907323	
original	firstorder	Energy	28434291.881736465	4827532.820206633	383554881.83131856	
original	firstorder	Entropy	2.4877589231299493	2.4322301554855343	2.859141968123132	
original	firstorder	InterquartileRange	36.67627948817824	60.7068740813219	73.82198956806255	
original	firstorder	Kurtosis	3.8801860535959056	2.169025543260699	3.4937842358309505	
original	firstorder	Maximum	267.563497812794	191.9510729903795	339.4784434561367	
original	firstorder	MeanAbsoluteDeviation	27.479150033520114	30.99463907886697	43.15130416954867	
original	firstorder	Mean	169.82246067884182	113.548531125758	255.2175888160847	
original	firstorder	Median	168.8021129736536	108.05894534339745	272.201700723864	
original	firstorder	Minimum	57.92297981456886	56.42155314802061	75.17937494351233	
original	firstorder	Range	209.64051799822516	135.52951984235887	264.29906851262433	
original	firstorder	RobustMeanAbsoluteDeviation	16.96330459401994	22.679692663054276	30.707849076827408	
original	firstorder	RootMeanSquared	471.3203850100971	415.22510333065264	557.7405480350155	
original	firstorder	Skewness	-0.1984922580111169	0.32629159747462266	-1.0538123761855172	
original	firstorder	TotalEnergy	28434291.881736465	4827532.820206633	383554881.83131856	
original	firstorder	Uniformity	0.2249755859375	0.20408163265306126	0.16843573820503868	
original	firstorder	Variance	1409.7607677442718	1389.49883967914	2807.9479916525734	
original	glcm	Autocorrelation	31.353609318802462	11.746069315300085	63.89674840910566	
original	glcm	JointAverage	5.563845535733445	3.3442742086972856	7.807727502618833	
original	glcm	ClusterProminence	93.45541903954118	68.58268339972895	954.1097848441532	
original	glcm	ClusterShade	-0.6544223220964971	-2.259831328257264	-76.14897805109987	
original	glcm	ClusterTendency	4.579237014865884	5.7009518579385094	15.740863945596995	
original	glcm	Contrast	3.030202435446375	3.521637550483704	4.000255693790316	
original	glcm	Correlation	0.19552855466394445	0.2629137971738094	0.5970923933735033	
original	glcm	DifferenceAverage	1.2846965425998818	1.5215483234714005	1.4486067670026974	
original	glcm	DifferenceEntropy	2.0229339193701183	1.5486996112284024	2.2275665287469795	
original	glcm	DifferenceVariance	1.35171659449792	0.8964802551906312	1.8449529975802754	
original	glcm	JointEnergy	0.07130763888668185	0.09525663209112774	0.04961433548921222	
original	glcm	JointEntropy	4.33882162414921	3.540179959809648	5.271638431721235	
original	glcm	Imc1	-0.14197753251900005	-0.5502650398657223	-0.1287517804190349	
original	glcm	Imc2	0.6874992093626844	0.951857533267946	0.7010809323994193	
original	glcm	Idm	0.5153913466185028	0.431060130166465	0.4968825303255081	
original	glcm	Idmn	0.9669171842059444	0.9199106008090875	0.970437506597899	
original	glcm	Id	0.561700516364274	0.49334867411790484	0.547633469605157	
original	glcm	Idn	0.885503802134192	0.814276324509841	0.8935158170362372	
original	glcm	InverseVariance	0.460859576521171	0.4627114706281373	0.4283554468749809	
original	glcm	MaximumProbability	0.14204537911283363	0.11983657368272753	0.1293893416597208	
original	glcm	SumEntropy	2.9494017314843286	2.3940883934771446	3.5995483181419563	
original	glcm	SumSquares	1.9023598625780656	2.305647352105553	4.9352799098468285	
original	glrlm	GrayLevelNonUniformity	22.554375969238944	5.28321968629661	147.45620019212413	
original	glrlm	GrayLevelNonUniformityNormalized	0.20863452706927457	0.20288587670360944	0.1521734834443617	
original	glrlm	GrayLevelVariance	2.536564797059419	2.218493999797678	4.581962049956913	
original	glrlm	HighGrayLevelRunEmphasis	30.144928170235954	11.802353714661406	60.609905750215574	
original	glrlm	LongRunEmphasis	1.7238939079275584	1.2411176857330704	2.2467023262768473	
original	glrlm	LongRunHighGrayLevelEmphasis	52.34118197134773	14.131162768855079	156.69741061747234	
original	glrlm	LongRunLowGrayLevelEmphasis	0.10108713894831328	0.3475174578389322	0.06665551847914228	
original	glrlm	LowGrayLevelRunEmphasis	0.07107740712320922	0.2691779444914061	0.037549020141833686	
original	glrlm	RunEntropy	3.1593345431831077	2.6694787353652254	3.7928308270754076	
original	glrlm	RunLengthNonUniformity	81.56772467099537	22.885478851632698	664.4751628887477	
original	glrlm	RunLengthNonUniformityNormalized	0.7490867430556374	0.8682062380862292	0.6825817170816012	
original	glrlm	RunPercentage	0.8419471153846154	0.9313186813186813	0.7832678270634474	
original	glrlm	RunVariance	0.27794852988110513	0.06589688095688534	0.5722725723435522	
original	glrlm	ShortRunEmphasis	0.8849788289858012	0.9397205785667323	0.8509027291090269	
original	glrlm	ShortRunHighGrayLevelEmphasis	26.488550450540625	11.220151451112988	50.07104744399101	
original	glrlm	ShortRunLowGrayLevelEmphasis	0.06604161908822646	0.24959306615452448	0.032946728457166514	
original	glszm	GrayLevelNonUniformity	4.12	1.6666666666666667	19.448275862068964	
original	glszm	GrayLevelNonUniformityNormalized	0.1648	0.18518518518518517	0.16765755053507728	
original	glszm	GrayLevelVariance	4.2943999999999996	3.0617283950617282	3.821046373365042	
original	glszm	HighGrayLevelZoneEmphasis	27.72	13.444444444444445	42.775862068965516	
original	glszm	LargeAreaEmphasis	121.04	15.11111111111111	1647.8706896551723	
original	glszm	LargeAreaHighGrayLevelEmphasis	3557.64	144.66666666666666	137481.83620689655	
original	glszm	LargeAreaLowGrayLevelEmphasis	4.64480781053162	3.4715123456790122	23.075805056660712	
original	glszm	LowGrayLevelZoneEmphasis	0.1325671264802217	0.3090432098765432	0.05772623503371562	
original	glszm	SizeZoneNonUniformity	5.8	2.111111111111111	28.775862068965516	
original	glszm	SizeZoneNonUniformityNormalized	0.232	0.2345679012345679	0.24806777645659928	
original	glszm	SmallAreaEmphasis	0.4482594066827833	0.33316186556927296	0.5114519338597453	
original	glszm	SmallAreaHighGrayLevelEmphasis	10.089778096362512	3.189043209876543	22.34524107414486	
original	glszm	SmallAreaLowGrayLevelEmphasis	0.0769534280263988	0.15148729233348573	0.02633512207390965	
original	glszm	ZoneEntropy	4.083856189774719	2.947702779220087	5.058491704742647	
original	glszm	ZonePercentage	0.1953125	0.32142857142857145	0.09407948094079481	
original	glszm	ZoneVariance	94.8256	5.432098765432099	1534.8884512485138	
original	gldm	DependenceEntropy	5.148257817507492	3.4946803684089045	6.0768764506672515	
original	gldm	DependenceNonUniformity	14.0	8.642857142857142	99.8905109489051	
original	gldm	DependenceNonUniformityNormalized	0.109375	0.3086734693877551	0.08101420190503253	
original	gldm	DependenceVariance	9.363037109375	0.9540816326530612	15.868423701020003	
original	gldm	GrayLevelNonUniformity	28.796875	5.714285714285714	207.68126520681264	
original	gldm	GrayLevelVariance	2.33050537109375	2.2091836734693877	4.542404766462166	
original	gldm	HighGrayLevelEmphasis	30.3046875	11.642857142857142	63.643957826439575	
original	gldm	LargeDependenceEmphasis	35.46875	8.714285714285714	59.89213300892133	
original	gldm	LargeDependenceHighGrayLevelEmphasis	1106.2578125	74.0	4690.944849959448	
original	gldm	LargeDependenceLowGrayLevelEmphasis	1.352021806697216	3.1312400793650794	1.3525710015556407	
original	gldm	LowGrayLevelEmphasis	0.06635046365189594	0.2733234126984127	0.035141176170317506	
original	gldm	SmallDependenceEmphasis	0.14733726404766628	0.21354166666666669	0.09632231821295272	
original	gldm	SmallDependenceHighGrayLevelEmphasis	3.7630982254145353	2.4970238095238098	4.525956699542456	
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.019672115610925443	0.0659333664021164	0.004649776416331389	
original	ngtdm	Busyness	0.3681915026771906	0.506009843331272	1.5833235303196964	
original	ngtdm	Coarseness	0.052261752357068786	0.19762461406216658	0.006242718395983088	
original	ngtdm	Complexity	29.242900074394555	12.146211131927354	47.911519521940974	
original	ngtdm	Contrast	0.062103156978768816	0.14143830537780977	0.0764709282198796	
original	ngtdm	Strength	1.3311199365385635	2.3694759719874425	0.3351265632617633	
exponential	firstorder	10Percentile	8.512218480913488	3.459872034588714	18.798998619426985	
exponential	firstorder	90Percentile	45.71404633411888	20.726291750880485	165.73974715078006	
exponential	firstorder	Energy	13782142.361313857	2699676.552766176	193743158.8482685	
exponential	firstorder	Entropy	1.3837018124096927	0.37123232664087497	3.022896825117336	
exponential	firstorder	InterquartileRange	16.133972307325735	9.605485844987289	99.49972068264145	
exponential	firstorder	Kurtosis	11.185842362745493	4.556407000703518	1.9819771824022885	
exponential	firstorder	Maximum	128.56553526329108	34.656103519037885	281.40555156383687	
exponential	firstorder	MeanAbsoluteDeviation	13.754513392482393	6.130108822015578	48.90567347903062	
exponential	firstorder	Mean	27.430594870938236	10.411209082908453	92.39969445945793	
exponential	firstorder	Median	21.410088740232034	7.366850931745496	92.03050729838205	
exponential	firstorder	Minimum	2.8614743540985605	2.8352964927179842	3.486729338454008	
exponential	firstorder	Range	125.70406090919252	31.8208070263199	277.9188222253829	
exponential	firstorder	RobustMeanAbsoluteDeviation	7.2061640768182516	3.728069844304473	39.09018083806423	
exponential	firstorder	RootMeanSquared	328.1356231770097	310.5109011639513	396.3981782148177	
exponential	firstorder	Skewness	2.615036149864067	1.4629901635508167	0.19048041303894778	
exponential	firstorder	TotalEnergy	13782142.361313857	2699676.552766176	193743158.8482685	
exponential	firstorder	Uniformity	0.462890625	0.8673469387755102	0.13124807191264293	
exponential	firstorder	Variance	462.19274022802443	61.901017336033384	3153.9954801504464	
exponential	glcm	Autocorrelation	2.9130267445598172	1.1892716258100873	22.16340277719003	
exponential	glcm	JointAverage	1.671873823407086	1.0927127359819666	4.434305990748074	
exponential	glcm	ClusterProminence	29.51689296276597	0.10598775673142573	473.5368440251659	
exponential	glcm	ClusterShade	5.062146435978795	0.09684243756930092	-13.047391039428877	
exponential	glcm	ClusterTendency	1.884065658889117	0.1507661896625337	15.489350311908112	
exponential	glcm	Contrast	1.4238306599007042	0.17773316427162583	5.502994135197654	
exponential	glcm	Correlation	0.14617743350786305	0.09185633207372351	0.47794844749636234	
exponential	glcm	DifferenceAverage	0.7534066546035058	0.17773316427162583	1.7137998259227698	
exponential	glcm	DifferenceEntropy	1.4832051111189841	0.6149225516719175	2.4517623356382137	
exponential	glcm	DifferenceVariance	0.8305175425225136	0.13768926658561062	2.4752226025130266	
exponential	glcm	JointEnergy	0.20246367327768983	0.6980610564473095	0.02739971893098196	
exponential	glcm	JointEntropy	2.7759052982159025	0.8140856456539501	5.688098210339929	
exponential	glcm	Imc1	-0.10373616192610567	-0.04595960333293829	-0.12503976552960985	
exponential	glcm	Imc2	0.48484785077086595	0.18336763496113687	0.7100434637821098	
exponential	glcm	Idm	0.6850983312266534	0.9111334178641871	0.4603893294869135	
exponential	glcm	Idmn	0.967499527832878	0.9644533671456748	0.9659880273835084	
exponential	glcm	Id	0.6998473901454652	0.9111334178641871	0.5228804291782855	
exponential	glcm	Idn	0.9024825787211641	0.940755611909458	0.8860829086072364	
exponential	glcm	InverseVariance	0.4623773521305	0.17773316427162583	0.34902044759534534	
exponential	glcm	MaximumProbability	0.2879820682177943	0.8184206818822205	0.07993654489059931	
exponential	glcm	SumEntropy	2.0520194323671856	0.6363524813823246	3.781981423826337	
exponential	glcm	SumSquares	0.8269740796974554	0.08212483848353988	5.248086111776441	
exponential	glrlm	GrayLevelNonUniformity	41.99621937013558	16.53335929770713	126.06413223953486	
exponential	glrlm	GrayLevelNonUniformityNormalized	0.44433081741052916	0.822628033628466	0.1308047538763083	
exponential	glrlm	GrayLevelVariance	0.9550097926966934	0.08868598318576694	4.765390265969884	
exponential	glrlm	HighGrayLevelRunEmphasis	3.6028897723495343	1.2961733194341891	23.28881160246988	
exponential	glrlm	LongRunEmphasis	2.646610767120803	2.888520489172663	2.2060901328534817	
exponential	glrlm	LongRunHighGrayLevelEmphasis	7.167597685721142	3.253924577837622	48.55519764156262	
exponential	glrlm	LongRunLowGrayLevelEmphasis	1.8630485959092502	2.7971694670064235	0.5942202879675569	
exponential	glrlm	LowGrayLevelRunEmphasis	0.6651090970565308	0.9259566701414528	0.1717702529023276	
exponential	glrlm	RunEntropy	2.498077653068621	1.4323305192383677	3.857239070341365	
exponential	glrlm	RunLengthNonUniformity	58.3682012984774	11.542726379900293	660.811522354858	
exponential	glrlm	RunLengthNonUniformityNormalized	0.6005839871323505	0.5487488315358514	0.6787875221453985	
exponential	glrlm	RunPercentage	0.7319711538461539	0.7142857142857143	0.7827687316738412	
exponential	glrlm	RunVariance	0.5902054377937087	0.46867529824160975	0.5299136548597841	
exponential	glrlm	ShortRunEmphasis	0.7898793866411145	0.7238912409886142	0.8484515530490172	
exponential	glrlm	ShortRunHighGrayLevelEmphasis	3.0881315452153455	1.0027568681151107	20.19656933894383	
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.5234346325678164	0.6541748342069899	0.1229273631492688	
exponential	glszm	GrayLevelNonUniformity	1.6666666666666667	1.0	13.929824561403509	
exponential	glszm	GrayLevelNonUniformityNormalized	0.18518518518518517	0.5	0.12219144352108341	
exponential	glszm	GrayLevelVariance	2.2222222222222223	0.25	7.429978454909203	
exponential	glszm	HighGrayLevelZoneEmphasis	13.333333333333334	2.5	29.70175438596491	
exponential	glszm	LargeAreaEmphasis	814.4444444444445	340.0	972.219298245614	
exponential	glszm	LargeAreaHighGrayLevelEmphasis	1405.111111111111	346.0	24799.5	
exponential	glszm	LargeAreaLowGrayLevelEmphasis	672.0617592592594	338.5	182.1524666397586	
exponential	glszm	LowGrayLevelZoneEmphasis	0.2127777777777778	0.625	0.1772722466991995	
exponential	glszm	SizeZoneNonUniformity	2.3333333333333335	1.0	28.140350877192983	
exponential	glszm	SizeZoneNonUniformityNormalized	0.25925925925925924	0.5	0.24684518313327178	
exponential	glszm	SmallAreaEmphasis	0.42909819698738993	0.1257396449704142	0.508097050606616	
exponential	glszm	SmallAreaHighGrayLevelEmphasis	8.216333528690301	0.5007396449704142	17.672414909685905	
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.031432882580180815	0.0319896449704142	0.07211981204791987	
exponential	glszm	ZoneEntropy	3.169925001442309	0.9999999999999993	5.265116795643951	
exponential	glszm	ZonePercentage	0.0703125	0.07142857142857142	0.09245742092457421	
exponential	glszm	ZoneVariance	612.1728395061729	144.0	855.2379963065558	
exponential	gldm	DependenceEntropy	4.73097101278574	2.9991695476615052	6.330977450002596	
exponential	gldm	DependenceNonUniformity	10.0625	3.857142857142857	104.62854825628548	
exponential	gldm	DependenceNonUniformityNormalized	0.07861328125	0.1377551020408163	0.08485689234086413	
exponential	gldm	DependenceVariance	13.2333984375	9.673469387755102	22.524929141761866	
exponential	gldm	GrayLevelNonUniformity	59.25	24.285714285714285	161.82887266828874	
exponential	gldm	GrayLevelVariance	0.77734375	0.06632653061224489	5.004635302893069	
exponential	gldm	HighGrayLevelEmphasis	3.21875	1.2142857142857142	22.660989456609894	
exponential	gldm	LargeDependenceEmphasis	76.734375	80.71428571428571	66.72100567721006	
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	178.890625	81.57142857142857	1159.1897810218977	
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	51.84695529513888	80.5	31.61250116436139	
exponential	gldm	LowGrayLevelEmphasis	0.6767860243055555	0.9464285714285714	0.21000072375079618	
exponential	gldm	SmallDependenceEmphasis	0.059633478550855525	0.03417363984874599	0.10140658523802493	
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.725953384747161	0.08774506842017457	2.787911101943984	
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.01948470859900139	0.02078078270588885	0.014265716951182816	
exponential	ngtdm	Busyness	3.064917871930152	1.4579725829725825	4.41142206040497	
exponential	ngtdm	Coarseness	0.034231923063182255	0.43647160707658056	0.005692035432261881	
exponential	ngtdm	Complexity	12.118361819507568	0.163649983803045	65.26119232276127	
exponential	ngtdm	Contrast	0.029789375880962622	0.009879419454856774	0.10742833125242834	
exponential	ngtdm	Strength	1.2146930113795407	0.47954329210275926	0.2956789430729644	
square	firstorder	10Percentile	43.85879054696638	14.522252020668567	88.3085624193254	
square	firstorder	90Percentile	139.75248368465193	86.54221792178744	267.950164620441	
square	firstorder	Energy	20208538.24856972	3375130.939192262	304789557.4679934	
square	firstorder	Entropy	2.589528133057356	2.064189375372826	3.317458573863365	
square	firstorder	InterquartileRange	40.36210346287962	44.32848950185745	109.07186458827621	
square	firstorder	Kurtosis	4.41270076135216	2.7792495983233096	2.3939321916600846	
square	firstorder	Maximum	225.59179757739537	118.58834746687305	326.3382493868589	
square	firstorder	MeanAbsoluteDeviation	29.457860416297226	23.587814914772025	58.53339236781885	
square	firstorder	Mean	95.32059734390188	45.96987295456738	192.3953035076238	
square	firstorder	Median	89.78949531936416	37.60230149294165	209.8095458686375	
square	firstorder	Minimum	10.572345977384673	10.245921001586076	16.00445892432886	
square	firstorder	Range	215.01945160001068	108.34242646528696	310.33379046253003	
square	firstorder	RobustMeanAbsoluteDeviation	18.252961611074916	16.724771507529315	44.360902977202265	
square	firstorder	RootMeanSquared	397.3401629170539	347.1892721347218	497.1855561711356	
square	firstorder	Skewness	0.7391171079548925	0.818183845781271	-0.6134671249348035	
square	firstorder	TotalEnergy	20208538.24856972	3375130.939192262	304789557.4679934	
square	firstorder	Uniformity	0.215576171875	0.2729591836734694	0.1156944501999291	
square	firstorder	Variance	1600.8303826115298	845.2376932384304	4740.342348836484	
square	glcm	Autocorrelation	21.954126124433092	6.701141166525781	75.80114623760738	
square	glcm	JointAverage	4.63504767111176	2.5296456748379823	8.423125415098305	
square	glcm	ClusterProminence	156.40834830249608	27.21618049288373	1946.464805701056	
square	glcm	ClusterShade	8.045338974329535	0.9160029249458782	-114.39408500111655	
square	glcm	ClusterTendency	5.660779091269628	3.523982769269646	26.25327329093506	
square	glcm	Contrast	3.826683411289025	2.3714590964590965	6.857226781314207	
square	glcm	Correlation	0.18895674167745202	0.21412208199977606	0.5879041668047521	
square	glcm	DifferenceAverage	1.4235657775894965	1.1752770733539966	1.9295905582211488	
square	glcm	DifferenceEntropy	2.132710028673239	1.62308773656407	2.580836628589123	
square	glcm	DifferenceVariance	1.759061200625587	0.8123717388934703	3.0323047022755585	
square	glcm	JointEnergy	0.06590085205458467	0.12072669738464681	0.026011979312286368	
square	glcm	JointEntropy	4.534781879154713	3.3134159290924217	6.125247066528062	
square	glcm	Imc1	-0.15964050795924428	-0.44030500383841237	-0.12768569887342773	
square	glcm	Imc2	0.7303030402874648	0.8757908306922817	0.7354230125801474	
square	glcm	Idm	0.494180667747376	0.5304282758468278	0.4250308428043325	
square	glcm	Idmn	0.9665477925221921	0.9232381631272167	0.96861072193186	
square	glcm	Id	0.5439294941006273	0.5769365783788861	0.4916204008774331	
square	glcm	Idn	0.8862079201558214	0.8300463438169483	0.8888791211174394	
square	glcm	InverseVariance	0.45042933210570557	0.446263684084197	0.3524116573076506	
square	glcm	MaximumProbability	0.14305993467703446	0.19712595097210484	0.10639516558418172	
square	glcm	SumEntropy	3.051982997535975	2.2228254447421665	4.065177317684006	
square	glcm	SumSquares	2.3718656256396637	1.4738604664321855	8.277625018062315	
square	glrlm	GrayLevelNonUniformity	21.54846582391929	6.768067032682418	107.65085705508778	
square	glrlm	GrayLevelNonUniformityNormalized	0.1968121127497504	0.26836945705847515	0.10724108821131588	
square	glrlm	GrayLevelVariance	2.949490169082831	1.4463907945274421	7.405224442729503	
square	glrlm	HighGrayLevelRunEmphasis	21.842295142255093	6.914936801090647	71.31184379865522	
square	glrlm	LongRunEmphasis	1.669121835581561	1.3804291435060667	1.9492840751403984	
square	glrlm	LongRunHighGrayLevelEmphasis	34.84137626911987	8.488971142817297	162.28795907412814	
square	glrlm	LongRunLowGrayLevelEmphasis	0.15544246732483222	0.6059531374529238	0.06272858408292899	
square	glrlm	LowGrayLevelRunEmphasis	0.10960082724659714	0.39455987496991773	0.03501766241703244	
square	glrlm	RunEntropy	3.244235646417477	2.441110497903682	4.068563184186132	
square	glrlm	RunLengthNonUniformity	84.07150752185643	20.984793895563126	727.7152318026633	
square	glrlm	RunLengthNonUniformityNormalized	0.7641499594149046	0.8224447128742469	0.720811999240611	
