Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_32_segment_Rt Frontal	1: RTSTRUCT: ANON_32_segment_Lt Ant Frontal	1: RTSTRUCT: ANON_32_segment_Rt Ant Frontal	1: RTSTRUCT: ANON_32_segment_Rt Ant lat Ventricle	1: RTSTRUCT: ANON_32_segment_Rt Lat Parietal	1: RTSTRUCT: ANON_32_segment_Rt Ant Temporal	1: RTSTRUCT: ANON_32_segment_Rt Occipital	1: RTSTRUCT: ANON_32_segment_Lt Cerebellar	1: RTSTRUCT: ANON_32_segment_Rt Inf Occipital	1: RTSTRUCT: ANON_32_segment_Rt Inf Temporal	1: RTSTRUCT: ANON_32_segment_Lt Ant Temporal	1: RTSTRUCT: ANON_32_segment_Lt Insula	1: RTSTRUCT: ANON_32_segment_Lt post paramedian	1: RTSTRUCT: ANON_32_segment_Rt Parietal
diagnostics	Image-original	Size	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)		(256, 256, 174)	(256, 256, 174)
diagnostics	Image-original	Mean	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359	65.77407696603359		65.77407696603359	65.77407696603359
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0
diagnostics	Image-original	Maximum	1946.0	1946.0	1946.0	1946.0	1946.0	1946.0	1946.0	1946.0	1946.0	1946.0	1946.0		1946.0	1946.0
diagnostics	Mask-original	Hash	0f3d2c56b923d7875d6fa60e5072d0720b7feae5	018180e626a3474691c169fb5f12ea7eccf82c55	5dee067d5f38cb79759569125f36d3a26672888a	037191ac6de5cf3b54e10d81a4e07d73145b180b	161ca3f2358d38be58b5b060879abe2009229af6	9e037d5c2fc4b8de999b2b25ed02cff4f55bf3b7	66519d38c10b30ca1036efc2ecae600197425123	f1f536fc3615687af47542961d78ad6d43b65f74	cc467ca95a00c66150785f6e6d938fdfcb3f04c5	f0af80ddac399ac7714245fc18ed58ebfd43e8e8	299007b7f2320b8cad2c6aad6aad604cb464d67a		eb524197bfee6358cfc480a158f7647d45e8c46b	8e0c01fb6c4e35071d0a1a8590aed2e8e1ddb796
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)		(1.015625, 1.015625, 1.196531791907526)	(1.015625, 1.015625, 1.196531791907526)
diagnostics	Mask-original	Size	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)	(256, 256, 174)		(256, 256, 174)	(256, 256, 174)
diagnostics	Mask-original	BoundingBox	(97, 126, 117, 6, 4, 4)	(148, 92, 104, 7, 6, 5)	(107, 76, 104, 4, 5, 1)	(107, 101, 97, 6, 7, 7)	(75, 183, 87, 4, 4, 6)	(90, 109, 77, 6, 10, 4)	(105, 191, 78, 4, 4, 1)	(151, 175, 51, 3, 3, 4)	(156, 198, 54, 7, 8, 7)	(94, 137, 74, 4, 4, 2)	(171, 121, 80, 4, 3, 2)		(142, 180, 100, 4, 4, 4)	(112, 180, 100, 3, 3, 3)
diagnostics	Mask-original	VoxelNum	48	102	14	157	35	77	12	16	209	20	10		23	14
diagnostics	Mask-original	VolumeNum	1	1	1	1	1	1	1	1	1	1	1		1	1
diagnostics	Mask-original	CenterOfMassIndex	(99.625, 127.66666666666667, 118.70833333333333)	(151.1078431372549, 94.48039215686275, 106.20588235294117)	(108.14285714285714, 77.71428571428571, 104.0)	(109.90445859872611, 104.12101910828025, 99.27388535031847)	(76.42857142857143, 184.45714285714286, 90.2)	(92.84415584415585, 113.51948051948052, 78.57142857142857)	(106.33333333333333, 192.66666666666666, 78.0)	(152.4375, 175.625, 52.4375)	(159.244019138756, 201.9665071770335, 57.377990430622006)	(95.5, 138.2, 74.7)	(172.4, 121.9, 80.9)		(143.17391304347825, 181.47826086956522, 101.34782608695652)	(113.42857142857143, 180.78571428571428, 101.14285714285714)
diagnostics	Mask-original	CenterOfMass	(-32.4111318588249, 5.642087777318906, 7.7019357736392635)	(19.87613070261466, -28.062722271444642, -7.257644301165357)	(-23.760183197862176, -45.09079912740064, -9.897052665667246)	(-21.97105671937659, -18.27146052411618, -15.551999096211105)	(-55.97000462696448, 63.31991515815592, -26.409191393991108)	(-39.297926704533765, -8.726148153450737, -40.32314680274435)	(-25.597980817481513, 71.65771277735224, -41.00687925526293)	(21.22656345343657, 54.34977006924824, -71.59322318589906)	(28.139434453604622, 81.10286329595674, -65.68176931804493)	(-36.60058498387728, 16.34000444396507, -44.95543416855776)	(41.50097751620379, -0.21468305565247192, -37.5369370587311)		(11.81823295069006, 60.29448813985435, -13.070463070291567)	(-18.39187962694622, 59.591120515482785, -13.315714928260192)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.196531791907526)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.196531791907526)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)		(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(18, 16, 17)	(19, 19, 18)	(16, 17, 13)	(18, 19, 20)	(16, 16, 19)	(18, 22, 17)	(16, 16, 13)	(15, 15, 17)	(20, 20, 20)	(17, 16, 15)	(16, 15, 14)		(16, 16, 16)	(15, 15, 15)
diagnostics	Image-interpolated	Mean	154.2081112034809	103.13300379823124	52.831270078733255	94.82099668844286	59.6766057844301	61.97419663378976	81.78514785726426	53.66526286579618	95.9357634160774	40.33982738832168	59.363142171382236		65.7982937510262	81.7287912905444
diagnostics	Image-interpolated	Minimum	15.071010935592227	-26.17679944657246	-48.898776011184076	-29.5287036517451	-49.22964918008892	-43.435319394144045	-11.176527459854325	-9.499092072527878	-54.02630805141309	-55.15740638640649	-43.464254035966384		-22.77680710161541	-24.14317678692413
diagnostics	Image-interpolated	Maximum	299.0910803928136	164.58705803124812	144.72188812316077	170.22397297455763	199.01807825100633	321.3141027533533	157.238908968876	100.55691518253471	319.76549888067785	248.540699709128	184.2810400535597		164.64383765482782	125.98363241853626
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.196531791907526)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.196531791907526)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)		(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(18, 16, 17)	(19, 19, 18)	(16, 17, 13)	(18, 19, 20)	(16, 16, 19)	(18, 22, 17)	(16, 16, 13)	(15, 15, 17)	(20, 20, 20)	(17, 16, 15)	(16, 15, 14)		(16, 16, 16)	(15, 15, 15)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 6, 4, 5)	(6, 6, 6, 7, 7, 6)	(6, 6, 6, 4, 5, 1)	(6, 6, 6, 6, 7, 8)	(6, 6, 6, 4, 4, 7)	(6, 6, 6, 6, 10, 5)	(6, 6, 6, 4, 4, 1)	(6, 6, 6, 3, 3, 5)	(6, 6, 6, 8, 8, 8)	(6, 6, 7, 5, 4, 2)	(6, 6, 6, 4, 3, 2)		(6, 6, 6, 4, 4, 4)	(6, 6, 6, 3, 3, 3)
diagnostics	Mask-interpolated	VoxelNum	67	137	14	187	40	112	12	21	297	27	10		23	14
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1	1	1	1	1	1	1	1		1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(8.611940298507463, 7.6716417910447765, 8.208955223880597)	(8.83941605839416, 8.963503649635037, 8.883211678832117)	(7.142857142857143, 7.714285714285714, 6.0)	(8.909090909090908, 9.181818181818182, 8.759358288770054)	(7.425, 7.425, 9.875)	(8.866071428571429, 10.535714285714286, 8.071428571428571)	(7.333333333333333, 7.666666666666667, 6.0)	(7.476190476190476, 6.666666666666667, 7.9523809523809526)	(9.74074074074074, 9.969696969696969, 9.902356902356903)	(8.0, 7.222222222222222, 7.666666666666667)	(7.4, 6.9, 6.9)		(7.173913043478261, 7.478260869565218, 7.3478260869565215)	(7.428571428571429, 6.785714285714286, 7.142857142857143)
diagnostics	Mask-interpolated	CenterOfMass	(-31.988644685317446, 5.644458735032424, 7.774330303876869)	(19.238831074734307, -28.063679406126475, -7.551413241171597)	(-23.457727840718235, -45.312897341684874, -9.897052665667253)	(-21.691494074618973, -17.845364874143748, -15.67526663123366)	(-56.175584984107736, 63.397816943869216, -26.559624920003714)	(-39.73451355518426, -8.491468770336, -40.36319634857516)	(-25.26725165081475, 71.63948361068724, -41.00687925526292)	(20.875605492125633, 54.639483610913175, -71.48224396762278)	(28.140155756547088, 80.94251391397907, -65.53226801764681)	(-36.60058498387659, 16.195039166187275, -44.76795825333705)	(41.79941501620334, -0.12718305565102206, -37.534624920003715)		(11.573328059384973, 60.45107781376619, -13.086798833047206)	(-18.172013555518483, 59.758531229769595, -13.291767777146585)
diagnostics	Mask-interpolated	Mean	246.75594135739345	131.27990759843837	114.3946232579075	125.60222774210085	144.3491291921845	132.79448650646134	131.1881207094289	78.25146623527746	136.75188229416477	118.43516941198446	135.00889491817236		131.93803015978082	114.39104849249452
diagnostics	Mask-interpolated	Minimum	199.98963250048902	69.71362147677728	83.98637966970591	76.15832168830168	90.92566239709383	83.62300742706918	108.59170510545287	56.21270457644428	66.07829689840389	93.58031240956184	93.34327699146692		98.27573829086887	98.80712369389836
diagnostics	Mask-interpolated	Maximum	299.0910803928136	158.87036004275063	144.72188812316077	159.07313167505575	199.01807825100633	196.19998366039263	157.238908968876	100.55691518253471	192.58782647150267	147.03406077152377	164.83296592506528		164.64383765482782	125.98363241853626
original	shape	Elongation	0.6609652149406681	0.8306319532515554	0.7476527859373069	0.7236757221799711	0.6664342979400034	0.5852407492870917	0.5773502691896258	0.5269383280769503	0.9393777249401889	0.8407145394898291	0.7026639905966414		0.7682144128984145	0.8743647392305988
original	shape	Flatness	0.5895265077914514	0.5386283637569379	1.817635367890023e-16	0.6763557399333907	0.627681841559844	0.4100960461194817	1.764631583609569e-16	0.36941691305567675	0.8895404088750747	0.3909580359801062	0.30883170952386896		0.5455851535691759	0.6789285176897113
original	shape	LeastAxisLength	3.6329072620908507	4.184800641035232	8.881784197001252e-16	5.557703045394541	3.3885473311154333	3.6118503010271823	8.881784197001252e-16	1.9713959241104704	7.057337947520916	1.8552397970755856	1.1677464667656277		2.3479763723540596	2.148461943414229
original	shape	MajorAxisLength	6.162415453888316	7.769365526624348	4.886449919442066	8.217130006085078	5.398511007893104	8.80732778383059	5.033222956847167	5.3365069503825096	7.933690113578679	4.745368112013917	3.7811741176641545		4.3035928617078	3.1644891729178095
original	shape	Maximum2DDiameterColumn	6.708203932499369	8.602325267042627	4.0	8.54400374531753	7.0710678118654755	6.324555320336759	4.0	5.385164807134504	9.433981132056603	5.0	4.0		4.123105625617661	3.605551275463989
original	shape	Maximum2DDiameterRow	5.0990195135927845	7.280109889280518	5.0	9.219544457292887	7.0710678118654755	9.219544457292887	4.0	5.0990195135927845	8.94427190999916	4.123105625617661	3.0		4.47213595499958	3.1622776601683795
original	shape	Maximum2DDiameterSlice	6.324555320336759	7.615773105863909	5.0990195135927845	7.280109889280518	4.47213595499958	10.198039027185569	5.0	3.1622776601683795	8.94427190999916	5.385164807134504	4.123105625617661		4.47213595499958	3.1622776601683795
original	shape	Maximum3DDiameter	7.0	8.831760866327848	5.0990195135927845	9.695359714832659	7.0710678118654755	10.392304845413264	5.0	5.477225575051661	9.899494936611665	5.385164807134504	4.123105625617661		4.58257569495584	3.7416573867739413
original	shape	MeshVolume	61.625	129.70833333333334	12.76300578034695	179.16666666666666	34.875	104.83333333333333	10.669075144508776	16.416666666666668	288.25	23.0	7.083333333333333		19.166666666666668	11.083333333333334
original	shape	MinorAxisLength	4.073142255032986	6.453483262905281	3.653367895613989	5.946537491400329	3.5977528934666214	5.1544071114260355	2.905932629027116	2.8120100502055845	7.452731769274009	3.9894999670014997	2.6568948946586293		3.3060820636106656	2.766917750476334
original	shape	Sphericity	0.8702095343411089	0.7811593330689065	0.7506545962089294	0.8540133906710935	0.8008250366836132	0.7763742453832622	0.7755840853252237	0.7793237584013111	0.8875307622984645	0.8169733464123777	0.7738453168280215		0.8279869442123797	0.8629166530114056
original	shape	SurfaceArea	86.70249105557458	158.63161698971376	35.18406008468808	179.96618900132296	64.4598503684553	138.48814595073634	30.218512665242066	40.08262862773289	237.76444991668745	47.87345747344082	23.049159094905637		41.83036899738019	27.85878708013269
original	shape	SurfaceVolumeRatio	1.4069369745326505	1.2229870889023868	2.7567220990267103	1.0044624502399422	1.8483111216761379	1.3210315988941463	2.8323460333668296	2.4415814392527646	0.8248549867014309	2.0814546727582965	3.2539989310455018		2.182454034645923	2.51357477414731
original	shape	VoxelVolume	67.0	137.0	16.751445086705363	187.0	40.0	112.0	14.358381502890312	21.0	297.0	27.0	10.0		23.0	14.0
original	firstorder	10Percentile	214.04330929704943	114.4090270541955	89.49319344808265	106.14698288577472	114.35960686879638	100.57071197115447	111.55182581691382	58.85664700989707	104.06393973570779	96.17032165553624	107.1979974030696		105.73470520779725	103.51269487132255
original	firstorder	90Percentile	277.98567784593183	151.4191701553888	133.0300575603005	142.31249913423187	176.04282720397805	174.73908353759361	143.0806408556837	99.15549531952131	168.7126423164725	140.03634667641305	155.85957050462605		158.24860970370204	123.89932626978624
original	firstorder	Energy	20070505.69602468	25515972.464572564	2408655.083714973	33910653.7524378	7921970.69216726	21073785.378495287	2233455.8619639724	3009042.8488064473	56823095.44443793	4733511.566778489	1896586.5338657298		4298999.408424065	2404995.340289954
original	firstorder	Entropy	2.032277729350052	1.5984339855213727	1.5774062828523445	1.3834183358066563	2.040322299089718	2.1245952572594784	1.280672129520886	1.2216949076363268	2.019907615695144	1.3992075416402163	1.685475297227333		1.7200660483303305	0.7345299214394694
original	firstorder	InterquartileRange	42.05200239289496	19.547717093447957	29.37464069600138	19.906567995629445	38.49140265986436	47.64673328627144	21.840545406128882	25.579566242296693	33.515703781220225	20.062121708045566	24.282486100811496		25.340268044781453	11.407141829005013
