Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_22_segment_Rt sup vermis	1: RTSTRUCT: ANON_22_segment_Rt Inf Medial cerebellum	1: RTSTRUCT: ANON_22_segment_Rt Frontal deep	1: RTSTRUCT: ANON_22_segment_Lt Frontal
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 5, 4, 6)	(6, 6, 6, 3, 3, 4)	(6, 6, 6, 2, 2, 1)	(6, 6, 6, 10, 10, 8)
diagnostics	Mask-interpolated	VoxelNum	73	23	3	382
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.986301369863014, 7.465753424657534, 7.876712328767123)	(7.043478260869565, 7.043478260869565, 7.3478260869565215)	(6.333333333333333, 6.333333333333333, 6.0)	(10.235602094240837, 10.151832460732985, 9.507853403141361)
diagnostics	Mask-interpolated	CenterOfMass	(-8.985935753315317, 35.29078238058911, -33.054994668909785)	(-17.92875886230878, 68.86850721680113, -58.58388091072039)	(-25.638903789845, -33.84163771073511, 26.78289477223462)	(40.26336497106251, -30.02313858333546, 28.576146405464478)
diagnostics	Mask-interpolated	Mean	240.6128527741921	263.00633362440533	276.50672155547244	189.5479261002774
diagnostics	Mask-interpolated	Minimum	137.9723477811275	214.1794746711636	260.1245180999648	26.915806430127443
diagnostics	Mask-interpolated	Maximum	319.45074588586334	309.5026992733339	307.6937214202953	331.92750598155953
original	shape	Elongation	0.9711099100254439	0.8367463587631953	0.5773502691896258	0.8818921580453749
original	shape	Flatness	0.7403478293342441	0.7299368026383968	0.0	0.7052653692389553
original	shape	LeastAxisLength	3.8228169702015755	2.6756760950595444	0.0	6.703569565347324
original	shape	MajorAxisLength	5.1635418093131085	3.665627058929165	2.3094010767585034	9.50503152108699
original	shape	Maximum2DDiameterColumn	6.324555320336759	4.123105625617661	2.0	10.198039027185569
original	shape	Maximum2DDiameterRow	6.324555320336759	4.47213595499958	2.0	10.44030650891055
original	shape	Maximum2DDiameterSlice	5.830951894845301	3.605551275463989	2.23606797749979	11.40175425099138
original	shape	Maximum3DDiameter	6.4031242374328485	4.47213595499958	2.23606797749979	11.575836902790225
original	shape	MeshVolume	67.625	19.875	1.498156342182891	371.625
original	shape	MinorAxisLength	5.01436662185467	3.0672000941428195	1.3333333333333335	8.382412760420717
original	shape	Sphericity	0.905449329416185	0.9041849636686056	0.8432092428847208	0.8613511543752379
original	shape	SurfaceArea	88.65260300280994	39.24324714450679	7.5090821828159156	290.2065203143941
original	shape	SurfaceVolumeRatio	1.310944221853012	1.9745030009814737	5.012215328524923	0.7809122645526918
original	shape	VoxelVolume	73.0	23.0	3.1725663716814165	382.0
original	firstorder	10Percentile	165.1931968199409	221.7017817519742	260.4399995092033	116.62556584373888
original	firstorder	90Percentile	306.2511558647736	293.56585079308667	298.49536216546767	266.2852587647384
original	firstorder	Energy	21526354.037077025	7307022.568954144	998540.1875432646	92963101.63160068
original	firstorder	Entropy	2.866823126472398	2.071111001423677	0.9182958340544889	3.2871055407998666
original	firstorder	InterquartileRange	89.74150989170451	36.02030609284566	23.784601660165208	88.29729909924552
original	firstorder	Kurtosis	1.8885098392121018	2.133016662198303	1.500000000000005	2.710018925837157
original	firstorder	Maximum	319.45074588586334	309.5026992733339	307.6937214202953	331.92750598155953
original	firstorder	MeanAbsoluteDeviation	43.83448242699287	22.362407369457145	20.79133324321519	49.10586743898082
original	firstorder	Mean	240.6128527741921	263.00633362440533	276.50672155547244	189.5479261002774
original	firstorder	Median	246.3602978548606	269.2789342819316	261.70192514615735	192.72064874073695
original	firstorder	Minimum	137.9723477811275	214.1794746711636	260.1245180999648	26.915806430127443
original	firstorder	Range	181.47839810473585	95.32322460217031	47.56920332033047	305.0116995514321
original	firstorder	RobustMeanAbsoluteDeviation	33.75663447726157	15.622571771873913	0.0	34.699449508247646
original	firstorder	RootMeanSquared	543.0299827373624	563.6458404288892	576.9287037243755	493.31420493917074
original	firstorder	Skewness	-0.23270279452697498	-0.37757242938588514	0.7043966382490315	-0.2047794230355944
original	firstorder	TotalEnergy	21526354.037077025	7307022.568954144	1055978.3399240721	92963101.63160068
original	firstorder	Uniformity	0.14392944267217112	0.2627599243856333	0.5555555555555556	0.1165812340670486
original	firstorder	Variance	2619.3055670897575	720.5017315936036	486.7291824491249	3701.7328456835285
original	glcm	Autocorrelation	32.220661782525006	10.045849876619107	2.3333333333333335	53.090612579147404
original	glcm	JointAverage	5.627205684758828	3.1682367845829384	1.6666666666666667	7.128535038323222
original	glcm	ClusterProminence	193.937638722762	19.59198000360554	0.0	919.6848041698499
original	glcm	ClusterShade	-11.966466421085853	-2.149641909588639	0.0	-30.46089950057503
original	glcm	ClusterTendency	8.869156254683878	2.454514438367492	0.0	17.64605911600663
original	glcm	Contrast	6.67107988369593	2.4759960125344738	2.6666666666666665	8.563801333630305
original	glcm	Correlation	0.14174415046195757	0.008497665099898688	-0.3333333333333332	0.3485110393254986
original	glcm	DifferenceAverage	2.032778019865836	1.2396588454280761	1.3333333333333333	2.2539364322499535
original	glcm	DifferenceEntropy	2.442583542642118	1.6431922616988457	-3.203426503814917e-16	2.687348228837313
original	glcm	DifferenceVariance	2.470235794193762	0.8585113812587462	0.0	3.3368040499688574
original	glcm	JointEnergy	0.03613865376286495	0.12395927238703854	0.6666666666666666	0.015830990339771242
original	glcm	JointEntropy	4.991588116562076	3.2600592059089712	0.6666666666666661	6.34219735947024
original	glcm	Imc1	-0.1961827778109352	-0.3498123035600397	-0.6666666666666666	-0.10171176938109466
original	glcm	Imc2	0.8033028716600948	0.8480817536089454	0.6199156633547958	0.6941905284582772
original	glcm	Idm	0.3720321527188965	0.5016711330399113	0.4666666666666666	0.36008307564981734
original	glcm	Idmn	0.9175334288576535	0.9203260254963936	0.7948717948717948	0.9558079052457006
original	glcm	Id	0.4473705842741632	0.5462521630790861	0.5555555555555555	0.4369706555345104
original	glcm	Idn	0.8162979072699265	0.8198755266406366	0.7333333333333334	0.8640911752219697
original	glcm	InverseVariance	0.3728612896883424	0.520396835180489	0.16666666666666666	0.3450368470123936
original	glcm	MaximumProbability	0.07086689170927654	0.20800214742522435	0.6666666666666666	0.03770410983737255
original	glcm	SumEntropy	3.3184519486078465	2.1118063102795896	-3.203426503814917e-16	4.016988241719492
original	glcm	SumSquares	3.8850590345949527	1.2326276127254916	0.6666666666666666	6.552465112409233
original	glrlm	GrayLevelNonUniformity	9.456207419146473	5.258095851516904	1.4444444444444446	38.5959458008339
original	glrlm	GrayLevelNonUniformityNormalized	0.1431144948551304	0.25374745077879635	0.5370370370370371	0.11524872779054587
original	glrlm	GrayLevelVariance	4.223420822128721	1.369735391141298	0.9259259259259259	5.920993029020861
original	glrlm	HighGrayLevelRunEmphasis	29.1864539187655	9.69519033597981	4.111111111111111	55.55291440456655
original	glrlm	LongRunEmphasis	1.3298725948516905	1.3879810978495188	1.5	1.4699691468378855
original	glrlm	LongRunHighGrayLevelEmphasis	42.826528809261085	14.887298228087703	4.611111111111111	82.25725993428594
original	glrlm	LongRunLowGrayLevelEmphasis	0.10929554260213017	0.3305396387238492	1.154320987654321	0.06333129017066813
original	glrlm	LowGrayLevelRunEmphasis	0.09725759857793957	0.2789628164233427	0.654320987654321	0.043967544608636125
original	glrlm	RunEntropy	3.2412015621820376	2.4036973974662676	0.9455305560363257	3.837922286843458
original	glrlm	RunLengthNonUniformity	54.41190651750607	17.083658884974675	2.3333333333333335	262.6832123433294
original	glrlm	RunLengthNonUniformityNormalized	0.8204408488684081	0.818148140504004	0.8333333333333334	0.7820295705827702
original	glrlm	RunPercentage	0.905163329820864	0.8996655518394648	0.8888888888888888	0.8767619814740234
original	glrlm	RunVariance	0.1025211489845803	0.12337785282492106	0.08333333333333333	0.16218478193636038
original	glrlm	ShortRunEmphasis	0.9227833714639708	0.9190303665632614	0.875	0.9050843216012852
original	glrlm	ShortRunHighGrayLevelEmphasis	26.076813645773786	8.61618045696993	3.9861111111111107	50.15683634336738
original	glrlm	ShortRunLowGrayLevelEmphasis	0.09434567054413893	0.2673298881511601	0.529320987654321	0.03983064777430059
original	glszm	GrayLevelNonUniformity	3.857142857142857	1.75	1.0	6.254237288135593
original	glszm	GrayLevelNonUniformityNormalized	0.1836734693877551	0.21875	0.5	0.10600402183280666
original	glszm	GrayLevelVariance	3.387755102040816	1.734375	1.0	8.707268026429185
original	glszm	HighGrayLevelZoneEmphasis	15.142857142857142	8.625	5.0	56.76271186440678
original	glszm	LargeAreaEmphasis	27.761904761904763	13.125	2.5	138.3728813559322
original	glszm	LargeAreaHighGrayLevelEmphasis	1086.6190476190477	163.0	6.5	8614.525423728814
original	glszm	LargeAreaLowGrayLevelEmphasis	1.1293245869776483	2.258472222222222	2.0555555555555554	3.6715897869765612
original	glszm	LowGrayLevelZoneEmphasis	0.2088984045999352	0.3530902777777778	0.5555555555555556	0.051781835054568674
original	glszm	SizeZoneNonUniformity	8.619047619047619	2.0	1.0	10.35593220338983
original	glszm	SizeZoneNonUniformityNormalized	0.41043083900226757	0.25	0.5	0.17552427463372594
original	glszm	SmallAreaEmphasis	0.6403406357951812	0.4437934027777778	0.625	0.40340260307617126
original	glszm	SmallAreaHighGrayLevelEmphasis	5.253717915081552	4.115451388888889	4.625	25.657327484118543
original	glszm	SmallAreaLowGrayLevelEmphasis	0.18223563842802304	0.18548472463348764	0.18055555555555555	0.013965177234263382
original	glszm	ZoneEntropy	3.4225779953216002	2.9999999999999973	0.9999999999999993	5.253500414128543
original	glszm	ZonePercentage	0.2876712328767123	0.34782608695652173	0.6666666666666666	0.1544502617801047
original	glszm	ZoneVariance	15.678004535147391	4.859375	0.25	96.45274346452169
original	gldm	DependenceEntropy	4.697113779280993	3.2946635862096	0.9182958340544889	5.806077614796537
original	gldm	DependenceNonUniformity	13.821917808219178	4.826086956521739	1.6666666666666667	58.82722513089005
original	gldm	DependenceNonUniformityNormalized	0.18934133983861887	0.20982986767485823	0.5555555555555556	0.1539979715468326
original	gldm	DependenceVariance	3.1803340213923814	5.281663516068052	0.2222222222222222	4.790767796935391
original	gldm	GrayLevelNonUniformity	10.506849315068493	6.043478260869565	1.6666666666666667	44.53403141361257
original	gldm	GrayLevelVariance	4.207168324263463	1.3459357277882797	0.8888888888888888	5.8681025739426
original	gldm	HighGrayLevelEmphasis	30.315068493150687	10.08695652173913	3.6666666666666665	55.71465968586387
original	gldm	LargeDependenceEmphasis	15.191780821917808	18.304347826086957	3.0	22.465968586387433
original	gldm	LargeDependenceHighGrayLevelEmphasis	660.7534246575342	263.7391304347826	5.666666666666667	1288.1335078534032
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.543062583480881	2.040990338164251	2.7037037037037037	0.9626542686886139
original	gldm	LowGrayLevelEmphasis	0.09144480166495822	0.26381642512077297	0.7037037037037037	0.04374620215075353
original	gldm	SmallDependenceEmphasis	0.2522360472601014	0.24585446859903382	0.5	0.14106117371307134
original	gldm	SmallDependenceHighGrayLevelEmphasis	3.4772046545660373	2.085845410628019	3.1666666666666665	8.078509029409444
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.056674062108750776	0.09510422956924315	0.20370370370370372	0.00622517335262952
original	ngtdm	Busyness	0.5032133172075774	0.39663475028058365	2.9999999999999996	0.6686977406402255
original	ngtdm	Coarseness	0.06636216967427457	0.20134673286850563	0.5	0.01789436142898548
original	ngtdm	Complexity	35.38592730349704	9.003177340501827	2.6666666666666665	94.71557471747438
original	ngtdm	Contrast	0.22928306592884629	0.13168082787052132	1.1851851851851851	0.11430312219616925
original	ngtdm	Strength	1.411744303834963	1.487773526113367	2.0	0.890206199052371
exponential	firstorder	10Percentile	19.72910118261487	47.10961165765507	127.65526232093104	7.687597278259817
exponential	firstorder	90Percentile	251.73882333191057	164.20366166422852	272.29120702840163	105.3125128515558
exponential	firstorder	Energy	12940754.895850848	3854511.350974576	737020.4889156097	46714844.02114329
exponential	firstorder	Entropy	3.42672049171954	2.7029400873210445	0.9182958340544889	2.2839579607567124
exponential	firstorder	InterquartileRange	132.50184316362146	64.14622745040647	90.3974654421691	48.33935305080141
exponential	firstorder	Kurtosis	2.4408423404303927	2.5253294638969894	1.4999999999999984	10.019824197171987
exponential	firstorder	Maximum	319.45074588586334	216.5839189905344	307.69372142029516	331.9275059815592
exponential	firstorder	MeanAbsoluteDeviation	74.12461664132128	37.76143011798329	79.51277840973466	35.18453780399319
exponential	firstorder	Mean	111.70469981749066	106.8220069246136	188.4245538056932	46.0270029762824
exponential	firstorder	Median	85.38771119831299	107.66690588806125	130.68114946082738	29.090058087138893
exponential	firstorder	Minimum	12.068807507816183	41.33144165712845	126.89879053595696	1.6011422414856902
exponential	firstorder	Range	307.38193837804715	175.25247733340598	180.7949308843382	330.3263637400735
exponential	firstorder	RobustMeanAbsoluteDeviation	55.316568721626524	26.64074225208289	0.0	20.130157864490297
exponential	firstorder	RootMeanSquared	421.0351707537691	409.3744618834605	495.65461392506296	349.70011094452906
exponential	firstorder	Skewness	0.7916367777036176	0.3877672436604618	0.7060405800410556	2.3882657156849882
exponential	firstorder	TotalEnergy	12940754.895850848	3854511.350974576	779415.4727912864	46714844.02114329
exponential	firstorder	Uniformity	0.11090260836930005	0.1606805293005671	0.5555555555555556	0.2839423261423755
exponential	firstorder	Variance	7769.855159845359	2083.3047242024954	7114.951544912771	2555.480805867805
exponential	glcm	Autocorrelation	35.72446959942015	16.28380828573136	5.666666666666667	7.21103504381901
exponential	glcm	JointAverage	5.887617072939327	4.015419409650179	3.3333333333333335	2.4913353928237707
exponential	glcm	ClusterProminence	1898.64318541257	149.09002011899992	0.0	881.2977792746353
exponential	glcm	ClusterShade	27.5522309174533	0.2822808050924266	0.0	65.48622639998099
exponential	glcm	ClusterTendency	29.14202893499159	7.2303014130145336	0.0	10.67512332690289
exponential	glcm	Contrast	25.00758171637775	6.742069042069042	32.666666666666664	6.668180596280075
exponential	glcm	Correlation	0.07986575579900378	0.03531070207565693	-0.3333333333333333	0.22610649063422084
exponential	glcm	DifferenceAverage	3.9162845199484875	2.1232570847955463	4.666666666666667	1.5986326711017234
exponential	glcm	DifferenceEntropy	3.185579473890238	1.9864826710333987	-3.203426503814917e-16	2.4269622878377883
exponential	glcm	DifferenceVariance	9.37193919994727	2.0949727235640037	0.0	4.076897121997806
exponential	glcm	JointEnergy	0.020682593008740677	0.0748730944552671	0.6666666666666666	0.08502999881856232
exponential	glcm	JointEntropy	5.781613834090063	3.866333308997366	0.6666666666666661	4.542784098548169
exponential	glcm	Imc1	-0.3721059375856908	-0.5193383856479543	-0.6666666666666666	-0.09045329051161904
exponential	glcm	Imc2	0.9617183851686971	0.9606116255499761	0.6199156633547958	0.5808002352701769
exponential	glcm	Idm	0.24050983986891988	0.33271494351898107	0.3466666666666667	0.5333120028828074
exponential	glcm	Idmn	0.8916308843329633	0.9155230995986741	0.7109144542772862	0.9720185733885004
exponential	glcm	Id	0.3277999035598053	0.41443444198251894	0.4166666666666667	0.5789800576035781
exponential	glcm	Idn	0.7927882782060756	0.8065726449418397	0.6888888888888888	0.9099210085806505
exponential	glcm	InverseVariance	0.2547080532561152	0.3879496136349551	0.013605442176870748	0.3699552794918082
exponential	glcm	MaximumProbability	0.04933864627000674	0.1169148159532775	0.6666666666666666	0.21715274849516028
exponential	glcm	SumEntropy	3.9613314617616684	2.545515302890007	-3.203426503814917e-16	3.169654829825987
exponential	glcm	SumSquares	13.537402662842336	3.493092613770894	8.166666666666666	4.335825980795741
exponential	glrlm	GrayLevelNonUniformity	7.468362562387393	3.4953973562669214	1.4444444444444446	68.56028061476562
exponential	glrlm	GrayLevelNonUniformityNormalized	0.10809347052911665	0.15997357573547577	0.5370370370370371	0.23917132460259513
exponential	glrlm	GrayLevelVariance	12.55204583989491	3.6232426995132956	11.342592592592593	4.838681116812172
exponential	glrlm	HighGrayLevelRunEmphasis	38.19815765855936	17.029167895415032	25.5	11.87802961294174
exponential	glrlm	LongRunEmphasis	1.173186292188038	1.1691124664808876	1.5	2.322380962005137
exponential	glrlm	LongRunHighGrayLevelEmphasis	42.70684140336379	20.643301130600896	26.0	15.724270952053205
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.23785171730102503	0.2815019036365575	1.1171875	1.4578637935683672
exponential	glrlm	LowGrayLevelRunEmphasis	0.2057591230227956	0.25062773978870945	0.6171875	0.45895449311321346
exponential	glrlm	RunEntropy	3.6518203235253712	2.836379660855128	0.9455305560363257	3.4344127143630354
exponential	glrlm	RunLengthNonUniformity	61.81301493776657	19.82382705014284	2.3333333333333335	177.46219764039623
exponential	glrlm	RunLengthNonUniformityNormalized	0.8931881149683095	0.9016008759900187	0.8333333333333334	0.6172119466992717
exponential	glrlm	RunPercentage	0.9462592202318229	0.9498327759197323	0.8888888888888888	0.7484897301651228
exponential	glrlm	RunVariance	0.05340594251584527	0.04919956200499065	0.08333333333333333	0.5094316601249316
exponential	glrlm	ShortRunEmphasis	0.9567034269529906	0.9577218833797781	0.875	0.8127142196447867
exponential	glrlm	ShortRunHighGrayLevelEmphasis	37.07098672235826	16.125634586618567	25.375	11.17098660678284
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.1977359744532382	0.24290919882674744	0.4921875	0.333277072317587
exponential	glszm	GrayLevelNonUniformity	3.25	2.230769230769231	1.0	4.238095238095238
exponential	glszm	GrayLevelNonUniformityNormalized	0.1015625	0.17159763313609466	0.5	0.10090702947845805
exponential	glszm	GrayLevelVariance	14.7880859375	3.6331360946745566	12.25	9.996031746031745
exponential	glszm	HighGrayLevelZoneEmphasis	46.78125	16.153846153846153	32.5	44.023809523809526
exponential	glszm	LargeAreaEmphasis	11.90625	4.538461538461538	2.5	924.5714285714286
exponential	glszm	LargeAreaHighGrayLevelEmphasis	235.375	88.07692307692308	34.0	2041.857142857143
exponential	glszm	LargeAreaLowGrayLevelEmphasis	2.419744614800139	1.0284455128205128	2.0078125	717.3383628238664
exponential	glszm	LowGrayLevelZoneEmphasis	0.23366451969241106	0.23878739316239317	0.5078125	0.12295007146387908
exponential	glszm	SizeZoneNonUniformity	10.9375	5.615384615384615	1.0	17.0
exponential	glszm	SizeZoneNonUniformityNormalized	0.341796875	0.4319526627218935	0.5	0.40476190476190477
exponential	glszm	SmallAreaEmphasis	0.5849392361111111	0.6740170940170939	0.625	0.6507941396763435
exponential	glszm	SmallAreaHighGrayLevelEmphasis	29.33909722222222	11.027777777777779	32.125	36.30754839508354
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.14409019859556021	0.14472481006647675	0.1328125	0.07424283751078714
exponential	glszm	ZoneEntropy	4.202819531114776	3.1808329872054375	0.9999999999999993	4.413283720903424
exponential	glszm	ZonePercentage	0.4383561643835616	0.5652173913043478	0.6666666666666666	0.1099476439790576
exponential	glszm	ZoneVariance	6.7021484375	1.4082840236686391	0.25	841.8480725623582
exponential	gldm	DependenceEntropy	4.7151842781711775	3.588354347173229	0.9182958340544889	5.6465929205345615
exponential	gldm	DependenceNonUniformity	19.767123287671232	5.782608695652174	1.6666666666666667	26.785340314136125
exponential	gldm	DependenceNonUniformityNormalized	0.27078251079001686	0.2514177693761815	0.5555555555555556	0.07011869192182232
exponential	gldm	DependenceVariance	1.3353349596547193	1.6030245746691871	0.2222222222222222	26.65159946273403
exponential	gldm	GrayLevelNonUniformity	8.095890410958905	3.6956521739130435	1.6666666666666667	108.46596858638743
exponential	gldm	GrayLevelVariance	12.397072621504972	3.6030245746691874	10.88888888888889	4.07510759025246
exponential	gldm	HighGrayLevelEmphasis	37.534246575342465	17.26086956521739	22.0	9.675392670157068
exponential	gldm	LargeDependenceEmphasis	7.082191780821918	6.913043478260869	3.0	83.49214659685863
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	172.4931506849315	152.30434782608697	24.0	190.92670157068062
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	1.3322547882668727	1.1284450483091788	2.671875	68.32437488112248
exponential	gldm	LowGrayLevelEmphasis	0.20464287424450264	0.2469957729468599	0.671875	0.5258286214318598
exponential	gldm	SmallDependenceEmphasis	0.35295662100456626	0.4461111111111111	0.5	0.1117568660134169
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	16.73916666666667	7.044082125603865	21.5	4.488889764175067
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.0805182398699384	0.10821380837359099	0.171875	0.020328936857425067
exponential	ngtdm	Busyness	1.016756124896653	0.35588518624232907	1.7499999999999998	4.169985838372641
exponential	ngtdm	Coarseness	0.044209951448116555	0.17754830948144065	0.14285714285714288	0.009646906669388042
exponential	ngtdm	Complexity	210.16514654754255	32.115441834256536	32.666666666666664	111.40358778362855
exponential	ngtdm	Contrast	0.4449083194273018	0.27845114039504015	50.81481481481481	0.07213632859919988
exponential	ngtdm	Strength	3.860605047090665	3.2939929227793576	7.0	2.2789130906131736
