Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_13_segment_Rt Cerebellar	1: RTSTRUCT: ANON_13_segment_L ant frontal
original	glcm	Idn	0.9346473778807808	0.8107829875121408
original	glcm	InverseVariance	0.44564604479049785	0.4347802344644351
original	glcm	MaximumProbability	0.10251699948707192	0.1569468866980179
original	glcm	SumEntropy	3.806941716374458	2.3486738508705263
original	glcm	SumSquares	3.827251531612596	1.8122315821617048
original	glrlm	GrayLevelNonUniformity	382.92319259232085	5.871671625785339
original	glrlm	GrayLevelNonUniformityNormalized	0.14817602334020455	0.23642899004306647
original	glrlm	GrayLevelVariance	4.3458460262490615	1.7664342378164977
original	glrlm	HighGrayLevelRunEmphasis	34.91915738213013	14.403879512040048
original	glrlm	LongRunEmphasis	3.5405508488924706	1.292629043197605
original	glrlm	LongRunHighGrayLevelEmphasis	111.42847473534802	18.470984781352676
original	glrlm	LongRunLowGrayLevelEmphasis	0.19377789980693474	0.17053606196987842
original	glrlm	LowGrayLevelRunEmphasis	0.059085901889773376	0.1411938625119599
original	glrlm	RunEntropy	4.407833004281129	2.594609588582947
original	glrlm	RunLengthNonUniformity	1319.3897484615188	21.057532567766682
original	glrlm	RunLengthNonUniformityNormalized	0.5078271025501263	0.8425754074566766
original	glrlm	RunPercentage	0.6481392070144267	0.9173789173789172
original	glrlm	RunVariance	1.1066034232247453	0.08729462303580672
original	glrlm	ShortRunEmphasis	0.739280446575945	0.9307277430856027
original	glrlm	ShortRunHighGrayLevelEmphasis	26.721461432575325	13.422068229676926
original	glrlm	ShortRunLowGrayLevelEmphasis	0.044692380922287694	0.13428997974581403
original	glszm	GrayLevelNonUniformity	19.87431693989071	1.5
original	glszm	GrayLevelNonUniformityNormalized	0.10860282480814595	0.1875
original	glszm	GrayLevelVariance	8.145301442264625	2.484375
original	glszm	HighGrayLevelZoneEmphasis	42.78142076502732	13.875
original	glszm	LargeAreaEmphasis	11541.382513661201	20.875
original	glszm	LargeAreaHighGrayLevelEmphasis	329729.12021857925	251.75
original	glszm	LargeAreaLowGrayLevelEmphasis	505.0679541062399	2.3074305555555554
original	glszm	LowGrayLevelZoneEmphasis	0.09550304582435021	0.2254861111111111
original	glszm	SizeZoneNonUniformity	50.333333333333336	2.5
original	glszm	SizeZoneNonUniformityNormalized	0.2750455373406193	0.3125
original	glszm	SmallAreaEmphasis	0.5333094608922833	0.4255122245179064
original	glszm	SmallAreaHighGrayLevelEmphasis	24.04809843328182	3.607387798438935
original	glszm	SmallAreaLowGrayLevelEmphasis	0.05085781404565021	0.1692158644526069
original	glszm	ZoneEntropy	5.437430853009775	2.9999999999999973
original	glszm	ZonePercentage	0.045945267386392166	0.2962962962962963
original	glszm	ZoneVariance	11067.666099316193	9.484375
original	gldm	DependenceEntropy	7.16298412157499	3.736006946447651
original	gldm	DependenceNonUniformity	200.60833542555864	6.185185185185185
original	gldm	DependenceNonUniformityNormalized	0.05036613995118218	0.22908093278463648
original	gldm	DependenceVariance	31.32495783454273	1.7558299039780523
original	gldm	GrayLevelNonUniformity	631.9324629676123	6.62962962962963
original	gldm	GrayLevelVariance	3.869524943727387	1.728395061728395
original	gldm	HighGrayLevelEmphasis	33.396183781069546	14.37037037037037
original	gldm	LargeDependenceEmphasis	134.3145869947276	11.666666666666666
original	gldm	LargeDependenceHighGrayLevelEmphasis	3997.4152648757217	155.55555555555554
original	gldm	LargeDependenceLowGrayLevelEmphasis	7.101468691305786	1.2059876543209878
original	gldm	LowGrayLevelEmphasis	0.05732181519684318	0.13761316872427984
original	gldm	SmallDependenceEmphasis	0.05403661296853454	0.2151543209876543
original	gldm	SmallDependenceHighGrayLevelEmphasis	2.2154272430327038	2.4096399176954737
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.004208171315135951	0.05977766346593508
original	ngtdm	Busyness	5.435699746953392	0.4749844907619823
original	ngtdm	Coarseness	0.00283986770971602	0.14354535675983687
original	ngtdm	Complexity	37.97307409214703	14.556104876892464
original	ngtdm	Contrast	0.03839956451751351	0.1289045492971665
original	ngtdm	Strength	0.15569068908457023	1.8466345488438742
exponential	firstorder	10Percentile	4.3738598740708525	56.12364877191125
exponential	firstorder	90Percentile	28.1995468988345	221.99120045977605
exponential	firstorder	Energy	402422606.98593676	4916983.705128751
exponential	firstorder	Entropy	0.7847843598920873	2.8615758177648085
exponential	firstorder	InterquartileRange	10.593008207595584	80.3440262121596
exponential	firstorder	Kurtosis	25.192792873322517	3.8807500550700924
exponential	firstorder	Maximum	205.65269333108083	310.86752119527176
exponential	firstorder	MeanAbsoluteDeviation	11.879940352928394	55.82030740427884
exponential	firstorder	Mean	17.048780738042918	120.73617962565044
exponential	firstorder	Median	10.920941340183994	94.11778538539903
exponential	firstorder	Minimum	1.5515627854331893	36.391542604265
exponential	firstorder	Range	204.10113054564764	274.47597859100676
exponential	firstorder	RobustMeanAbsoluteDeviation	4.6641322200686535	32.43236702860194
exponential	firstorder	RootMeanSquared	317.86011186056396	426.7440774016215
exponential	firstorder	Skewness	4.312542176060577	1.3062070889687436
exponential	firstorder	TotalEnergy	402422606.98593676	4916983.705128751
exponential	firstorder	Uniformity	0.7759386506385505	0.16598079561042522
exponential	firstorder	Variance	515.1213445306178	5091.574751373555
exponential	glcm	Autocorrelation	2.055366412609497	25.67773734561065
exponential	glcm	JointAverage	1.2617299179461523	5.156789238915936
exponential	glcm	ClusterProminence	143.6013937634615	1043.6145958992108
exponential	glcm	ClusterShade	16.60362973680172	40.801401084388196
exponential	glcm	ClusterTendency	2.5102765036954136	20.22296267109993
exponential	glcm	Contrast	0.6569502465264946	24.333343378592247
exponential	glcm	Correlation	0.5814623606424518	-0.07538095930304287
exponential	glcm	DifferenceAverage	0.2558424382144405	3.8718504723029605
exponential	glcm	DifferenceEntropy	0.8563923177562638	2.5375861409063134
exponential	glcm	DifferenceVariance	0.589644458863014	8.590124273492735
exponential	glcm	JointEnergy	0.6822274554567505	0.06744557549562988
exponential	glcm	JointEntropy	1.411767527201623	4.051310686293196
exponential	glcm	Imc1	-0.23263468632390394	-0.568567470120846
exponential	glcm	Imc2	0.5482758909228906	0.9765954323227078
exponential	glcm	Idm	0.9047919339508625	0.2497730014304092
exponential	glcm	Idmn	0.9932273305806718	0.8784338474325575
exponential	glcm	Id	0.9118939378401436	0.33577938305798677
exponential	glcm	Idn	0.9774142859141208	0.7830100644894263
exponential	glcm	InverseVariance	0.10907261058837679	0.25165583140455505
exponential	glcm	MaximumProbability	0.8237958074563139	0.1080433015953378
exponential	glcm	SumEntropy	1.139366412844683	2.9667611626734613
exponential	glcm	SumSquares	0.791806687555477	11.139076512423042
exponential	glrlm	GrayLevelNonUniformity	443.4340825525815	4.125412438422472
exponential	glrlm	GrayLevelNonUniformityNormalized	0.42083565438855125	0.16023270092167494
exponential	glrlm	GrayLevelVariance	2.200939296801237	9.018970349639112
exponential	glrlm	HighGrayLevelRunEmphasis	5.6587740470238295	27.16224123145528
exponential	glrlm	LongRunEmphasis	32.4281093752323	1.1605775662464626
exponential	glrlm	LongRunHighGrayLevelEmphasis	39.273095625376236	29.95758597032844
exponential	glrlm	LongRunLowGrayLevelEmphasis	31.851949955124383	0.2313905640868648
exponential	glrlm	LowGrayLevelRunEmphasis	0.6712373487776819	0.20452412151960123
exponential	glrlm	RunEntropy	4.208436230847807	3.022329757135194
exponential	glrlm	RunLengthNonUniformity	271.9353359062793	23.351934653974787
exponential	glrlm	RunLengthNonUniformityNormalized	0.2577915375681468	0.9043989547957216
exponential	glrlm	RunPercentage	0.2615345989686939	0.9515669515669514
exponential	glrlm	RunVariance	16.761618817341493	0.04780052260213919
exponential	glrlm	ShortRunEmphasis	0.5192618456875261	0.9598556084383841
exponential	glrlm	ShortRunHighGrayLevelEmphasis	4.760028382770285	26.463405046736984
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.2321732290327566	0.19780751087778536
exponential	glszm	GrayLevelNonUniformity	10.0	1.8571428571428572
exponential	glszm	GrayLevelNonUniformityNormalized	0.16129032258064516	0.1326530612244898
exponential	glszm	GrayLevelVariance	4.799167533818939	10.943877551020407
exponential	glszm	HighGrayLevelZoneEmphasis	23.483870967741936	32.5
exponential	glszm	LargeAreaEmphasis	197983.7258064516	7.071428571428571
exponential	glszm	LargeAreaHighGrayLevelEmphasis	201252.12903225806	122.0
exponential	glszm	LargeAreaLowGrayLevelEmphasis	197407.41849796608	1.0983229692900378
exponential	glszm	LowGrayLevelZoneEmphasis	0.12050746612862588	0.22353613995775407
exponential	glszm	SizeZoneNonUniformity	16.580645161290324	6.428571428571429
exponential	glszm	SizeZoneNonUniformityNormalized	0.26742976066597296	0.45918367346938777
exponential	glszm	SmallAreaEmphasis	0.5291587914498137	0.6955605158730158
exponential	glszm	SmallAreaHighGrayLevelEmphasis	13.279979825243931	22.791790674603174
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.0537999691104482	0.14407278800387185
exponential	glszm	ZoneEntropy	4.6589743341965715	3.3787834934861722
exponential	glszm	ZonePercentage	0.015566156163695707	0.5185185185185185
exponential	glszm	ZoneVariance	193856.6995317378	3.35204081632653
exponential	gldm	DependenceEntropy	4.285321880544826	3.9121138909722237
exponential	gldm	DependenceNonUniformity	517.4875721817725	7.074074074074074
exponential	gldm	DependenceNonUniformityNormalized	0.12992407034440687	0.262002743484225
exponential	gldm	DependenceVariance	59.12867686664053	1.5253772290809327
exponential	gldm	GrayLevelNonUniformity	3090.563645493347	4.481481481481482
exponential	gldm	GrayLevelVariance	0.7793878439809058	8.839506172839506
exponential	gldm	HighGrayLevelEmphasis	2.3565151895556116	26.666666666666668
exponential	gldm	LargeDependenceEmphasis	467.17273412001003	6.62962962962963
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	498.1079588250063	111.85185185185185
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	463.36431131423564	1.031630513546098
exponential	gldm	LowGrayLevelEmphasis	0.8982991860184064	0.20263347242784474
exponential	gldm	SmallDependenceEmphasis	0.017610907138778022	0.4430349794238683
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.31146112930547526	13.929701646090537
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.004531112268660612	0.09216404753922793
exponential	ngtdm	Busyness	19.918188634817536	0.4904525098146123
exponential	ngtdm	Coarseness	0.0031976458788986048	0.09114437353346184
exponential	ngtdm	Complexity	9.718213810025329	113.94043677992913
exponential	ngtdm	Contrast	0.004344887374941359	0.6306056832660519
exponential	ngtdm	Strength	0.4833501147713716	6.1819227235367125
square	firstorder	10Percentile	22.519174521531113	152.79333124885918
square	firstorder	90Percentile	115.31894912608892	273.85723069949523
square	firstorder	Energy	548598260.7586281	6979231.447017392
square	firstorder	Entropy	2.6247810467357273	2.7497406322591096
square	firstorder	InterquartileRange	46.33532830228769	65.66600937360829
square	firstorder	Kurtosis	7.515800231581764	2.6319569622580614
square	firstorder	Maximum	293.37383536329514	310.8675211952716
square	firstorder	MeanAbsoluteDeviation	32.612487968142226	39.18696344887436
square	firstorder	Mean	68.22888070834583	206.11923895253634
square	firstorder	Median	59.106051922371364	194.90751578302863
square	firstorder	Minimum	1.9954316817553734	121.92277072780102
square	firstorder	Range	291.3784036815398	188.94475046747056
square	firstorder	RobustMeanAbsoluteDeviation	19.679119322366876	25.46736315847605
square	firstorder	RootMeanSquared	371.12658039952214	508.4191711503774
square	firstorder	Skewness	1.8476970243057373	0.5289844092145441
square	firstorder	TotalEnergy	548598260.7586281	6979231.447017392
square	firstorder	Uniformity	0.2017089451660897	0.1879286694101509
square	firstorder	Variance	2142.430091321769	2333.369555342148
square	glcm	Autocorrelation	13.203732511591614	27.21307099135153
square	glcm	JointAverage	3.268541400664328	5.22021752757047
square	glcm	ClusterProminence	1010.6528990041016	143.22290531101896
square	glcm	ClusterShade	70.40110516954225	-0.27593955487323857
square	glcm	ClusterTendency	12.16707784660832	7.380748784026172
square	glcm	Contrast	2.087717039439844	7.718139502528643
square	glcm	Correlation	0.7055866814024389	-0.021917403297536255
square	glcm	DifferenceAverage	0.8392338734779131	2.3066207548108
square	glcm	DifferenceEntropy	1.760486688128638	2.2311305666797683
square	glcm	DifferenceVariance	1.3673836172370597	2.1430476674450416
square	glcm	JointEnergy	0.07194814319171862	0.0811627713357363
square	glcm	JointEntropy	4.6225357572164265	3.8643081173717775
square	glcm	Imc1	-0.24456873041535016	-0.5064634301373373
square	glcm	Imc2	0.8445886184279956	0.9589669500816402
square	glcm	Idm	0.6802142190239553	0.31296584022828366
square	glcm	Idmn	0.9871054217302001	0.9201973501538036
square	glcm	Id	0.7016215221488937	0.4079220067083674
square	glcm	Idn	0.9412299385578304	0.810945879410684
square	glcm	InverseVariance	0.39425210689261453	0.2685822940187571
square	glcm	MaximumProbability	0.1451614441988388	0.14109721349540355
square	glcm	SumEntropy	3.497868467517733	2.6919933361843507
square	glcm	SumSquares	3.563698721512042	3.774722071638704
square	glrlm	GrayLevelNonUniformity	422.1928767441355	4.532002072002071
square	glrlm	GrayLevelNonUniformityNormalized	0.18072405930356178	0.1797461122558507
square	glrlm	GrayLevelVariance	4.416856348384369	3.7795329145095633
square	glrlm	HighGrayLevelRunEmphasis	17.125858037221494	25.31864273902735
square	glrlm	LongRunEmphasis	4.795387488311487	1.2404975793437332
square	glrlm	LongRunHighGrayLevelEmphasis	49.53560527340359	30.55173579981272
square	glrlm	LongRunLowGrayLevelEmphasis	1.3370278208219726	0.12180219950164074
square	glrlm	LowGrayLevelRunEmphasis	0.20338387868707325	0.10637208474460287
square	glrlm	RunEntropy	4.347494969879475	2.988396717421807
square	glrlm	RunLengthNonUniformity	1083.1828406616992	22.04224314147391
square	glrlm	RunLengthNonUniformityNormalized	0.4618258126879732	0.8698977299999624
square	glrlm	RunPercentage	0.5854496996852006	0.9316239316239316
square	glrlm	RunVariance	1.7988098582471932	0.07363346176416376
square	glrlm	ShortRunEmphasis	0.7051521079299635	0.9437606090490706
square	glrlm	ShortRunHighGrayLevelEmphasis	13.847426709611785	24.072529535991073
square	glrlm	ShortRunLowGrayLevelEmphasis	0.12759539972833273	0.10275736879815617
square	glszm	GrayLevelNonUniformity	18.629213483146067	1.3636363636363635
square	glszm	GrayLevelNonUniformityNormalized	0.10465850271430376	0.12396694214876033
square	glszm	GrayLevelVariance	8.792103269789168	5.785123966942149
square	glszm	HighGrayLevelZoneEmphasis	33.735955056179776	29.0
square	glszm	LargeAreaEmphasis	16022.522471910112	11.727272727272727
square	glszm	LargeAreaHighGrayLevelEmphasis	130616.36516853933	249.0
square	glszm	LargeAreaLowGrayLevelEmphasis	3322.1209472581413	0.8221190361666552
square	glszm	LowGrayLevelZoneEmphasis	0.20382748833172004	0.15371625838887745
square	glszm	SizeZoneNonUniformity	51.51685393258427	3.909090909090909
square	glszm	SizeZoneNonUniformityNormalized	0.28942052771114757	0.35537190082644626
square	glszm	SmallAreaEmphasis	0.5517681563553282	0.6057687991021324
square	glszm	SmallAreaHighGrayLevelEmphasis	18.705584434237522	19.057957351290682
square	glszm	SmallAreaLowGrayLevelEmphasis	0.09688850413438911	0.1185908725864083
square	glszm	ZoneEntropy	5.4377535345639405	3.277613436819112
square	glszm	ZonePercentage	0.044689932211900575	0.4074074074074074
square	glszm	ZoneVariance	15521.818993813911	5.702479338842974
square	gldm	DependenceEntropy	6.993235544586925	3.8380398168981498
square	gldm	DependenceNonUniformity	170.3587747928697	5.7407407407407405
square	gldm	DependenceNonUniformityNormalized	0.04277147245615609	0.21262002743484226
square	gldm	DependenceVariance	45.11253974256268	2.0987654320987654
square	gldm	GrayLevelNonUniformity	803.4067285965352	5.074074074074074
square	gldm	GrayLevelVariance	3.55047414983426	3.6406035665294922
square	gldm	HighGrayLevelEmphasis	13.954054732613608	25.074074074074073
square	gldm	LargeDependenceEmphasis	183.84107456690936	9.814814814814815
square	gldm	LargeDependenceHighGrayLevelEmphasis	1494.4426311825257	211.96296296296296
square	gldm	LargeDependenceLowGrayLevelEmphasis	57.23199159526178	0.6386925291378555
square	gldm	LowGrayLevelEmphasis	0.2365787702731361	0.10332730280040688
square	gldm	SmallDependenceEmphasis	0.050056310259066324	0.3274279835390947
square	gldm	SmallDependenceHighGrayLevelEmphasis	1.4144018930048667	9.587407407407408
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.009028767830172452	0.05498511029926374
square	ngtdm	Busyness	10.688270973495976	0.19627950653941437
square	ngtdm	Coarseness	0.002465376240712771	0.1438901000018382
square	ngtdm	Complexity	45.72543974247223	48.671239732425384
square	ngtdm	Contrast	0.03275208359390276	0.16512959181924283
square	ngtdm	Strength	0.25920061029455255	4.264224559985478
squareroot	firstorder	10Percentile	179.07126050958536	260.22719606041363
squareroot	firstorder	90Percentile	269.37855740993456	301.02400715156125
squareroot	firstorder	Energy	1112903101.0497565	9061813.398812432
squareroot	firstorder	Entropy	2.629067662483866	1.5479548568319585
squareroot	firstorder	InterquartileRange	44.982278642317056	22.516939382577903
squareroot	firstorder	Kurtosis	3.4103478777602554	2.5082309330554704
squareroot	firstorder	Maximum	340.20696356771805	310.86752119527154
squareroot	firstorder	MeanAbsoluteDeviation	28.947267884229134	13.083656091495188
squareroot	firstorder	Mean	227.26895156962797	279.1020574969921
squareroot	firstorder	Median	227.92703546351302	276.6232370898072
squareroot	firstorder	Minimum	97.70056381293708	246.00997595860903
squareroot	firstorder	Range	242.50639975478097	64.8575452366625
squareroot	firstorder	RobustMeanAbsoluteDeviation	19.151052261636668	8.607359187932166
squareroot	firstorder	RootMeanSquared	528.5955748109375	579.3295422076579
squareroot	firstorder	Skewness	0.1428759584303042	0.15906381241637385
squareroot	firstorder	TotalEnergy	1112903101.0497565	9061813.398812432
squareroot	firstorder	Uniformity	0.19704248958147444	0.39368998628257884
squareroot	firstorder	Variance	1400.7344203707369	263.52547728502816
squareroot	glcm	Autocorrelation	45.70796993229302	8.570766890223902
squareroot	glcm	JointAverage	6.63456876173708	2.9352030197052823
squareroot	glcm	ClusterProminence	219.42789652983933	2.194151194143292
squareroot	glcm	ClusterShade	2.9653353313747752	-0.1715945649079811
squareroot	glcm	ClusterTendency	7.967943982795434	0.8412997131579389
squareroot	glcm	Contrast	1.2075969876598462	1.050392518492066
squareroot	glcm	Correlation	0.7362158963726783	-0.11595394288806239
squareroot	glcm	DifferenceAverage	0.709642287615324	0.7774099455094929
squareroot	glcm	DifferenceEntropy	1.5550279221249896	1.28262640090822
squareroot	glcm	DifferenceVariance	0.6937574787994792	0.4187472363573237
squareroot	glcm	JointEnergy	0.06921597196374332	0.18803599672482635
squareroot	glcm	JointEntropy	4.552245977727067	2.665683872477393
squareroot	glcm	Imc1	-0.2575388097631581	-0.18363049303802337
squareroot	glcm	Imc2	0.8536449700895423	0.6319894262494044
squareroot	glcm	Idm	0.6920770193400011	0.6385932845435107
squareroot	glcm	Idmn	0.9905331245857945	0.9430295443178063
squareroot	glcm	Id	0.7090537736409479	0.656792122742349
squareroot	glcm	Idn	0.9438099718060176	0.8536174299975205
squareroot	glcm	InverseVariance	0.4343113468308619	0.5385501941497416
squareroot	glcm	MaximumProbability	0.1569706281021557	0.3091607613100826
squareroot	glcm	SumEntropy	3.480264410411772	1.7227669899279472
squareroot	glcm	SumSquares	2.2938852426138205	0.4729230579125012
squareroot	glrlm	GrayLevelNonUniformity	424.49913543528015	8.45816738562734
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.17984575237283545	0.3703235542067154
squareroot	glrlm	GrayLevelVariance	2.691068986545013	0.5524446887515942
squareroot	glrlm	HighGrayLevelRunEmphasis	46.2016571070477	7.638069238160772
squareroot	glrlm	LongRunEmphasis	4.548351125512868	1.5852202031378235
squareroot	glrlm	LongRunHighGrayLevelEmphasis	205.8305295396796	12.720400933924962
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.12247543482086659	0.2711190106084271
squareroot	glrlm	LowGrayLevelRunEmphasis	0.02946382671170544	0.19590886177556655
squareroot	glrlm	RunEntropy	4.3216531432551	2.1410573470515413
squareroot	glrlm	RunLengthNonUniformity	1071.2024443088872	16.48942924352535
squareroot	glrlm	RunLengthNonUniformityNormalized	0.4509411883070292	0.7136722300711728
