Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_3_segment_1 cerebe 1	1: RTSTRUCT: RTstruct_3_segment_2 Lt Parietal 1	1: RTSTRUCT: RTstruct_3_segment_3 Lt Frontal 1	1: RTSTRUCT: RTstruct_3_segment_4 Rt Thalamic 1	1: RTSTRUCT: RTstruct_3_segment_5 RT Frontal 1
diagnostics	Mask-interpolated	Size	(15, 14, 13)	(21, 19, 19)	(14, 14, 13)	(16, 17, 19)	
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 3, 2, 1)	(6, 6, 6, 9, 7, 7)	(6, 6, 6, 2, 2, 1)	(6, 6, 6, 4, 5, 7)	
diagnostics	Mask-interpolated	VoxelNum	4	222	4	60	
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1	
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.0, 6.75, 6.0)	(10.14864864864865, 9.72972972972973, 9.297297297297296)	(6.5, 6.5, 6.0)	(7.45, 8.05, 8.383333333333333)	
diagnostics	Mask-interpolated	CenterOfMass	(-25.340275943278385, 73.7154651284216, 6.881370642330364)	(12.808372705370264, 82.69519485815132, 77.02407856764697)	(31.159724056721615, -2.5345348715784013, 80.77509044909365)	(-14.8902759432784, 26.015465128421628, 45.11011460368301)	
diagnostics	Mask-interpolated	Mean	240.22626484319613	247.81597241744277	214.39550861605338	264.60082859997874	
diagnostics	Mask-interpolated	Minimum	230.00480422626043	113.17669159923648	206.32880800681173	162.37737773532172	
diagnostics	Mask-interpolated	Maximum	255.7371232352167	324.2503529951027	226.93390725353507	313.7525925434082	
original	shape	Elongation	0.6123724356957945	0.8467924445059553	1.0	0.8056183635102887	
original	shape	Flatness	0.0	0.7441346688590518	0.0	0.5897374507400792	
original	shape	LeastAxisLength	0.0	5.9409487572897905	0.0	3.487614715489259	
original	shape	MajorAxisLength	2.8284271247461903	7.9837010771165655	2.0	5.9138430349175675	
original	shape	Maximum2DDiameterColumn	3.0	9.848857801796104	2.0	7.0710678118654755	
original	shape	Maximum2DDiameterRow	2.0	7.810249675906654	2.0	7.280109889280518	
original	shape	Maximum2DDiameterSlice	3.0	9.219544457292887	2.23606797749979	5.830951894845301	
original	shape	Maximum3DDiameter	3.0	9.899494936611665	2.23606797749979	7.3484692283495345	
original	shape	MeshVolume	2.5016103059581325	213.25	2.501610305958133	54.0	
original	shape	MinorAxisLength	1.7320508075688772	6.760537751296365	2.0	4.76430054784701	
original	shape	Sphericity	0.8252368872214674	0.8454420022966993	0.8890001376503951	0.781213139053904	
original	shape	SurfaceArea	10.79904283562935	204.1705024515452	10.024484943500273	88.4389868558307	
original	shape	SurfaceVolumeRatio	4.31683656319654	0.9574232236883713	4.007212841914173	1.6377590158487167	
original	shape	VoxelVolume	4.618357487922706	222.0	4.618357487922706	60.0	
original	firstorder	10Percentile	230.01696214969675	199.54084506120822	206.70893470699343	231.92174472083263	
original	firstorder	90Percentile	252.55132664672945	300.1493461751562	223.87076173640935	295.8476681287633	
original	firstorder	Energy	1167850.3124408715	66950740.05466616	1058684.8941362507	19181007.26536256	
original	firstorder	Entropy	0.8112781244591322	2.644961644415372	0.8112781244591322	2.1360483841255804	
original	firstorder	InterquartileRange	17.737432729147343	52.82382648537066	11.996918703454725	32.550242599283536	
original	firstorder	Kurtosis	1.4344978577457224	2.946999508150429	1.6586439782396818	4.789958900355782	
original	firstorder	Maximum	255.7371232352167	324.2503529951027	226.93390725353507	313.7525925434082	
original	firstorder	MeanAbsoluteDeviation	10.201197411208497	30.82808541045293	7.433156108938803	23.372042899966157	
original	firstorder	Mean	240.22626484319613	247.81597241744277	214.39550861605338	264.60082859997874	
original	firstorder	Median	237.58156595565367	248.14263719243377	212.15965960193336	273.14259927336764	
original	firstorder	Minimum	230.00480422626043	113.17669159923648	206.32880800681173	162.37737773532172	
original	firstorder	Range	25.732319008956267	211.0736613958662	20.60509924672334	151.37521480808647	
original	firstorder	RobustMeanAbsoluteDeviation	7.536235317938861	21.80756298382853	4.563762594515936	15.165447296853921	
original	firstorder	RootMeanSquared	540.335616177777	549.1629176812231	514.4620720073178	565.4055663174084	
original	firstorder	Skewness	0.33586061194926764	-0.29688167191195	0.5048600848988639	-1.2885238715605243	
original	firstorder	TotalEnergy	1348387.5588085428	66950740.05466616	1222346.3270462027	19181007.26536256	
original	firstorder	Uniformity	0.625	0.1792062332602873	0.625	0.2877777777777778	
original	firstorder	Variance	118.1608837867793	1477.5705204854828	68.48424969440772	909.3587669267448	
original	glcm	Autocorrelation	1.5	43.993488958245656	1.5	30.230326484327854	
original	glcm	JointAverage	1.25	6.578618229556933	1.25	5.4754005975278215	
original	glcm	ClusterProminence	0.0	104.98307690180029	0.03125	29.614442698838126	
original	glcm	ClusterShade	0.0	-2.2266673847847214	0.0	-4.502359932519422	
original	glcm	ClusterTendency	0.0	6.282751614648746	0.125	2.233533346817066	
original	glcm	Contrast	0.5	3.425140751883011	0.5	1.2912036992748348	
original	glcm	Correlation	4.440892098500626e-16	0.29465786520956666	-0.1666666666666663	0.2229827429161055	
original	glcm	DifferenceAverage	0.5	1.399483021095249	0.5	0.7989268622647554	
original	glcm	DifferenceEntropy	-3.203426503814917e-16	2.1114097762196815	0.4999999999999995	1.5526218301075008	
original	glcm	DifferenceVariance	0.0	1.4200901637453323	0.125	0.6306878015684969	
original	glcm	JointEnergy	0.75	0.038026322907280696	0.5625	0.16416326145983656	
original	glcm	JointEntropy	0.4999999999999995	4.990837372176562	0.9999999999999993	3.2150686059462235	
original	glcm	Imc1	-0.5	-0.09180517689492601	-0.32553281989451643	-0.16466506746816262	
original	glcm	Imc2	0.4649367475160968	0.6032138965170455	0.46559039619085674	0.6281768600874952	
original	glcm	Idm	0.75	0.4831117046261617	0.75	0.6494022616184039	
original	glcm	Idmn	0.8999999999999999	0.9628018116323732	0.9	0.9757505208324287	
original	glcm	Id	0.75	0.5373143955266254	0.75	0.672963773256181	
original	glcm	Idn	0.8333333333333333	0.8762451577625185	0.8333333333333333	0.9066413653289509	
original	glcm	InverseVariance	0.5	0.43984354517706414	0.5	0.45648383187522873	
original	glcm	MaximumProbability	0.75	0.07269337705500317	0.625	0.32749275348454554	
original	glcm	SumEntropy	-3.203426503814917e-16	3.2755386901301935	0.4999999999999995	2.2502449357135106	
original	glcm	SumSquares	0.125	2.4269730916329397	0.15625	0.8811842615229751	
original	glrlm	GrayLevelNonUniformity	2.0833333333333335	32.614666515667075	1.8750000000000002	11.62836170132914	
original	glrlm	GrayLevelNonUniformityNormalized	0.5902777777777778	0.1769634428023307	0.5729166666666667	0.2449562868689673	
original	glrlm	GrayLevelVariance	0.2048611111111111	2.5866311993941546	0.21354166666666666	1.714898496285656	
original	glrlm	HighGrayLevelRunEmphasis	1.875	42.79446531234611	1.9375	26.183215205820854	
original	glrlm	LongRunEmphasis	1.5	1.7166916589306473	1.75	1.9433353772514708	
original	glrlm	LongRunHighGrayLevelEmphasis	2.375	77.56020988747827	2.6875	57.85624369001146	
original	glrlm	LongRunLowGrayLevelEmphasis	1.28125	0.054836615762111136	1.515625	0.10238042619722182	
original	glrlm	LowGrayLevelRunEmphasis	0.78125	0.03723699785674273	0.765625	0.07212008854276063	
original	glrlm	RunEntropy	1.1981203125901436	3.3752597218951887	1.3915414066556493	2.940726135715253	
original	glrlm	RunLengthNonUniformity	2.8333333333333335	131.25957021398062	2.25	31.191231858550886	
original	glrlm	RunLengthNonUniformityNormalized	0.7777777777777778	0.7085643722602811	0.6666666666666667	0.6532909450531861	
original	glrlm	RunPercentage	0.875	0.8305613305613305	0.8125	0.7897435897435898	
original	glrlm	RunVariance	0.1111111111111111	0.2514584111918486	0.16666666666666666	0.3163354989435199	
original	glrlm	ShortRunEmphasis	0.875	0.8661566806717974	0.8125	0.8314862447124878	
original	glrlm	ShortRunHighGrayLevelEmphasis	1.75	36.31263749761328	1.75	20.62327274621658	
original	glrlm	ShortRunLowGrayLevelEmphasis	0.65625	0.033903140836289106	0.578125	0.0664974605392601	
original	glszm	GrayLevelNonUniformity	1.0	5.666666666666667	1.0	1.9090909090909092	
original	glszm	GrayLevelNonUniformityNormalized	0.5	0.1717171717171717	0.5	0.17355371900826447	
original	glszm	GrayLevelVariance	0.25	3.483930211202938	0.25	3.537190082644628	
original	glszm	HighGrayLevelZoneEmphasis	2.5	28.78787878787879	2.5	20.272727272727273	
original	glszm	LargeAreaEmphasis	5.0	198.12121212121212	5.0	90.72727272727273	
original	glszm	LargeAreaHighGrayLevelEmphasis	6.5	8744.969696969696	6.5	2897.5454545454545	
original	glszm	LargeAreaLowGrayLevelEmphasis	4.625	4.975470397474366	4.625	3.1605138115852403	
original	glszm	LowGrayLevelZoneEmphasis	0.625	0.08618120929628867	0.625	0.16517522160379303	
original	glszm	SizeZoneNonUniformity	1.0	12.696969696969697	1.0	3.3636363636363638	
original	glszm	SizeZoneNonUniformityNormalized	0.5	0.38475665748393023	0.5	0.30578512396694213	
original	glszm	SmallAreaEmphasis	0.5555555555555556	0.6334588864330826	0.5555555555555556	0.5250721548369213	
original	glszm	SmallAreaHighGrayLevelEmphasis	2.0555555555555554	13.490565091670948	2.0555555555555554	8.611585572737702	
original	glszm	SmallAreaLowGrayLevelEmphasis	0.18055555555555555	0.07295306659471756	0.18055555555555555	0.13076739900057205	
original	glszm	ZoneEntropy	0.9999999999999993	3.941170726735214	0.9999999999999993	3.0271691184406153	
original	glszm	ZonePercentage	0.5	0.14864864864864866	0.5	0.18333333333333332	
original	glszm	ZoneVariance	1.0	152.86501377410468	1.0	60.97520661157025	
original	gldm	DependenceEntropy	1.4999999999999991	5.614693216111862	0.8112781244591322	4.41108049624427	
original	gldm	DependenceNonUniformity	1.5	23.207207207207208	2.5	5.6	
original	gldm	DependenceNonUniformityNormalized	0.375	0.10453696940183427	0.625	0.09333333333333334	
original	gldm	DependenceVariance	0.5	7.322132943754565	0.75	23.015555555555554	
original	gldm	GrayLevelNonUniformity	2.5	39.78378378378378	2.5	17.266666666666666	
original	gldm	GrayLevelVariance	0.1875	2.505397289181073	0.1875	1.536388888888889	
original	gldm	HighGrayLevelEmphasis	1.75	43.765765765765764	1.75	27.716666666666665	
original	gldm	LargeDependenceEmphasis	4.5	36.54054054054054	7.0	64.83333333333333	
original	gldm	LargeDependenceHighGrayLevelEmphasis	5.25	1808.045045045045	7.75	2257.4166666666665	
original	gldm	LargeDependenceLowGrayLevelEmphasis	4.3125	0.8811003818444294	6.8125	1.9433158541194255	
original	gldm	LowGrayLevelEmphasis	0.8125	0.03508397286175064	0.8125	0.06365466742252456	
original	gldm	SmallDependenceEmphasis	0.4027777777777778	0.14292012904567017	0.3333333333333333	0.15549894873573336	
original	gldm	SmallDependenceHighGrayLevelEmphasis	1.1527777777777777	4.079429566862828	1.0833333333333333	2.9197484356655394	
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.2152777777777778	0.012299978213996414	0.14583333333333331	0.02759273873409287	
original	ngtdm	Busyness	2.5	0.5707501278617427	1.9999999999999996	0.1801943061995545	
original	ngtdm	Coarseness	0.8	0.03227363135664068	1.0000000000000002	0.12926005242387673	
original	ngtdm	Complexity	0.625	33.579001250918985	0.4999999999999999	12.226171087648956	
original	ngtdm	Contrast	0.10937499999999999	0.06964702664940141	0.09374999999999999	0.04755996760174258	
original	ngtdm	Strength	0.8571428571428572	0.9072755400331789	1.0000000000000002	2.434782978788963	
exponential	firstorder	10Percentile	146.43186766303032	29.00254988554516	55.82938820380197	70.11889117804226	
exponential	firstorder	90Percentile	239.96026192838406	158.40866676314664	78.2736272694106	226.00578068390593	
exponential	firstorder	Energy	960650.0329015251	32551409.86706301	535422.7596273324	12066535.462377518	
exponential	firstorder	Entropy	1.4999999999999991	2.800583231235938	0.8112781244591322	3.1309138304030295	
exponential	firstorder	InterquartileRange	69.80519894634463	61.5075171669969	15.112296496388296	79.23489186063705	
exponential	firstorder	Kurtosis	1.58500786707268	3.4420586144362195	1.7685016704126655	2.703383030826702	
exponential	firstorder	Maximum	255.73712323521679	237.91069332075384	82.74661169259366	313.75259254340807	
exponential	firstorder	MeanAbsoluteDeviation	41.49237595067484	39.52238659406616	9.59279896186646	50.72732766653109	
exponential	firstorder	Mean	187.9499784398207	79.68990084383702	65.69883869208874	144.1771360391641	
exponential	firstorder	Median	174.83476255010453	65.86050108488726	62.31716608079492	149.09786583469938	
exponential	firstorder	Minimum	146.39326542385697	6.75252316660396	55.41441091417149	19.591459137765096	
exponential	firstorder	Range	109.34385781135981	231.15817015414987	27.33220077842217	294.161133405643	
exponential	firstorder	RobustMeanAbsoluteDeviation	28.312822995669777	26.667103677273165	5.519497534521836	37.033637783325254	
exponential	firstorder	RootMeanSquared	490.06377975257595	382.92032118204133	365.8629386899322	448.4516968113273	
exponential	firstorder	Skewness	0.4578065338467213	1.0425525468313706	0.6027473785516174	0.12028542406780232	
exponential	firstorder	TotalEnergy	1109156.3181809883	32551409.86706301	618193.4277822825	12066535.462377518	
exponential	firstorder	Uniformity	0.375	0.177745312880448	0.625	0.13499999999999998	
exponential	firstorder	Variance	2067.3267659597864	2463.551571354887	120.04928609076882	3815.596193004573	
exponential	glcm	Autocorrelation	9.5	16.22583753940495	1.5	48.912484164262544	
exponential	glcm	JointAverage	3.375	3.8590839649747837	1.25	6.938274392805856	
exponential	glcm	ClusterProminence	0.0	377.34338549569577	0.03125	403.19048409802633	
exponential	glcm	ClusterShade	0.0	28.66969717163156	0.0	-10.442678667053606	
exponential	glcm	ClusterTendency	0.0	11.475055300194802	0.125	11.500167935487704	
exponential	glcm	Contrast	11.75	6.14616649959765	0.5	8.621688013309079	
exponential	glcm	Correlation	-1.0	0.30188488948216324	-0.1666666666666663	0.13133968164123352	
exponential	glcm	DifferenceAverage	3.25	1.8245377547794024	0.5	2.244660141753165	
exponential	glcm	DifferenceEntropy	-3.203426503814917e-16	2.4858792710382462	0.4999999999999995	2.5242533748587976	
exponential	glcm	DifferenceVariance	0.0	2.7501192154608582	0.125	3.472711787236209	
exponential	glcm	JointEnergy	0.5	0.034230369644803145	0.5625	0.039284165351554684	
exponential	glcm	JointEntropy	0.9999999999999993	5.448201818555574	0.9999999999999993	4.907357103782335	
exponential	glcm	Imc1	-1.0	-0.10585239157273495	-0.32553281989451643	-0.3229115282735583	
exponential	glcm	Imc2	0.9298734950321936	0.6608117987613087	0.46559039619085674	0.9186458902252753	
exponential	glcm	Idm	0.10961538461538461	0.4314680378024889	0.75	0.3565590326892189	
exponential	glcm	Idmn	0.7725409836065573	0.9491307009698736	0.9	0.9560938355772107	
exponential	glcm	Id	0.24999999999999997	0.49503694635834405	0.75	0.4362351283269031	
exponential	glcm	Idn	0.6571969696969696	0.8609413214680299	0.8333333333333333	0.8647061301699324	
exponential	glcm	InverseVariance	0.12805555555555556	0.3880529361051073	0.5	0.33243432652260424	
exponential	glcm	MaximumProbability	0.5	0.08814005488871318	0.625	0.08628226601892812	
exponential	glcm	SumEntropy	-3.203426503814917e-16	3.571500332543758	0.4999999999999995	3.3782113279279695	
exponential	glcm	SumSquares	2.9375	4.405305449948114	0.15625	5.030463987199196	
exponential	glrlm	GrayLevelNonUniformity	1.5	31.47183837038687	1.8750000000000002	7.154433631329661	
exponential	glrlm	GrayLevelNonUniformityNormalized	0.375	0.166780379691511	0.5729166666666667	0.13040791909666283	
exponential	glrlm	GrayLevelVariance	4.5	4.386260544622067	0.21354166666666666	6.222147482611016	
exponential	glrlm	HighGrayLevelRunEmphasis	13.5	18.466891866735725	1.9375	44.39610249447166	
exponential	glrlm	LongRunEmphasis	1.0	1.6096230325542733	1.75	1.3049815542084298	
exponential	glrlm	LongRunHighGrayLevelEmphasis	13.5	25.660463458353572	2.6875	58.621373951504744	
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.5225694444444444	0.2962452038155003	1.515625	0.07426053903721806	
exponential	glrlm	LowGrayLevelRunEmphasis	0.5225694444444444	0.18460219067662362	0.765625	0.06398984127575404	
exponential	glrlm	RunEntropy	1.4999999999999991	3.5006283279103916	1.3915414066556493	3.4630233182518	
exponential	glrlm	RunLengthNonUniformity	4.0	139.8304680946351	2.25	46.309995432056866	
exponential	glrlm	RunLengthNonUniformityNormalized	1.0	0.7398690668267722	0.6666666666666667	0.8405004656273415	
exponential	glrlm	RunPercentage	1.0	0.8496188496188496	0.8125	0.9141025641025641	
exponential	glrlm	RunVariance	0.0	0.21750178400544634	0.16666666666666666	0.09908261252586266	
exponential	glrlm	ShortRunEmphasis	1.0	0.8839475244939595	0.8125	0.9319856882310057	
exponential	glrlm	ShortRunHighGrayLevelEmphasis	13.5	17.006190064515785	1.75	41.12183140026922	
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.5225694444444444	0.16281164681431276	0.578125	0.06181134009441436	
exponential	glszm	GrayLevelNonUniformity	1.5	4.609756097560975	1.0	1.8235294117647058	
exponential	glszm	GrayLevelNonUniformityNormalized	0.375	0.1124330755502677	0.5	0.10726643598615918	
exponential	glszm	GrayLevelVariance	4.5	8.5639500297442	0.25	10.45674740484429	
exponential	glszm	HighGrayLevelZoneEmphasis	13.5	32.1219512195122	2.5	45.05882352941177	
exponential	glszm	LargeAreaEmphasis	1.0	159.9512195121951	5.0	24.0	
exponential	glszm	LargeAreaHighGrayLevelEmphasis	13.5	1420.0975609756097	6.5	1027.235294117647	
exponential	glszm	LargeAreaLowGrayLevelEmphasis	0.5225694444444444	27.51879219054379	4.625	0.8822693182028454	
exponential	glszm	LowGrayLevelZoneEmphasis	0.5225694444444444	0.22951795239324274	0.625	0.11924730384154539	
exponential	glszm	SizeZoneNonUniformity	4.0	12.609756097560975	1.0	3.7058823529411766	
exponential	glszm	SizeZoneNonUniformityNormalized	1.0	0.3075550267697799	0.5	0.2179930795847751	
exponential	glszm	SmallAreaEmphasis	1.0	0.5592838244115567	0.5555555555555556	0.41807648985520135	
exponential	glszm	SmallAreaHighGrayLevelEmphasis	13.5	22.293430147106285	2.0555555555555554	17.676160278926385	
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.5225694444444444	0.11845378598198168	0.18055555555555555	0.08953762170007579	
exponential	glszm	ZoneEntropy	1.4999999999999991	4.4034199197701795	0.9999999999999993	3.9698157824268048	
exponential	glszm	ZonePercentage	1.0	0.18468468468468469	0.5	0.2833333333333333	
exponential	glszm	ZoneVariance	0.0	130.63295657346816	1.0	11.54325259515571	
exponential	gldm	DependenceEntropy	1.4999999999999991	5.599326372613253	0.8112781244591322	4.72156700429578	
exponential	gldm	DependenceNonUniformity	4.0	24.25225225225225	2.5	12.533333333333333	
exponential	gldm	DependenceNonUniformityNormalized	1.0	0.10924437951464978	0.625	0.2088888888888889	
exponential	gldm	DependenceVariance	0.0	8.36125314503693	0.75	2.5455555555555556	
exponential	gldm	GrayLevelNonUniformity	1.5	39.45945945945946	2.5	8.1	
exponential	gldm	GrayLevelVariance	4.5	4.135053972891811	0.1875	6.003055555555556	
exponential	gldm	HighGrayLevelEmphasis	13.5	17.513513513513512	1.75	44.65	
exponential	gldm	LargeDependenceEmphasis	1.0	32.468468468468465	7.0	13.0	
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	13.5	349.5135135135135	7.75	620.45	
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	0.5225694444444444	6.0744901314296165	6.8125	0.4111069600113403	
exponential	gldm	LowGrayLevelEmphasis	0.5225694444444444	0.1846265561196117	0.8125	0.06125518689468629	
exponential	gldm	SmallDependenceEmphasis	1.0	0.16321075768451307	0.3333333333333333	0.2129752692743764	
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	13.5	5.20287542597788	1.0833333333333333	8.863788194444446	
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.5225694444444444	0.03187674808325594	0.14583333333333331	0.029941004602698253	
exponential	ngtdm	Busyness	1.3333333333333333	1.7811776531435646	1.9999999999999996	0.1673834314927752	
exponential	ngtdm	Coarseness	0.1875	0.023858468828799304	1.0000000000000002	0.10206674763310779	
exponential	ngtdm	Complexity	28.0	55.160592990596214	0.4999999999999999	72.85240169481786	
exponential	ngtdm	Contrast	5.0	0.11775713560900913	0.09374999999999999	0.16612375566638918	
exponential	ngtdm	Strength	4.125	1.109291332883176	1.0000000000000002	4.373191499057928	
square	firstorder	10Percentile	206.88354726198457	114.89905947557469	146.4919792716558	171.4512291938829	
square	firstorder	90Percentile	249.4978182424894	259.9714223028482	171.90018729414584	278.9647426565671	
square	firstorder	Energy	1108895.3815292297	52113186.743033916	839010.713973052	16737890.342255354	
square	firstorder	Entropy	1.4999999999999991	3.152200509235665	1.4999999999999991	2.798355790735167	
square	firstorder	InterquartileRange	33.22250682897601	75.89724027773764	17.610317463832246	55.19899308680792	
square	firstorder	Kurtosis	1.4618026910034023	2.4751701310093703	1.6846956442852956	3.693649998871871	
square	firstorder	Maximum	255.73712323521667	303.39730722725415	176.55934286399236	313.7525925434082	
