Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_52_segment_Recur Occipit tentorial
original	shape	Sphericity	0.5995236584746193
original	shape	SurfaceArea	1476.0803731804951
original	shape	SurfaceVolumeRatio	0.5962957238904543
original	shape	VoxelVolume	2502.0
original	firstorder	10Percentile	69.78118181855397
original	firstorder	90Percentile	153.42584831197706
original	firstorder	Energy	416376094.90468025
original	firstorder	Entropy	2.4335498724939404
original	firstorder	InterquartileRange	42.51718210778972
original	firstorder	Kurtosis	3.3611345395981145
original	firstorder	Maximum	223.8359420538362
original	firstorder	MeanAbsoluteDeviation	26.3145618620079
original	firstorder	Mean	106.57476969141372
original	firstorder	Median	100.91590799163308
original	firstorder	Minimum	10.466232372815732
original	firstorder	Range	213.36970968102045
original	firstorder	RobustMeanAbsoluteDeviation	17.90244397729927
original	firstorder	RootMeanSquared	407.9427706413943
original	firstorder	Skewness	0.6482419612593278
original	firstorder	TotalEnergy	416376094.90468025
original	firstorder	Uniformity	0.2228787713234688
original	firstorder	Variance	1114.2607689511299
original	glcm	Autocorrelation	22.956488089758547
original	glcm	JointAverage	4.706099034154002
original	glcm	ClusterProminence	86.49692668465717
original	glcm	ClusterShade	7.640875642510756
original	glcm	ClusterTendency	4.985822174559863
original	glcm	Contrast	1.7581697421984706
original	glcm	Correlation	0.47008417947091147
original	glcm	DifferenceAverage	0.9553241647653133
original	glcm	DifferenceEntropy	1.741508090799593
original	glcm	DifferenceVariance	0.8025348009266146
original	glcm	JointEnergy	0.06937077044049327
original	glcm	JointEntropy	4.450379541779173
original	glcm	Imc1	-0.11020710541874225
original	glcm	Imc2	0.5792437422450217
original	glcm	Idm	0.5999260796820439
original	glcm	Idmn	0.9798328717919708
original	glcm	Id	0.6302845117897525
original	glcm	Idn	0.9112503106599232
original	glcm	InverseVariance	0.4782063355251276
original	glcm	MaximumProbability	0.16945601957421513
original	glcm	SumEntropy	3.1158510558566115
original	glcm	SumSquares	1.6859979791895832
original	glrlm	GrayLevelNonUniformity	357.9015697833556
original	glrlm	GrayLevelNonUniformityNormalized	0.1993961152838374
original	glrlm	GrayLevelVariance	2.096068156184965
original	glrlm	HighGrayLevelRunEmphasis	25.65033679875866
original	glrlm	LongRunEmphasis	2.7290119252814153
original	glrlm	LongRunHighGrayLevelEmphasis	62.010062302201845
original	glrlm	LongRunLowGrayLevelEmphasis	0.15767872498374175
original	glrlm	LowGrayLevelRunEmphasis	0.058243308236417504
original	glrlm	RunEntropy	3.6685579191780002
original	glrlm	RunLengthNonUniformity	1058.7889514227722
original	glrlm	RunLengthNonUniformityNormalized	0.5826908003599887
original	glrlm	RunPercentage	0.7170878681670048
original	glrlm	RunVariance	0.7210363609458419
original	glrlm	ShortRunEmphasis	0.7888504310520491
original	glrlm	ShortRunHighGrayLevelEmphasis	20.886849866998894
original	glrlm	ShortRunLowGrayLevelEmphasis	0.04633964467066509
original	glszm	GrayLevelNonUniformity	20.6875
original	glszm	GrayLevelNonUniformityNormalized	0.16162109375
original	glszm	GrayLevelVariance	4.58343505859375
original	glszm	HighGrayLevelZoneEmphasis	23.9296875
original	glszm	LargeAreaEmphasis	9195.453125
original	glszm	LargeAreaHighGrayLevelEmphasis	187294.859375
original	glszm	LargeAreaLowGrayLevelEmphasis	502.10289471553955
original	glszm	LowGrayLevelZoneEmphasis	0.10916308421516756
original	glszm	SizeZoneNonUniformity	39.953125
original	glszm	SizeZoneNonUniformityNormalized	0.3121337890625
original	glszm	SmallAreaEmphasis	0.5779619150468056
original	glszm	SmallAreaHighGrayLevelEmphasis	12.022501172670987
original	glszm	SmallAreaLowGrayLevelEmphasis	0.06540254408164552
original	glszm	ZoneEntropy	4.771184516177225
original	glszm	ZonePercentage	0.051159072741806554
original	glszm	ZoneVariance	8813.372802734375
original	gldm	DependenceEntropy	6.167591611310232
original	gldm	DependenceNonUniformity	161.47641886490808
original	gldm	DependenceNonUniformityNormalized	0.06453893639684576
original	gldm	DependenceVariance	21.521747909426256
original	gldm	GrayLevelNonUniformity	557.6426858513189
original	gldm	GrayLevelVariance	1.8581751704950988
original	gldm	HighGrayLevelEmphasis	24.509992006394885
original	gldm	LargeDependenceEmphasis	91.33972821742606
original	gldm	LargeDependenceHighGrayLevelEmphasis	1809.292565947242
original	gldm	LargeDependenceLowGrayLevelEmphasis	5.388777571983734
original	gldm	LowGrayLevelEmphasis	0.057890556476461554
original	gldm	SmallDependenceEmphasis	0.06362490839408032
original	gldm	SmallDependenceHighGrayLevelEmphasis	1.6060277078228176
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.005396142260184955
original	ngtdm	Busyness	6.853128685739182
original	ngtdm	Coarseness	0.0033420791187942314
original	ngtdm	Complexity	22.166823763591662
original	ngtdm	Contrast	0.03521950026552673
original	ngtdm	Strength	0.09049233729304389
exponential	firstorder	10Percentile	4.378277054843447
exponential	firstorder	90Percentile	25.70482979615706
exponential	firstorder	Energy	245073571.98319015
exponential	firstorder	Entropy	0.5992432396553122
exponential	firstorder	InterquartileRange	8.562523210202926
exponential	firstorder	Kurtosis	16.147775668304764
exponential	firstorder	Maximum	114.05065650078022
exponential	firstorder	MeanAbsoluteDeviation	7.9410765273049515
exponential	firstorder	Mean	12.723380728408696
exponential	firstorder	Median	8.461311857063022
exponential	firstorder	Minimum	1.2479201641132862
exponential	firstorder	Range	112.80273633666694
exponential	firstorder	RobustMeanAbsoluteDeviation	3.966413061428846
exponential	firstorder	RootMeanSquared	312.9713532241009
exponential	firstorder	Skewness	3.1546891956778325
exponential	firstorder	TotalEnergy	245073571.98319015
exponential	firstorder	Uniformity	0.8061841494030993
exponential	firstorder	Variance	155.15508471965697
exponential	glcm	Autocorrelation	1.318273492558377
exponential	glcm	JointAverage	1.1194986073722575
exponential	glcm	ClusterProminence	5.317395367726222
exponential	glcm	ClusterShade	1.321309981246897
exponential	glcm	ClusterTendency	0.478537128280118
exponential	glcm	Contrast	0.21923465426538982
exponential	glcm	Correlation	0.34199023654249916
exponential	glcm	DifferenceAverage	0.1540410352804179
exponential	glcm	DifferenceEntropy	0.6467186771395136
exponential	glcm	DifferenceVariance	0.1943684732572842
exponential	glcm	JointEnergy	0.7292244867708557
exponential	glcm	JointEntropy	0.9897777668470684
exponential	glcm	Imc1	-0.14130950577141402
exponential	glcm	Imc2	0.32142827659022577
exponential	glcm	Idm	0.9293426956663536
exponential	glcm	Idmn	0.9923215199605036
exponential	glcm	Id	0.9322819559839518
exponential	glcm	Idn	0.9757600484776601
exponential	glcm	InverseVariance	0.11066113716269642
exponential	glcm	MaximumProbability	0.8507557724193139
exponential	glcm	SumEntropy	0.8267134774523999
exponential	glcm	SumSquares	0.174442945636377
exponential	glrlm	GrayLevelNonUniformity	401.4959082204713
exponential	glrlm	GrayLevelNonUniformityNormalized	0.5409982943127842
exponential	glrlm	GrayLevelVariance	0.5223757733646542
exponential	glrlm	HighGrayLevelRunEmphasis	2.51530816177205
exponential	glrlm	LongRunEmphasis	23.933149929653517
exponential	glrlm	LongRunHighGrayLevelEmphasis	26.58712960040597
exponential	glrlm	LongRunLowGrayLevelEmphasis	23.473421737010536
exponential	glrlm	LowGrayLevelRunEmphasis	0.7602349830706919
exponential	glrlm	RunEntropy	3.6763820324274072
exponential	glrlm	RunLengthNonUniformity	159.21655575991267
exponential	glrlm	RunLengthNonUniformityNormalized	0.21128061519911373
exponential	glrlm	RunPercentage	0.29398020045502055
exponential	glrlm	RunVariance	10.6523430926438
exponential	glrlm	ShortRunEmphasis	0.45284465267846746
exponential	glrlm	ShortRunHighGrayLevelEmphasis	1.796028881319884
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.24517116114795157
exponential	glszm	GrayLevelNonUniformity	6.739130434782608
exponential	glszm	GrayLevelNonUniformityNormalized	0.29300567107750475
exponential	glszm	GrayLevelVariance	1.2438563327032135
exponential	glszm	HighGrayLevelZoneEmphasis	9.478260869565217
exponential	glszm	LargeAreaEmphasis	218624.0
exponential	glszm	LargeAreaHighGrayLevelEmphasis	222115.26086956522
exponential	glszm	LargeAreaLowGrayLevelEmphasis	217826.73636473433
exponential	glszm	LowGrayLevelZoneEmphasis	0.1945289855072464
exponential	glszm	SizeZoneNonUniformity	5.521739130434782
exponential	glszm	SizeZoneNonUniformityNormalized	0.24007561436672967
exponential	glszm	SmallAreaEmphasis	0.46127741731798877
exponential	glszm	SmallAreaHighGrayLevelEmphasis	4.973977389983381
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.065513632148885
exponential	glszm	ZoneEntropy	3.7294461949052513
exponential	glszm	ZonePercentage	0.009192645883293365
exponential	glszm	ZoneVariance	206790.34404536866
exponential	gldm	DependenceEntropy	4.483812017616347
exponential	gldm	DependenceNonUniformity	192.74500399680255
exponential	gldm	DependenceNonUniformityNormalized	0.07703637250072044
exponential	gldm	DependenceVariance	51.940043488790096
exponential	gldm	GrayLevelNonUniformity	2017.0727418065549
exponential	gldm	GrayLevelVariance	0.21013548873131707
exponential	gldm	HighGrayLevelEmphasis	1.5103916866506795
exponential	gldm	LargeDependenceEmphasis	426.6147082334133
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	441.2370103916866
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	423.63773681055153
exponential	gldm	LowGrayLevelEmphasis	0.9165994981792343
exponential	gldm	SmallDependenceEmphasis	0.013559251598036613
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.08871652403755145
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.005096438881223147
exponential	ngtdm	Busyness	21.638082699297854
exponential	ngtdm	Coarseness	0.006047566339600891
exponential	ngtdm	Complexity	2.030193107663548
exponential	ngtdm	Contrast	0.003137113899578079
exponential	ngtdm	Strength	0.15176184916385804
square	firstorder	10Percentile	18.4875423281841
square	firstorder	90Percentile	89.37161565384882
square	firstorder	Energy	304180022.07115185
square	firstorder	Entropy	2.1387925496639166
square	firstorder	InterquartileRange	33.86293020846664
square	firstorder	Kurtosis	5.349559904289471
square	firstorder	Maximum	190.2226327674994
square	firstorder	MeanAbsoluteDeviation	22.931814217291567
square	firstorder	Mean	47.35371370536821
square	firstorder	Median	38.66533753007036
square	firstorder	Minimum	0.41589460438788667
square	firstorder	Range	189.8067381631115
square	firstorder	RobustMeanAbsoluteDeviation	14.643188757515647
square	firstorder	RootMeanSquared	348.6757075410292
square	firstorder	Skewness	1.4639387658414176
square	firstorder	TotalEnergy	304180022.07115185
square	firstorder	Uniformity	0.28195573037972493
square	firstorder	Variance	920.1466043264535
square	glcm	Autocorrelation	6.1128076334409505
square	glcm	JointAverage	2.331478913650009
square	glcm	ClusterProminence	92.15509457445395
square	glcm	ClusterShade	11.217644702738474
square	glcm	ClusterTendency	4.187160346322979
square	glcm	Contrast	1.486949678479867
square	glcm	Correlation	0.46160446039566655
square	glcm	DifferenceAverage	0.8218803119718016
square	glcm	DifferenceEntropy	1.6514939728814053
square	glcm	DifferenceVariance	0.7765080366439375
square	glcm	JointEnergy	0.1084957884387013
square	glcm	JointEntropy	3.881525613003483
square	glcm	Imc1	-0.11900076436222785
square	glcm	Imc2	0.5678031364235674
square	glcm	Idm	0.65196449512294
square	glcm	Idmn	0.9789552304441472
square	glcm	Id	0.6746818695943388
square	glcm	Idn	0.9153768222066703
square	glcm	InverseVariance	0.4530462430758741
square	glcm	MaximumProbability	0.24311217386229872
square	glcm	SumEntropy	2.835009945832793
square	glcm	SumSquares	1.4185275062007112
square	glrlm	GrayLevelNonUniformity	395.22570012327105
square	glrlm	GrayLevelNonUniformityNormalized	0.23847895970504712
square	glrlm	GrayLevelVariance	1.888542637545033
square	glrlm	HighGrayLevelRunEmphasis	8.499501504849066
square	glrlm	LongRunEmphasis	3.4212260036637994
square	glrlm	LongRunHighGrayLevelEmphasis	19.871025876766055
square	glrlm	LongRunLowGrayLevelEmphasis	1.2867560424337074
square	glrlm	LowGrayLevelRunEmphasis	0.3422451815333298
square	glrlm	RunEntropy	3.6034498636490415
square	glrlm	RunLengthNonUniformity	876.2167623460881
square	glrlm	RunLengthNonUniformityNormalized	0.5204438849925832
square	glrlm	RunPercentage	0.6615323126114492
square	glrlm	RunVariance	1.0321140110009106
square	glrlm	ShortRunEmphasis	0.7448759131735064
square	glrlm	ShortRunHighGrayLevelEmphasis	7.084447318589358
square	glrlm	ShortRunLowGrayLevelEmphasis	0.24295010334611705
square	glszm	GrayLevelNonUniformity	17.673267326732674
square	glszm	GrayLevelNonUniformityNormalized	0.17498284481913537
square	glszm	GrayLevelVariance	4.0162729144201545
square	glszm	HighGrayLevelZoneEmphasis	19.544554455445546
square	glszm	LargeAreaEmphasis	16240.653465346535
square	glszm	LargeAreaHighGrayLevelEmphasis	69503.65346534654
square	glszm	LargeAreaLowGrayLevelEmphasis	5634.082299131699
square	glszm	LowGrayLevelZoneEmphasis	0.26857562414404706
square	glszm	SizeZoneNonUniformity	28.663366336633665
square	glszm	SizeZoneNonUniformityNormalized	0.2837957063033036
square	glszm	SmallAreaEmphasis	0.5488452571385385
square	glszm	SmallAreaHighGrayLevelEmphasis	9.88192376711545
square	glszm	SmallAreaLowGrayLevelEmphasis	0.17011784823201154
square	glszm	ZoneEntropy	4.839276356331595
square	glszm	ZonePercentage	0.04036770583533174
square	glszm	ZoneVariance	15626.987746299383
square	gldm	DependenceEntropy	6.044007889793538
square	gldm	DependenceNonUniformity	136.54916067146283
square	gldm	DependenceNonUniformityNormalized	0.054576003465812484
square	gldm	DependenceVariance	27.96885688890934
square	gldm	GrayLevelNonUniformity	705.4532374100719
square	gldm	GrayLevelVariance	1.575684775920271
square	gldm	HighGrayLevelEmphasis	7.297761790567546
square	gldm	LargeDependenceEmphasis	124.01199040767386
square	gldm	LargeDependenceHighGrayLevelEmphasis	523.601518784972
square	gldm	LargeDependenceLowGrayLevelEmphasis	50.19258818851948
square	gldm	LowGrayLevelEmphasis	0.35985235224518797
square	gldm	SmallDependenceEmphasis	0.050209054755070336
square	gldm	SmallDependenceHighGrayLevelEmphasis	0.7513258466103734
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.014721687930815035
square	ngtdm	Busyness	18.358023969740657
square	ngtdm	Coarseness	0.002985785790396963
square	ngtdm	Complexity	20.20477362738189
square	ngtdm	Contrast	0.03480179685574792
square	ngtdm	Strength	0.11652714627920492
squareroot	firstorder	10Percentile	135.571340395677
squareroot	firstorder	90Percentile	201.0240396708613
squareroot	firstorder	Energy	543865710.1274898
squareroot	firstorder	Entropy	2.141136426716067
squareroot	firstorder	InterquartileRange	33.86371664329724
squareroot	firstorder	Kurtosis	3.266477009651781
squareroot	firstorder	Maximum	242.80836338320168
squareroot	firstorder	MeanAbsoluteDeviation	20.578854645498033
squareroot	firstorder	Mean	165.50295895093774
squareroot	firstorder	Median	163.0341357809428
squareroot	firstorder	Minimum	52.504184350821276
squareroot	firstorder	Range	190.3041790323804
squareroot	firstorder	RobustMeanAbsoluteDeviation	14.146867490480712
squareroot	firstorder	RootMeanSquared	466.2321161632715
squareroot	firstorder	Skewness	0.1550745863355127
squareroot	firstorder	TotalEnergy	543865710.1274898
squareroot	firstorder	Uniformity	0.2690404031690714
squareroot	firstorder	Variance	679.3813500038306
squareroot	glcm	Autocorrelation	26.40033492231423
squareroot	glcm	JointAverage	5.090958020398775
squareroot	glcm	ClusterProminence	30.180186965254865
squareroot	glcm	ClusterShade	1.8614817276184883
squareroot	glcm	ClusterTendency	3.086096506640617
squareroot	glcm	Contrast	1.1608514720312237
squareroot	glcm	Correlation	0.44740616071959466
squareroot	glcm	DifferenceAverage	0.7636220091018243
squareroot	glcm	DifferenceEntropy	1.5129670355460239
squareroot	glcm	DifferenceVariance	0.551782108128283
squareroot	glcm	JointEnergy	0.09526151829404217
squareroot	glcm	JointEntropy	3.895570431496594
squareroot	glcm	Imc1	-0.11558246854315789
squareroot	glcm	Imc2	0.5586789933972681
squareroot	glcm	Idm	0.6575112022238174
squareroot	glcm	Idmn	0.9829113552037015
squareroot	glcm	Id	0.6769243477194037
squareroot	glcm	Idn	0.9193775333932989
squareroot	glcm	InverseVariance	0.4837768150706934
squareroot	glcm	MaximumProbability	0.19767515304366062
squareroot	glcm	SumEntropy	2.816984957481809
squareroot	glcm	SumSquares	1.06173699466796
squareroot	glrlm	GrayLevelNonUniformity	408.6878561801095
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.24430821357709698
squareroot	glrlm	GrayLevelVariance	1.3532904265498493
squareroot	glrlm	HighGrayLevelRunEmphasis	27.898670029010074
squareroot	glrlm	LongRunEmphasis	3.2573815986374433
squareroot	glrlm	LongRunHighGrayLevelEmphasis	87.29789057086032
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.14266474535886614
squareroot	glrlm	LowGrayLevelRunEmphasis	0.04639198186071401
squareroot	glrlm	RunEntropy	3.556995121255694
squareroot	glrlm	RunLengthNonUniformity	885.2840228053194
squareroot	glrlm	RunLengthNonUniformityNormalized	0.5193171033079618
squareroot	glrlm	RunPercentage	0.6688802803910718
squareroot	glrlm	RunVariance	0.913625139855722
squareroot	glrlm	ShortRunEmphasis	0.7434507991206291
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	20.97587426261113
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.035526879852759
squareroot	glszm	GrayLevelNonUniformity	22.4
squareroot	glszm	GrayLevelNonUniformityNormalized	0.224
squareroot	glszm	GrayLevelVariance	2.9491000000000005
squareroot	glszm	HighGrayLevelZoneEmphasis	18.71
squareroot	glszm	LargeAreaEmphasis	15991.9
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	414281.37
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	664.067459750567
squareroot	glszm	LowGrayLevelZoneEmphasis	0.10659428854875283
squareroot	glszm	SizeZoneNonUniformity	37.5
squareroot	glszm	SizeZoneNonUniformityNormalized	0.375
squareroot	glszm	SmallAreaEmphasis	0.6290135913881381
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	10.8560991032735
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.0686744321805571
squareroot	glszm	ZoneEntropy	4.042199040160741
squareroot	glszm	ZonePercentage	0.03996802557953637
squareroot	glszm	ZoneVariance	15365.8996
squareroot	gldm	DependenceEntropy	6.038030919609119
squareroot	gldm	DependenceNonUniformity	151.29656274980016
squareroot	gldm	DependenceNonUniformityNormalized	0.060470248900799425
squareroot	gldm	DependenceVariance	21.78805444852751
squareroot	gldm	GrayLevelNonUniformity	673.1390887290167
squareroot	gldm	GrayLevelVariance	1.1674006917567463
squareroot	gldm	HighGrayLevelEmphasis	27.450439648281375
squareroot	gldm	LargeDependenceEmphasis	114.12310151878498
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	2902.8701039168664
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	4.957420604332861
squareroot	gldm	LowGrayLevelEmphasis	0.045076617844046755
squareroot	gldm	SmallDependenceEmphasis	0.04933534816732196
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	1.1200408387961036
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.004032106429381618
squareroot	ngtdm	Busyness	6.439156610779237
squareroot	ngtdm	Coarseness	0.0033192684477106865
squareroot	ngtdm	Complexity	15.256793556492626
squareroot	ngtdm	Contrast	0.02351729074082168
squareroot	ngtdm	Strength	0.07720831980624515
logarithm	firstorder	10Percentile	201.15560858179245
logarithm	firstorder	90Percentile	237.99614244373248
logarithm	firstorder	Energy	673497132.2037975
logarithm	firstorder	Entropy	1.4161338226941527
logarithm	firstorder	InterquartileRange	19.22292533404189
logarithm	firstorder	Kurtosis	4.972226563444102
logarithm	firstorder	Maximum	255.73621780441061
logarithm	firstorder	MeanAbsoluteDeviation	11.701985143658753
logarithm	firstorder	Mean	218.608698074597
logarithm	firstorder	Median	218.3713974035474
logarithm	firstorder	Minimum	115.19886037949102
logarithm	firstorder	Range	140.5373574249196
logarithm	firstorder	RobustMeanAbsoluteDeviation	8.00343582749174
logarithm	firstorder	RootMeanSquared	518.8289757489048
logarithm	firstorder	Skewness	-0.5235982226894816
logarithm	firstorder	TotalEnergy	673497132.2037975
logarithm	firstorder	Uniformity	0.44521824586693554
logarithm	firstorder	Variance	228.52435802917188
logarithm	glcm	Autocorrelation	27.44021681073538
logarithm	glcm	JointAverage	5.224425679313203
logarithm	glcm	ClusterProminence	4.567891413089713
logarithm	glcm	ClusterShade	-0.1637827015123336
logarithm	glcm	ClusterTendency	1.0784837018256428
logarithm	glcm	Contrast	0.4974543186663378
logarithm	glcm	Correlation	0.36536702970352264
logarithm	glcm	DifferenceAverage	0.42361730300882916
logarithm	glcm	DifferenceEntropy	1.1094184024639877
logarithm	glcm	DifferenceVariance	0.3092559416803108
logarithm	glcm	JointEnergy	0.2540016270054519
logarithm	glcm	JointEntropy	2.536561294501969
logarithm	glcm	Imc1	-0.11498735322450429
logarithm	glcm	Imc2	0.4655776042716324
logarithm	glcm	Idm	0.7954798773335732
logarithm	glcm	Idmn	0.9902733115534633
logarithm	glcm	Id	0.799435764305685
logarithm	glcm	Idn	0.9480354334985867
logarithm	glcm	InverseVariance	0.36836983291477987
logarithm	glcm	MaximumProbability	0.4316571382528745
logarithm	glcm	SumEntropy	2.006693228636254
logarithm	glcm	SumSquares	0.3939845051229952
logarithm	glrlm	GrayLevelNonUniformity	461.59899842147126
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.3643223847707144
logarithm	glrlm	GrayLevelVariance	0.633861390209743
logarithm	glrlm	HighGrayLevelRunEmphasis	27.921052968966094
logarithm	glrlm	LongRunEmphasis	7.3205471935468145
logarithm	glrlm	LongRunHighGrayLevelEmphasis	200.48528888697075
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.27947317002141864
logarithm	glrlm	LowGrayLevelRunEmphasis	0.04121970277485077
logarithm	glrlm	RunEntropy	3.486364654070285
logarithm	glrlm	RunLengthNonUniformity	480.85893964583926
logarithm	glrlm	RunLengthNonUniformityNormalized	0.3665241554998505
logarithm	glrlm	RunPercentage	0.5038738240177089
logarithm	glrlm	RunVariance	2.8910462787692017
logarithm	glrlm	ShortRunEmphasis	0.6159923487967861
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	16.980117235512253
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.02705778592010709
logarithm	glszm	GrayLevelNonUniformity	24.303030303030305
logarithm	glszm	GrayLevelNonUniformityNormalized	0.3682277318640955
logarithm	glszm	GrayLevelVariance	1.241505968778696
logarithm	glszm	HighGrayLevelZoneEmphasis	17.484848484848484
logarithm	glszm	LargeAreaEmphasis	41463.121212121216
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	1142120.7121212122
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	1542.6886520820447
logarithm	glszm	LowGrayLevelZoneEmphasis	0.08549611763897479
logarithm	glszm	SizeZoneNonUniformity	19.181818181818183
logarithm	glszm	SizeZoneNonUniformityNormalized	0.290633608815427
logarithm	glszm	SmallAreaEmphasis	0.5507917278865535
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	9.063772447221721
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.04574997155258992
logarithm	glszm	ZoneEntropy	3.9374448765408445
logarithm	glszm	ZonePercentage	0.026378896882494004
logarithm	glszm	ZoneVariance	40026.02203856749
logarithm	gldm	DependenceEntropy	5.597068859952774
logarithm	gldm	DependenceNonUniformity	109.34212629896084
logarithm	gldm	DependenceNonUniformityNormalized	0.04370188900837763
logarithm	gldm	DependenceVariance	39.8659547182398
logarithm	gldm	GrayLevelNonUniformity	1113.9360511590728
logarithm	gldm	GrayLevelVariance	0.43826952826228227
logarithm	gldm	HighGrayLevelEmphasis	27.881294964028775
logarithm	gldm	LargeDependenceEmphasis	233.05595523581135
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	6347.194644284572
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	8.783707308529594
logarithm	gldm	LowGrayLevelEmphasis	0.039188560716053006
logarithm	gldm	SmallDependenceEmphasis	0.02924698741637065
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	0.6125289349908695
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.001989036290637024
logarithm	ngtdm	Busyness	6.047573668085496
logarithm	ngtdm	Coarseness	0.003223822895786902
