Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_58_segment_Rt occipital
original	shape	SurfaceArea	24.90423014021015
original	shape	SurfaceVolumeRatio	2.780007085418807
original	shape	VoxelVolume	12.0
original	firstorder	10Percentile	83.37189511666048
original	firstorder	90Percentile	147.75123179369223
original	firstorder	Energy	2014028.5490416815
original	firstorder	Entropy	2.0849625007211543
original	firstorder	InterquartileRange	32.06680917696451
original	firstorder	Kurtosis	2.2519140537026185
original	firstorder	Maximum	153.69106240412938
original	firstorder	MeanAbsoluteDeviation	20.18621952623944
original	firstorder	Mean	108.94238319369987
original	firstorder	Median	106.79107219763986
original	firstorder	Minimum	72.09038503095128
original	firstorder	Range	81.6006773731781
original	firstorder	RobustMeanAbsoluteDeviation	11.716710442715932
original	firstorder	RootMeanSquared	409.6775712925228
original	firstorder	Skewness	0.43415861192115407
original	firstorder	TotalEnergy	2014028.5490416815
original	firstorder	Uniformity	0.2638888888888889
original	firstorder	Variance	601.8396479972629
original	glcm	Autocorrelation	8.694871794871794
original	glcm	JointAverage	2.9358974358974357
original	glcm	ClusterProminence	11.60634326923077
original	glcm	ClusterShade	1.0393518518518532
original	glcm	ClusterTendency	2.179871794871795
original	glcm	Contrast	2.607692307692308
original	glcm	Correlation	-0.13267005266000179
original	glcm	DifferenceAverage	1.3410256410256411
original	glcm	DifferenceEntropy	1.2104489538531713
original	glcm	DifferenceVariance	0.49320512820512824
original	glcm	JointEnergy	0.2114423076923077
original	glcm	JointEntropy	2.417977399435333
original	glcm	Imc1	-0.5618343402105693
original	glcm	Imc2	0.8895382700498156
original	glcm	Idm	0.45615384615384613
original	glcm	Idmn	0.9138885221503416
original	glcm	Id	0.5101495726495727
original	glcm	Idn	0.8044795482295483
original	glcm	InverseVariance	0.5202635327635328
original	glcm	MaximumProbability	0.24551282051282053
original	glcm	SumEntropy	1.5243876558455902
original	glcm	SumSquares	1.1968910256410257
original	glrlm	GrayLevelNonUniformity	2.942657342657343
original	glrlm	GrayLevelNonUniformityNormalized	0.25979868616232255
original	glrlm	GrayLevelVariance	1.4358921381648655
original	glrlm	HighGrayLevelRunEmphasis	10.046853146853145
original	glrlm	LongRunEmphasis	1.1972027972027972
original	glrlm	LongRunHighGrayLevelEmphasis	11.611888111888113
original	glrlm	LongRunLowGrayLevelEmphasis	0.25346367521367524
original	glrlm	LowGrayLevelRunEmphasis	0.2178925796425797
original	glrlm	RunEntropy	2.2640467283927928
original	glrlm	RunLengthNonUniformity	10.116083916083916
original	glrlm	RunLengthNonUniformityNormalized	0.8871964399237127
original	glrlm	RunPercentage	0.9423076923076922
original	glrlm	RunVariance	0.05640178003814367
original	glrlm	ShortRunEmphasis	0.9506993006993005
original	glrlm	ShortRunHighGrayLevelEmphasis	9.655594405594407
original	glrlm	ShortRunLowGrayLevelEmphasis	0.20899980574980576
original	glszm	GrayLevelNonUniformity	1.0
original	glszm	GrayLevelNonUniformityNormalized	0.2
original	glszm	GrayLevelVariance	2.0
original	glszm	HighGrayLevelZoneEmphasis	11.0
original	glszm	LargeAreaEmphasis	7.6
original	glszm	LargeAreaHighGrayLevelEmphasis	65.0
original	glszm	LargeAreaLowGrayLevelEmphasis	1.4000555555555556
original	glszm	LowGrayLevelZoneEmphasis	0.2927222222222222
original	glszm	SizeZoneNonUniformity	1.8
original	glszm	SizeZoneNonUniformityNormalized	0.36
original	glszm	SmallAreaEmphasis	0.475
original	glszm	SmallAreaHighGrayLevelEmphasis	4.8125
original	glszm	SmallAreaLowGrayLevelEmphasis	0.2190138888888889
original	glszm	ZoneEntropy	2.321928094887361
original	glszm	ZonePercentage	0.4166666666666667
original	glszm	ZoneVariance	1.84
original	gldm	DependenceEntropy	2.7516291673878204
original	gldm	DependenceNonUniformity	3.3333333333333335
original	gldm	DependenceNonUniformityNormalized	0.2777777777777778
original	gldm	DependenceVariance	0.9166666666666666
original	gldm	GrayLevelNonUniformity	3.1666666666666665
original	gldm	GrayLevelVariance	1.4097222222222223
original	gldm	HighGrayLevelEmphasis	9.916666666666666
original	gldm	LargeDependenceEmphasis	7.166666666666667
original	gldm	LargeDependenceHighGrayLevelEmphasis	54.25
original	gldm	LargeDependenceLowGrayLevelEmphasis	1.3976157407407408
original	gldm	LowGrayLevelEmphasis	0.21557870370370372
original	gldm	SmallDependenceEmphasis	0.2974537037037037
original	gldm	SmallDependenceHighGrayLevelEmphasis	3.1157407407407405
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.10412937242798354
original	ngtdm	Busyness	0.2554882369614513
original	ngtdm	Coarseness	0.41936512779264723
original	ngtdm	Complexity	8.038855820105821
original	ngtdm	Contrast	0.12648807227366257
original	ngtdm	Strength	3.1732576567279698
exponential	firstorder	10Percentile	15.352579645289348
exponential	firstorder	90Percentile	129.59890254306205
exponential	firstorder	Energy	1494152.7840531308
exponential	firstorder	Entropy	2.0849625007211543
exponential	firstorder	InterquartileRange	35.101672224186714
exponential	firstorder	Kurtosis	3.5894721811192842
exponential	firstorder	Maximum	153.6910624041294
exponential	firstorder	MeanAbsoluteDeviation	33.9652296290305
exponential	firstorder	Mean	49.95110745985014
exponential	firstorder	Median	33.4500607480786
exponential	firstorder	Minimum	10.608895830337065
exponential	firstorder	Range	143.08216657379234
exponential	firstorder	RobustMeanAbsoluteDeviation	12.770514639527812
exponential	firstorder	RootMeanSquared	352.86361671958696
exponential	firstorder	Skewness	1.428430942256553
exponential	firstorder	TotalEnergy	1494152.7840531308
exponential	firstorder	Uniformity	0.26388888888888884
exponential	firstorder	Variance	2046.9543920519818
exponential	glcm	Autocorrelation	6.742307692307692
exponential	glcm	JointAverage	2.5717948717948715
exponential	glcm	ClusterProminence	96.94034469373219
exponential	glcm	ClusterShade	9.574310541310542
exponential	glcm	ClusterTendency	6.2751709401709395
exponential	glcm	Contrast	7.223076923076922
exponential	glcm	Correlation	-0.13471407926664847
exponential	glcm	DifferenceAverage	2.0589743589743588
exponential	glcm	DifferenceEntropy	1.1162943223347415
exponential	glcm	DifferenceVariance	2.043803418803419
exponential	glcm	JointEnergy	0.22775641025641027
exponential	glcm	JointEntropy	2.293618425076358
exponential	glcm	Imc1	-0.6720520362246187
exponential	glcm	Imc2	0.9122600778913539
exponential	glcm	Idm	0.39219979115906717
exponential	glcm	Idmn	0.8927127804678476
exponential	glcm	Id	0.45094017094017097
exponential	glcm	Idn	0.7988905076405076
exponential	glcm	InverseVariance	0.4733226495726495
exponential	glcm	MaximumProbability	0.2737179487179487
exponential	glcm	SumEntropy	1.432079963537898
exponential	glcm	SumSquares	3.374561965811966
exponential	glrlm	GrayLevelNonUniformity	2.9782439782439782
exponential	glrlm	GrayLevelNonUniformityNormalized	0.2592671077519562
exponential	glrlm	GrayLevelVariance	3.6572053087204592
exponential	glrlm	HighGrayLevelRunEmphasis	10.694638694638696
exponential	glrlm	LongRunEmphasis	1.1779331779331779
exponential	glrlm	LongRunHighGrayLevelEmphasis	11.077700077700078
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.5486061557490127
exponential	glrlm	LowGrayLevelRunEmphasis	0.4219550290978861
exponential	glrlm	RunEntropy	2.22148235951384
exponential	glrlm	RunLengthNonUniformity	10.645687645687644
exponential	glrlm	RunLengthNonUniformityNormalized	0.9206517388335571
exponential	glrlm	RunPercentage	0.9551282051282051
exponential	glrlm	RunVariance	0.05961715052624143
exponential	glrlm	ShortRunEmphasis	0.9650133816800484
exponential	glrlm	ShortRunHighGrayLevelEmphasis	10.636860053526721
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.3926664164759402
exponential	glszm	GrayLevelNonUniformity	1.5714285714285714
exponential	glszm	GrayLevelNonUniformityNormalized	0.22448979591836735
exponential	glszm	GrayLevelVariance	4.244897959183674
exponential	glszm	HighGrayLevelZoneEmphasis	16.0
exponential	glszm	LargeAreaEmphasis	4.285714285714286
exponential	glszm	LargeAreaHighGrayLevelEmphasis	22.714285714285715
exponential	glszm	LargeAreaLowGrayLevelEmphasis	2.681486880466472
exponential	glszm	LowGrayLevelZoneEmphasis	0.2529154518950437
exponential	glszm	SizeZoneNonUniformity	3.857142857142857
exponential	glszm	SizeZoneNonUniformityNormalized	0.5510204081632653
exponential	glszm	SmallAreaEmphasis	0.7390873015873015
exponential	glszm	SmallAreaHighGrayLevelEmphasis	15.358134920634921
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.08724084872044056
exponential	glszm	ZoneEntropy	2.5216406363433164
exponential	glszm	ZonePercentage	0.5833333333333334
exponential	glszm	ZoneVariance	1.3469387755102038
exponential	gldm	DependenceEntropy	2.918295834054487
exponential	gldm	DependenceNonUniformity	3.5
exponential	gldm	DependenceNonUniformityNormalized	0.2916666666666667
exponential	gldm	DependenceVariance	1.3055555555555556
exponential	gldm	GrayLevelNonUniformity	3.1666666666666665
exponential	gldm	GrayLevelVariance	3.5763888888888884
exponential	gldm	HighGrayLevelEmphasis	10.25
exponential	gldm	LargeDependenceEmphasis	6.0
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	18.75
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	4.564200680272109
exponential	gldm	LowGrayLevelEmphasis	0.43920068027210885
exponential	gldm	SmallDependenceEmphasis	0.49652777777777773
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	9.149305555555555
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.08503401360544217
exponential	ngtdm	Busyness	1.24157848324515
exponential	ngtdm	Coarseness	0.26847544301999365
exponential	ngtdm	Complexity	19.471053791887126
exponential	ngtdm	Contrast	0.5098246435920047
exponential	ngtdm	Strength	6.089356963904611
square	firstorder	10Percentile	45.226344839567865
square	firstorder	90Percentile	142.40236937464988
square	firstorder	Energy	1759364.3878463712
square	firstorder	Entropy	2.396240625180287
square	firstorder	InterquartileRange	44.06125572417986
square	firstorder	Kurtosis	2.5477891635530034
square	firstorder	Maximum	153.69106240412938
square	firstorder	MeanAbsoluteDeviation	29.245697654939466
square	firstorder	Mean	81.13863167351722
square	firstorder	Median	74.343683240015
square	firstorder	Minimum	33.81474194150128
square	firstorder	Range	119.8763204626281
square	firstorder	RobustMeanAbsoluteDeviation	16.092035583377925
square	firstorder	RootMeanSquared	382.90168318668645
square	firstorder	Skewness	0.7665975359452752
square	firstorder	TotalEnergy	1759364.3878463712
square	firstorder	Uniformity	0.20833333333333334
square	firstorder	Variance	1347.042433236584
square	glcm	Autocorrelation	7.699999999999999
square	glcm	JointAverage	2.7403846153846154
square	glcm	ClusterProminence	44.55282288105414
square	glcm	ClusterShade	2.5755448717948726
square	glcm	ClusterTendency	4.271303418803418
square	glcm	Contrast	4.388461538461538
square	glcm	Correlation	0.19117931893058598
square	glcm	DifferenceAverage	1.6371794871794871
square	glcm	DifferenceEntropy	1.0960321429585091
square	glcm	DifferenceVariance	0.6350641025641027
square	glcm	JointEnergy	0.25137820512820513
square	glcm	JointEntropy	2.374387655845589
square	glcm	Imc1	-0.7258980223356674
square	glcm	Imc2	0.9005713145230005
square	glcm	Idm	0.4411538461538461
square	glcm	Idmn	0.9042830108214724
square	glcm	Id	0.5072649572649571
square	glcm	Idn	0.8084096459096458
square	glcm	InverseVariance	0.3747952279202279
square	glcm	MaximumProbability	0.2775641025641026
square	glcm	SumEntropy	1.496182527640462
square	glcm	SumSquares	2.1649412393162395
square	glrlm	GrayLevelNonUniformity	2.374125874125874
square	glrlm	GrayLevelNonUniformityNormalized	0.20703009112100024
square	glrlm	GrayLevelVariance	2.3880350709896168
square	glrlm	HighGrayLevelRunEmphasis	10.209673659673658
square	glrlm	LongRunEmphasis	1.1510489510489512
square	glrlm	LongRunHighGrayLevelEmphasis	10.828554778554777
square	glrlm	LongRunLowGrayLevelEmphasis	0.4226210502460503
square	glrlm	LowGrayLevelRunEmphasis	0.3419100945350945
square	glrlm	RunEntropy	2.507281293242516
square	glrlm	RunLengthNonUniformity	10.516083916083916
square	glrlm	RunLengthNonUniformityNormalized	0.9118118245390973
square	glrlm	RunPercentage	0.9551282051282051
square	glrlm	RunVariance	0.04409408773045136
square	glrlm	ShortRunEmphasis	0.9622377622377621
square	glrlm	ShortRunHighGrayLevelEmphasis	10.05495337995338
square	glrlm	ShortRunLowGrayLevelEmphasis	0.32173235560735564
square	glszm	GrayLevelNonUniformity	1.0
square	glszm	GrayLevelNonUniformityNormalized	0.16666666666666666
square	glszm	GrayLevelVariance	2.9166666666666665
square	glszm	HighGrayLevelZoneEmphasis	15.166666666666666
square	glszm	LargeAreaEmphasis	5.0
square	glszm	LargeAreaHighGrayLevelEmphasis	33.833333333333336
square	glszm	LargeAreaLowGrayLevelEmphasis	2.0633796296296296
square	glszm	LowGrayLevelZoneEmphasis	0.24856481481481482
square	glszm	SizeZoneNonUniformity	3.0
square	glszm	SizeZoneNonUniformityNormalized	0.5
square	glszm	SmallAreaEmphasis	0.5555555555555556
square	glszm	SmallAreaHighGrayLevelEmphasis	13.092592592592593
square	glszm	SmallAreaLowGrayLevelEmphasis	0.04691872427983539
square	glszm	ZoneEntropy	2.5849625007211543
square	glszm	ZonePercentage	0.5
square	glszm	ZoneVariance	1.0
square	gldm	DependenceEntropy	2.855388542207531
square	gldm	DependenceNonUniformity	4.166666666666667
square	gldm	DependenceNonUniformityNormalized	0.3472222222222222
square	gldm	DependenceVariance	0.6388888888888888
square	gldm	GrayLevelNonUniformity	2.5
square	gldm	GrayLevelVariance	2.3541666666666665
square	gldm	HighGrayLevelEmphasis	9.916666666666666
square	gldm	LargeDependenceEmphasis	5.333333333333333
square	gldm	LargeDependenceHighGrayLevelEmphasis	27.083333333333332
square	gldm	LargeDependenceLowGrayLevelEmphasis	2.7724305555555553
square	gldm	LowGrayLevelEmphasis	0.35113425925925923
square	gldm	SmallDependenceEmphasis	0.3796296296296296
square	gldm	SmallDependenceHighGrayLevelEmphasis	7.106481481481481
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.057024176954732504
square	ngtdm	Busyness	0.4056306306306307
square	ngtdm	Coarseness	0.39977790116601886
square	ngtdm	Complexity	15.549255952380951
square	ngtdm	Contrast	0.18563455320399763
square	ngtdm	Strength	4.9317825989711475
squareroot	firstorder	10Percentile	113.19677368334631
squareroot	firstorder	90Percentile	150.64038701013516
squareroot	firstorder	Energy	2206765.081792307
squareroot	firstorder	Entropy	1.4833557549816867
squareroot	firstorder	InterquartileRange	19.40639485317743
squareroot	firstorder	Kurtosis	2.1623369743058767
squareroot	firstorder	Maximum	153.69106240412938
squareroot	firstorder	MeanAbsoluteDeviation	11.995358416095124
squareroot	firstorder	Mean	128.58936589246903
squareroot	firstorder	Median	128.08219449657835
squareroot	firstorder	Minimum	105.2599062536617
squareroot	firstorder	Range	48.431156150467686
squareroot	firstorder	RobustMeanAbsoluteDeviation	7.091448892790558
squareroot	firstorder	RootMeanSquared	428.83224010020393
squareroot	firstorder	Skewness	0.2536452420777519
squareroot	firstorder	TotalEnergy	2206765.081792307
squareroot	firstorder	Uniformity	0.37500000000000006
squareroot	firstorder	Variance	208.24559325022423
squareroot	glcm	Autocorrelation	3.019230769230769
squareroot	glcm	JointAverage	1.73525641025641
squareroot	glcm	ClusterProminence	1.7054140491452991
squareroot	glcm	ClusterShade	0.23250071225071237
squareroot	glcm	ClusterTendency	0.8419871794871795
squareroot	glcm	Contrast	1.067948717948718
squareroot	glcm	Correlation	-0.03755818896811337
squareroot	glcm	DifferenceAverage	0.8243589743589742
squareroot	glcm	DifferenceEntropy	0.7746401877249045
squareroot	glcm	DifferenceVariance	0.22147435897435896
squareroot	glcm	JointEnergy	0.31083333333333335
squareroot	glcm	JointEntropy	1.967977399435333
squareroot	glcm	Imc1	-0.48157576321041884
squareroot	glcm	Imc2	0.7910912872337826
squareroot	glcm	Idm	0.6121794871794872
squareroot	glcm	Idmn	0.904447731755424
squareroot	glcm	Id	0.6284188034188034
squareroot	glcm	Idn	0.8060897435897435
squareroot	glcm	InverseVariance	0.6112179487179487
squareroot	glcm	MaximumProbability	0.3538461538461538
squareroot	glcm	SumEntropy	1.2124346910603951
squareroot	glcm	SumSquares	0.4774839743589744
squareroot	glrlm	GrayLevelNonUniformity	4.066783216783217
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.3741568658614113
squareroot	glrlm	GrayLevelVariance	0.5285813996609451
squareroot	glrlm	HighGrayLevelRunEmphasis	3.6899184149184157
squareroot	glrlm	LongRunEmphasis	1.362937062937063
squareroot	glrlm	LongRunHighGrayLevelEmphasis	4.6706876456876465
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.7591281403781404
squareroot	glrlm	LowGrayLevelRunEmphasis	0.5273390960890961
squareroot	glrlm	RunEntropy	1.7276195465644266
squareroot	glrlm	RunLengthNonUniformity	9.134265734265735
squareroot	glrlm	RunLengthNonUniformityNormalized	0.8249332485696121
squareroot	glrlm	RunPercentage	0.9038461538461539
squareroot	glrlm	RunVariance	0.0875333757151939
squareroot	glrlm	ShortRunEmphasis	0.9092657342657342
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	3.444726107226107
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.46939183501683507
squareroot	glszm	GrayLevelNonUniformity	1.0
squareroot	glszm	GrayLevelNonUniformityNormalized	0.3333333333333333
squareroot	glszm	GrayLevelVariance	0.6666666666666666
squareroot	glszm	HighGrayLevelZoneEmphasis	4.666666666666667
squareroot	glszm	LargeAreaEmphasis	18.0
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	53.666666666666664
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	10.564814814814815
squareroot	glszm	LowGrayLevelZoneEmphasis	0.4537037037037037
squareroot	glszm	SizeZoneNonUniformity	1.6666666666666667
squareroot	glszm	SizeZoneNonUniformityNormalized	0.5555555555555556
squareroot	glszm	SmallAreaEmphasis	0.11
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	0.8166666666666668
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.025925925925925925
squareroot	glszm	ZoneEntropy	1.5849625007211552
squareroot	glszm	ZonePercentage	0.25
squareroot	glszm	ZoneVariance	1.9999999999999998
squareroot	gldm	DependenceEntropy	2.1887218755408653
squareroot	gldm	DependenceNonUniformity	4.166666666666667
squareroot	gldm	DependenceNonUniformityNormalized	0.3472222222222222
squareroot	gldm	DependenceVariance	0.75
squareroot	gldm	GrayLevelNonUniformity	4.5
squareroot	gldm	GrayLevelVariance	0.5208333333333333
squareroot	gldm	HighGrayLevelEmphasis	3.5833333333333335
squareroot	gldm	LargeDependenceEmphasis	13.0
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	33.083333333333336
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	8.719907407407407
squareroot	gldm	LowGrayLevelEmphasis	0.5393518518518519
squareroot	gldm	SmallDependenceEmphasis	0.10402777777777777
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	0.5519444444444445
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.038344907407407404
squareroot	ngtdm	Busyness	1.3384325396825396
squareroot	ngtdm	Coarseness	0.448285574514135
squareroot	ngtdm	Complexity	1.6325255102040817
squareroot	ngtdm	Contrast	0.09742086456496178
squareroot	ngtdm	Strength	1.1137957451823914
logarithm	firstorder	10Percentile	135.2107936494074
logarithm	firstorder	90Percentile	152.4552937720809
logarithm	firstorder	Energy	2350560.460185472
logarithm	firstorder	Entropy	0.6500224216483536
logarithm	firstorder	InterquartileRange	9.24963849271009
logarithm	firstorder	Kurtosis	2.127345886805256
logarithm	firstorder	Maximum	153.69106240412938
logarithm	firstorder	MeanAbsoluteDeviation	5.641774602232414
logarithm	firstorder	Mean	142.53184321935052
logarithm	firstorder	Median	142.6501908397639
logarithm	firstorder	Minimum	130.8349906860082
logarithm	firstorder	Range	22.85607171812117
logarithm	firstorder	RobustMeanAbsoluteDeviation	3.380056784324797
logarithm	firstorder	RootMeanSquared	442.58336881178593
logarithm	firstorder	Skewness	0.07080509698536663
logarithm	firstorder	TotalEnergy	2350560.460185472
logarithm	firstorder	Uniformity	0.7222222222222223
logarithm	firstorder	Variance	45.60608567353575
logarithm	glcm	Autocorrelation	1.3666666666666667
logarithm	glcm	JointAverage	1.1737179487179488
logarithm	glcm	ClusterProminence	0.11579154202279202
logarithm	glcm	ClusterShade	0.05853062678062679
logarithm	glcm	ClusterTendency	0.21933760683760684
logarithm	glcm	Contrast	0.308974358974359
logarithm	glcm	Correlation	0.004090354090354302
logarithm	glcm	DifferenceAverage	0.308974358974359
logarithm	glcm	DifferenceEntropy	0.7538381845336447
logarithm	glcm	DifferenceVariance	0.18087606837606837
logarithm	glcm	JointEnergy	0.5549679487179487
logarithm	glcm	JointEntropy	1.1157911493188393
logarithm	glcm	Imc1	-0.09203105431901461
logarithm	glcm	Imc2	0.3068880144897547
logarithm	glcm	Idm	0.8455128205128205
logarithm	glcm	Idmn	0.9382051282051281
logarithm	glcm	Id	0.8455128205128205
logarithm	glcm	Idn	0.897008547008547
logarithm	glcm	InverseVariance	0.308974358974359
logarithm	glcm	MaximumProbability	0.6717948717948719
logarithm	glcm	SumEntropy	0.8068167903444807
logarithm	glcm	SumSquares	0.13207799145299146
logarithm	glrlm	GrayLevelNonUniformity	6.559285159285159
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.6802207780995659
logarithm	glrlm	GrayLevelVariance	0.159889610950217
logarithm	glrlm	HighGrayLevelRunEmphasis	1.6053613053613054
logarithm	glrlm	LongRunEmphasis	1.8031080031080031
logarithm	glrlm	LongRunHighGrayLevelEmphasis	2.4853923853923856
logarithm	glrlm	LongRunLowGrayLevelEmphasis	1.6325369075369074
logarithm	glrlm	LowGrayLevelRunEmphasis	0.8486596736596737
logarithm	glrlm	RunEntropy	1.362639340634408
logarithm	glrlm	RunLengthNonUniformity	6.416317016317017
logarithm	glrlm	RunLengthNonUniformityNormalized	0.6554175790539426
logarithm	glrlm	RunPercentage	0.8012820512820512
logarithm	glrlm	RunVariance	0.1922342304160486
logarithm	glrlm	ShortRunEmphasis	0.8087196753863422
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	1.3948502115168782
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.662187041353708
logarithm	glszm	GrayLevelNonUniformity	1.0
logarithm	glszm	GrayLevelNonUniformityNormalized	0.5
logarithm	glszm	GrayLevelVariance	0.25
logarithm	glszm	HighGrayLevelZoneEmphasis	2.5
logarithm	glszm	LargeAreaEmphasis	52.0
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	58.0
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	50.5
logarithm	glszm	LowGrayLevelZoneEmphasis	0.625
logarithm	glszm	SizeZoneNonUniformity	1.0
logarithm	glszm	SizeZoneNonUniformityNormalized	0.5
logarithm	glszm	SmallAreaEmphasis	0.13
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	0.505
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.03625
logarithm	glszm	ZoneEntropy	0.9999999999999993
logarithm	glszm	ZonePercentage	0.16666666666666666
logarithm	glszm	ZoneVariance	16.0
logarithm	gldm	DependenceEntropy	2.2295739585136207
logarithm	gldm	DependenceNonUniformity	2.6666666666666665
logarithm	gldm	DependenceNonUniformityNormalized	0.2222222222222222
logarithm	gldm	DependenceVariance	5.472222222222221
logarithm	gldm	GrayLevelNonUniformity	8.666666666666666
logarithm	gldm	GrayLevelVariance	0.1388888888888889
logarithm	gldm	HighGrayLevelEmphasis	1.5
logarithm	gldm	LargeDependenceEmphasis	43.5
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	45.5
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	43.0
logarithm	gldm	LowGrayLevelEmphasis	0.875
logarithm	gldm	SmallDependenceEmphasis	0.06200790501385739
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	0.18700790501385742
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.030757905013857393
logarithm	ngtdm	Busyness	1.9899470899470897
logarithm	ngtdm	Coarseness	0.5025259239563946
logarithm	ngtdm	Complexity	0.33165784832451495
logarithm	ngtdm	Contrast	0.04390799529688419
logarithm	ngtdm	Strength	0.5271966527196653
gradient	firstorder	10Percentile	16.68158893585205
gradient	firstorder	90Percentile	39.218894958496094
gradient	firstorder	Energy	1299887.658628624
