Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_8_segment_Lt Occipital+Cavity
original	shape	Sphericity	0.6014836022169658
original	shape	SurfaceArea	4898.194994608792
original	shape	SurfaceVolumeRatio	0.32574102876391975
original	shape	VoxelVolume	15088.0
original	firstorder	10Percentile	63.07300480743619
original	firstorder	90Percentile	153.60266147799925
original	firstorder	Energy	2519545911.375782
original	firstorder	Entropy	2.5517698096946475
original	firstorder	InterquartileRange	49.868547143541505
original	firstorder	Kurtosis	3.6659588529341005
original	firstorder	Maximum	300.66673325717437
original	firstorder	MeanAbsoluteDeviation	28.96176060456097
original	firstorder	Mean	107.02186533069691
original	firstorder	Median	104.12471208930947
original	firstorder	Minimum	-21.38937421407463
original	firstorder	Range	322.056107471249
original	firstorder	RobustMeanAbsoluteDeviation	20.476940254953767
original	firstorder	RootMeanSquared	408.6441636077467
original	firstorder	Skewness	0.6793527852462442
original	firstorder	TotalEnergy	2519545911.375782
original	firstorder	Uniformity	0.19761649823334068
original	firstorder	Variance	1323.253593394876
original	glcm	Autocorrelation	34.59904729680392
original	glcm	JointAverage	5.754361190122007
original	glcm	ClusterProminence	184.2212357308322
original	glcm	ClusterShade	11.119496979053896
original	glcm	ClusterTendency	7.404470310002708
original	glcm	Contrast	1.4595749594374705
original	glcm	Correlation	0.6707677689625176
original	glcm	DifferenceAverage	0.8125257842978818
original	glcm	DifferenceEntropy	1.6628044301559126
original	glcm	DifferenceVariance	0.7853955344945199
original	glcm	JointEnergy	0.06090080228259282
original	glcm	JointEntropy	4.598235073186218
original	glcm	Imc1	-0.1980729549595043
original	glcm	Imc2	0.7856647062876241
original	glcm	Idm	0.6543731924733138
original	glcm	Idmn	0.992822392419444
original	glcm	Id	0.6766205526224472
original	glcm	Idn	0.9483504826161056
original	glcm	InverseVariance	0.4537855823376671
original	glcm	MaximumProbability	0.11278150262058323
original	glcm	SumEntropy	3.4157358725369447
original	glcm	SumSquares	2.2160113173600453
original	glrlm	GrayLevelNonUniformity	1791.477608168137
original	glrlm	GrayLevelNonUniformityNormalized	0.18940632709566074
original	glrlm	GrayLevelVariance	2.4003846065536254
original	glrlm	HighGrayLevelRunEmphasis	38.078827132939196
original	glrlm	LongRunEmphasis	3.9262576932456574
original	glrlm	LongRunHighGrayLevelEmphasis	126.13820607430021
original	glrlm	LongRunLowGrayLevelEmphasis	0.1551391444749179
original	glrlm	LowGrayLevelRunEmphasis	0.03465721050930105
original	glrlm	RunEntropy	4.0946829291744065
original	glrlm	RunLengthNonUniformity	4652.166689212223
original	glrlm	RunLengthNonUniformityNormalized	0.4873907266705019
original	glrlm	RunPercentage	0.6266161595562443
original	glrlm	RunVariance	1.3151092524056471
original	glrlm	ShortRunEmphasis	0.7226946242704795
original	glrlm	ShortRunHighGrayLevelEmphasis	28.769697245524945
original	glrlm	ShortRunLowGrayLevelEmphasis	0.02428817898297888
original	glszm	GrayLevelNonUniformity	37.97406340057637
original	glszm	GrayLevelNonUniformityNormalized	0.10943534121203564
original	glszm	GrayLevelVariance	7.242714415035421
original	glszm	HighGrayLevelZoneEmphasis	51.674351585014406
original	glszm	LargeAreaEmphasis	116499.19884726225
original	glszm	LargeAreaHighGrayLevelEmphasis	3663669.4438040345
original	glszm	LargeAreaLowGrayLevelEmphasis	4215.335463292941
original	glszm	LowGrayLevelZoneEmphasis	0.04511722193939293
original	glszm	SizeZoneNonUniformity	83.8414985590778
original	glszm	SizeZoneNonUniformityNormalized	0.24161815146708301
original	glszm	SmallAreaEmphasis	0.501514774016067
original	glszm	SmallAreaHighGrayLevelEmphasis	25.315897258819493
original	glszm	SmallAreaLowGrayLevelEmphasis	0.02659278233559624
original	glszm	ZoneEntropy	5.889601307786703
original	glszm	ZonePercentage	0.022998409331919406
original	glszm	ZoneVariance	114608.57817937197
original	gldm	DependenceEntropy	6.728000474640653
original	gldm	DependenceNonUniformity	787.7087751855779
original	gldm	DependenceNonUniformityNormalized	0.052207633562140636
original	gldm	DependenceVariance	29.822598039890963
original	gldm	GrayLevelNonUniformity	2981.637725344645
original	gldm	GrayLevelVariance	2.1976353036030964
original	gldm	HighGrayLevelEmphasis	35.65383085896077
original	gldm	LargeDependenceEmphasis	144.48343054082716
original	gldm	LargeDependenceHighGrayLevelEmphasis	4259.186969777306
original	gldm	LargeDependenceLowGrayLevelEmphasis	6.032896286871888
original	gldm	LowGrayLevelEmphasis	0.036440746918456834
original	gldm	SmallDependenceEmphasis	0.03422740264206052
original	gldm	SmallDependenceHighGrayLevelEmphasis	1.5648951332969043
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.0013458964269658401
original	ngtdm	Busyness	13.511351615210753
original	ngtdm	Coarseness	0.0006972579299625123
original	ngtdm	Complexity	51.5340220376612
original	ngtdm	Contrast	0.013378742661869983
original	ngtdm	Strength	0.07165942481788555
exponential	firstorder	10Percentile	2.8106900623691655
exponential	firstorder	90Percentile	12.387997789307796
exponential	firstorder	Energy	1423460387.3197727
exponential	firstorder	Entropy	0.15097659302299568
exponential	firstorder	InterquartileRange	4.626391409923466
exponential	firstorder	Kurtosis	52.78492594395463
exponential	firstorder	Maximum	137.8717035544753
exponential	firstorder	MeanAbsoluteDeviation	3.628448123561414
exponential	firstorder	Mean	7.093435252934833
exponential	firstorder	Median	5.507156784437572
exponential	firstorder	Minimum	0.7043656125557435
exponential	firstorder	Range	137.16733794191956
exponential	firstorder	RobustMeanAbsoluteDeviation	1.98496896053032
exponential	firstorder	RootMeanSquared	307.1544808194594
exponential	firstorder	Skewness	5.078434310737164
exponential	firstorder	TotalEnergy	1423460387.3197727
exponential	firstorder	Uniformity	0.9620847549449028
exponential	firstorder	Variance	37.4971120231991
exponential	glcm	Autocorrelation	1.054042079676246
exponential	glcm	JointAverage	1.0222589572507084
exponential	glcm	ClusterProminence	0.7736299062575456
exponential	glcm	ClusterShade	0.21067701103014402
exponential	glcm	ClusterTendency	0.08097423636418641
exponential	glcm	Contrast	0.044861555044698354
exponential	glcm	Correlation	0.28662891489991366
exponential	glcm	DifferenceAverage	0.032380543534765494
exponential	glcm	DifferenceEntropy	0.20134637461399968
exponential	glcm	DifferenceVariance	0.04379733713312977
exponential	glcm	JointEnergy	0.9373060395013776
exponential	glcm	JointEntropy	0.2766960805803004
exponential	glcm	Imc1	-0.12838062876255754
exponential	glcm	Imc2	0.18713954435575916
exponential	glcm	Idm	0.9849957863339805
exponential	glcm	Idmn	0.9988819609745084
exponential	glcm	Id	0.9854104306792993
exponential	glcm	Idn	0.9955719310785367
exponential	glcm	InverseVariance	0.02555575235146198
exponential	glcm	MaximumProbability	0.9679859105926549
exponential	glcm	SumEntropy	0.2415947548012247
exponential	glcm	SumSquares	0.03145894785222119
exponential	glrlm	GrayLevelNonUniformity	1577.0632861172728
exponential	glrlm	GrayLevelNonUniformityNormalized	0.7797405734330106
exponential	glrlm	GrayLevelVariance	0.19971450878637642
exponential	glrlm	HighGrayLevelRunEmphasis	1.5242069904753703
exponential	glrlm	LongRunEmphasis	120.93096836465625
exponential	glrlm	LongRunHighGrayLevelEmphasis	121.84028650590882
exponential	glrlm	LongRunLowGrayLevelEmphasis	120.74781639593503
exponential	glrlm	LowGrayLevelRunEmphasis	0.904022788471894
exponential	glrlm	RunEntropy	4.3783212468768244
exponential	glrlm	RunLengthNonUniformity	187.49490057610822
exponential	glrlm	RunLengthNonUniformityNormalized	0.08971213686949152
exponential	glrlm	RunPercentage	0.13247410066073903
exponential	glrlm	RunVariance	49.63582245989031
exponential	glrlm	ShortRunEmphasis	0.25913048294419416
exponential	glrlm	ShortRunHighGrayLevelEmphasis	0.7163276989247789
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.1781019394440597
exponential	glszm	GrayLevelNonUniformity	20.652173913043477
exponential	glszm	GrayLevelNonUniformityNormalized	0.44896030245746693
exponential	glszm	GrayLevelVariance	0.9002835538752363
exponential	glszm	HighGrayLevelZoneEmphasis	7.369565217391305
exponential	glszm	LargeAreaEmphasis	4759986.0
exponential	glszm	LargeAreaHighGrayLevelEmphasis	4760545.956521739
exponential	glszm	LargeAreaLowGrayLevelEmphasis	4759852.481394927
exponential	glszm	LowGrayLevelZoneEmphasis	0.2093538647342995
exponential	glszm	SizeZoneNonUniformity	8.08695652173913
exponential	glszm	SizeZoneNonUniformityNormalized	0.17580340264650285
exponential	glszm	SmallAreaEmphasis	0.39423680896592767
exponential	glszm	SmallAreaHighGrayLevelEmphasis	3.870464801240604
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.06291902033866972
exponential	glszm	ZoneEntropy	4.170543891762929
exponential	glszm	ZonePercentage	0.003048780487804878
exponential	glszm	ZoneVariance	4652401.999999999
exponential	gldm	DependenceEntropy	2.811756995485899
exponential	gldm	DependenceNonUniformity	5022.753446447508
exponential	gldm	DependenceNonUniformityNormalized	0.33289723266486665
exponential	gldm	DependenceVariance	27.904111503077313
exponential	gldm	GrayLevelNonUniformity	14515.934782608696
exponential	gldm	GrayLevelVariance	0.031956319321135025
exponential	gldm	HighGrayLevelEmphasis	1.0780752916224814
exponential	gldm	LargeDependenceEmphasis	582.7738600212089
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	585.6573435843054
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	582.1008015752033
exponential	gldm	LowGrayLevelEmphasis	0.9851485912277601
exponential	gldm	SmallDependenceEmphasis	0.0041847441838947915
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.01844729557052148
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.00251773702026621
exponential	ngtdm	Busyness	24.419522479431144
exponential	ngtdm	Coarseness	0.0040921550051173225
exponential	ngtdm	Complexity	0.7410005407507423
exponential	ngtdm	Contrast	6.735285067021564e-05
exponential	ngtdm	Strength	0.22855511318758806
square	firstorder	10Percentile	11.078561912880325
square	firstorder	90Percentile	65.70430526810588
square	firstorder	Energy	1708411120.682972
square	firstorder	Entropy	1.822835686494516
square	firstorder	InterquartileRange	28.921984735099308
square	firstorder	Kurtosis	8.400345420844246
square	firstorder	Maximum	251.74862315338095
square	firstorder	MeanAbsoluteDeviation	18.323210382639104
square	firstorder	Mean	35.581395084465385
square	firstorder	Median	30.19284052748587
square	firstorder	Minimum	2.351971430944257e-05
square	firstorder	Range	251.74859963366663
square	firstorder	RobustMeanAbsoluteDeviation	12.049787809098532
square	firstorder	RootMeanSquared	336.4963495469385
square	firstorder	Skewness	1.801345365242135
square	firstorder	TotalEnergy	1708411120.682972
square	firstorder	Uniformity	0.3356326078944143
square	firstorder	Variance	614.9205315793776
square	glcm	Autocorrelation	4.239255142084592
square	glcm	JointAverage	1.8975219565609527
square	glcm	ClusterProminence	76.68599383741918
square	glcm	ClusterShade	9.359924289850698
square	glcm	ClusterTendency	3.3841307780467065
square	glcm	Contrast	0.8297049412362653
square	glcm	Correlation	0.6059877794945839
square	glcm	DifferenceAverage	0.5109490979565975
square	glcm	DifferenceEntropy	1.3451373908977682
square	glcm	DifferenceVariance	0.5630962265646192
square	glcm	JointEnergy	0.1743371114264764
square	glcm	JointEntropy	3.2416829804454106
square	glcm	Imc1	-0.21135091014127916
square	glcm	Imc2	0.7206529319537036
square	glcm	Idm	0.7739281167171149
square	glcm	Idmn	0.9935065625565586
square	glcm	Id	0.7846895868505429
square	glcm	Idn	0.9592883616640504
square	glcm	InverseVariance	0.3373119012796207
square	glcm	MaximumProbability	0.313278151041003
square	glcm	SumEntropy	2.54804286174844
square	glcm	SumSquares	1.053458929820743
square	glrlm	GrayLevelNonUniformity	1983.1318205584475
square	glrlm	GrayLevelNonUniformityNormalized	0.28309848409335014
square	glrlm	GrayLevelVariance	1.3864237119894858
square	glrlm	HighGrayLevelRunEmphasis	6.556047454763003
square	glrlm	LongRunEmphasis	10.057966330469172
square	glrlm	LongRunHighGrayLevelEmphasis	28.46089901949559
square	glrlm	LongRunLowGrayLevelEmphasis	7.025523010691066
square	glrlm	LowGrayLevelRunEmphasis	0.394063093428568
square	glrlm	RunEntropy	4.006049520606805
square	glrlm	RunLengthNonUniformity	2673.8559887123392
square	glrlm	RunLengthNonUniformityNormalized	0.3775454552238174
square	glrlm	RunPercentage	0.4633585528999103
square	glrlm	RunVariance	5.187382078509504
square	glrlm	ShortRunEmphasis	0.6341204470680238
square	glrlm	ShortRunHighGrayLevelEmphasis	4.990410298319764
square	glrlm	ShortRunLowGrayLevelEmphasis	0.2121736360505736
square	glszm	GrayLevelNonUniformity	34.24074074074074
square	glszm	GrayLevelNonUniformityNormalized	0.15852194787379972
square	glszm	GrayLevelVariance	4.102859224965707
square	glszm	HighGrayLevelZoneEmphasis	20.587962962962962
square	glszm	LargeAreaEmphasis	337632.1388888889
square	glszm	LargeAreaHighGrayLevelEmphasis	959676.1944444445
square	glszm	LargeAreaLowGrayLevelEmphasis	202420.14900477443
square	glszm	LowGrayLevelZoneEmphasis	0.22544995098342308
square	glszm	SizeZoneNonUniformity	44.601851851851855
square	glszm	SizeZoneNonUniformityNormalized	0.2064900548696845
square	glszm	SmallAreaEmphasis	0.45035597951044476
square	glszm	SmallAreaHighGrayLevelEmphasis	9.974983881030754
square	glszm	SmallAreaLowGrayLevelEmphasis	0.10593636362696879
square	glszm	ZoneEntropy	5.522247540659828
square	glszm	ZonePercentage	0.014316012725344645
square	glszm	ZoneVariance	332752.8576817558
square	gldm	DependenceEntropy	6.0790566935871
square	gldm	DependenceNonUniformity	649.0662778366914
square	gldm	DependenceNonUniformityNormalized	0.04301870876436184
square	gldm	DependenceVariance	54.45255910816317
square	gldm	GrayLevelNonUniformity	5064.024787910923
square	gldm	GrayLevelVariance	1.0587443554898572
square	gldm	HighGrayLevelEmphasis	4.722030752916225
square	gldm	LargeDependenceEmphasis	278.03512725344643
square	gldm	LargeDependenceHighGrayLevelEmphasis	718.3528632025451
square	gldm	LargeDependenceLowGrayLevelEmphasis	192.35363387594327
square	gldm	LowGrayLevelEmphasis	0.5192226807550219
square	gldm	SmallDependenceEmphasis	0.020614259691786957
square	gldm	SmallDependenceHighGrayLevelEmphasis	0.2831307871672329
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.006008816161834308
square	ngtdm	Busyness	64.85726643978911
square	ngtdm	Coarseness	0.0006223353110661539
square	ngtdm	Complexity	26.152646985796576
square	ngtdm	Contrast	0.009089636442403055
square	ngtdm	Strength	0.0819531542195839
squareroot	firstorder	10Percentile	150.49552544558045
squareroot	firstorder	90Percentile	234.85574992711864
squareroot	firstorder	Energy	3687017662.218162
squareroot	firstorder	Entropy	2.4660127886463235
squareroot	firstorder	InterquartileRange	46.64368750949822
squareroot	firstorder	Kurtosis	3.28794793183515
squareroot	firstorder	Maximum	328.5825657556484
squareroot	firstorder	MeanAbsoluteDeviation	26.718550803247645
squareroot	firstorder	Mean	193.22670003900708
squareroot	firstorder	Median	193.36538572086636
squareroot	firstorder	Minimum	-87.63969678664215
squareroot	firstorder	Range	416.22226254229054
squareroot	firstorder	RobustMeanAbsoluteDeviation	19.14267290625391
squareroot	firstorder	RootMeanSquared	494.3354675671584
squareroot	firstorder	Skewness	0.15267260948868122
squareroot	firstorder	TotalEnergy	3687017662.218162
squareroot	firstorder	Uniformity	0.20815979621568315
squareroot	firstorder	Variance	1094.9768634723844
squareroot	glcm	Autocorrelation	150.0716017065565
squareroot	glcm	JointAverage	12.199137742929906
squareroot	glcm	ClusterProminence	107.66179656691932
squareroot	glcm	ClusterShade	2.015111595434687
squareroot	glcm	ClusterTendency	6.2071532347917975
squareroot	glcm	Contrast	1.1970890716484253
squareroot	glcm	Correlation	0.6767985068403027
squareroot	glcm	DifferenceAverage	0.7452849291386884
squareroot	glcm	DifferenceEntropy	1.5580008568887727
squareroot	glcm	DifferenceVariance	0.6293559795965096
squareroot	glcm	JointEnergy	0.0655788564614154
squareroot	glcm	JointEntropy	4.439086910602184
squareroot	glcm	Imc1	-0.20308491440474585
squareroot	glcm	Imc2	0.783805013803048
squareroot	glcm	Idm	0.6709276946230163
squareroot	glcm	Idmn	0.996366450363888
squareroot	glcm	Id	0.689674812028396
squareroot	glcm	Idn	0.9619177871161047
squareroot	glcm	InverseVariance	0.4613657649453825
squareroot	glcm	MaximumProbability	0.13409753225050974
squareroot	glcm	SumEntropy	3.327721053538826
squareroot	glcm	SumSquares	1.8510605766100556
squareroot	glrlm	GrayLevelNonUniformity	1843.5871240212994
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.19889508494181604
squareroot	glrlm	GrayLevelVariance	2.008956816946558
squareroot	glrlm	HighGrayLevelRunEmphasis	153.2191576380757
squareroot	glrlm	LongRunEmphasis	4.092011906267516
squareroot	glrlm	LongRunHighGrayLevelEmphasis	611.5040797693554
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.02871085978599656
squareroot	glrlm	LowGrayLevelRunEmphasis	0.006995598639398552
squareroot	glrlm	RunEntropy	4.066961981310292
squareroot	glrlm	RunLengthNonUniformity	4399.224023717461
squareroot	glrlm	RunLengthNonUniformityNormalized	0.46930072725881466
squareroot	glrlm	RunPercentage	0.6141049433069581
squareroot	glrlm	RunVariance	1.3600266920185506
squareroot	glrlm	ShortRunEmphasis	0.707979080639009
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	109.56373727628267
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.004951931004661405
squareroot	glszm	GrayLevelNonUniformity	35.56428571428572
squareroot	glszm	GrayLevelNonUniformityNormalized	0.127015306122449
squareroot	glszm	GrayLevelVariance	6.355089285714285
squareroot	glszm	HighGrayLevelZoneEmphasis	152.16071428571428
squareroot	glszm	LargeAreaEmphasis	154196.9642857143
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	23147365.653571427
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	1052.7067175977147
squareroot	glszm	LowGrayLevelZoneEmphasis	0.01138710568602134
squareroot	glszm	SizeZoneNonUniformity	72.94285714285714
squareroot	glszm	SizeZoneNonUniformityNormalized	0.26051020408163267
squareroot	glszm	SmallAreaEmphasis	0.5268830850065829
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	74.94878056745486
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.00804694546945404
squareroot	glszm	ZoneEntropy	5.648473049865991
squareroot	glszm	ZonePercentage	0.01855779427359491
squareroot	glszm	ZoneVariance	151293.29408163266
squareroot	gldm	DependenceEntropy	6.708739919080432
squareroot	gldm	DependenceNonUniformity	808.5336691410392
squareroot	gldm	DependenceNonUniformityNormalized	0.05358786248283664
squareroot	gldm	DependenceVariance	27.84976787646092
squareroot	gldm	GrayLevelNonUniformity	3140.715005302227
squareroot	gldm	GrayLevelVariance	1.8341047781259805
squareroot	gldm	HighGrayLevelEmphasis	151.34988069989396
squareroot	gldm	LargeDependenceEmphasis	149.58284729586427
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	22019.238003711558
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	1.0575777251051988
squareroot	gldm	LowGrayLevelEmphasis	0.007008305500684264
squareroot	gldm	SmallDependenceEmphasis	0.029331557582713965
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	4.475256557420051
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.0002814816735554797
squareroot	ngtdm	Busyness	5.386101042902027
squareroot	ngtdm	Coarseness	0.0007123548724132587
squareroot	ngtdm	Complexity	59.761334928103295
squareroot	ngtdm	Contrast	0.008989579126368486
squareroot	ngtdm	Strength	0.1040425457596771
logarithm	firstorder	10Percentile	253.77741241869265
logarithm	firstorder	90Percentile	307.5117488250081
logarithm	firstorder	Energy	5119549880.642464
logarithm	firstorder	Entropy	1.8547321012916766
logarithm	firstorder	InterquartileRange	29.49898759123164
logarithm	firstorder	Kurtosis	20.588802211388522
logarithm	firstorder	Maximum	348.2906560347416
logarithm	firstorder	MeanAbsoluteDeviation	17.022474442674902
logarithm	firstorder	Mean	282.111368512934
logarithm	firstorder	Median	283.9818959324168
logarithm	firstorder	Minimum	-189.6357323488302
logarithm	firstorder	Range	537.9263883835717
logarithm	firstorder	RobustMeanAbsoluteDeviation	12.157931935537956
logarithm	firstorder	RootMeanSquared	582.5055286628195
logarithm	firstorder	Skewness	-1.1149234018989003
logarithm	firstorder	TotalEnergy	5119549880.642464
logarithm	firstorder	Uniformity	0.3218118867015875
logarithm	firstorder	Variance	459.04557074988566
logarithm	glcm	Autocorrelation	390.95168582990834
logarithm	glcm	JointAverage	19.759687369514218
logarithm	glcm	ClusterProminence	28.258288702103165
logarithm	glcm	ClusterShade	-1.2576963268942276
logarithm	glcm	ClusterTendency	2.6051719978597965
logarithm	glcm	Contrast	0.5796240358147853
logarithm	glcm	Correlation	0.6360662759280646
logarithm	glcm	DifferenceAverage	0.47142313297126265
logarithm	glcm	DifferenceEntropy	1.1782154608987863
logarithm	glcm	DifferenceVariance	0.35247577184529894
logarithm	glcm	JointEnergy	0.14411451451380153
logarithm	glcm	JointEntropy	3.3161661647864404
logarithm	glcm	Imc1	-0.22344434323153436
logarithm	glcm	Imc2	0.7416945307307604
logarithm	glcm	Idm	0.7739783443336687
logarithm	glcm	Idmn	0.9988169782354546
logarithm	glcm	Id	0.7791698654578827
logarithm	glcm	Idn	0.9796883515539445
logarithm	glcm	InverseVariance	0.3987332608559597
logarithm	glcm	MaximumProbability	0.28597064466721694
logarithm	glcm	SumEntropy	2.67687116240094
logarithm	glcm	SumSquares	0.7961990084186454
logarithm	glrlm	GrayLevelNonUniformity	2137.375687202461
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.2897546155557638
logarithm	glrlm	GrayLevelVariance	0.994944741005977
logarithm	glrlm	HighGrayLevelRunEmphasis	392.50111364000793
logarithm	glrlm	LongRunEmphasis	7.308802917217415
logarithm	glrlm	LongRunHighGrayLevelEmphasis	2861.2368601803037
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.01892344948418943
logarithm	glrlm	LowGrayLevelRunEmphasis	0.0027114414825928383
logarithm	glrlm	RunEntropy	3.992917432436801
logarithm	glrlm	RunLengthNonUniformity	2586.7486676285707
logarithm	glrlm	RunLengthNonUniformityNormalized	0.3441407056964102
logarithm	glrlm	RunPercentage	0.4884013785790033
logarithm	glrlm	RunVariance	2.8707610380931885
logarithm	glrlm	ShortRunEmphasis	0.5945927330015472
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	233.42168316842407
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.0016703992655945266
logarithm	glszm	GrayLevelNonUniformity	30.39644970414201
logarithm	glszm	GrayLevelNonUniformityNormalized	0.17986064913693497
logarithm	glszm	GrayLevelVariance	5.855747347781941
logarithm	glszm	HighGrayLevelZoneEmphasis	368.6568047337278
logarithm	glszm	LargeAreaEmphasis	414112.20118343196
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	163220693.10059172
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	1054.480536343429
logarithm	glszm	LowGrayLevelZoneEmphasis	0.008756140317136327
logarithm	glszm	SizeZoneNonUniformity	42.514792899408285
logarithm	glszm	SizeZoneNonUniformityNormalized	0.25156682188998986
logarithm	glszm	SmallAreaEmphasis	0.5136083980151211
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	176.98017632438095
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.007485952688002777
logarithm	glszm	ZoneEntropy	5.14390154430618
logarithm	glszm	ZonePercentage	0.011200954400848357
logarithm	glszm	ZoneVariance	406141.6208816218
logarithm	gldm	DependenceEntropy	6.294150320543785
logarithm	gldm	DependenceNonUniformity	702.630567338282
logarithm	gldm	DependenceNonUniformityNormalized	0.04656883399643969
logarithm	gldm	DependenceVariance	33.863990130295335
logarithm	gldm	GrayLevelNonUniformity	4855.497746553552
logarithm	gldm	GrayLevelVariance	0.804226445573737
logarithm	gldm	HighGrayLevelEmphasis	392.0194856839873
logarithm	gldm	LargeDependenceEmphasis	238.39872746553553
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	93203.25159066808
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	0.6133808205873716
logarithm	gldm	LowGrayLevelEmphasis	0.0026380461417789694
logarithm	gldm	SmallDependenceEmphasis	0.016908373614940218
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	6.343993043937788
