Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_50_segment_Rt Ventricle	1: RTSTRUCT: ANON_50_segment_Lt Ventricle	1: RTSTRUCT: ANON_50_segment_Vermis	1: RTSTRUCT: ANON_50_segment_Lt Post Cerebellum	1: RTSTRUCT: ANON_50_segment_Rt Cerebellum
original	glcm	InverseVariance	0.5665716999050333	0.38268747715674156	0.4904892537514471	0.5103058978058979	0.5503472222222222
original	glcm	MaximumProbability	0.19444444444444445	0.11115052756062002	0.1280208757321965	0.25894938394938394	0.4166666666666666
original	glcm	SumEntropy	1.9290809266259805	2.806766318097729	2.7473235768330975	1.7565763242409294	0.7156850696247329
original	glcm	SumSquares	0.9282644824311491	2.2417055913043207	1.5504574480769766	0.8174474080663204	0.6012731481481481
original	glrlm	GrayLevelNonUniformity	5.460566574808061	6.534176331258873	10.272261605115624	4.858404880689949	2.7428571428571433
original	glrlm	GrayLevelNonUniformityNormalized	0.2928564149860499	0.2012402863258467	0.21243969360434978	0.30057333977257594	0.37106292517006806
original	glrlm	GrayLevelVariance	1.0062631539678604	2.180552576240162	1.6859275846768915	0.9372389551259496	0.6856675170068027
original	glrlm	HighGrayLevelRunEmphasis	6.5615020772141515	11.177027159273365	11.553738230446822	7.442455137873689	3.8351190476190475
original	glrlm	LongRunEmphasis	1.4314747558942604	1.3317740608537572	1.517034553604186	1.379890358510268	1.292857142857143
original	glrlm	LongRunHighGrayLevelEmphasis	9.753494218200101	15.31350242499436	19.758870998827383	10.235733070348457	4.6779761904761905
original	glrlm	LongRunLowGrayLevelEmphasis	0.44914998369268233	0.39112056998056755	0.29084704292666	0.34145187688268375	0.788508597883598
original	glrlm	LowGrayLevelRunEmphasis	0.34279847969702204	0.3106585655673654	0.22446247746808515	0.26995201707682853	0.5775958994708995
original	glrlm	RunEntropy	2.1489475440457024	2.7893954340417553	2.7769172282566528	2.166936487348926	1.6852313628788618
original	glrlm	RunLengthNonUniformity	15.886800428673494	26.270269768182484	36.65857571550867	13.197737556561085	6.645238095238095
original	glrlm	RunLengthNonUniformityNormalized	0.8307159599659377	0.8068700020554505	0.7495144172902711	0.8061003818513134	0.8783673469387754
original	glrlm	RunPercentage	0.8937728937728937	0.9017094017094018	0.8640109890109892	0.8974358974358976	0.9270833333333334
original	glrlm	RunVariance	0.08464202001703108	0.0965649989722747	0.14970029070075672	0.10923929473661	0.060816326530612246
original	glrlm	ShortRunEmphasis	0.892131311026435	0.9170564847865607	0.8827987486563404	0.9116020323316701	0.9267857142857143
original	glrlm	ShortRunHighGrayLevelEmphasis	5.763504041967664	10.142908342843112	9.702800988697632	6.770434142591948	3.6244047619047617
original	glrlm	ShortRunLowGrayLevelEmphasis	0.3162106036981069	0.2905430644640648	0.2087311413085244	0.25372070761517407	0.5248677248677248
original	glszm	GrayLevelNonUniformity	1.4	1.6666666666666667	2.111111111111111	1.4	1.0
original	glszm	GrayLevelNonUniformityNormalized	0.28	0.18518518518518517	0.2345679012345679	0.28	0.3333333333333333
original	glszm	GrayLevelVariance	1.36	2.666666666666667	1.5802469135802468	1.36	0.6666666666666666
original	glszm	HighGrayLevelZoneEmphasis	6.2	11.666666666666666	8.11111111111111	6.2	4.666666666666667
original	glszm	LargeAreaEmphasis	24.2	23.77777777777778	62.888888888888886	19.6	8.0
original	glszm	LargeAreaHighGrayLevelEmphasis	146.4	280.1111111111111	898.3333333333334	131.6	22.666666666666668
original	glszm	LargeAreaLowGrayLevelEmphasis	6.205555555555556	5.6140740740740736	8.386913580246913	4.155555555555556	5.814814814814814
original	glszm	LowGrayLevelZoneEmphasis	0.4847222222222222	0.3169444444444445	0.34163580246913583	0.4847222222222222	0.4537037037037037
original	glszm	SizeZoneNonUniformity	1.8	1.4444444444444444	1.6666666666666667	1.8	1.6666666666666667
original	glszm	SizeZoneNonUniformityNormalized	0.36	0.16049382716049382	0.18518518518518517	0.36	0.5555555555555556
original	glszm	SmallAreaEmphasis	0.12746913580246916	0.2894589317208365	0.2882829428067524	0.428125	0.1875
original	glszm	SmallAreaHighGrayLevelEmphasis	0.4223765432098766	2.835840262030738	1.6330826404635925	0.725	1.1041666666666667
original	glszm	SmallAreaLowGrayLevelEmphasis	0.10278742283950618	0.060236520534139575	0.0822576530612245	0.40295138888888893	0.05092592592592593
original	glszm	ZoneEntropy	1.9219280948873612	3.169925001442309	3.169925001442309	1.9219280948873612	1.5849625007211552
original	glszm	ZonePercentage	0.23809523809523808	0.25	0.16071428571428573	0.2777777777777778	0.375
original	glszm	ZoneVariance	6.5600000000000005	7.777777777777779	24.17283950617284	6.6400000000000015	0.8888888888888888
original	gldm	DependenceEntropy	2.8325608750566875	4.10701770959535	4.27359928970169	3.169925001442309	1.9999999999999987
original	gldm	DependenceNonUniformity	7.380952380952381	7.0	8.392857142857142	4.0	3.0
original	gldm	DependenceNonUniformityNormalized	0.35147392290249435	0.19444444444444445	0.14987244897959184	0.2222222222222222	0.375
original	gldm	DependenceVariance	1.419501133786848	2.802469135802469	4.6772959183673475	2.1111111111111107	0.6875
original	gldm	GrayLevelNonUniformity	6.142857142857143	7.388888888888889	11.892857142857142	5.555555555555555	3.0
original	gldm	GrayLevelVariance	0.9977324263038548	2.138117283950617	1.713966836734694	0.9135802469135801	0.6875
original	gldm	HighGrayLevelEmphasis	6.666666666666667	11.305555555555555	12.160714285714286	7.444444444444445	3.75
original	gldm	LargeDependenceEmphasis	15.571428571428571	15.444444444444445	25.25	15.555555555555555	8.25
original	gldm	LargeDependenceHighGrayLevelEmphasis	111.80952380952381	199.63888888888889	441.76785714285717	105.77777777777777	19.25
original	gldm	LargeDependenceLowGrayLevelEmphasis	3.4695767195767195	3.278070987654321	2.6264880952380953	3.1581790123456788	6.611111111111111
original	gldm	LowGrayLevelEmphasis	0.3306878306878307	0.30387345679012345	0.21120039682539682	0.26080246913580246	0.5902777777777778
original	gldm	SmallDependenceEmphasis	0.10400793650793651	0.1666063948727639	0.11625208829541699	0.18324798437893675	0.1684027777777778
original	gldm	SmallDependenceHighGrayLevelEmphasis	0.47555555555555556	1.5916822562358277	0.8193045154515083	0.7796740362811792	0.8559027777777778
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.05783068783068783	0.05212162953208546	0.037255588359409085	0.12140248820721705	0.06597222222222222
original	ngtdm	Busyness	0.9390774985883681	0.6603370445071719	0.9893682118002769	0.7838100305491609	2.654761904761905
original	ngtdm	Coarseness	0.24306925669962456	0.13296978986588842	0.10253945310989872	0.2496168284245657	0.37668161434977576
original	ngtdm	Complexity	3.984526188097617	16.22316476691016	7.286916035501769	4.295277078888189	2.759920634920635
original	ngtdm	Contrast	0.12339451611668434	0.1647079429937617	0.1498575970844719	0.12099453346023992	0.19779265873015875
original	ngtdm	Strength	1.1612132548696412	1.5224939209781958	0.7695379663824204	1.2118232621936726	1.2310344827586206
exponential	firstorder	10Percentile	51.80727247148277	25.90808767942942	21.017349808310932	23.18829972039966	18.84358617103918
exponential	firstorder	90Percentile	216.34583879932723	155.2177366732409	119.84248107169418	59.351672309200524	48.86991290221118
exponential	firstorder	Energy	3555925.291157932	5344188.57197834	7460134.621374375	2055925.1297049788	874583.8010675445
exponential	firstorder	Entropy	2.3983029951155577	2.8463488766716276	2.5038340683062374	1.3472230399326592	1.4056390622295654
exponential	firstorder	InterquartileRange	61.87012572761321	71.69946484032184	61.1641544353282	20.11151350123388	13.698328196242286
exponential	firstorder	Kurtosis	2.7841092184559972	5.50614208973515	2.3445575466060915	2.2699317745783123	2.0704559795759336
exponential	firstorder	Maximum	239.80660064006315	289.539019671061	151.25190476174197	68.43591058696227	50.29991344165414
exponential	firstorder	MeanAbsoluteDeviation	47.99457606173519	46.43398656400095	31.616723899048786	12.720902914510763	9.601076218834255
exponential	firstorder	Mean	107.0553781617699	80.59851440080007	63.01708372875732	37.62944137551937	30.437403370123597
exponential	firstorder	Median	92.43866962048466	55.63110065884464	58.27461160885215	31.509495748341248	26.809287555033478
exponential	firstorder	Minimum	40.491994343831756	19.824860689085767	15.386791970913636	16.54557731388279	18.53189901417777
exponential	firstorder	Range	199.3146062962314	269.71415898197523	135.86511279082833	51.89033327307948	31.76801442747637
exponential	firstorder	RobustMeanAbsoluteDeviation	35.06564387895284	30.318299222086928	23.766342888240047	9.26374361370315	7.064710014111572
exponential	firstorder	RootMeanSquared	411.49699363352016	385.29168503220245	364.98861580520503	337.9616291258339	330.64025032267784
exponential	firstorder	Skewness	1.017420727537409	1.5590961959611287	0.639419727792947	0.6400109663368851	0.7834720268454402
exponential	firstorder	TotalEnergy	3555925.291157932	5344188.57197834	7460134.621374375	2055925.1297049788	874583.8010675445
exponential	firstorder	Uniformity	0.20634920634920634	0.16203703703703703	0.19834183673469385	0.45061728395061734	0.40625
exponential	firstorder	Variance	3635.6948790038577	3594.453390857882	1435.286588467959	224.42307784244227	134.09758745329063
exponential	glcm	Autocorrelation	17.711538461538463	20.15960618610628	11.969445821365628	4.688522588522589	2.7430555555555554
exponential	glcm	JointAverage	4.226282051282052	4.483465978111119	3.379755468374925	2.1719849594849596	1.6944444444444444
exponential	glcm	ClusterProminence	325.929000075402	597.7032070023198	81.69703351701453	0.7667497825499733	0.9965277777777777
exponential	glcm	ClusterShade	16.252110398860417	30.367233067070437	1.6616867509727364	-0.07418968200019686	-0.24228395061728367
exponential	glcm	ClusterTendency	11.738620607787276	15.172964027382013	5.999509915748561	0.5507713029114544	0.4444444444444445
exponential	glcm	Contrast	12.695299145299145	15.022525656464767	3.831555614495935	0.746056721056721	1.097222222222222
exponential	glcm	Correlation	-0.018827715894493613	0.020743316313545132	0.22368118879461935	-0.1703860190891166	-0.38685383244206734
exponential	glcm	DifferenceAverage	2.762820512820513	2.9495106465768473	1.568871709648742	0.6636946386946386	0.875
exponential	glcm	DifferenceEntropy	1.6617469227561694	2.6249063217417286	2.0214679165912846	0.9892943717710003	0.4795739585136219
exponential	glcm	DifferenceVariance	4.385116334283001	6.184220958252803	1.2238586758456835	0.26124860979568776	0.11805555555555557
exponential	glcm	JointEnergy	0.12508784425451094	0.04451734377813085	0.050495852316139636	0.27871313245636836	0.4236111111111111
exponential	glcm	JointEntropy	3.121280527355028	4.656268320942475	4.5350836975093625	2.07061764774027	1.396240625180288
exponential	glcm	Imc1	-0.6426226485918988	-0.43371364328676515	-0.23475509467983563	-0.2183659057674136	-0.7546662030737297
exponential	glcm	Imc2	0.9704359152541031	0.9572072804121523	0.8279171210990286	0.5791911471916893	0.8523840371128442
exponential	glcm	Idm	0.33358637683977044	0.29310393360338616	0.43126662567015506	0.6763888888888888	0.5847222222222223
exponential	glcm	Idmn	0.8848362851708494	0.9207307901345426	0.9336636883044179	0.9291956547725779	0.900534188034188
exponential	glcm	Id	0.4005972730972731	0.3772010657052357	0.4963075449152601	0.6818796943796943	0.5995370370370371
exponential	glcm	Idn	0.792217494044417	0.8227844106640002	0.8318220137168778	0.8381944444444446	0.7923611111111111
exponential	glcm	InverseVariance	0.39967322712560804	0.32031101193288236	0.4251122698643461	0.5916278166278166	0.6805555555555555
exponential	glcm	MaximumProbability	0.1626068376068376	0.08300421380049552	0.09260867195510514	0.373085248085248	0.43749999999999994
exponential	glcm	SumEntropy	2.1437289568477564	3.313119104080571	3.0893427298590828	1.3623558810406375	0.6323517362913996
exponential	glcm	SumSquares	6.108479938271605	7.548872420961695	2.4577663825611245	0.3242070059920439	0.3854166666666667
exponential	glrlm	GrayLevelNonUniformity	4.056271029121708	5.475573691014868	9.794396696596534	6.631513019408948	2.9761904761904763
exponential	glrlm	GrayLevelNonUniformityNormalized	0.20689568737315508	0.1603428141261418	0.19621277941440646	0.4250414091835115	0.4003684807256236
exponential	glrlm	GrayLevelVariance	5.7389582604743845	5.766297180229945	2.494501070325166	0.419439697236115	0.45053854875283444
exponential	glrlm	HighGrayLevelRunEmphasis	19.53487864573837	20.240870567341158	11.845671052762347	4.565144489748563	3.5773809523809526
exponential	glrlm	LongRunEmphasis	1.2732335537765402	1.1662851854028324	1.407609991949197	1.490168315847049	1.2857142857142858
exponential	glrlm	LongRunHighGrayLevelEmphasis	24.524494610467457	22.492153108329582	15.87487719813843	6.963264921353158	4.345238095238096
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.2587823909179908	0.24736951672285531	0.38179500516894	0.47395780386447817	0.6729497354497355
exponential	glrlm	LowGrayLevelRunEmphasis	0.2107738527722921	0.2136050319079503	0.27084412084833775	0.3635670351309491	0.5077711640211641
exponential	glrlm	RunEntropy	2.5539737176013517	3.0344490995583344	2.9529894429034633	1.8288392974868468	1.6535309160980909
exponential	glrlm	RunLengthNonUniformity	17.90219282979464	30.760075218898752	40.32777380977079	11.958942867087664	6.607142857142858
exponential	glrlm	RunLengthNonUniformityNormalized	0.8931700055141426	0.8981999132063729	0.7973694977105494	0.7534775349669709	0.8684807256235828
