Image type	Feature Class	Feature Name	RTSTRUCT: ANON_5_segment_Rt Med Frontal Flax	RTSTRUCT: ANON_5_segment_Rt Sup Frontal	RTSTRUCT: ANON_5_segment_Lt Temporal	RTSTRUCT: ANON_5_segment_Lt Parietal
diagnostics	Mask-interpolated	CenterOfMassIndex	(8.457711442786069, 8.73134328358209, 9.233830845771145)	(18.63068493150685, 19.302054794520547, 17.726301369863013)	(18.058288190682557, 21.748862405200434, 19.683423618634887)	(12.055808656036447, 11.951025056947609, 10.143507972665148)
diagnostics	Mask-interpolated	CenterOfMass	(-1.8215165292979574, 6.22535945406158, 31.660711324631116)	(-28.64854304056039, 2.7960709648686652, 46.15318184872298)	(44.77906021873068, -20.757121424091874, -25.889695902505142)	(44.776580683804454, 36.445041227655295, 17.57038845152512)
diagnostics	Mask-interpolated	Mean	255.621735272129	227.27369052718788	50.50748651222061	73.23545684574334
diagnostics	Mask-interpolated	Minimum	116.03354481942816	-15.542688359288366	-56.74315052311075	-16.102624942306367
diagnostics	Mask-interpolated	Maximum	312.8259776902763	328.9477922478389	357.6564553865913	226.75914197218063
original	shape	Elongation	0.8905300499134537	0.932269265680086	0.8411207532642093	0.8915776799003285
original	shape	Flatness	0.8687741156664325	0.7786723927203526	0.6990120455394518	0.8389577000074263
original	shape	LeastAxisLength	6.19485795654454	19.03885153209802	19.692571281403694	9.93814093083412
original	shape	MajorAxisLength	7.130573810653296	24.450400078503243	28.172005628610098	11.845818842530617
original	shape	Maximum2DDiameterColumn	8.246211251235321	27.51363298439521	28.635642126552707	13.152946437965905
original	shape	Maximum2DDiameterRow	8.54400374531753	28.284271247461902	32.7566787083184	13.152946437965905
original	shape	Maximum2DDiameterSlice	8.06225774829855	30.463092423455635	30.4138126514911	14.560219778561036
original	shape	Maximum3DDiameter	8.774964387392123	30.479501308256342	33.19638534539566	14.89966442575134
original	shape	MeshVolume	193.33333333333334	7283.416666666667	9194.833333333334	864.7916666666666
original	shape	MinorAxisLength	6.349990251512645	22.79435652677053	23.69605859530007	10.561467680143043
original	shape	Sphericity	0.8859606340850311	0.7327302353791223	0.8358247036695258	0.8635865319475529
original	shape	SurfaceArea	182.50475821667817	2479.876856676588	2539.4022253882454	508.29900684133634
original	shape	SurfaceVolumeRatio	0.943990128706956	0.34048262926189693	0.27617708046782563	0.58777047285917
original	shape	VoxelVolume	201.0	7300.0	9230.0	878.0
original	firstorder	10Percentile	170.38948246466057	123.49816204855343	-11.166596556076048	24.126089245892267
original	firstorder	90Percentile	303.0193754480438	302.64212400106624	118.92507917762353	136.46877174962813
original	firstorder	Energy	62648988.759988494	2068344400.899156	1160105649.1481714	123802634.34381875
original	firstorder	Entropy	2.7372848871638222	3.1975681811216097	2.9658354006517067	2.5990109102827295
original	firstorder	InterquartileRange	88.01038091762575	131.65200982051664	63.98247772127878	35.86125656211057
original	firstorder	Kurtosis	2.2975222992900624	2.0929166039525087	5.075106226548649	4.001300907413753
original	firstorder	Maximum	312.8259776902763	328.9477922478389	357.6564553865913	226.75914197218063
original	firstorder	MeanAbsoluteDeviation	47.641316556509054	64.46782692603945	39.636671009519475	30.00255219375942
original	firstorder	Mean	255.621735272129	227.27369052718788	50.50748651222061	73.23545684574334
original	firstorder	Median	285.11148110536715	236.14803883010597	45.82540161983237	67.8861740187235
original	firstorder	Minimum	116.03354481942816	-15.542688359288366	-56.74315052311075	-16.102624942306367
original	firstorder	Range	196.79243287084816	344.49048060712727	414.399605909702	242.861766914487
original	firstorder	RobustMeanAbsoluteDeviation	38.36456968048142	53.84015010693597	26.121425569252196	17.999551175360963
original	firstorder	RootMeanSquared	558.2889137746905	532.2920715530531	354.52586089013107	375.5066954075801
original	firstorder	Skewness	-0.8259871381026314	-0.5007089639910394	1.1562148119107318	0.8619926611611903
original	firstorder	TotalEnergy	62648988.759988494	2068344400.899156	1160105649.1481714	123802634.34381875
original	firstorder	Uniformity	0.181158882205886	0.1296583223869394	0.15484452342859556	0.225369835150295
original	firstorder	Variance	2970.9985369120723	5317.304716079873	2833.0879387740347	1700.572049070396
original	glcm	Autocorrelation	53.80963446523668	118.2911919441233	33.89991298672043	21.635897839705653
original	glcm	JointAverage	7.254476802482244	10.58006080321837	5.538632311484961	4.4301491647939635
original	glcm	ClusterProminence	350.8776724720058	1752.9920037799484	1090.2863721277872	348.2842919308217
original	glcm	ClusterShade	-34.42053904510945	-68.31742935123158	63.19291648768384	24.511464108542896
original	glcm	ClusterTendency	10.21755926145603	29.748695671798053	15.691495426482165	9.536240166649641
original	glcm	Contrast	5.5000036128161875	4.335634853869256	2.798090858041537	1.5014129598934167
original	glcm	Correlation	0.29853140982560294	0.7454680654756614	0.6967239912974161	0.7272341553529394
original	glcm	DifferenceAverage	1.6754040588554473	1.3915083288339116	1.0659729470641581	0.813343018678771
original	glcm	DifferenceEntropy	2.3826458396180774	2.2426487712821634	1.9710559033406605	1.6814352813394657
original	glcm	DifferenceVariance	2.6599670954607677	2.3637074411938266	1.619403057301238	0.8154715577733189
original	glcm	JointEnergy	0.06936296772947459	0.03462563837221398	0.04316239369273097	0.09040390478043006
original	glcm	JointEntropy	4.67862321850739	5.730277453002875	5.336804622221907	4.53149210526715
original	glcm	Imc1	-0.10243020177018015	-0.20163670144576967	-0.20688874660561157	-0.2476974120301791
original	glcm	Imc2	0.6175863889086994	0.8418956657751846	0.8239515894840046	0.8375929732119951
original	glcm	Idm	0.47636090976912737	0.5323906233852195	0.6043516553259405	0.6591184161297041
original	glcm	Idmn	0.9445666360004039	0.9825581716306314	0.9919038182449127	0.9882399513665161
original	glcm	Id	0.5294045509186829	0.5748126710725914	0.6367410211854984	0.6837845156490698
original	glcm	Idn	0.8609576843912286	0.9222566151772461	0.9479010267588962	0.9363318241785973
original	glcm	InverseVariance	0.4081097688367471	0.4370030064775611	0.42635171605785666	0.4189525318528687
original	glcm	MaximumProbability	0.14144565628024017	0.08632895465863664	0.0924307718217798	0.24860087285668964
original	glcm	SumEntropy	3.2388104317069373	4.075493142833272	3.8447964467270386	3.4513477598903175
original	glcm	SumSquares	3.9293907185680537	8.521082631416826	4.622396571130922	2.759413281635765
original	glrlm	GrayLevelNonUniformity	25.65937533472664	643.1433569913386	856.6398664292113	99.71510906241096
original	glrlm	GrayLevelNonUniformityNormalized	0.15547387870353072	0.11995458334051715	0.14144608598676134	0.1759659135494286
original	glrlm	GrayLevelVariance	5.072049158324453	8.554214781760756	5.229193527649363	3.444045714738846
original	glrlm	HighGrayLevelRunEmphasis	46.331472300058856	118.43638498274377	38.256569170622114	24.507264418670857
original	glrlm	LongRunEmphasis	1.809683036067351	2.459177254037786	3.4322107463880607	3.5401600126640607
original	glrlm	LongRunHighGrayLevelEmphasis	102.15777164767299	307.6526142536323	106.21377721009529	71.8467595017949
original	glrlm	LongRunLowGrayLevelEmphasis	0.06447428555255603	0.03171727801116453	0.18417460186817283	0.287757699798636
original	glrlm	LowGrayLevelRunEmphasis	0.04999188482608171	0.015021898521987145	0.04819654812862389	0.09244657760096495
original	glrlm	RunEntropy	3.5019704454509726	4.353904444912327	4.439772090319163	4.126760004904913
original	glrlm	RunLengthNonUniformity	116.7312053950162	3214.871320566007	3131.8897196055	278.28819132686624
original	glrlm	RunLengthNonUniformityNormalized	0.706573748074098	0.5981612798631774	0.5130399953745335	0.4850401950657334
original	glrlm	RunPercentage	0.819364714887103	0.7343940990516332	0.6553046087173932	0.6427194673208341
original	glrlm	RunVariance	0.3050786794545738	0.5930107534502208	1.0420688105781961	1.0054794903134534
original	glrlm	ShortRunEmphasis	0.8653458056088523	0.8015175129341559	0.7423894200400477	0.7183906454742766
original	glrlm	ShortRunHighGrayLevelEmphasis	37.286776268873524	93.41440767166804	30.323022330508632	18.855812509557783
original	glrlm	ShortRunLowGrayLevelEmphasis	0.04733909979173226	0.01266970449736745	0.034610370889188224	0.06910484931742587
original	glszm	GrayLevelNonUniformity	8.309090909090909	52.60952380952381	32.96629213483146	2.6923076923076925
original	glszm	GrayLevelNonUniformityNormalized	0.15107438016528926	0.1252607709750567	0.09260194419896478	0.10355029585798817
original	glszm	GrayLevelVariance	3.4069421487603306	8.489404761904762	12.397637608887768	10.273668639053255
original	glszm	HighGrayLevelZoneEmphasis	26.272727272727273	92.21190476190476	67.18258426966293	43.11538461538461
original	glszm	LargeAreaEmphasis	108.2	12710.561904761904	30458.719101123595	6573.461538461538
original	glszm	LargeAreaHighGrayLevelEmphasis	7610.2	2065891.2238095237	820693.7837078652	117277.07692307692
original	glszm	LargeAreaLowGrayLevelEmphasis	1.728831541033922	95.39936869263185	1484.5394298326664	440.2679914447826
original	glszm	LowGrayLevelZoneEmphasis	0.08697055017293112	0.034884747728518045	0.05839793169952312	0.1980403817362692
original	glszm	SizeZoneNonUniformity	19.145454545454545	101.35714285714286	116.15730337078652	5.0
original	glszm	SizeZoneNonUniformityNormalized	0.348099173553719	0.2413265306122449	0.3262845600302992	0.19230769230769232
original	glszm	SmallAreaEmphasis	0.5820228355736937	0.5014910349268257	0.5915607378670674	0.4350765429601484
original	glszm	SmallAreaHighGrayLevelEmphasis	14.077237401646176	45.40667779739773	41.500610248531366	22.35715531151461
original	glszm	SmallAreaLowGrayLevelEmphasis	0.057724462412491497	0.019311611058607046	0.03787716060821923	0.06465110622606803
original	glszm	ZoneEntropy	4.220478414761665	5.874028770341653	5.738148189219771	4.440636352673259
original	glszm	ZonePercentage	0.2736318407960199	0.057534246575342465	0.03856988082340195	0.029612756264236904
original	glszm	ZoneVariance	94.84429752066114	12408.464399092973	29786.5115200101	5433.100591715976
original	gldm	DependenceEntropy	5.147465388919668	6.777397721207203	7.0876187739112915	6.337717696688496
original	gldm	DependenceNonUniformity	22.71144278606965	521.3104109589041	495.51419284940414	48.18906605922551
original	gldm	DependenceNonUniformityNormalized	0.1129922526670132	0.07141238506286357	0.05368517799018463	0.05488504106973293
original	gldm	DependenceVariance	15.833271453676886	15.256049089885533	30.04124897732088	29.50856419383461
original	gldm	GrayLevelNonUniformity	36.41293532338308	946.5057534246575	1429.214951245937	197.874715261959
original	gldm	GrayLevelVariance	4.8982450929432435	8.653629123662975	4.604948076658971	2.798387306001941
original	gldm	HighGrayLevelEmphasis	50.343283582089555	120.9323287671233	35.07941495124594	22.569476082004556
original	gldm	LargeDependenceEmphasis	48.28358208955224	77.75698630136986	129.28429035752978	135.37813211845102
original	gldm	LargeDependenceHighGrayLevelEmphasis	3422.5522388059703	9971.353424657535	3466.924702058505	2447.369020501139
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.7768800649060065	0.8926342937899023	7.407676929490307	10.045238732409343
original	gldm	LowGrayLevelEmphasis	0.044242800860900836	0.014124606728907594	0.050368905203675464	0.08772670296245003
original	gldm	SmallDependenceEmphasis	0.21080669064169708	0.0651414361046819	0.04957604270945613	0.03678053050190296
original	gldm	SmallDependenceHighGrayLevelEmphasis	5.57410672305991	6.452196316977928	2.8417382397684543	1.3721456405780246
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.01883518350670004	0.0018240512131300838	0.0026394839979986787	0.0043052038700374
original	ngtdm	Busyness	0.6094665677811169	4.240750688127219	6.172931430915199	1.503668117918792
original	ngtdm	Coarseness	0.024655846062740613	0.0012355467190406117	0.0013062655247962033	0.01247234800037077
original	ngtdm	Complexity	45.654612915465975	97.76883882194547	110.60879421281928	26.78216205242335
original	ngtdm	Contrast	0.1904298088849456	0.07370628043997572	0.01992159321318065	0.026489878416154886
original	ngtdm	Strength	0.9339929100868444	0.15651363575115693	0.2790701081534805	0.7321081255264278
exponential	firstorder	10Percentile	22.736466494306924	7.758698677770882	0.8322940252958816	1.7109404046309966
exponential	firstorder	90Percentile	258.69375147648907	151.5300663910005	7.064122625460113	20.8586135291715
exponential	firstorder	Energy	43668175.200749755	1055010170.2713397	854352303.8453232	83902822.20234667
exponential	firstorder	Entropy	3.2292546124324875	2.4914328837993147	0.1762302121670289	0.5228132530517596
exponential	firstorder	InterquartileRange	196.3511521311444	127.63382695615786	2.2069948233860908	3.8262077933479857
exponential	firstorder	Kurtosis	1.3705963161452526	1.3883098240665463	377.5655711520299	30.885611345620177
exponential	firstorder	Maximum	309.6498117007741	234.43792954221823	357.6564553865914	155.64925931564773
exponential	firstorder	MeanAbsoluteDeviation	92.04101062061582	57.66972399740099	3.5523751939941257	7.717409849172597
exponential	firstorder	Mean	155.64471211612718	75.16615043120117	4.06840893061359	8.802670807957032
exponential	firstorder	Median	186.29220157167302	50.28254408056893	2.124064062939773	4.531887814160467
exponential	firstorder	Minimum	8.392954429084517	0.7727105930373037	0.3934466013473356	0.6987651019996283
exponential	firstorder	Range	301.25685727168957	233.6652189491809	357.26300878524404	154.95049421364808
exponential	firstorder	RobustMeanAbsoluteDeviation	82.10817448477947	51.74514152368439	1.009903566469159	2.428619124552998
exponential	firstorder	RootMeanSquared	466.1057851913069	380.16041500011573	304.24093488897114	309.1299094455832
exponential	firstorder	Skewness	-0.21648043715811416	0.27357776559911634	15.506973430636803	4.612948925428532
exponential	firstorder	TotalEnergy	43668175.200749755	1055010170.2713397	854352303.8453232	83902822.20234667
exponential	firstorder	Uniformity	0.13818964877107	0.2240344529930569	0.959675794579126	0.8478967004114758
exponential	firstorder	Variance	9642.499309416315	3772.300703693552	104.94915252033638	202.21141570699473
exponential	glcm	Autocorrelation	62.83910084735392	16.025643493488538	1.0944581173576486	1.365652361389183
exponential	glcm	JointAverage	7.662323175351763	3.4686987398678673	1.0338305270956818	1.1232149897346106
exponential	glcm	ClusterProminence	2836.608334379088	540.9065632295548	23.954225854353222	13.28069667752799
exponential	glcm	ClusterShade	-131.75297190663798	18.589799699569156	2.0652685158231057	2.5878300138884778
exponential	glcm	ClusterTendency	35.544979340564595	19.47745488246194	0.2674525232752064	0.6844140691185341
exponential	glcm	Contrast	19.07688281427099	3.5033216459726257	0.16485102487883627	0.26855520153986606
exponential	glcm	Correlation	0.29938701119503475	0.6950382046963874	0.23329340331900345	0.4324116761127128
exponential	glcm	DifferenceAverage	3.0747115245277516	1.0809984776446713	0.04823454711552602	0.14930498983487708
exponential	glcm	DifferenceEntropy	3.0349307269820405	2.0423630224927343	0.22897516946507837	0.6138189104048167
exponential	glcm	DifferenceVariance	9.447097255806241	2.3090537780188	0.1625011442437575	0.24580199673433117
exponential	glcm	JointEnergy	0.04856688736035605	0.1098176383625876	0.9352753887583695	0.7732798989174642
exponential	glcm	JointEntropy	5.611428087716939	4.424050443060089	0.3162415431007194	0.9312384237817012
exponential	glcm	Imc1	-0.16554308799516584	-0.22068679328284593	-0.1765744812675454	-0.18782051997391494
exponential	glcm	Imc2	0.7930384344104506	0.8074207769472459	0.23887413434327565	0.4095005100424133
exponential	glcm	Idm	0.39581782537348215	0.6560228476671399	0.9826895787439967	0.9365826783515901
exponential	glcm	Idmn	0.914844817964905	0.9705711052691027	0.9994106335771928	0.9951669326577979
exponential	glcm	Id	0.45817115783496515	0.6900565358881171	0.9837928923635003	0.9406316739785342
exponential	glcm	Idn	0.8364055359442452	0.9169019273587318	0.9973056767073339	0.9828195861739554
exponential	glcm	InverseVariance	0.27378235299012815	0.28051224408471653	0.02166236152401744	0.083520615848249
exponential	glcm	MaximumProbability	0.17989481485539027	0.27019824001448894	0.9669925836103602	0.8779435701082648
exponential	glcm	SumEntropy	4.017928094206192	3.322562692461877	0.2732522940035177	0.7733656094830622
exponential	glcm	SumSquares	13.6554655387089	5.745194132108642	0.10807588703851069	0.23824231766460005
exponential	glrlm	GrayLevelNonUniformity	18.46053507407185	632.0223510652837	793.4134369869621	143.586223925202
exponential	glrlm	GrayLevelNonUniformityNormalized	0.11090790557221233	0.1568338688780728	0.7395087906126414	0.5876339083985589
exponential	glrlm	GrayLevelVariance	16.050262164575635	5.390978539021908	1.061754170883289	0.7597165636711396
exponential	glrlm	HighGrayLevelRunEmphasis	55.317680807885466	21.296051708762732	2.7079486278905667	2.764958252407787
exponential	glrlm	LongRunEmphasis	1.8151790578823594	6.220171714157535	117.63799151744533	21.33128409677777
exponential	glrlm	LongRunHighGrayLevelEmphasis	128.16311350866096	82.86348581935398	119.8461427748459	23.76304142054816
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.2666606652457266	3.687124125742349	117.41372101606493	21.00492295310538
exponential	glrlm	LowGrayLevelRunEmphasis	0.19944855929423472	0.27531580333679856	0.8812315977808722	0.794108082529082
exponential	glrlm	RunEntropy	3.8976447621562134	4.288157344314435	4.517792118730708	3.610408642964622
exponential	glrlm	RunLengthNonUniformity	122.99035971617144	1895.7342667409955	75.47432222074502	43.416592695670175
exponential	glrlm	RunLengthNonUniformityNormalized	0.7378828669525791	0.46941804459032377	0.06969315456929787	0.17696884481112438
exponential	glrlm	RunPercentage	0.8266360505166476	0.5507376185458377	0.11542628552379365	0.2757140353951288
exponential	glrlm	RunVariance	0.3371975942271924	2.857269148087937	34.87274465379003	7.134730492244478
exponential	glrlm	ShortRunEmphasis	0.8812434525225653	0.7120418940220539	0.18671674743757144	0.38559595227830756
exponential	glrlm	ShortRunHighGrayLevelEmphasis	45.3013612647222	16.440794315008734	1.8098926438948577	2.006943166915744
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.1856990097470025	0.14332169078656695	0.08454246694683577	0.20458874271310148
exponential	glszm	GrayLevelNonUniformity	5.950819672131147	81.72647702407002	8.695652173913043	2.272727272727273
exponential	glszm	GrayLevelNonUniformityNormalized	0.09755442085460897	0.1788325536631729	0.1890359168241966	0.2066115702479339
exponential	glszm	GrayLevelVariance	11.429723192690137	4.020512427639108	9.784971644612476	2.3801652892561984
exponential	glszm	HighGrayLevelZoneEmphasis	41.950819672131146	25.682713347921226	28.5	16.272727272727273
exponential	glszm	LargeAreaEmphasis	64.77049180327869	18360.46389496718	1777167.0	59406.90909090909
exponential	glszm	LargeAreaHighGrayLevelEmphasis	5657.180327868852	315049.2735229759	1777879.4130434783	60090.36363636364
exponential	glszm	LargeAreaLowGrayLevelEmphasis	5.663421179174934	9606.659684776314	1777003.0254709825	59253.51291589364
exponential	glszm	LowGrayLevelZoneEmphasis	0.148399195365634	0.09442664443198466	0.13778982296430883	0.17011286332714903
exponential	glszm	SizeZoneNonUniformity	22.737704918032787	137.67396061269147	21.608695652173914	2.4545454545454546
exponential	glszm	SizeZoneNonUniformityNormalized	0.3727492609513572	0.3012559313187997	0.46975425330812853	0.2231404958677686
exponential	glszm	SmallAreaEmphasis	0.629022027670866	0.5656582575457048	0.7049883196224833	0.4182620262334874
exponential	glszm	SmallAreaHighGrayLevelEmphasis	23.65902697901181	15.967797094211708	26.288538663696993	11.130505942187908
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.06526372359439192	0.04584490340279715	0.0694528944749417	0.019603876558425784
exponential	glszm	ZoneEntropy	4.713707321865703	4.9906229405809395	4.05510815123886	3.277613436819112
exponential	glszm	ZonePercentage	0.3034825870646766	0.0626027397260274	0.004983748645720477	0.012528473804100227
exponential	glszm	ZoneVariance	53.91292663262564	18105.30346805587	1736905.7051039692	53035.96694214878
exponential	gldm	DependenceEntropy	5.6482553963395326	6.434678473577281	2.7328967861827165	4.2433022749069975
exponential	gldm	DependenceNonUniformity	24.53233830845771	295.55561643835614	3211.5330444203682	81.749430523918
exponential	gldm	DependenceNonUniformityNormalized	0.12205143437043638	0.0404870707449803	0.34794507523514284	0.09310869080172893
exponential	gldm	DependenceVariance	29.921586099353974	62.593741790204554	24.2010822498119	47.645845548746635
exponential	gldm	GrayLevelNonUniformity	27.776119402985074	1635.4515068493151	8857.80758396533	744.4533029612757
exponential	gldm	GrayLevelVariance	15.844954332813543	5.763900469131168	0.1327021970140704	0.2593541959620384
exponential	gldm	HighGrayLevelEmphasis	60.95522388059702	17.954520547945204	1.2066088840736728	1.530751708428246
exponential	gldm	LargeDependenceEmphasis	60.25373134328358	223.39698630136985	600.1490790899242	440.93166287015947
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	5730.686567164179	2661.5378082191783	604.215926327194	450.45785876993165
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	2.638522590292127	144.79017270746832	599.2646568555039	439.12985999411154
exponential	gldm	LowGrayLevelEmphasis	0.18122588416926544	0.4094645674137235	0.9835279882834628	0.934687885784534
exponential	gldm	SmallDependenceEmphasis	0.2566919544685544	0.06338892642734151	0.006294547336583377	0.012349624829055012
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	10.530066093621612	1.6404658824063825	0.13906027689929668	0.1744149322858773
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.03566298079493726	0.007368718341703676	0.0024181184073639624	0.0038848302594090486
exponential	ngtdm	Busyness	0.6934155326808772	25.80888555006717	8.738768934605288	4.963757960252868
exponential	ngtdm	Coarseness	0.015278804563039547	0.0010017578169872663	0.005155225179391187	0.0207803235102436
