Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_28_segment_Lt Post Central Gyrus	1: RTSTRUCT: ANON_28_segment_Lt Temporal
original	glcm	InverseVariance	0.4659310607900717	0.4617445054945055
original	glcm	MaximumProbability	0.12596739059723114	0.30915750915750917
original	glcm	SumEntropy	3.2731815862824942	1.5320866610239439
original	glcm	SumSquares	2.0751850130112355	1.5336522351105684
original	glrlm	GrayLevelNonUniformity	86.66679302555674	3.3134967596506053
original	glrlm	GrayLevelNonUniformityNormalized	0.19704365676761876	0.25988779981172205
original	glrlm	GrayLevelVariance	2.104001661464949	1.7653038507979717
original	glrlm	HighGrayLevelRunEmphasis	28.89366883050238	15.425553933246242
original	glrlm	LongRunEmphasis	2.140596503230825	1.3483593329747177
original	glrlm	LongRunHighGrayLevelEmphasis	60.99882940298857	22.961809984886905
original	glrlm	LongRunLowGrayLevelEmphasis	0.11225863482398474	0.1852640087832396
original	glrlm	LowGrayLevelRunEmphasis	0.0568005854165905	0.16444094082555624
original	glrlm	RunEntropy	3.53107051868598	2.3175565703068264
original	glrlm	RunLengthNonUniformity	271.23703597145936	10.712892235969159
original	glrlm	RunLengthNonUniformityNormalized	0.6133979568140411	0.8265400393641382
original	glrlm	RunPercentage	0.7615118445568272	0.9065934065934067
original	glrlm	RunVariance	0.40033618082503075	0.08672998031793082
original	glrlm	ShortRunEmphasis	0.8098842867018039	0.9129101667563204
original	glrlm	ShortRunHighGrayLevelEmphasis	23.45680843178571	13.541489920336073
original	glrlm	ShortRunLowGrayLevelEmphasis	0.047123775489462415	0.1592351738361354
original	glszm	GrayLevelNonUniformity	6.297297297297297	1.0
original	glszm	GrayLevelNonUniformityNormalized	0.1701972242512783	0.2
original	glszm	GrayLevelVariance	4.027757487216947	2.0
original	glszm	HighGrayLevelZoneEmphasis	30.675675675675677	11.0
original	glszm	LargeAreaEmphasis	1654.972972972973	10.8
original	glszm	LargeAreaHighGrayLevelEmphasis	43734.62162162162	219.4
original	glszm	LargeAreaLowGrayLevelEmphasis	70.49386579181223	0.8893888888888888
original	glszm	LowGrayLevelZoneEmphasis	0.08221191855120426	0.2927222222222222
original	glszm	SizeZoneNonUniformity	9.432432432432432	1.4
original	glszm	SizeZoneNonUniformityNormalized	0.25493060628195763	0.28
original	glszm	SmallAreaEmphasis	0.5105641464482567	0.3277777777777778
original	glszm	SmallAreaHighGrayLevelEmphasis	17.123804138441923	1.3444444444444446
original	glszm	SmallAreaLowGrayLevelEmphasis	0.026294171939264133	0.21966666666666662
original	glszm	ZoneEntropy	4.357837824971457	2.321928094887361
original	glszm	ZonePercentage	0.06401384083044982	0.35714285714285715
original	glszm	ZoneVariance	1410.937910883857	2.96
original	gldm	DependenceEntropy	5.934662451978026	2.8962915290459255
original	gldm	DependenceNonUniformity	48.49826989619377	3.7142857142857144
original	gldm	DependenceNonUniformityNormalized	0.0839070413428958	0.2653061224489796
original	gldm	DependenceVariance	11.700207133535278	3.1020408163265305
original	gldm	GrayLevelNonUniformity	120.14186851211073	3.857142857142857
original	gldm	GrayLevelVariance	1.9815764897450938	1.739795918367347
original	gldm	HighGrayLevelEmphasis	28.759515570934255	16.071428571428573
original	gldm	LargeDependenceEmphasis	63.550173010380625	14.857142857142858
original	gldm	LargeDependenceHighGrayLevelEmphasis	1765.7941176470588	337.64285714285717
original	gldm	LargeDependenceLowGrayLevelEmphasis	2.987676117015434	0.8508134920634921
original	gldm	LowGrayLevelEmphasis	0.05506016867531326	0.15355158730158733
original	gldm	SmallDependenceEmphasis	0.06852861148755003	0.2026388888888889
original	gldm	SmallDependenceHighGrayLevelEmphasis	2.0826293294230984	1.6374007936507937
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.00403268207110644	0.08769880952380953
original	ngtdm	Busyness	1.8180015675573102	0.17303719008264465
original	ngtdm	Coarseness	0.014335445894362534	0.30646766169154227
original	ngtdm	Complexity	18.423174575798985	9.04531093245379
original	ngtdm	Contrast	0.05309105851085643	0.1660212180110139
original	ngtdm	Strength	0.28364298322358544	3.2614331079475494
exponential	firstorder	10Percentile	31.243600523068263	38.974670604332395
exponential	firstorder	90Percentile	148.67548954683426	224.73797721856283
exponential	firstorder	Energy	82895007.30452192	2797170.4820606736
exponential	firstorder	Entropy	2.6838105392393987	2.664497779200459
exponential	firstorder	InterquartileRange	51.222983851880755	127.67419283347792
exponential	firstorder	Kurtosis	4.297795351459094	1.5381734368912483
exponential	firstorder	Maximum	245.1154026618824	240.45531705080916
exponential	firstorder	MeanAbsoluteDeviation	35.55087684460118	69.23653894982333
exponential	firstorder	Mean	75.86984080653647	140.58309644136656
exponential	firstorder	Median	60.93462828817294	141.38106446079132
exponential	firstorder	Minimum	10.10409637158356	19.06745075153477
exponential	firstorder	Range	235.01130629029885	221.38786629927438
exponential	firstorder	RobustMeanAbsoluteDeviation	22.514239009445387	55.82667739285737
exponential	firstorder	RootMeanSquared	378.7043274837009	446.9875742968281
exponential	firstorder	Skewness	1.3066233623284602	-0.2077918455834392
exponential	firstorder	TotalEnergy	82895007.30452192	2797170.4820606736
exponential	firstorder	Uniformity	0.1971240765795429	0.17346938775510204
exponential	firstorder	Variance	2138.8304269511686	5684.426705899916
exponential	glcm	Autocorrelation	13.777155257933998	42.18278388278388
exponential	glcm	JointAverage	3.4776703856424076	6.4754884004884
exponential	glcm	ClusterProminence	448.6274582384201	844.7473108265993
exponential	glcm	ClusterShade	39.41823028011167	-39.49288412109289
exponential	glcm	ClusterTendency	10.512883872895593	17.686331715022188
exponential	glcm	Contrast	3.7866162422641407	17.408119658119656
exponential	glcm	Correlation	0.4670522071392615	-0.020413466408830353
exponential	glcm	DifferenceAverage	1.3635036086523349	3.423992673992674
exponential	glcm	DifferenceEntropy	2.205948923412855	1.5302432239002237
exponential	glcm	DifferenceVariance	1.8926459843143841	2.851026949241235
exponential	glcm	JointEnergy	0.05034215139062721	0.1769058278582088
exponential	glcm	JointEntropy	5.083015396543758	2.725943101842365
exponential	glcm	Imc1	-0.10648230608789942	-0.7548968090706667
exponential	glcm	Imc2	0.6433876141035836	0.9738244363953038
exponential	glcm	Idm	0.5233752899972128	0.2708491862654758
exponential	glcm	Idmn	0.9671665147774308	0.8693682719517256
exponential	glcm	Id	0.5700278145136323	0.36089641839641834
exponential	glcm	Idn	0.8916669625652909	0.7694331345591849
exponential	glcm	InverseVariance	0.4219919827482315	0.20088105049712193
exponential	glcm	MaximumProbability	0.11319320234826906	0.20735653235653234
exponential	glcm	SumEntropy	3.4725866373804757	1.7436476195468846
exponential	glcm	SumSquares	3.5748750287899336	8.773612843285463
exponential	glrlm	GrayLevelNonUniformity	80.2520486921128	2.2471118624964777
exponential	glrlm	GrayLevelNonUniformityNormalized	0.1801498847519746	0.16981902759586615
exponential	glrlm	GrayLevelVariance	3.8395617104665054	9.709497245264362
exponential	glrlm	HighGrayLevelRunEmphasis	17.7714616759651	46.490208509439285
exponential	glrlm	LongRunEmphasis	2.1136254811701987	1.1863905325443787
exponential	glrlm	LongRunHighGrayLevelEmphasis	28.31078358843967	58.14553395322627
exponential	glrlm	LongRunLowGrayLevelEmphasis	0.4285995631616248	0.14171279941382856
exponential	glrlm	LowGrayLevelRunEmphasis	0.1635603880399518	0.13339019549827588
exponential	glrlm	RunEntropy	3.6862818416993823	2.779490510744166
exponential	glrlm	RunLengthNonUniformity	283.19986209519124	11.893491124260354
exponential	glrlm	RunLengthNonUniformityNormalized	0.6326923683346427	0.8922014868760431
exponential	glrlm	RunPercentage	0.7702954484961405	0.9450549450549451
exponential	glrlm	RunVariance	0.40843800580595657	0.05389925656197846
exponential	glrlm	ShortRunEmphasis	0.8220026326948378	0.9534023668639052
exponential	glrlm	ShortRunHighGrayLevelEmphasis	15.844875832814399	43.57637714849253
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.12230430096182215	0.13130954451938773
exponential	glszm	GrayLevelNonUniformity	9.28125	1.0
exponential	glszm	GrayLevelNonUniformityNormalized	0.14501953125	0.14285714285714285
exponential	glszm	GrayLevelVariance	4.9287109375	9.959183673469386
exponential	glszm	HighGrayLevelZoneEmphasis	34.15625	39.42857142857143
exponential	glszm	LargeAreaEmphasis	872.21875	4.857142857142857
exponential	glszm	LargeAreaHighGrayLevelEmphasis	6790.875	275.14285714285717
exponential	glszm	LargeAreaLowGrayLevelEmphasis	155.1715802351033	0.3811341467804053
exponential	glszm	LowGrayLevelZoneEmphasis	0.09834001106229527	0.199321977468236
exponential	glszm	SizeZoneNonUniformity	16.75	3.0
exponential	glszm	SizeZoneNonUniformityNormalized	0.26171875	0.42857142857142855
exponential	glszm	SmallAreaEmphasis	0.5041753109056122	0.4375
exponential	glszm	SmallAreaHighGrayLevelEmphasis	18.66100434116355	13.044642857142858
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.03828640683433768	0.1588292526005111
exponential	glszm	ZoneEntropy	4.677668898701697	2.807354922057602
exponential	glszm	ZonePercentage	0.11072664359861592	0.5
exponential	glszm	ZoneVariance	790.6552734375	0.857142857142857
exponential	gldm	DependenceEntropy	6.029554788496648	2.664497779200459
exponential	gldm	DependenceNonUniformity	43.59515570934256	6.0
exponential	gldm	DependenceNonUniformityNormalized	0.07542414482585218	0.42857142857142855
exponential	gldm	DependenceVariance	16.532105697968177	1.1020408163265305
exponential	gldm	GrayLevelNonUniformity	113.93771626297578	2.4285714285714284
exponential	gldm	GrayLevelVariance	3.564373031932089	9.693877551020408
exponential	gldm	HighGrayLevelEmphasis	15.972318339100346	47.42857142857143
exponential	gldm	LargeDependenceEmphasis	65.14532871972318	7.0
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	535.1107266435986	456.7142857142857
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	17.17498393856453	0.3364665442896735
exponential	gldm	LowGrayLevelEmphasis	0.18023411597754574	0.12819934852247777
exponential	gldm	SmallDependenceEmphasis	0.1021254655193922	0.30357142857142855
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	3.1260287234117037	10.196428571428571
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.0100515311752631	0.08605318450131375
exponential	ngtdm	Busyness	3.084459870515024	0.14849206349206348
exponential	ngtdm	Coarseness	0.012030752031777428	0.16835916622127206
exponential	ngtdm	Complexity	40.2495563680336	69.86361231361232
exponential	ngtdm	Contrast	0.07457287940135897	1.1290872770464606
exponential	ngtdm	Strength	0.5779365289220594	8.243498927549545
square	firstorder	10Percentile	118.28872336433201	107.29240334308463
square	firstorder	90Percentile	249.8111185942608	234.54938202117182
square	firstorder	Energy	132420156.30752943	3304832.863584875
square	firstorder	Entropy	2.9800606811270733	2.406666316740687
square	firstorder	InterquartileRange	64.49816275564405	72.51541502700306
square	firstorder	Kurtosis	2.76015756242986	2.2842570626759096
square	firstorder	Maximum	302.250454321562	240.45531705080919
square	firstorder	MeanAbsoluteDeviation	39.17218030070905	45.351719713891455
square	firstorder	Mean	176.1287754690405	182.8901543505677
square	firstorder	Median	168.65929040428114	195.15915321475038
square	firstorder	Minimum	53.419231166027835	69.52188576719053
square	firstorder	Range	248.8312231555342	170.93343128361866
square	firstorder	RobustMeanAbsoluteDeviation	26.920355740241853	33.402253782553714
square	firstorder	RootMeanSquared	478.64456170420743	485.85953757857067
square	firstorder	Skewness	0.31708066349860625	-0.7356411435598689
square	firstorder	TotalEnergy	132420156.30752943	3304832.863584875
square	firstorder	Uniformity	0.14898648244154164	0.21428571428571427
square	firstorder	Variance	2402.00561936488	2876.589087347366
square	glcm	Autocorrelation	31.927247811856333	38.631074481074485
square	glcm	JointAverage	5.484518655281292	6.197191697191697
square	glcm	ClusterProminence	412.7342385205017	225.55664756637472
square	glcm	ClusterShade	14.55591394642566	-21.892556660886207
square	glcm	ClusterTendency	11.788082694552372	8.508893927941546
square	glcm	Contrast	4.405575123631303	8.114041514041514
square	glcm	Correlation	0.454032447236976	0.0011001227716938096
square	glcm	DifferenceAverage	1.5621600745348547	2.234554334554335
square	glcm	DifferenceEntropy	2.2932348172345405	1.2256972348226665
square	glcm	DifferenceVariance	1.912772182056536	2.034042483090102
square	glcm	JointEnergy	0.0279902146084224	0.19636703684322734
square	glcm	JointEntropy	5.690262998933155	2.544258120157384
square	glcm	Imc1	-0.09582770126085877	-0.7081603077417858
square	glcm	Imc2	0.6442602169186671	0.9593994777559328
square	glcm	Idm	0.4632480693735663	0.33631721722219454
square	glcm	Idmn	0.9676022841291078	0.9061226463511136
square	glcm	Id	0.5208428531546977	0.4254578754578754
square	glcm	Idn	0.8856229600757852	0.8026507775225724
square	glcm	InverseVariance	0.42117158645432856	0.2935185330542473
square	glcm	MaximumProbability	0.07364160012782558	0.23971306471306472
square	glcm	SumEntropy	3.7417514409944825	1.675901328319602
square	glcm	SumSquares	4.048414454545919	4.155733860495765
square	glrlm	GrayLevelNonUniformity	67.7654327068194	2.7133046440738746
square	glrlm	GrayLevelNonUniformityNormalized	0.14288731430211213	0.20741823205782325
square	glrlm	GrayLevelVariance	4.039820722084473	4.854495091454479
square	glrlm	HighGrayLevelRunEmphasis	35.50206134008108	38.96239017392864
square	glrlm	LongRunEmphasis	1.75573398224883	1.2469607315761162
square	glrlm	LongRunHighGrayLevelEmphasis	58.74498148588331	51.721723148646234
square	glrlm	LongRunLowGrayLevelEmphasis	0.10575584208378622	0.11870660072274083
square	glrlm	LowGrayLevelRunEmphasis	0.05990906825428003	0.11189130475497233
square	glrlm	RunEntropy	3.777759052855031	2.548828861354549
square	glrlm	RunLengthNonUniformity	331.2070313163959	11.689582212659134
square	glrlm	RunLengthNonUniformityNormalized	0.6961914952582557	0.8784225003375083
square	glrlm	RunPercentage	0.8208677136012775	0.9340659340659342
square	glrlm	RunVariance	0.2643342190698921	0.06078874983124579
square	glrlm	ShortRunEmphasis	0.8598098493144929	0.9382598171059708
square	glrlm	ShortRunHighGrayLevelEmphasis	31.07656796779775	35.772556930249245
square	glrlm	ShortRunLowGrayLevelEmphasis	0.05095311506033866	0.11018748076303023
square	glszm	GrayLevelNonUniformity	6.793103448275862	1.0
square	glszm	GrayLevelNonUniformityNormalized	0.11712247324613555	0.16666666666666666
square	glszm	GrayLevelVariance	7.349583828775268	5.666666666666666
square	glszm	HighGrayLevelZoneEmphasis	45.44827586206897	30.666666666666668
square	glszm	LargeAreaEmphasis	634.7931034482758	7.0
square	glszm	LargeAreaHighGrayLevelEmphasis	17111.810344827587	346.1666666666667
square	glszm	LargeAreaLowGrayLevelEmphasis	29.185388860352152	0.36463553476946337
square	glszm	LowGrayLevelZoneEmphasis	0.08307511525002009	0.20248700869236583
square	glszm	SizeZoneNonUniformity	13.03448275862069	3.0
square	glszm	SizeZoneNonUniformityNormalized	0.22473246135552913	0.5
square	glszm	SmallAreaEmphasis	0.47242830822642473	0.34
square	glszm	SmallAreaHighGrayLevelEmphasis	23.331591217659994	5.551666666666667
square	glszm	SmallAreaLowGrayLevelEmphasis	0.039850196294865206	0.17507487717309148
square	glszm	ZoneEntropy	5.006531374692143	2.5849625007211543
square	glszm	ZonePercentage	0.10034602076124567	0.42857142857142855
square	glszm	ZoneVariance	535.4815695600477	1.5555555555555554
square	gldm	DependenceEntropy	6.057200085509729	2.9502120649147443
square	gldm	DependenceNonUniformity	57.92387543252595	5.285714285714286
square	gldm	DependenceNonUniformityNormalized	0.10021431735731133	0.37755102040816324
square	gldm	DependenceVariance	9.335939464326337	1.4897959183673466
square	gldm	GrayLevelNonUniformity	86.11418685121107	3.0
square	gldm	GrayLevelVariance	3.9223937692316904	4.780612244897959
square	gldm	HighGrayLevelEmphasis	34.707612456747405	39.92857142857143
square	gldm	LargeDependenceEmphasis	41.34256055363322	8.857142857142858
square	gldm	LargeDependenceHighGrayLevelEmphasis	1223.9636678200693	484.07142857142856
square	gldm	LargeDependenceLowGrayLevelEmphasis	2.5170007268400982	0.2868751012309686
square	gldm	LowGrayLevelEmphasis	0.06028302287397972	0.10547993602202788
square	gldm	SmallDependenceEmphasis	0.10299630499659267	0.23686507936507936
square	gldm	SmallDependenceHighGrayLevelEmphasis	4.431023965647413	5.766507936507937
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.006773044521282588	0.07889912587058633
square	ngtdm	Busyness	1.2972519499824566	0.13862150920974453
square	ngtdm	Coarseness	0.014498153104870598	0.22849418048732234
square	ngtdm	Complexity	46.343878808958394	28.111348175633896
square	ngtdm	Contrast	0.07299122852556725	0.47389917150121236
square	ngtdm	Strength	0.5253406662497171	6.519343144118728
squareroot	firstorder	10Percentile	260.48493323155463	196.5153573900845
squareroot	firstorder	90Percentile	314.0142852618227	238.96391027271932
squareroot	firstorder	Energy	198436219.85935694	3823937.5065597035
squareroot	firstorder	Entropy	1.828563972436732	1.492614068017125
squareroot	firstorder	InterquartileRange	26.694864249924194	21.549929769577744
squareroot	firstorder	Kurtosis	3.2132925934678345	3.0793713448911206
squareroot	firstorder	Maximum	329.3354909269231	240.45531705080919
squareroot	firstorder	MeanAbsoluteDeviation	16.15933006577266	15.47054136250281
squareroot	firstorder	Mean	285.56969167563796	222.27844753975617
squareroot	firstorder	Median	284.6422485003005	228.1217199166594
squareroot	firstorder	Minimum	213.5360489873927	176.32186650931052
squareroot	firstorder	Range	115.79944193953042	64.13345054149866
squareroot	firstorder	RobustMeanAbsoluteDeviation	11.011188707322631	10.275670301102853
squareroot	firstorder	RootMeanSquared	585.9311045440785	522.6264376451818
squareroot	firstorder	Skewness	-0.30102002890475255	-1.075639178876646
squareroot	firstorder	TotalEnergy	198436219.85935694	3823937.5065597035
squareroot	firstorder	Uniformity	0.32867781755486647	0.37755102040816324
squareroot	firstorder	Variance	423.395463142133	363.6165611552968
squareroot	glcm	Autocorrelation	15.309808083626589	5.68076923076923
squareroot	glcm	JointAverage	3.8712059565399435	2.372130647130647
squareroot	glcm	ClusterProminence	16.964162802819065	3.858968700159003
squareroot	glcm	ClusterShade	-1.1031425374182626	-0.8780322444764992
squareroot	glcm	ClusterTendency	2.2300016293020146	1.1403278775897823
squareroot	glcm	Contrast	0.9368289947362947	0.9703907203907203
squareroot	glcm	Correlation	0.4079683313123371	-0.028843393051297146
squareroot	glcm	DifferenceAverage	0.6596740376763883	0.7515873015873016
squareroot	glcm	DifferenceEntropy	1.4277413622418718	0.8678355244815049
squareroot	glcm	DifferenceVariance	0.49106911825853794	0.25517176386224005
squareroot	glcm	JointEnergy	0.12197808867341878	0.3129754394635347
squareroot	glcm	JointEntropy	3.5122355000955543	1.8791417326027036
squareroot	glcm	Imc1	-0.10875303963439334	-0.6283984230692913
squareroot	glcm	Imc2	0.5547214243932996	0.8591936307490898
squareroot	glcm	Idm	0.6977789023755948	0.646086691086691
squareroot	glcm	Idmn	0.9761159291526164	0.9130595472903166
squareroot	glcm	Id	0.7123771525984824	0.6606735856735857
squareroot	glcm	Idn	0.9105172448823656	0.8230433455433454
squareroot	glcm	InverseVariance	0.45403606448720496	0.5601343101343101
squareroot	glcm	MaximumProbability	0.2471510772253412	0.3868131868131868
squareroot	glcm	SumEntropy	2.5743425850742776	1.1780910228495165
squareroot	glcm	SumSquares	0.7917076560095774	0.5276796494951257
squareroot	glrlm	GrayLevelNonUniformity	113.12099006812834	4.458057327288096
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.3064384456872152	0.36853388830488654
squareroot	glrlm	GrayLevelVariance	0.8523381909331372	0.6403321482559552
squareroot	glrlm	HighGrayLevelRunEmphasis	15.868238978403834	5.649436460974921
squareroot	glrlm	LongRunEmphasis	3.3642826044516236	1.5715169445938675
squareroot	glrlm	LongRunHighGrayLevelEmphasis	54.98323127867509	9.620012039242809
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.2591129044602503	0.5002564387179771
squareroot	glrlm	LowGrayLevelRunEmphasis	0.08805886769904593	0.3592972910280602
squareroot	glrlm	RunEntropy	3.320718551677613	1.8191477259267113
squareroot	glrlm	RunLengthNonUniformity	174.0713833022504	9.71877353415815
squareroot	glrlm	RunLengthNonUniformityNormalized	0.46622656320658973	0.7808422140885831
squareroot	glrlm	RunPercentage	0.6392068139472985	0.8626373626373627
squareroot	glrlm	RunVariance	0.8522455551816481	0.10957889295570844
