Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_3_segment_RT Temporal
original	shape	SurfaceArea	1474.117669
original	shape	SurfaceVolumeRatio	0.430813361
original	shape	VoxelVolume	3444
original	firstorder	10Percentile	66.20772723
original	firstorder	90Percentile	288.8473011
original	firstorder	Energy	840872329.8
original	firstorder	Entropy	3.592432717
original	firstorder	InterquartileRange	128.2586105
original	firstorder	Kurtosis	2.023114879
original	firstorder	Maximum	349.920293
original	firstorder	MeanAbsoluteDeviation	68.03985141
original	firstorder	Mean	187.6037271
original	firstorder	Median	198.9998418
original	firstorder	Minimum	-9.010959823
original	firstorder	Range	358.9312528
original	firstorder	RobustMeanAbsoluteDeviation	52.81691345
original	firstorder	RootMeanSquared	494.1211681
original	firstorder	Skewness	-0.311668124
original	firstorder	TotalEnergy	840872329.8
original	firstorder	Uniformity	0.088211955
original	firstorder	Variance	6398.334056
original	glcm	Autocorrelation	88.19416879
original	glcm	JointAverage	9.012356331
original	glcm	ClusterProminence	2770.524993
original	glcm	ClusterShade	-86.29825579
original	glcm	ClusterTendency	35.79880111
original	glcm	Contrast	7.91656275
original	glcm	Correlation	0.638984247
original	glcm	DifferenceAverage	2.114231214
original	glcm	DifferenceEntropy	2.668364938
original	glcm	DifferenceVariance	3.334942801
original	glcm	JointEnergy	0.011582319
original	glcm	JointEntropy	6.764640685
original	glcm	Imc1	-0.122355858
original	glcm	Imc2	0.747680613
original	glcm	Idm	0.387629383
original	glcm	Idmn	0.968413451
original	glcm	Id	0.459041536
original	glcm	Idn	0.885958689
original	glcm	InverseVariance	0.360367096
original	glcm	MaximumProbability	0.028724316
original	glcm	SumEntropy	4.460416256
original	glcm	SumSquares	10.92884096
original	glrlm	GrayLevelNonUniformity	258.6213267
original	glrlm	GrayLevelNonUniformityNormalized	0.089233763
original	glrlm	GrayLevelVariance	9.754690371
original	glrlm	HighGrayLevelRunEmphasis	91.44363628
original	glrlm	LongRunEmphasis	1.693920847
original	glrlm	LongRunHighGrayLevelEmphasis	154.0534994
original	glrlm	LongRunLowGrayLevelEmphasis	0.043982123
original	glrlm	LowGrayLevelRunEmphasis	0.023107291
original	glrlm	RunEntropy	4.2813515
original	glrlm	RunLengthNonUniformity	2160.493025
original	glrlm	RunLengthNonUniformityNormalized	0.7431423
original	glrlm	RunPercentage	0.841798445
original	glrlm	RunVariance	0.274005064
original	glrlm	ShortRunEmphasis	0.885075214
original	glrlm	ShortRunHighGrayLevelEmphasis	80.58841875
original	glrlm	ShortRunLowGrayLevelEmphasis	0.020041373
original	glszm	GrayLevelNonUniformity	45.15250545
original	glszm	GrayLevelNonUniformityNormalized	0.098371472
original	glszm	GrayLevelVariance	8.704581809
original	glszm	HighGrayLevelZoneEmphasis	75.48801743
original	glszm	LargeAreaEmphasis	712.1568627
original	glszm	LargeAreaHighGrayLevelEmphasis	80258.38562
original	glszm	LargeAreaLowGrayLevelEmphasis	13.16472978
original	glszm	LowGrayLevelZoneEmphasis	0.0296637
original	glszm	SizeZoneNonUniformity	113.8801743
original	glszm	SizeZoneNonUniformityNormalized	0.248104955
original	glszm	SmallAreaEmphasis	0.508661068
original	glszm	SmallAreaHighGrayLevelEmphasis	38.86677197
original	glszm	SmallAreaLowGrayLevelEmphasis	0.016422955
original	glszm	ZoneEntropy	6.007192991
original	glszm	ZonePercentage	0.133275261
original	glszm	ZoneVariance	655.8578325
original	gldm	DependenceEntropy	6.750686086
original	gldm	DependenceNonUniformity	385.2189315
original	gldm	DependenceNonUniformityNormalized	0.111852187
original	gldm	DependenceVariance	10.94826836
original	gldm	GrayLevelNonUniformity	303.8019744
original	gldm	GrayLevelVariance	10.36253146
original	gldm	HighGrayLevelEmphasis	91.56649245
original	gldm	LargeDependenceEmphasis	37.09349593
original	gldm	LargeDependenceHighGrayLevelEmphasis	3154.495064
original	gldm	LargeDependenceLowGrayLevelEmphasis	1.285589547
original	gldm	LowGrayLevelEmphasis	0.023966654
original	gldm	SmallDependenceEmphasis	0.134175844
original	gldm	SmallDependenceHighGrayLevelEmphasis	10.91063326
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.003604039
original	ngtdm	Busyness	3.098831009
original	ngtdm	Coarseness	0.00268656
original	ngtdm	Complexity	114.4616925
original	ngtdm	Contrast	0.129565087
original	ngtdm	Strength	0.199397493
exponential	firstorder	10Percentile	3.008310298
exponential	firstorder	90Percentile	122.1232056
exponential	firstorder	Energy	419733197.1
exponential	firstorder	Entropy	2.312872885
exponential	firstorder	InterquartileRange	59.80298722
exponential	firstorder	Kurtosis	5.132704534
exponential	firstorder	Maximum	337.3062882
exponential	firstorder	MeanAbsoluteDeviation	38.18410379
exponential	firstorder	Mean	45.68165453
exponential	firstorder	Median	27.39609962
exponential	firstorder	Minimum	0.860794869
exponential	firstorder	Range	336.4454933
exponential	firstorder	RobustMeanAbsoluteDeviation	26.09113428
exponential	firstorder	RootMeanSquared	349.1042117
exponential	firstorder	Skewness	1.486876166
exponential	firstorder	TotalEnergy	419733197.1
exponential	firstorder	Uniformity	0.289362503
exponential	firstorder	Variance	2377.94432
exponential	glcm	Autocorrelation	7.72198666
exponential	glcm	JointAverage	2.452735949
exponential	glcm	ClusterProminence	494.6144511
exponential	glcm	ClusterShade	45.77425349
exponential	glcm	ClusterTendency	10.95174414
exponential	glcm	Contrast	4.129482884
exponential	glcm	Correlation	0.452462363
exponential	glcm	DifferenceAverage	1.252864944
exponential	glcm	DifferenceEntropy	2.216079523
exponential	glcm	DifferenceVariance	2.528559926
exponential	glcm	JointEnergy	0.130673171
exponential	glcm	JointEntropy	4.453490447
exponential	glcm	Imc1	-0.105954925
exponential	glcm	Imc2	0.608364247
exponential	glcm	Idm	0.598641937
exponential	glcm	Idmn	0.981213135
exponential	glcm	Id	0.641245096
exponential	glcm	Idn	0.92663398
exponential	glcm	InverseVariance	0.303579466
exponential	glcm	MaximumProbability	0.334535495
exponential	glcm	SumEntropy	3.140050921
exponential	glcm	SumSquares	3.770306756
exponential	glrlm	GrayLevelNonUniformity	419.9942839
exponential	glrlm	GrayLevelNonUniformityNormalized	0.193269692
exponential	glrlm	GrayLevelVariance	4.132164606
exponential	glrlm	HighGrayLevelRunEmphasis	12.73426776
exponential	glrlm	LongRunEmphasis	4.502960708
exponential	glrlm	LongRunHighGrayLevelEmphasis	22.08044305
exponential	glrlm	LongRunLowGrayLevelEmphasis	3.486140712
exponential	glrlm	LowGrayLevelRunEmphasis	0.392642623
exponential	glrlm	RunEntropy	3.897224507
exponential	glrlm	RunLengthNonUniformity	1222.842987
exponential	glrlm	RunLengthNonUniformityNormalized	0.561566037
exponential	glrlm	RunPercentage	0.628919861
exponential	glrlm	RunVariance	1.928029096
exponential	glrlm	ShortRunEmphasis	0.776336895
exponential	glrlm	ShortRunHighGrayLevelEmphasis	11.43972004
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.240667974
exponential	glszm	GrayLevelNonUniformity	25.4368932
exponential	glszm	GrayLevelNonUniformityNormalized	0.123480064
exponential	glszm	GrayLevelVariance	6.152323499
exponential	glszm	HighGrayLevelZoneEmphasis	36.13592233
exponential	glszm	LargeAreaEmphasis	15369.24272
exponential	glszm	LargeAreaHighGrayLevelEmphasis	26359.68447
exponential	glszm	LargeAreaLowGrayLevelEmphasis	13677.7454
exponential	glszm	LowGrayLevelZoneEmphasis	0.087318461
exponential	glszm	SizeZoneNonUniformity	68.13592233
exponential	glszm	SizeZoneNonUniformityNormalized	0.330756905
exponential	glszm	SmallAreaEmphasis	0.596532782
exponential	glszm	SmallAreaHighGrayLevelEmphasis	25.16206392
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.05495772
exponential	glszm	ZoneEntropy	5.321517167
exponential	glszm	ZonePercentage	0.05981417
exponential	glszm	ZoneVariance	15089.73626
exponential	gldm	DependenceEntropy	6.093955861
exponential	gldm	DependenceNonUniformity	181.3472706
exponential	gldm	DependenceNonUniformityNormalized	0.052656002
exponential	gldm	DependenceVariance	59.94351839
exponential	gldm	GrayLevelNonUniformity	996.5644599
exponential	gldm	GrayLevelVariance	3.61545631
exponential	gldm	HighGrayLevelEmphasis	9.382984901
exponential	gldm	LargeDependenceEmphasis	173.3252033
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	381.4526713
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	158.1802758
exponential	gldm	LowGrayLevelEmphasis	0.548222171
exponential	gldm	SmallDependenceEmphasis	0.070094782
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	2.065860183
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.010559583
exponential	ngtdm	Busyness	19.64944688
exponential	ngtdm	Coarseness	0.001472504
exponential	ngtdm	Complexity	110.6306432
exponential	ngtdm	Contrast	0.035456332
exponential	ngtdm	Strength	0.417783993
square	firstorder	10Percentile	12.43243476
square	firstorder	90Percentile	236.6329712
square	firstorder	Energy	624455969.8
square	firstorder	Entropy	3.466598397
square	firstorder	InterquartileRange	137.7769141
square	firstorder	Kurtosis	1.975634057
square	firstorder	Maximum	347.2776928
square	firstorder	MeanAbsoluteDeviation	69.99959283
square	firstorder	Mean	117.9679458
square	firstorder	Median	112.3166371
square	firstorder	Minimum	4.88E-05
square	firstorder	Range	347.277644
square	firstorder	RobustMeanAbsoluteDeviation	55.59440011
square	firstorder	RootMeanSquared	425.813415
square	firstorder	Skewness	0.287534992
square	firstorder	TotalEnergy	624455969.8
square	firstorder	Uniformity	0.098445545
square	firstorder	Variance	6619.860674
square	glcm	Autocorrelation	34.35278934
square	glcm	JointAverage	5.284182869
square	glcm	ClusterProminence	2413.098296
square	glcm	ClusterShade	32.52202594
square	glcm	ClusterTendency	34.81496224
square	glcm	Contrast	9.098451967
square	glcm	Correlation	0.586369766
square	glcm	DifferenceAverage	2.191737616
square	glcm	DifferenceEntropy	2.779548776
square	glcm	DifferenceVariance	4.184129975
square	glcm	JointEnergy	0.022692502
square	glcm	JointEntropy	6.510876717
square	glcm	Imc1	-0.120344495
square	glcm	Imc2	0.735108442
square	glcm	Idm	0.409870648
square	glcm	Idmn	0.959763911
square	glcm	Id	0.480292979
square	glcm	Idn	0.877574711
square	glcm	InverseVariance	0.303169512
square	glcm	MaximumProbability	0.11953459
square	glcm	SumEntropy	4.323343294
square	glcm	SumSquares	10.97835355
square	glrlm	GrayLevelNonUniformity	250.8131891
square	glrlm	GrayLevelNonUniformityNormalized	0.091397702
square	glrlm	GrayLevelVariance	9.474572663
square	glrlm	HighGrayLevelRunEmphasis	41.38395202
square	glrlm	LongRunEmphasis	2.201510674
square	glrlm	LongRunHighGrayLevelEmphasis	64.4064508
square	glrlm	LongRunLowGrayLevelEmphasis	0.933439718
square	glrlm	LowGrayLevelRunEmphasis	0.145272568
square	glrlm	RunEntropy	4.249319261
square	glrlm	RunLengthNonUniformity	2008.130119
square	glrlm	RunLengthNonUniformityNormalized	0.730351426
square	glrlm	RunPercentage	0.796904315
square	glrlm	RunVariance	0.618031514
square	glrlm	ShortRunEmphasis	0.877083121
square	glrlm	ShortRunHighGrayLevelEmphasis	37.41337467
square	glrlm	ShortRunLowGrayLevelEmphasis	0.098683134
square	glszm	GrayLevelNonUniformity	45.31102362
square	glszm	GrayLevelNonUniformityNormalized	0.089194928
square	glszm	GrayLevelVariance	10.09738282
square	glszm	HighGrayLevelZoneEmphasis	47.36023622
square	glszm	LargeAreaEmphasis	607.9488189
square	glszm	LargeAreaHighGrayLevelEmphasis	10387.73819
square	glszm	LargeAreaLowGrayLevelEmphasis	379.5624732
square	glszm	LowGrayLevelZoneEmphasis	0.114381526
square	glszm	SizeZoneNonUniformity	123.9448819
square	glszm	SizeZoneNonUniformityNormalized	0.243985988
square	glszm	SmallAreaEmphasis	0.504579338
square	glszm	SmallAreaHighGrayLevelEmphasis	26.16551929
square	glszm	SmallAreaLowGrayLevelEmphasis	0.04950725
square	glszm	ZoneEntropy	6.132308085
square	glszm	ZonePercentage	0.147502904
square	glszm	ZoneVariance	561.986825
square	gldm	DependenceEntropy	6.663190863
square	gldm	DependenceNonUniformity	374.6689895
square	gldm	DependenceNonUniformityNormalized	0.108788905
square	gldm	DependenceVariance	36.90855075
square	gldm	GrayLevelNonUniformity	339.0464576
square	gldm	GrayLevelVariance	10.56336754
square	gldm	HighGrayLevelEmphasis	37.99796748
square	gldm	LargeDependenceEmphasis	76.35307782
square	gldm	LargeDependenceHighGrayLevelEmphasis	1081.849303
square	gldm	LargeDependenceLowGrayLevelEmphasis	58.60667233
square	gldm	LowGrayLevelEmphasis	0.225265597
square	gldm	SmallDependenceEmphasis	0.141704393
square	gldm	SmallDependenceHighGrayLevelEmphasis	6.626563911
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.014397671
square	ngtdm	Busyness	9.200685914
square	ngtdm	Coarseness	0.002220403
square	ngtdm	Complexity	119.8355746
square	ngtdm	Contrast	0.166943849
square	ngtdm	Strength	0.180508039
squareroot	firstorder	10Percentile	152.7865064
squareroot	firstorder	90Percentile	319.1279501
squareroot	firstorder	Energy	1053727559
squareroot	firstorder	Entropy	3.176137625
squareroot	firstorder	InterquartileRange	88.82559133
squareroot	firstorder	Kurtosis	2.878655319
squareroot	firstorder	Maximum	351.2491243
squareroot	firstorder	MeanAbsoluteDeviation	50.8513935
squareroot	firstorder	Mean	249.6877096
squareroot	firstorder	Median	264.8848082
squareroot	firstorder	Minimum	-56.36586968
squareroot	firstorder	Range	407.614994
squareroot	firstorder	RobustMeanAbsoluteDeviation	37.61461148
squareroot	firstorder	RootMeanSquared	553.1368573
squareroot	firstorder	Skewness	-0.770781701
squareroot	firstorder	TotalEnergy	1053727559
squareroot	firstorder	Uniformity	0.127933277
squareroot	firstorder	Variance	3803.804819
squareroot	glcm	Autocorrelation	185.7656939
squareroot	glcm	JointAverage	13.47064465
squareroot	glcm	ClusterProminence	1339.273725
squareroot	glcm	ClusterShade	-79.07450852
squareroot	glcm	ClusterTendency	21.87378536
squareroot	glcm	Contrast	4.646935802
squareroot	glcm	Correlation	0.651021287
squareroot	glcm	DifferenceAverage	1.582104793
squareroot	glcm	DifferenceEntropy	2.335331627
squareroot	glcm	DifferenceVariance	2.079861151
squareroot	glcm	JointEnergy	0.0239435
squareroot	glcm	JointEntropy	5.958073201
squareroot	glcm	Imc1	-0.134616143
squareroot	glcm	Imc2	0.742133507
squareroot	glcm	Idm	0.467754507
squareroot	glcm	Idmn	0.986380964
squareroot	glcm	Id	0.524283343
squareroot	glcm	Idn	0.923994302
squareroot	glcm	InverseVariance	0.416264819
squareroot	glcm	MaximumProbability	0.064242167
squareroot	glcm	SumEntropy	4.053726993
squareroot	glcm	SumSquares	6.630180289
squareroot	glrlm	GrayLevelNonUniformity	337.9346733
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.123496295
squareroot	glrlm	GrayLevelVariance	6.12482789
squareroot	glrlm	HighGrayLevelRunEmphasis	185.2455334
squareroot	glrlm	LongRunEmphasis	1.985480445
squareroot	glrlm	LongRunHighGrayLevelEmphasis	382.8198714
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.012613964
squareroot	glrlm	LowGrayLevelRunEmphasis	0.006799937
squareroot	glrlm	RunEntropy	4.078721076
squareroot	glrlm	RunLengthNonUniformity	1853.513383
squareroot	glrlm	RunLengthNonUniformityNormalized	0.674524029
squareroot	glrlm	RunPercentage	0.794492093
squareroot	glrlm	RunVariance	0.386095104
squareroot	glrlm	ShortRunEmphasis	0.847315257
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	154.9213983
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.005891875
squareroot	glszm	GrayLevelNonUniformity	35.70503597
squareroot	glszm	GrayLevelNonUniformityNormalized	0.128435381
squareroot	glszm	GrayLevelVariance	6.833665442
squareroot	glszm	HighGrayLevelZoneEmphasis	140.9100719
squareroot	glszm	LargeAreaEmphasis	3687.302158
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	831421.4029
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	17.2869943
squareroot	glszm	LowGrayLevelZoneEmphasis	0.01283578
squareroot	glszm	SizeZoneNonUniformity	71.69064748
squareroot	glszm	SizeZoneNonUniformityNormalized	0.257880027
squareroot	glszm	SmallAreaEmphasis	0.515115183
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	69.25104237
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.008911734
squareroot	glszm	ZoneEntropy	5.554917698
squareroot	glszm	ZonePercentage	0.080720093
squareroot	glszm	ZoneVariance	3533.827493
squareroot	gldm	DependenceEntropy	6.586991536
squareroot	gldm	DependenceNonUniformity	297.1416957
squareroot	gldm	DependenceNonUniformityNormalized	0.086278077
squareroot	gldm	DependenceVariance	13.27651888
squareroot	gldm	GrayLevelNonUniformity	440.6022067
squareroot	gldm	GrayLevelVariance	6.210982489
squareroot	gldm	HighGrayLevelEmphasis	188.1788618
squareroot	gldm	LargeDependenceEmphasis	53.51277584
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	10733.04239
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	0.31916268
squareroot	gldm	LowGrayLevelEmphasis	0.006619558
squareroot	gldm	SmallDependenceEmphasis	0.092038472
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	14.27602441
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.001059325
squareroot	ngtdm	Busyness	1.282949092
squareroot	ngtdm	Coarseness	0.002702612
squareroot	ngtdm	Complexity	141.1876416
squareroot	ngtdm	Contrast	0.043721556
squareroot	ngtdm	Strength	0.451648276
logarithm	firstorder	10Percentile	252.8228746
logarithm	firstorder	90Percentile	340.6403634
logarithm	firstorder	Energy	1272189422
logarithm	firstorder	Entropy	2.200332121
logarithm	firstorder	InterquartileRange	42.12465736
logarithm	firstorder	Kurtosis	13.40466928
logarithm	firstorder	Maximum	352.1288144
logarithm	firstorder	MeanAbsoluteDeviation	27.59156329
logarithm	firstorder	Mean	306.6914489
logarithm	firstorder	Median	318.3467479
logarithm	firstorder	Minimum	-138.4155093
logarithm	firstorder	Range	490.5443237
logarithm	firstorder	RobustMeanAbsoluteDeviation	18.62631494
logarithm	firstorder	RootMeanSquared	607.7770806
logarithm	firstorder	Skewness	-2.045541357
logarithm	firstorder	TotalEnergy	1272189422
logarithm	firstorder	Uniformity	0.27200194
logarithm	firstorder	Variance	1318.465541
logarithm	glcm	Autocorrelation	352.7840142
logarithm	glcm	JointAverage	18.74413731
logarithm	glcm	ClusterProminence	403.5119555
logarithm	glcm	ClusterShade	-33.65619755
logarithm	glcm	ClusterTendency	7.648107943
logarithm	glcm	Contrast	1.8838629
logarithm	glcm	Correlation	0.606742909
logarithm	glcm	DifferenceAverage	0.845007873
logarithm	glcm	DifferenceEntropy	1.751038734
logarithm	glcm	DifferenceVariance	1.151249306
logarithm	glcm	JointEnergy	0.113754132
logarithm	glcm	JointEntropy	4.082118946
logarithm	glcm	Imc1	-0.164886353
logarithm	glcm	Imc2	0.705815588
logarithm	glcm	Idm	0.660492079
logarithm	glcm	Idmn	0.995964361
logarithm	glcm	Id	0.686028485
logarithm	glcm	Idn	0.963408913
logarithm	glcm	InverseVariance	0.402121647
logarithm	glcm	MaximumProbability	0.269925933
logarithm	glcm	SumEntropy	3.020689453
logarithm	glcm	SumSquares	2.382992711
logarithm	glrlm	GrayLevelNonUniformity	484.1874803
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.228565409
logarithm	glrlm	GrayLevelVariance	2.461669911
logarithm	glrlm	HighGrayLevelRunEmphasis	342.8963213
logarithm	glrlm	LongRunEmphasis	4.186675558
logarithm	glrlm	LongRunHighGrayLevelEmphasis	1548.58944
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.01203173
logarithm	glrlm	LowGrayLevelRunEmphasis	0.003492967
logarithm	glrlm	RunEntropy	3.78545407
logarithm	glrlm	RunLengthNonUniformity	1019.884679
logarithm	glrlm	RunLengthNonUniformityNormalized	0.477916052
logarithm	glrlm	RunPercentage	0.614267846
logarithm	glrlm	RunVariance	1.466813247
logarithm	glrlm	ShortRunEmphasis	0.716381589
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	239.1753922
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.002702117
logarithm	glszm	GrayLevelNonUniformity	18.16666667
logarithm	glszm	GrayLevelNonUniformityNormalized	0.168209877
logarithm	glszm	GrayLevelVariance	8.048268176
logarithm	glszm	HighGrayLevelZoneEmphasis	272.712963
logarithm	glszm	LargeAreaEmphasis	28501.57407
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	10864224.23
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	75.25087725
logarithm	glszm	LowGrayLevelZoneEmphasis	0.013408533
logarithm	glszm	SizeZoneNonUniformity	32.09259259
logarithm	glszm	SizeZoneNonUniformityNormalized	0.297153635
logarithm	glszm	SmallAreaEmphasis	0.55310629
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	145.8963088
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.011764739
logarithm	glszm	ZoneEntropy	4.888879221
logarithm	glszm	ZonePercentage	0.031358885
logarithm	glszm	ZoneVariance	27484.67284
logarithm	gldm	DependenceEntropy	6.105311403
logarithm	gldm	DependenceNonUniformity	164.8385598
logarithm	gldm	DependenceNonUniformityNormalized	0.047862532
logarithm	gldm	DependenceVariance	36.1809223
logarithm	gldm	GrayLevelNonUniformity	936.7746806
logarithm	gldm	GrayLevelVariance	2.189477551
logarithm	gldm	HighGrayLevelEmphasis	354.449187
logarithm	gldm	LargeDependenceEmphasis	157.8205575
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	60069.58682
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	0.420240406
logarithm	gldm	LowGrayLevelEmphasis	0.003194711
logarithm	gldm	SmallDependenceEmphasis	0.041658309
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	12.34506831
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.00044736
logarithm	ngtdm	Busyness	0.92967562
logarithm	ngtdm	Coarseness	0.002440722
logarithm	ngtdm	Complexity	85.60010898
logarithm	ngtdm	Contrast	0.011204859
logarithm	ngtdm	Strength	0.991345889
gradient	firstorder	10Percentile	23.25482292
gradient	firstorder	90Percentile	118.5599747
gradient	firstorder	Energy	478772133.4
gradient	firstorder	Entropy	2.534625703
gradient	firstorder	InterquartileRange	54.87815094
gradient	firstorder	Kurtosis	2.311987516
gradient	firstorder	Maximum	191.760849
gradient	firstorder	MeanAbsoluteDeviation	29.66759513
gradient	firstorder	Mean	71.14918394
gradient	firstorder	Median	69.99222183
gradient	firstorder	Minimum	1.009445786
gradient	firstorder	Range	190.7514032
gradient	firstorder	RobustMeanAbsoluteDeviation	22.22401788
gradient	firstorder	RootMeanSquared	372.8488955
gradient	firstorder	Skewness	0.175648806
gradient	firstorder	TotalEnergy	478772133.4
gradient	firstorder	Uniformity	0.186083862
gradient	firstorder	Variance	1264.582148
gradient	glcm	Autocorrelation	11.61660637
gradient	glcm	JointAverage	3.304905969
gradient	glcm	ClusterProminence	84.83657129
gradient	glcm	ClusterShade	0.945188257
gradient	glcm	ClusterTendency	5.729949885
gradient	glcm	Contrast	2.953945391
gradient	glcm	Correlation	0.320255404
gradient	glcm	DifferenceAverage	1.281778896
gradient	glcm	DifferenceEntropy	2.080702283
gradient	glcm	DifferenceVariance	1.293716296
gradient	glcm	JointEnergy	0.038581941
gradient	glcm	JointEntropy	4.959389232
gradient	glcm	Imc1	-0.048788403
gradient	glcm	Imc2	0.450223161
gradient	glcm	Idm	0.51555183
gradient	glcm	Idmn	0.959542864
gradient	glcm	Id	0.564138808
gradient	glcm	Idn	0.874133312
gradient	glcm	InverseVariance	0.439192545
gradient	glcm	MaximumProbability	0.06622255
gradient	glcm	SumEntropy	3.262839867
gradient	glcm	SumSquares	2.170973819
gradient	glrlm	GrayLevelNonUniformity	490.0483448
gradient	glrlm	GrayLevelNonUniformityNormalized	0.186514874
gradient	glrlm	GrayLevelVariance	2.113312993
gradient	glrlm	HighGrayLevelRunEmphasis	13.92195585
gradient	glrlm	LongRunEmphasis	2.206940384
gradient	glrlm	LongRunHighGrayLevelEmphasis	27.01953537
gradient	glrlm	LongRunLowGrayLevelEmphasis	0.556262295
