Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_9_segment_Left cerebellar	1: RTSTRUCT: ANON_9_segment_RT Sup Frontal
original	glcm	InverseVariance	0.3655024856449029	0.5116442442924313
original	glcm	MaximumProbability	0.5617391056924965	0.23729477432104618
original	glcm	SumEntropy	1.346818359422732	2.1982098286885092
original	glcm	SumSquares	0.20132632868440042	1.5019940291365619
original	glrlm	GrayLevelNonUniformity	19.10542978885183	70.18920677774365
original	glrlm	GrayLevelNonUniformityNormalized	0.6481865911583148	0.35837218596417564
original	glrlm	GrayLevelVariance	0.19476434050485558	2.1366331741971205
original	glrlm	HighGrayLevelRunEmphasis	4.807081166705327	65.48349367856629
original	glrlm	LongRunEmphasis	2.7073416243966246	2.4981748136053303
original	glrlm	LongRunHighGrayLevelEmphasis	12.538500336978236	173.81713327092237
original	glrlm	LongRunLowGrayLevelEmphasis	0.6524379117605137	0.04699514411409774
original	glrlm	LowGrayLevelRunEmphasis	0.2506595243470909	0.025640288577355657
original	glrlm	RunEntropy	2.02705421084504	2.9023989441702165
original	glrlm	RunLengthNonUniformity	15.013460925872664	115.51040620325836
original	glrlm	RunLengthNonUniformityNormalized	0.49653453388034846	0.5842565120329644
original	glrlm	RunPercentage	0.6851520572450804	0.7301951779563721
original	glrlm	RunVariance	0.44307045188141486	0.5744053235368016
original	glrlm	ShortRunEmphasis	0.6985574620343779	0.7898155842190029
original	glrlm	ShortRunHighGrayLevelEmphasis	3.3757978466712353	50.44314696835806
original	glrlm	ShortRunLowGrayLevelEmphasis	0.1815631445271187	0.02258170631001586
original	glszm	GrayLevelNonUniformity	1.0	2.8
original	glszm	GrayLevelNonUniformityNormalized	0.3333333333333333	0.14
original	glszm	GrayLevelVariance	0.6666666666666666	4.4
original	glszm	HighGrayLevelZoneEmphasis	4.666666666666667	29.4
original	glszm	LargeAreaEmphasis	425.0	1381.0
original	glszm	LargeAreaHighGrayLevelEmphasis	1780.6666666666667	99219.7
original	glszm	LargeAreaLowGrayLevelEmphasis	104.23148148148148	19.635366780045352
original	glszm	LowGrayLevelZoneEmphasis	0.4537037037037037	0.11174405549256741
original	glszm	SizeZoneNonUniformity	1.0	11.5
original	glszm	SizeZoneNonUniformityNormalized	0.3333333333333333	0.575
original	glszm	SmallAreaEmphasis	0.34040816326530615	0.7683179771562364
original	glszm	SmallAreaHighGrayLevelEmphasis	0.39564625850340135	18.713033856571254
original	glszm	SmallAreaLowGrayLevelEmphasis	0.3341572184429327	0.10204839968931263
original	glszm	ZoneEntropy	1.5849625007211552	3.384183719779185
original	glszm	ZonePercentage	0.06976744186046512	0.07462686567164178
original	glszm	ZoneVariance	219.55555555555554	1201.44
original	gldm	DependenceEntropy	3.2892806753548682	4.822808398373555
original	gldm	DependenceNonUniformity	5.6976744186046515	24.044776119402986
original	gldm	DependenceNonUniformityNormalized	0.1325040562466198	0.08971931387836934
original	gldm	DependenceVariance	9.128177393185506	10.9997772332368
original	gldm	GrayLevelNonUniformity	29.651162790697676	103.51492537313433
original	gldm	GrayLevelVariance	0.16657652785289348	1.7070060147026063
original	gldm	HighGrayLevelEmphasis	4.744186046511628	67.26865671641791
original	gldm	LargeDependenceEmphasis	93.51162790697674	75.23880597014926
original	gldm	LargeDependenceHighGrayLevelEmphasis	413.86046511627904	5468.634328358209
original	gldm	LargeDependenceLowGrayLevelEmphasis	22.287467700258397	1.0642238096178218
original	gldm	LowGrayLevelEmphasis	0.24483204134366926	0.02253487381685676
original	gldm	SmallDependenceEmphasis	0.03702594348294657	0.07955817361390742
original	gldm	SmallDependenceHighGrayLevelEmphasis	0.0949476277523843	2.7353228004516605
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.02623692145582339	0.00817928543017127
original	ngtdm	Busyness	1.0837552449600674	0.5423819878186682
original	ngtdm	Coarseness	0.14375672198478348	0.01718069206399334
original	ngtdm	Complexity	1.0729412415061432	34.31330546563674
original	ngtdm	Contrast	0.017211885634504036	0.03272040032830852
original	ngtdm	Strength	0.3838396800016374	1.748570246233478
exponential	firstorder	10Percentile	2.8354929408219256	89.54239152115325
exponential	firstorder	90Percentile	5.006210423957796	165.77669186471792
exponential	firstorder	Energy	3970000.044090582	50843208.27967614
exponential	firstorder	Entropy	-3.203426503814917e-16	2.3227304342887414
exponential	firstorder	InterquartileRange	0.9294047824020049	29.39669524593016
exponential	firstorder	Kurtosis	3.244349321275478	5.954641972311348
exponential	firstorder	Maximum	6.031963801344407	205.03895096610316
exponential	firstorder	MeanAbsoluteDeviation	0.6423438463948641	25.931716657935144
exponential	firstorder	Mean	3.8501073980724443	133.99593609749476
exponential	firstorder	Median	3.7347198567551683	144.00977708333193
exponential	firstorder	Minimum	2.4571006717866832	6.886608149916131
exponential	firstorder	Range	3.574863129557724	198.15234281618703
exponential	firstorder	RobustMeanAbsoluteDeviation	0.3966098051537742	13.775652525429964
exponential	firstorder	RootMeanSquared	303.8512504840341	435.5610906981188
exponential	firstorder	Skewness	0.7813419251657342	-1.6434327638230164
exponential	firstorder	TotalEnergy	3970000.044090582	50843208.27967614
exponential	firstorder	Uniformity	1.0	0.2631432390287369
exponential	firstorder	Variance	0.6946548910404229	1360.9911809940884
exponential	glcm	Autocorrelation	1.0	35.793365209557926
exponential	glcm	JointAverage	1.0	5.925060275156052
exponential	glcm	ClusterProminence	0.0	199.40187617882114
exponential	glcm	ClusterShade	0.0	-22.850804969344725
exponential	glcm	ClusterTendency	0.0	5.400533723919843
exponential	glcm	Contrast	0.0	2.661727830863764
exponential	glcm	Correlation	1.0	0.32290657170556053
exponential	glcm	DifferenceAverage	0.0	1.151743674657603
exponential	glcm	DifferenceEntropy	-3.2034265038149176e-16	1.9623853014112205
exponential	glcm	DifferenceVariance	0.0	1.2982884241666046
exponential	glcm	JointEnergy	1.0	0.09787893228478509
exponential	glcm	JointEntropy	-3.2034265038149176e-16	4.117062237435333
exponential	glcm	Imc1	0.0	-0.13841119451472345
exponential	glcm	Imc2	0.0	0.6665997726987365
exponential	glcm	Idm	1.0	0.5607608799041638
exponential	glcm	Idmn	1.0	0.9709237529720194
exponential	glcm	Id	1.0	0.5979251469058743
exponential	glcm	Idn	1.0	0.8968695051034066
exponential	glcm	InverseVariance	0.0	0.46599517001889634
exponential	glcm	MaximumProbability	1.0	0.18975566098507385
exponential	glcm	SumEntropy	-3.2034265038149176e-16	2.748596030403128
exponential	glcm	SumSquares	0.0	2.0155653886959017
exponential	glrlm	GrayLevelNonUniformity	21.923076923076923	48.13505123427592
exponential	glrlm	GrayLevelNonUniformityNormalized	1.0	0.2303197809557362
exponential	glrlm	GrayLevelVariance	0.0	2.600037100020794
exponential	glrlm	HighGrayLevelRunEmphasis	1.0	35.947240862721976
exponential	glrlm	LongRunEmphasis	5.183731652962423	2.092429769443254
exponential	glrlm	LongRunHighGrayLevelEmphasis	5.183731652962423	77.28296464174903
exponential	glrlm	LongRunLowGrayLevelEmphasis	5.183731652962423	0.13299570016160864
exponential	glrlm	LowGrayLevelRunEmphasis	1.0	0.07630015672499349
exponential	glrlm	RunEntropy	1.54676091449175	3.300116502590013
exponential	glrlm	RunLengthNonUniformity	8.149780703626856	137.2083178962272
exponential	glrlm	RunLengthNonUniformityNormalized	0.3636739048003923	0.651507072075787
exponential	glrlm	RunPercentage	0.5098389982110911	0.7795637198622274
exponential	glrlm	RunVariance	0.7227214901772574	0.4191146681087246
exponential	glrlm	ShortRunEmphasis	0.45535113628062346	0.8326994095143174
exponential	glrlm	ShortRunHighGrayLevelEmphasis	0.45535113628062346	29.510181198617413
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.45535113628062346	0.06837323859906336
exponential	glszm	GrayLevelNonUniformity	1.0	5.787878787878788
exponential	glszm	GrayLevelNonUniformityNormalized	1.0	0.1753902662993572
exponential	glszm	GrayLevelVariance	0.0	4.54178145087236
exponential	glszm	HighGrayLevelZoneEmphasis	1.0	28.939393939393938
exponential	glszm	LargeAreaEmphasis	1849.0	536.3030303030303
exponential	glszm	LargeAreaHighGrayLevelEmphasis	1849.0	21401.333333333332
exponential	glszm	LargeAreaLowGrayLevelEmphasis	1849.0	16.825022212869435
exponential	glszm	LowGrayLevelZoneEmphasis	1.0	0.096032056200707
exponential	glszm	SizeZoneNonUniformity	1.0	10.93939393939394
exponential	glszm	SizeZoneNonUniformityNormalized	1.0	0.3314967860422406
exponential	glszm	SmallAreaEmphasis	0.0005408328826392645	0.592945535773206
exponential	glszm	SmallAreaHighGrayLevelEmphasis	0.0005408328826392645	16.130204865933255
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.0005408328826392645	0.047535697710681765
exponential	glszm	ZoneEntropy	-3.203426503814917e-16	3.8818326655220754
exponential	glszm	ZonePercentage	0.023255813953488372	0.12313432835820895
exponential	glszm	ZoneVariance	0.0	470.3489439853076
exponential	gldm	DependenceEntropy	3.826941500442395	5.28047448850021
exponential	gldm	DependenceNonUniformity	3.6511627906976742	21.044776119402986
exponential	gldm	DependenceNonUniformityNormalized	0.08491076257436452	0.07852528402762309
exponential	gldm	DependenceVariance	20.19037317468902	14.1666295388728
exponential	gldm	GrayLevelNonUniformity	43.0	70.5223880597015
exponential	gldm	GrayLevelVariance	0.0	2.2888728001782135
exponential	gldm	HighGrayLevelEmphasis	1.0	36.43283582089552
exponential	gldm	LargeDependenceEmphasis	209.09302325581396	59.47761194029851
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	209.09302325581396	2274.768656716418
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	209.09302325581396	2.3782656933351007
exponential	gldm	LowGrayLevelEmphasis	1.0	0.07055688406512411
exponential	gldm	SmallDependenceEmphasis	0.007231172988188526	0.11320458117349691
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.007231172988188526	3.392211765458216
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.007231172988188526	0.0101840270927005
exponential	ngtdm	Busyness	0.0	0.622126824100312
exponential	ngtdm	Coarseness	1000000.0	0.024001578575327632
exponential	ngtdm	Complexity	0.0	28.078888383656153
exponential	ngtdm	Contrast	0.0	0.054734761067871035
exponential	ngtdm	Strength	0.0	0.7541719665147949
square	firstorder	10Percentile	9.589947887497079	206.9889217947144
square	firstorder	90Percentile	22.903919963824453	267.6108069828015
square	firstorder	Energy	4292336.763941184	78708717.51754512
square	firstorder	Entropy	0.44648134689680236	1.9900459195179445
square	firstorder	InterquartileRange	5.764526026129584	21.396844258875007
square	firstorder	Kurtosis	3.021436108713375	11.52634893269329
square	firstorder	Maximum	28.512352752218195	290.3343098533699
square	firstorder	MeanAbsoluteDeviation	3.9014214385636805	25.630286004086585
square	firstorder	Mean	15.905875284376894	240.29026684568768
square	firstorder	Median	15.329110875659277	253.0723821192713
square	firstorder	Minimum	7.135162233060761	38.14852778611294
square	firstorder	Range	21.377190519157434	252.18578206725698
square	firstorder	RobustMeanAbsoluteDeviation	2.460459833703502	10.44327360211549
square	firstorder	RootMeanSquared	315.94585803256626	541.9310329446469
square	firstorder	Skewness	0.6467145537647419	-2.858803771178915
square	firstorder	TotalEnergy	4292336.763941184	78708717.51754512
square	firstorder	Uniformity	0.8312601406165494	0.3697928269102249
square	firstorder	Variance	25.263168746218025	1775.6720202675788
square	glcm	Autocorrelation	1.2748624054621518	86.83726922847653
square	glcm	JointAverage	1.127636176220986	9.261821219734774
square	glcm	ClusterProminence	0.24757123545290777	581.7517526315395
square	glcm	ClusterShade	0.17761803037411075	-53.177082919094495
square	glcm	ClusterTendency	0.22806183954123538	7.256762080246867
square	glcm	Contrast	0.21609224640161187	3.0519118924238
square	glcm	Correlation	0.028758940564800183	0.3781256371072412
square	glcm	DifferenceAverage	0.21609224640161187	1.0250047018942015
square	glcm	DifferenceEntropy	0.7422481038391939	1.9102746020811234
square	glcm	DifferenceVariance	0.1670885872029713	1.9610675519812004
square	glcm	JointEnergy	0.610834369825605	0.1913198255191781
square	glcm	JointEntropy	1.0691827620236063	3.441022512256912
square	glcm	Imc1	-0.05459364391179865	-0.17060585957625493
square	glcm	Imc2	0.22720824144485333	0.676120924435635
square	glcm	Idm	0.8919538767991941	0.6422648067529638
square	glcm	Idmn	0.9567815507196775	0.9786229308839267
square	glcm	Id	0.8919538767991941	0.6692822475935688
square	glcm	Idn	0.9279692511994628	0.9251644106057508
square	glcm	InverseVariance	0.21609224640161187	0.39439567633447264
square	glcm	MaximumProbability	0.7643177005782081	0.377577884206667
square	glcm	SumEntropy	0.8530905156219949	2.4653687755643543
square	glcm	SumSquares	0.11103852148571182	2.577168493167666
square	glrlm	GrayLevelNonUniformity	20.267297688883392	52.132690263775615
square	glrlm	GrayLevelNonUniformityNormalized	0.7666194032333736	0.2785859684665696
square	glrlm	GrayLevelVariance	0.11669029838331316	3.7827587168691315
square	glrlm	HighGrayLevelRunEmphasis	1.4055319705851113	82.38235061627259
square	glrlm	LongRunEmphasis	3.4538164525298	3.019810045825398
square	glrlm	LongRunHighGrayLevelEmphasis	4.04206823366873	279.0659172941811
square	glrlm	LongRunLowGrayLevelEmphasis	3.3067535072450673	0.04703593851076078
square	glrlm	LowGrayLevelRunEmphasis	0.8986170073537223	0.02519077661821284
square	glrlm	RunEntropy	1.885168461539327	3.3050823980312938
square	glrlm	RunLengthNonUniformity	11.466729246474038	108.70077648122637
square	glrlm	RunLengthNonUniformityNormalized	0.42297698028565694	0.5781368348647452
square	glrlm	RunPercentage	0.6135957066189625	0.6946039035591275
square	glrlm	RunVariance	0.5814563134375923	0.8807887043673001
square	glrlm	ShortRunEmphasis	0.6103968128817591	0.7861686916701635
square	glrlm	ShortRunHighGrayLevelEmphasis	0.9702488308284155	61.92996590917408
square	glrlm	ShortRunLowGrayLevelEmphasis	0.5204338083950949	0.022739971931908336
square	glszm	GrayLevelNonUniformity	1.0	4.032258064516129
square	glszm	GrayLevelNonUniformityNormalized	0.5	0.13007284079084286
square	glszm	GrayLevelVariance	0.25	9.225806451612904
square	glszm	HighGrayLevelZoneEmphasis	2.5	58.225806451612904
square	glszm	LargeAreaEmphasis	768.5	801.6774193548387
square	glszm	LargeAreaHighGrayLevelEmphasis	792.5	78053.96774193548
square	glszm	LargeAreaLowGrayLevelEmphasis	762.5	8.417932490951099
square	glszm	LowGrayLevelZoneEmphasis	0.625	0.07550658159084007
square	glszm	SizeZoneNonUniformity	1.0	11.32258064516129
square	glszm	SizeZoneNonUniformityNormalized	0.5	0.36524453694068676
square	glszm	SmallAreaEmphasis	0.03157873109796187	0.6248196471238636
square	glszm	SmallAreaHighGrayLevelEmphasis	0.12532873109796186	32.18795319964594
square	glszm	SmallAreaLowGrayLevelEmphasis	0.008141231097961867	0.06077731760545877
square	glszm	ZoneEntropy	0.9999999999999993	4.2201676812848214
square	glszm	ZonePercentage	0.046511627906976744	0.11567164179104478
square	glszm	ZoneVariance	306.25	726.9386056191465
square	gldm	DependenceEntropy	3.672173546208591	5.214861502174248
square	gldm	DependenceNonUniformity	3.7906976744186047	15.686567164179104
square	gldm	DependenceNonUniformityNormalized	0.0881557598702001	0.05853196703051905
square	gldm	DependenceVariance	17.207138994050837	38.205390955669415
square	gldm	GrayLevelNonUniformity	35.74418604651163	99.1044776119403
square	gldm	GrayLevelVariance	0.08436992969172526	2.9481371129427494
square	gldm	HighGrayLevelEmphasis	1.2790697674418605	86.86194029850746
square	gldm	LargeDependenceEmphasis	139.2325581395349	118.13432835820896
square	gldm	LargeDependenceHighGrayLevelEmphasis	143.69767441860466	11665.623134328358
square	gldm	LargeDependenceLowGrayLevelEmphasis	138.11627906976744	1.2278456761978076
square	gldm	LowGrayLevelEmphasis	0.9302325581395349	0.020776962301785426
square	gldm	SmallDependenceEmphasis	0.014422060791780657	0.11437748221230185
square	gldm	SmallDependenceHighGrayLevelEmphasis	0.03186392125689694	6.9274250073675265
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.010061595675501585	0.00801413439848028
square	ngtdm	Busyness	2.937875222708314	0.2974931993814385
square	ngtdm	Coarseness	0.23607142391071964	0.02169076685722993
square	ngtdm	Complexity	0.19702354116594423	46.097991781175644
square	ngtdm	Contrast	0.01499488820339709	0.04072549663139888
square	ngtdm	Strength	0.261701369368682	2.4781917410800003
squareroot	firstorder	10Percentile	120.61350297599019	308.5202199009509
squareroot	firstorder	90Percentile	149.9408660336346	328.9832510526761
squareroot	firstorder	Energy	8164783.659599336	102700544.44043416
squareroot	firstorder	Entropy	1.1747215374301816	1.3983530478492248
squareroot	firstorder	InterquartileRange	12.653136586133371	6.93806726711432
squareroot	firstorder	Kurtosis	2.6125573907411703	17.14967684032773
squareroot	firstorder	Maximum	158.38247152629515	335.75498352296876
squareroot	firstorder	MeanAbsoluteDeviation	8.433010101850256	10.531074085325582
squareroot	firstorder	Mean	135.61908227212788	318.73881225646954
squareroot	firstorder	Median	135.6213594186532	324.42107557606846
squareroot	firstorder	Minimum	112.02109535690047	202.14701041953865
squareroot	firstorder	Range	46.361376169394674	133.6079731034301
squareroot	firstorder	RobustMeanAbsoluteDeviation	5.501099525466695	3.448111042245444
squareroot	firstorder	RootMeanSquared	435.7507197448148	619.0403756767711
squareroot	firstorder	Skewness	0.08860458916948077	-3.6416024478293463
squareroot	firstorder	TotalEnergy	8164783.659599336	102700544.44043416
squareroot	firstorder	Uniformity	0.5348837209302325	0.44166295388728005
squareroot	firstorder	Variance	114.7049185132168	373.2689254912853
squareroot	glcm	Autocorrelation	4.237336943841463	28.63355404126868
squareroot	glcm	JointAverage	2.048011309208551	5.3340871816150095
squareroot	glcm	ClusterProminence	1.3189377025176015	35.50216415314737
squareroot	glcm	ClusterShade	-0.032798223376471106	-5.717882829991418
squareroot	glcm	ClusterTendency	0.6463160973691899	1.7578367697390138
squareroot	glcm	Contrast	0.478251233435994	1.0370885169088562
squareroot	glcm	Correlation	0.14587322982020814	0.22785180148455392
squareroot	glcm	DifferenceAverage	0.45315867893167483	0.688694764228863
squareroot	glcm	DifferenceEntropy	1.012045853831239	1.3493879881361392
squareroot	glcm	DifferenceVariance	0.2629952191790828	0.5509376053207001
squareroot	glcm	JointEnergy	0.3122642397476689	0.21477242587603046
squareroot	glcm	JointEntropy	2.1358902706832277	2.5462012768641227
squareroot	glcm	Imc1	-0.11708146171756074	-0.09693515397254607
squareroot	glcm	Imc2	0.4710898592778794	0.4552833052234754
squareroot	glcm	Idm	0.7759299159845944	0.6885456343070433
squareroot	glcm	Idmn	0.9533329945566	0.9748089287839602
squareroot	glcm	Id	0.7776027529515491	0.6977085436722805
squareroot	glcm	Idn	0.8879649579922972	0.9070083330504205
squareroot	glcm	InverseVariance	0.43120269374039555	0.5213619821795489
squareroot	glcm	MaximumProbability	0.5015496140610674	0.2653666817157262
squareroot	glcm	SumEntropy	1.6349505476899167	1.9091676785786937
squareroot	glcm	SumSquares	0.281141832701296	0.6987313216619675
squareroot	glrlm	GrayLevelNonUniformity	14.550775275328258	79.50457472480693
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.4664286581558297	0.42242651778161733
squareroot	glrlm	GrayLevelVariance	0.3640432884104818	0.9379019875229779
squareroot	glrlm	HighGrayLevelRunEmphasis	3.9528693903703025	28.0895031579178
squareroot	glrlm	LongRunEmphasis	2.3706225635150244	2.8548862617572874
squareroot	glrlm	LongRunHighGrayLevelEmphasis	9.674164267571253	84.03770337833811
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.7854047827435735	0.12483190062146689
squareroot	glrlm	LowGrayLevelRunEmphasis	0.41203992492989744	0.05639570714274625
squareroot	glrlm	RunEntropy	2.254941454906465	2.665100629330544
squareroot	glrlm	RunLengthNonUniformity	17.415300673407156	106.15526355999242
squareroot	glrlm	RunLengthNonUniformityNormalized	0.5487252145328353	0.5569626441133578
squareroot	glrlm	RunPercentage	0.7245080500894454	0.7017795637198623
squareroot	glrlm	RunVariance	0.3981648557047493	0.7449708559996229
squareroot	glrlm	ShortRunEmphasis	0.753981938648588	0.7709392227231228
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	2.909095989179442	21.18596760969939
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.3428581053583144	0.04791784708968165
squareroot	glszm	GrayLevelNonUniformity	2.2	2.4
