Image type	Feature Class	Feature Name	RTSTRUCT: ANON_6_segment_Lt flax frontal071720	RTSTRUCT: ANON_6_segment_Rt ant frontal071720	RTSTRUCT: ANON_6_segment_Lt occipital 071720	RTSTRUCT: ANON_6_segment_Ltlat pcerebellar 071720	RTSTRUCT: ANON_6_segment_Lt temporal071720
original	glcm	Id	0.49264851412083827	0.44954398212935154	0.4899830087013028	0.46149520630214297	0.4519017094017095
original	glcm	Idn	0.8447150874764173	0.8188183761682702	0.8493987292273639	0.831141403702848	0.7645070207570208
original	glcm	InverseVariance	0.4104403139334216	0.36354920879332664	0.3645411585042249	0.42802229457877333	0.42950498575498575
original	glcm	MaximumProbability	0.07336024052895626	0.06424231103365495	0.09726338719042754	0.09247237614931803	0.17692307692307693
original	glcm	SumEntropy	3.4624761476215307	3.4372428057310787	3.428200406900412	2.96925102299466	1.9734870743841044
original	glcm	SumSquares	3.397603115878818	3.979618804875253	3.635689076832589	2.8084702778132202	1.7805448717948722
original	glrlm	GrayLevelNonUniformity	16.266511031266923	12.562122634482174	13.787226003545438	7.350379334858196	4.157042052969654
original	glrlm	GrayLevelNonUniformityNormalized	0.14473475773120179	0.16232409516124802	0.14482462759362716	0.1776022113115	0.2613008962890117
original	glrlm	GrayLevelVariance	3.5328788374806375	3.5584898840482633	3.692250019953786	2.6466708823003966	1.6881215149491988
original	glrlm	HighGrayLevelRunEmphasis	26.80534574588099	20.333445146512545	31.98939376206229	20.506033659715044	7.853937917286334
original	glrlm	LongRunEmphasis	1.4999666786469432	1.3453443641966678	1.544468230164919	1.2854321909142548	1.266406670252824
original	glrlm	LongRunHighGrayLevelEmphasis	47.46809578149761	29.30913556942623	56.89939671470721	26.61196536805943	9.5747555611809
original	glrlm	LongRunLowGrayLevelEmphasis	0.11863322791038557	0.1613142243047991	0.09196632958544662	0.14382392900491164	0.45871290788145996
original	glrlm	LowGrayLevelRunEmphasis	0.09903034381881966	0.13159275636506593	0.07149996248517122	0.12012788213122791	0.36786119549128604
original	glrlm	RunEntropy	3.344200708123184	3.18541143383706	3.422831045208869	3.000712021282107	2.2594251606235463
original	glrlm	RunLengthNonUniformity	86.57916256900879	62.64727915981124	70.89959327204191	35.31600216467461	14.547875201721354
original	glrlm	RunLengthNonUniformityNormalized	0.7655012469344289	0.8080509725939927	0.740680896928448	0.8478091977405213	0.8966680005040684
original	glrlm	RunPercentage	0.8717948717948717	0.8998211091234347	0.857934857934858	0.9196581196581198	0.9366515837104072
original	glrlm	RunVariance	0.16437418932119102	0.10672064974288967	0.17274002614094394	0.09079814990451017	0.06532098381715111
original	glrlm	ShortRunEmphasis	0.8963713023280759	0.9181985718188296	0.8832766536444303	0.9343352721094931	0.9399729543960315
original	glrlm	ShortRunHighGrayLevelEmphasis	22.697228850109315	18.225325009919928	26.825048334043156	19.07064385003786	7.43030812827193
original	glrlm	ShortRunLowGrayLevelEmphasis	0.0947510759171287	0.12457539586952805	0.06690190361720963	0.11455970290268548	0.3517228893529799
original	glszm	GrayLevelNonUniformity	4.44	2.375	3.1818181818181817	2.230769230769231	1.5714285714285714
original	glszm	GrayLevelNonUniformityNormalized	0.1776	0.1484375	0.1446280991735537	0.17159763313609466	0.22448979591836735
original	glszm	GrayLevelVariance	3.4816000000000003	4.37109375	4.68595041322314	4.224852071005918	1.9591836734693877
original	glszm	HighGrayLevelZoneEmphasis	14.24	17.0625	26.181818181818183	20.846153846153847	8.571428571428571
original	glszm	LargeAreaEmphasis	69.72	57.75	52.77272727272727	23.76923076923077	7.285714285714286
original	glszm	LargeAreaHighGrayLevelEmphasis	2271.6	1051.3125	2320.5	473.3076923076923	46.57142857142857
original	glszm	LargeAreaLowGrayLevelEmphasis	3.2903651360544215	5.791718484268707	1.8564316349435395	1.7418965855572996	2.586349206349206
original	glszm	LowGrayLevelZoneEmphasis	0.2619302154195011	0.27200901714852604	0.11680060955358575	0.16450255102040817	0.38765873015873015
original	glszm	SizeZoneNonUniformity	9.4	3.125	4.0	2.8461538461538463	2.7142857142857144
original	glszm	SizeZoneNonUniformityNormalized	0.376	0.1953125	0.18181818181818182	0.21893491124260356	0.3877551020408163
original	glszm	SmallAreaEmphasis	0.6186061961132535	0.4202098026232225	0.32017440741027053	0.3972381670853071	0.3073015873015873
original	glszm	SmallAreaHighGrayLevelEmphasis	3.9451313770026264	2.833404921197129	9.41052296097311	9.978139733193974	2.11015873015873
original	glszm	SmallAreaLowGrayLevelEmphasis	0.2345932174510511	0.21839558620494845	0.038507776979689184	0.05158014904827387	0.17671626984126984
original	glszm	ZoneEntropy	3.459470570797248	3.7028195311147782	4.186704345910019	3.2389012566026274	2.807354922057602
original	glszm	ZonePercentage	0.1937984496124031	0.18604651162790697	0.1981981981981982	0.28888888888888886	0.4117647058823529
original	glszm	ZoneVariance	43.09440000000001	28.859375	27.316115702479337	11.786982248520712	1.3877551020408163
original	gldm	DependenceEntropy	5.015450489031235	4.687893174628047	5.139778452631642	4.017085807960774	3.2639334294856304
original	gldm	DependenceNonUniformity	19.372093023255815	16.069767441860463	15.522522522522523	9.933333333333334	6.647058823529412
original	gldm	DependenceNonUniformityNormalized	0.1501712637461691	0.18685776095186588	0.13984254524795064	0.22074074074074074	0.39100346020761245
original	gldm	DependenceVariance	7.803617571059431	2.2623039480800435	10.356626897167438	1.5476543209876543	1.28719723183391
original	gldm	GrayLevelNonUniformity	18.45736434108527	13.837209302325581	16.2972972972973	8.155555555555555	4.529411764705882
original	gldm	GrayLevelVariance	3.697614326062136	3.6631963223363977	3.7813489164840517	2.5846913580246915	1.6608996539792389
original	gldm	HighGrayLevelEmphasis	28.62015503875969	20.8953488372093	33.88288288288288	20.6	7.764705882352941
original	gldm	LargeDependenceEmphasis	26.58139534883721	15.255813953488373	32.387387387387385	11.088888888888889	8.294117647058824
original	gldm	LargeDependenceHighGrayLevelEmphasis	1258.0	430.43023255813955	1681.8648648648648	241.93333333333334	47.88235294117647
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.900749255128408	1.2762678142962611	0.9241148291148292	0.8447857457797934	2.615228758169935
original	gldm	LowGrayLevelEmphasis	0.09124954956142663	0.12698028726994676	0.06670881766119861	0.11710572562358278	0.3633660130718954
original	gldm	SmallDependenceEmphasis	0.18824756684066302	0.16552609028107365	0.13950474282627062	0.20610493827160498	0.23101307189542486
original	gldm	SmallDependenceHighGrayLevelEmphasis	2.545001592924865	2.1404301139060276	3.801932424867348	4.55675925925926	1.7573856209150327
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.04956616005358102	0.04964424599512501	0.014319872456481909	0.02766599528288682	0.11305555555555556
original	ngtdm	Busyness	0.715560617621436	1.0983172156862842	0.4856857016090844	0.30124844383086696	0.9806882642820143
original	ngtdm	Coarseness	0.05496287431722506	0.055064419327085036	0.0506522299262332	0.12552803782000982	0.1805704623813158
original	ngtdm	Complexity	23.795483313875643	32.51373692401778	38.51817081454598	27.79447309446271	12.606715406960504
original	ngtdm	Contrast	0.1474662127456032	0.17832319442995287	0.13534143549417121	0.11468573379263071	0.21665378518625014
original	ngtdm	Strength	1.0207353912886148	1.233213944292412	1.3446978489773167	2.260871201385517	1.777272714742128
exponential	firstorder	10Percentile	6.250213899122454	13.683515895102293	22.95471701854627	26.469932028100633	36.33120725007554
exponential	firstorder	90Percentile	66.39214842939032	139.04581197403033	276.0062101995736	172.9005685306905	169.77406337982606
exponential	firstorder	Energy	13927438.573427416	11298071.817433301	19081241.075964745	6734823.28294494	2478615.4044156214
exponential	firstorder	Entropy	1.5250495307611687	2.5300610569952013	3.225181954588874	2.6602844503366825	2.0191534613250335
exponential	firstorder	InterquartileRange	27.949859097311375	56.54528768160603	125.94848682169655	48.226500280777955	26.760873384081727
exponential	firstorder	Kurtosis	3.161453469595823	5.681063818023555	2.640719738906619	5.752835946423562	3.597355157578846
exponential	firstorder	Maximum	91.49616750888455	272.1565864467424	301.60179116730836	302.988223158026	215.8911826679515
exponential	firstorder	MeanAbsoluteDeviation	18.396936175067903	45.952390301565856	74.79930649671934	46.48684458397168	44.69598002715785
exponential	firstorder	Mean	27.8072483316413	57.23129694333353	104.85766800520072	81.04893882040027	77.66346431674458
exponential	firstorder	Median	19.82421605710605	28.540133122547523	70.62112685306563	63.266344197266115	53.99145936866626
exponential	firstorder	Minimum	2.8320657440626404	7.713736493048694	7.520236492726685	15.021126694277992	29.974016019114877
exponential	firstorder	Range	88.66410176482191	264.44284995369367	294.0815546745817	287.967096463748	185.91716664883663
exponential	firstorder	RobustMeanAbsoluteDeviation	13.221513612151133	26.006231702067282	55.885627177946105	22.528887762337902	23.320405410581706
exponential	firstorder	RootMeanSquared	328.57973173050175	362.45403585791337	414.61195443021074	386.8626883288161	381.83884839300384
exponential	firstorder	Skewness	1.0614913583724883	1.8385736763479086	0.988767103669106	1.8297715813435416	1.4310701711037128
exponential	firstorder	TotalEnergy	13927438.573427416	11298071.817433301	19081241.075964745	6734823.28294494	2478615.4044156214
exponential	firstorder	Uniformity	0.42503455321194633	0.2463493780421849	0.14000486973459947	0.1911111111111111	0.3079584775086505
exponential	firstorder	Variance	507.04804532614645	3758.7285938733894	7993.341413829809	4464.445844845519	3171.2138623703872
exponential	glcm	Autocorrelation	3.744362062960197	13.930538963185743	36.75029181239858	20.084411009003663	8.71602564102564
exponential	glcm	JointAverage	1.850825929393569	3.4963597667710675	5.6927453576219635	4.436078460119107	3.1320512820512816
exponential	glcm	ClusterProminence	15.602435040074125	1202.2322011909791	3456.892827971839	1164.7535541886589	208.65877446581197
exponential	glcm	ClusterShade	2.743339839456917	82.87184011890751	120.14441906638558	74.26164106384448	11.551941595441606
exponential	glcm	ClusterTendency	2.450335562529417	19.20895691421203	39.55578993880401	19.631946969114317	9.388333333333334
exponential	glcm	Contrast	1.181233899416519	12.43678639333993	22.263771965543206	18.094876084976327	14.498717948717948
exponential	glcm	Correlation	0.3517208879776779	0.22488970264284577	0.28632409317446406	0.04451476939349957	-0.2202815003132504
exponential	glcm	DifferenceAverage	0.7697841813174707	2.5761486996884555	3.595997619113164	3.074545261889191	2.997435897435897
exponential	glcm	DifferenceEntropy	1.5249896119991588	2.8386444992832836	3.2014928409347934	2.679474161047463	1.9142678676158904
exponential	glcm	DifferenceVariance	0.5654052424640421	5.6174652460789565	8.915900644077352	8.371985689947122	4.850811965811966
exponential	glcm	JointEnergy	0.1412887304711783	0.04450486645353852	0.019543514816242877	0.04904532518879337	0.1350320512820513
exponential	glcm	JointEntropy	3.3133399421226746	5.05313740712289	6.042856224434407	4.610075740381164	3.057423837187972
exponential	glcm	Imc1	-0.09064414928760406	-0.2530280661199005	-0.23476722937076994	-0.3717376217276688	-0.5308384321492652
exponential	glcm	Imc2	0.4785464258635172	0.8744346033112916	0.8912203525697608	0.9332973596790968	0.9395664309557117
exponential	glcm	Idm	0.6562528811511694	0.37863275264958485	0.29118090985641976	0.3385845568105402	0.32060872114718275
exponential	glcm	Idmn	0.9391283356349855	0.921280718958256	0.9014801816195492	0.9194572425250078	0.8464670901054432
exponential	glcm	Id	0.6783632582416713	0.45053509706299566	0.3705050657557212	0.4083832593725786	0.3903311965811965
exponential	glcm	Idn	0.8591501995836814	0.8334219103708045	0.8082502056233422	0.8328713260866494	0.7608897655051502
exponential	glcm	InverseVariance	0.4600063835217609	0.2949850829253599	0.2631327915512163	0.3387485273143004	0.35900678091749516
exponential	glcm	MaximumProbability	0.2859156975273699	0.12227637982208114	0.05881805877420364	0.09712493606784314	0.19423076923076923
exponential	glcm	SumEntropy	2.425780791838648	3.5872849313396906	4.225725568033194	3.280592571327139	2.076654606418744
exponential	glcm	SumSquares	0.9078923654864841	7.911435826887992	15.454890476086806	9.431705763522661	5.971762820512822
exponential	glrlm	GrayLevelNonUniformity	37.28581509567604	16.87954622349002	13.622947501982894	7.771372579221042	4.790651467687666
exponential	glrlm	GrayLevelNonUniformityNormalized	0.3969153720635941	0.22569734992201002	0.13530482359940296	0.18805893120766665	0.29812154693443593
exponential	glrlm	GrayLevelVariance	0.8206827564042164	6.5099485306458655	12.760524858024265	7.418085985861325	5.274730683280099
exponential	glrlm	HighGrayLevelRunEmphasis	3.6832648921939546	15.281973053697206	34.26429566391278	22.030600205880827	12.754430618401207
exponential	glrlm	LongRunEmphasis	2.464560993732605	1.5050208005157941	1.3201743423925736	1.288689407058216	1.2397189349112427
exponential	glrlm	LongRunHighGrayLevelEmphasis	7.638445555810157	17.837622701718843	48.151630010874825	24.878391499833718	13.296590381714815
exponential	glrlm	LongRunLowGrayLevelEmphasis	1.7699950528780373	0.7942306174787286	0.30708420489995275	0.27273383971349363	0.6598500457238287
exponential	glrlm	LowGrayLevelRunEmphasis	0.6398296593302871	0.4526753616377989	0.23050771030024572	0.19810511981996448	0.4957413179131778
exponential	glrlm	RunEntropy	2.653783889343987	3.1251479949910794	3.630357450048952	2.9787587245863127	2.243864333600304
