Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_48_segment_Lt Med Cerebellar	1: RTSTRUCT: ANON_48_segment_Lt Lat Cerebellar
original	glcm	InverseVariance	0.4021099629556436	0.3917139666824671
original	glcm	MaximumProbability	0.05731273108508445	0.08109275932832248
original	glcm	SumEntropy	3.4133048938747828	3.6400982767847747
original	glcm	SumSquares	3.373296210871691	4.031980219683393
original	glrlm	GrayLevelNonUniformity	20.614209427892625	20.726389335999837
original	glrlm	GrayLevelNonUniformityNormalized	0.15809773156624168	0.13007491749239092
original	glrlm	GrayLevelVariance	3.344285105243166	4.464441119669029
original	glrlm	HighGrayLevelRunEmphasis	35.780571227434834	32.860079788985814
original	glrlm	LongRunEmphasis	1.4201098972287878	1.5217905455786425
original	glrlm	LongRunHighGrayLevelEmphasis	52.736937917371534	54.126149147342886
original	glrlm	LongRunLowGrayLevelEmphasis	0.06474786089826802	0.10601000188733035
original	glrlm	LowGrayLevelRunEmphasis	0.05079886257218758	0.08332659116930369
original	glrlm	RunEntropy	3.3039860847399813	3.6184284021328006
original	glrlm	RunLengthNonUniformity	106.66165347784259	122.17962883309586
original	glrlm	RunLengthNonUniformityNormalized	0.8122148619092273	0.7641182226143353
original	glrlm	RunPercentage	0.8930453108535301	0.8658026755852843
original	glrlm	RunVariance	0.14839039855421438	0.1787742027883059
original	glrlm	ShortRunEmphasis	0.9180481055319724	0.8957394081901462
original	glrlm	ShortRunHighGrayLevelEmphasis	32.44191352447887	28.671530860257516
original	glrlm	ShortRunLowGrayLevelEmphasis	0.04801562812529371	0.07856567967163319
original	glszm	GrayLevelNonUniformity	3.962962962962963	3.903225806451613
original	glszm	GrayLevelNonUniformityNormalized	0.1467764060356653	0.1259105098855359
original	glszm	GrayLevelVariance	4.395061728395062	5.662851196670135
original	glszm	HighGrayLevelZoneEmphasis	27.22222222222222	25.193548387096776
original	glszm	LargeAreaEmphasis	69.55555555555556	97.87096774193549
original	glszm	LargeAreaHighGrayLevelEmphasis	2850.4814814814813	4066.9032258064517
original	glszm	LargeAreaLowGrayLevelEmphasis	2.2322035415675185	3.6914445318151157
original	glszm	LowGrayLevelZoneEmphasis	0.1025991072011795	0.17403121164833915
original	glszm	SizeZoneNonUniformity	5.296296296296297	5.387096774193548
original	glszm	SizeZoneNonUniformityNormalized	0.19615912208504802	0.17377731529656607
original	glszm	SmallAreaEmphasis	0.380929862685815	0.4067733918191975
original	glszm	SmallAreaHighGrayLevelEmphasis	7.147895670613924	8.309394658907555
original	glszm	SmallAreaLowGrayLevelEmphasis	0.06887645391833003	0.10804479892904062
original	glszm	ZoneEntropy	4.356558335416666	4.582913245731159
original	glszm	ZonePercentage	0.18493150684931506	0.16847826086956522
original	glszm	ZoneVariance	40.31550068587106	62.64099895941726
original	gldm	DependenceEntropy	4.915899060894164	5.485902569089747
original	gldm	DependenceNonUniformity	25.91780821917808	24.532608695652176
original	gldm	DependenceNonUniformityNormalized	0.17751923437793207	0.13332939508506617
original	gldm	DependenceVariance	2.9108650778757736	7.489012287334594
original	gldm	GrayLevelNonUniformity	23.273972602739725	24.82608695652174
original	gldm	GrayLevelVariance	3.2850910114468004	4.3653119092627595
original	gldm	HighGrayLevelEmphasis	36.30821917808219	33.90217391304348
original	gldm	LargeDependenceEmphasis	17.205479452054796	27.641304347826086
original	gldm	LargeDependenceHighGrayLevelEmphasis	717.7054794520548	1193.4673913043478
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.5505933171721251	1.0129839886840406
original	gldm	LowGrayLevelEmphasis	0.04887896717540389	0.07802968248491023
original	gldm	SmallDependenceEmphasis	0.1509490417171435	0.14834366755504383
original	gldm	SmallDependenceHighGrayLevelEmphasis	4.081596358292175	3.614068436802523
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.016338917808644614	0.02520700937474596
original	ngtdm	Busyness	0.5059134256229906	0.5854811671754955
original	ngtdm	Coarseness	0.04009265425982303	0.03706030940708851
original	ngtdm	Complexity	46.27115212983499	46.713712489213194
original	ngtdm	Contrast	0.08893502737613007	0.12448093439916935
original	ngtdm	Strength	1.3038970155033722	1.0689477854947558
exponential	firstorder	10Percentile	8.200689319293824	10.305961380030329
exponential	firstorder	90Percentile	87.72993284708437	98.2791464993369
exponential	firstorder	Energy	16514742.034284484	22995771.448304888
exponential	firstorder	Entropy	1.8601024640628978	2.37900846147104
exponential	firstorder	InterquartileRange	34.88786428575892	55.54924582437006
exponential	firstorder	Kurtosis	5.514469135349321	6.212128796335549
exponential	firstorder	Maximum	170.27619306793054	234.05151939253165
exponential	firstorder	MeanAbsoluteDeviation	25.35115627909847	33.723026288869384
exponential	firstorder	Mean	34.7165381565357	50.75223605291237
exponential	firstorder	Median	21.07208228904541	37.223640871778855
exponential	firstorder	Minimum	2.5756217082538786	5.292624300631923
exponential	firstorder	Range	167.70057135967664	228.75889509189972
exponential	firstorder	RobustMeanAbsoluteDeviation	16.178506560219102	22.83486236878673
exponential	firstorder	RootMeanSquared	336.32524655116504	353.520888690877
exponential	firstorder	Skewness	1.652655615442723	1.6553660900723846
exponential	firstorder	TotalEnergy	16514742.034284484	22995771.448304888
exponential	firstorder	Uniformity	0.3775567648714582	0.2379489603024574
exponential	firstorder	Variance	1079.510552206328	1949.8876446694746
exponential	glcm	Autocorrelation	5.271694099339921	9.385003974107164
exponential	glcm	JointAverage	2.210898866462423	2.854896872593999
exponential	glcm	ClusterProminence	88.55504453833177	385.6394033840422
exponential	glcm	ClusterShade	10.786772215219399	32.81365340030821
exponential	glcm	ClusterTendency	5.087285442549601	9.324786915503196
exponential	glcm	Contrast	3.5697988865254833	4.3926306501363195
exponential	glcm	Correlation	0.18392840097657748	0.36050569710603886
exponential	glcm	DifferenceAverage	1.3474250514003976	1.5049834216678755
exponential	glcm	DifferenceEntropy	2.1497636653374563	2.2635225510052543
exponential	glcm	DifferenceVariance	1.6383032844940688	2.0875104148740298
exponential	glcm	JointEnergy	0.10591878292929231	0.05148157143634802
exponential	glcm	JointEntropy	4.054171953691387	4.786934386304131
exponential	glcm	Imc1	-0.10636087353572646	-0.1271859885402779
exponential	glcm	Imc2	0.5771367033071471	0.68455065372128
exponential	glcm	Idm	0.5251498462638852	0.4862679821599205
exponential	glcm	Idmn	0.9410883309354252	0.9625361221392453
exponential	glcm	Id	0.5784677295549483	0.538860042860138
exponential	glcm	Idn	0.8577877323062111	0.8815349393079207
exponential	glcm	InverseVariance	0.35699842893106215	0.4262916641955939
exponential	glcm	MaximumProbability	0.25333071576500743	0.12471214392098598
exponential	glcm	SumEntropy	2.8344333951736496	3.3242852040829645
exponential	glcm	SumSquares	2.164271082268771	3.42935439140988
exponential	glrlm	GrayLevelNonUniformity	38.284447196777016	34.562651813549046
exponential	glrlm	GrayLevelNonUniformityNormalized	0.3296040369689743	0.22733656843898808
exponential	glrlm	GrayLevelVariance	1.9285661551549773	3.2629465654538277
exponential	glrlm	HighGrayLevelRunEmphasis	6.1208420649135835	10.030839767193292
exponential	glrlm	LongRunEmphasis	2.063471722483513	1.751707807381983
exponential	glrlm	LongRunHighGrayLevelEmphasis	8.732977496528134	14.720928400337838
exponential	glrlm	LongRunLowGrayLevelEmphasis	1.4836638551924455	0.8613511072226813
exponential	glrlm	LowGrayLevelRunEmphasis	0.5823001506632837	0.43642600391226327
exponential	glrlm	RunEntropy	2.8088544113142957	3.1583814669479366
exponential	glrlm	RunLengthNonUniformity	77.83893563786401	107.57595685211757
exponential	glrlm	RunLengthNonUniformityNormalized	0.6646381052025513	0.7035895646958328
exponential	glrlm	RunPercentage	0.7897787144362485	0.8256688963210703
exponential	glrlm	RunVariance	0.39897646351123406	0.26468716349921384
exponential	glrlm	ShortRunEmphasis	0.8378215310788046	0.8629699278684553
exponential	glrlm	ShortRunHighGrayLevelEmphasis	5.6019598898948	9.126153781487885
exponential	glrlm	ShortRunLowGrayLevelEmphasis	0.4565693847536981	0.36410995874120744
exponential	glszm	GrayLevelNonUniformity	1.8	1.7142857142857142
exponential	glszm	GrayLevelNonUniformityNormalized	0.18	0.12244897959183673
exponential	glszm	GrayLevelVariance	3.24	7.739795918367347
exponential	glszm	HighGrayLevelZoneEmphasis	16.2	30.642857142857142
exponential	glszm	LargeAreaEmphasis	782.6	556.0
exponential	glszm	LargeAreaHighGrayLevelEmphasis	1353.2	2286.6428571428573
exponential	glszm	LargeAreaLowGrayLevelEmphasis	707.7914965986395	361.62147231445493
exponential	glszm	LowGrayLevelZoneEmphasis	0.1984019274376417	0.20085642524205452
exponential	glszm	SizeZoneNonUniformity	1.8	3.142857142857143
exponential	glszm	SizeZoneNonUniformityNormalized	0.18	0.22448979591836735
exponential	glszm	SmallAreaEmphasis	0.24063466711121	0.4610666678015024
exponential	glszm	SmallAreaHighGrayLevelEmphasis	5.433717342982348	18.082549580493207
exponential	glszm	SmallAreaLowGrayLevelEmphasis	0.02974041364481137	0.09193336289536914
exponential	glszm	ZoneEntropy	3.1219280948873593	3.664497779200457
exponential	glszm	ZonePercentage	0.0684931506849315	0.07608695652173914
exponential	glszm	ZoneVariance	569.44	383.26530612244903
exponential	gldm	DependenceEntropy	4.639317671476881	5.0732335463642375
exponential	gldm	DependenceNonUniformity	14.10958904109589	23.847826086956523
exponential	gldm	DependenceNonUniformityNormalized	0.09664102082942391	0.1296077504725898
exponential	gldm	DependenceVariance	10.755676487145806	5.607632325141776
exponential	gldm	GrayLevelNonUniformity	55.12328767123287	43.78260869565217
exponential	gldm	GrayLevelVariance	1.7579283167573654	3.0540819943289224
exponential	gldm	HighGrayLevelEmphasis	5.383561643835616	9.38586956521739
exponential	gldm	LargeDependenceEmphasis	52.56164383561644	36.21739130434783
exponential	gldm	LargeDependenceHighGrayLevelEmphasis	105.13698630136986	203.21195652173913
exponential	gldm	LargeDependenceLowGrayLevelEmphasis	46.740326779113474	21.617115083301837
exponential	gldm	LowGrayLevelEmphasis	0.6338792594663436	0.4562878502346993
exponential	gldm	SmallDependenceEmphasis	0.06554394141662286	0.08336259083698351
exponential	gldm	SmallDependenceHighGrayLevelEmphasis	0.8647900411122088	1.9360427101562576
exponential	gldm	SmallDependenceLowGrayLevelEmphasis	0.018974370079082255	0.02393951317547047
exponential	ngtdm	Busyness	4.891332444145448	1.936781520008019
exponential	ngtdm	Coarseness	0.022341854366605164	0.02419841358478557
exponential	ngtdm	Complexity	24.472901111480937	58.54104827897117
exponential	ngtdm	Contrast	0.0746665619058146	0.06872908778014074
exponential	ngtdm	Strength	1.091254984823498	2.1688590761121254
square	firstorder	10Percentile	39.08551770056147	52.77194917621811
square	firstorder	90Percentile	176.71469680026877	204.13724774370968
square	firstorder	Energy	23134233.587441124	34777185.66565726
square	firstorder	Entropy	2.9315264361990643	3.1816127322149086
square	firstorder	InterquartileRange	76.30461593656639	100.00499870939095
square	firstorder	Kurtosis	2.489769421289725	2.3066465887861405
square	firstorder	Maximum	232.9834804950224	288.6631496213766
square	firstorder	MeanAbsoluteDeviation	42.80002406694204	52.67731373350376
square	firstorder	Mean	94.73432220326835	130.31479249465346
square	firstorder	Median	82.00559156511301	126.88008697388307
square	firstorder	Minimum	7.901334627368641	26.929572084907953
square	firstorder	Range	225.08214586765376	261.73357753646866
square	firstorder	RobustMeanAbsoluteDeviation	31.700654849622197	40.19455181045775
square	firstorder	RootMeanSquared	398.0623753992593	434.74871343696213
square	firstorder	Skewness	0.6530004719730659	0.2817914715085173
square	firstorder	TotalEnergy	23134233.587441124	34777185.66565726
square	firstorder	Uniformity	0.15087258397447925	0.1169068998109641
square	firstorder	Variance	2638.4695832271846	3835.623195377118
square	glcm	Autocorrelation	24.43733001223506	29.978869643829984
square	glcm	JointAverage	4.842530537291158	5.259696333792072
square	glcm	ClusterProminence	300.12150047103086	693.4512891585484
square	glcm	ClusterShade	9.586250081654725	10.138008298211581
square	glcm	ClusterTendency	11.348301707284698	16.92327130556028
square	glcm	Contrast	7.44874600253768	7.674468235542987
square	glcm	Correlation	0.20966942506238956	0.37816957495486864
square	glcm	DifferenceAverage	2.161004470341113	2.1880779070263325
square	glcm	DifferenceEntropy	2.5020313183229876	2.598571915615729
square	glcm	DifferenceVariance	2.473854339369287	2.787929325116245
square	glcm	JointEnergy	0.025896768763627932	0.019349561660219332
square	glcm	JointEntropy	5.597286827428661	5.954082498257012
square	glcm	Imc1	-0.14530587489429003	-0.13363272729554693
square	glcm	Imc2	0.7476560067589056	0.7495054641940376
square	glcm	Idm	0.3549958868803807	0.3536326718742528
square	glcm	Idmn	0.9372749063694125	0.9454925332539114
square	glcm	Id	0.43366414673202275	0.4337384919797619
square	glcm	Idn	0.8369527675643661	0.8471976073269004
square	glcm	InverseVariance	0.35526672145136984	0.34012696185752345
square	glcm	MaximumProbability	0.060867783224886056	0.04617444402579271
square	glcm	SumEntropy	3.6029747674402737	3.932210864563342
square	glcm	SumSquares	4.699261927455594	6.149434885275817
square	glrlm	GrayLevelNonUniformity	19.53218867919192	19.194642296142828
square	glrlm	GrayLevelNonUniformityNormalized	0.14836292148200322	0.11696675317154884
square	glrlm	GrayLevelVariance	4.385016092538119	6.156689415653141
square	glrlm	HighGrayLevelRunEmphasis	23.103281540071343	27.87045048150848
square	glrlm	LongRunEmphasis	1.3721924055968833	1.3929655137748702
square	glrlm	LongRunHighGrayLevelEmphasis	31.11990239526261	40.83438177980225
square	glrlm	LongRunLowGrayLevelEmphasis	0.1651270517899285	0.2246401489952928
square	glrlm	LowGrayLevelRunEmphasis	0.12526348557610656	0.17235788049882805
square	glrlm	RunEntropy	3.3728624907973193	3.645989286712351
square	glrlm	RunLengthNonUniformity	108.50267563216039	132.15597931806823
square	glrlm	RunLengthNonUniformityNormalized	0.8193586363409924	0.8029281914707215
square	glrlm	RunPercentage	0.9004214963119073	0.8921404682274248
square	glrlm	RunVariance	0.12209265831543914	0.13005642424581082
square	glrlm	ShortRunEmphasis	0.9212417822660639	0.9154049799408384
square	glrlm	ShortRunHighGrayLevelEmphasis	21.34875158008358	25.142605385835363
square	glrlm	ShortRunLowGrayLevelEmphasis	0.11694263034187512	0.1606582903236373
square	glszm	GrayLevelNonUniformity	4.575757575757576	4.888888888888889
square	glszm	GrayLevelNonUniformityNormalized	0.1386593204775023	0.13580246913580246
square	glszm	GrayLevelVariance	5.158861340679523	6.376543209876543
square	glszm	HighGrayLevelZoneEmphasis	25.545454545454547	23.27777777777778
square	glszm	LargeAreaEmphasis	43.81818181818182	58.333333333333336
square	glszm	LargeAreaHighGrayLevelEmphasis	950.060606060606	2058.527777777778
square	glszm	LargeAreaLowGrayLevelEmphasis	4.746244226085496	6.353933796727207
square	glszm	LowGrayLevelZoneEmphasis	0.15730309997175076	0.23556262267218553
square	glszm	SizeZoneNonUniformity	8.090909090909092	5.777777777777778
square	glszm	SizeZoneNonUniformityNormalized	0.24517906336088155	0.16049382716049382
square	glszm	SmallAreaEmphasis	0.5001478479178803	0.38560914199857044
square	glszm	SmallAreaHighGrayLevelEmphasis	14.48047369377394	8.098048243957635
square	glszm	SmallAreaLowGrayLevelEmphasis	0.08526747830801737	0.13009880455770503
square	glszm	ZoneEntropy	4.427287210976619	4.537844793048874
square	glszm	ZonePercentage	0.22602739726027396	0.1956521739130435
square	glszm	ZoneVariance	24.244260789715334	32.20987654320987
square	gldm	DependenceEntropy	5.127744976349665	5.4504507663727
square	gldm	DependenceNonUniformity	26.246575342465754	31.032608695652176
square	gldm	DependenceNonUniformityNormalized	0.17977106398949147	0.1686554820415879
square	gldm	DependenceVariance	2.5845374366672917	3.766068052930057
square	gldm	GrayLevelNonUniformity	22.027397260273972	21.51086956521739
square	gldm	GrayLevelVariance	4.352786639144305	6.194204867674858
square	gldm	HighGrayLevelEmphasis	22.972602739726028	28.39673913043478
square	gldm	LargeDependenceEmphasis	15.465753424657533	18.23913043478261
square	gldm	LargeDependenceHighGrayLevelEmphasis	341.86301369863014	627.3315217391304
square	gldm	LargeDependenceLowGrayLevelEmphasis	1.5859174548814958	2.21161735888344
square	gldm	LowGrayLevelEmphasis	0.12332185309435802	0.1682958684639997
square	gldm	SmallDependenceEmphasis	0.1929291014350946	0.1662240324853108
square	gldm	SmallDependenceHighGrayLevelEmphasis	5.06639207281086	3.770613382781414
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.030099122539363286	0.04150902922901945
square	ngtdm	Busyness	1.0726818813083527	0.8296672081996688
square	ngtdm	Coarseness	0.033723353362432484	0.03201149954160134
square	ngtdm	Complexity	58.96351643757607	78.47147662012371
square	ngtdm	Contrast	0.13900479191846565	0.17226241640405893
square	ngtdm	Strength	1.3351888302843329	1.3955800399157035
squareroot	firstorder	10Percentile	171.3462786657964	205.90034536531496
squareroot	firstorder	90Percentile	249.85523600900575	288.76672103869913
squareroot	firstorder	Energy	37741545.93314323	56238247.42896633
squareroot	firstorder	Entropy	2.3323674904910603	2.4680855702408766
squareroot	firstorder	InterquartileRange	45.63885573161417	51.97825240495939
squareroot	firstorder	Kurtosis	2.662040597170842	2.265358307495413
squareroot	firstorder	Maximum	267.7331303911921	314.8943705159666
squareroot	firstorder	MeanAbsoluteDeviation	24.897868717012457	28.3143526402835
squareroot	firstorder	Mean	207.53380125235796	251.83005898362057
squareroot	firstorder	Median	206.21985982402236	256.3979801599919
squareroot	firstorder	Minimum	114.89362906187367	174.03012146104004
squareroot	firstorder	Range	152.83950132931844	140.86424905492657
squareroot	firstorder	RobustMeanAbsoluteDeviation	18.426933367303672	21.16556925994125
squareroot	firstorder	RootMeanSquared	508.43263001906587	552.8495718280599
squareroot	firstorder	Skewness	-0.17474004963305606	-0.38203840958716007
squareroot	firstorder	TotalEnergy	37741545.93314323	56238247.42896633
squareroot	firstorder	Uniformity	0.2232126102458247	0.19978733459357279
squareroot	firstorder	Variance	913.1798544362723	1126.2350726030381
squareroot	glcm	Autocorrelation	26.54229235438715	24.609852761439974
squareroot	glcm	JointAverage	5.117686000840428	4.900947057515646
squareroot	glcm	ClusterProminence	39.47856036146421	60.156421533247446
squareroot	glcm	ClusterShade	-1.42083788640412	-4.6292605652717755
squareroot	glcm	ClusterTendency	3.815858820605408	4.847994721968733
squareroot	glcm	Contrast	2.426267777355543	2.488165631863282
squareroot	glcm	Correlation	0.22343126111445155	0.3252679257516977
squareroot	glcm	DifferenceAverage	1.1957652336058677	1.194348664345127
squareroot	glcm	DifferenceEntropy	1.83731869824526	1.9289843066743528
squareroot	glcm	DifferenceVariance	0.9081886720692296	1.0272510849736802
squareroot	glcm	JointEnergy	0.058526235819941035	0.05953656700968127
squareroot	glcm	JointEntropy	4.355141532566909	4.479186701459147
squareroot	glcm	Imc1	-0.10741388824013673	-0.10070733622981932
squareroot	glcm	Imc2	0.5925297154547671	0.5990144481432153
squareroot	glcm	Idm	0.5199372169932257	0.5290689399246291
squareroot	glcm	Idmn	0.9566017552402903	0.9553955578489451
squareroot	glcm	Id	0.5650592486107162	0.5743783549838976
squareroot	glcm	Idn	0.8660659511671202	0.8671231757648271
squareroot	glcm	InverseVariance	0.4806169570927073	0.4565868872920087
squareroot	glcm	MaximumProbability	0.0997707985098961	0.1387831921851318
squareroot	glcm	SumEntropy	2.9037510253290555	3.062140255955488
squareroot	glcm	SumSquares	1.5605316494902377	1.834040088458004
squareroot	glrlm	GrayLevelNonUniformity	26.959601017284356	28.543840685989224
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.22187282328099125	0.192527064540298
squareroot	glrlm	GrayLevelVariance	1.6177273191762873	2.039561718208721
squareroot	glrlm	HighGrayLevelRunEmphasis	23.9871880625569	21.709869932598014
squareroot	glrlm	LongRunEmphasis	1.7545511879539732	1.8692416027697563
squareroot	glrlm	LongRunHighGrayLevelEmphasis	44.82134305750934	47.19379136367551
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.09725853039146216	0.1260610596372106
squareroot	glrlm	LowGrayLevelRunEmphasis	0.06418085399057392	0.08583871630978732
squareroot	glrlm	RunEntropy	3.021880514577882	3.233728268262789
squareroot	glrlm	RunLengthNonUniformity	87.66408210487768	100.97930255398198
squareroot	glrlm	RunLengthNonUniformityNormalized	0.7108073176122164	0.6757940609078812
squareroot	glrlm	RunPercentage	0.8308746048472074	0.806020066889632
